ko:K19405	ctll:L1440_00714
ko:K01921	ctll:L1440_00814
ko:K01924	ctll:L1440_00814
ko:K11707	ctll:L1440_00070
ko:K11710	ctll:L1440_00071
ko:K11708	ctll:L1440_00072
ko:K11709	ctll:L1440_00073
ko:K00033	ctll:L1440_00066
ko:K03177	ctll:L1440_00095
ko:K06179	ctll:L1440_00107
ko:K14233	ctll:L1440_00893
ko:K11645	ctll:L1440_00220
ko:K03559	ctll:L1440_00629
ko:K01214	ctll:L1440_00044
ko:K03575	ctll:L1440_00108
ko:K04077	ctll:L1440_00111
ko:K04078	ctll:L1440_00112
ko:K08602	ctll:L1440_00114
ko:K03695	ctll:L1440_00115
ko:K01783	ctll:L1440_00123
ko:K02356	ctll:L1440_00124
ko:K02160	ctll:L1440_00125
ko:K01961	ctll:L1440_00126
ko:K02871	ctll:L1440_00127
ko:K02996	ctll:L1440_00128
ko:K02029	ctll:L1440_00131
ko:K07058	ctll:L1440_00134
ko:K06999	ctll:L1440_00138
ko:K07566	ctll:L1440_00139
ko:K09125	ctll:L1440_00142
ko:K07039	ctll:L1440_00143
ko:K01972	ctll:L1440_00150
ko:K02913	ctll:L1440_00154
ko:K09808	ctll:L1440_00155
ko:K09810	ctll:L1440_00156
ko:K02881	ctll:L1440_00543
ko:K02933	ctll:L1440_00544
ko:K02994	ctll:L1440_00545
ko:K02931	ctll:L1440_00546
ko:K02895	ctll:L1440_00547
ko:K02874	ctll:L1440_00548
ko:K02961	ctll:L1440_00549
ko:K02904	ctll:L1440_00550
ko:K02878	ctll:L1440_00551
ko:K02982	ctll:L1440_00552
ko:K02890	ctll:L1440_00553
ko:K02965	ctll:L1440_00554
ko:K02886	ctll:L1440_00555
ko:K02892	ctll:L1440_00556
ko:K02926	ctll:L1440_00557
ko:K02906	ctll:L1440_00558
ko:K00604	ctll:L1440_00560
ko:K00677	ctll:L1440_00561
ko:K02372	ctll:L1440_00562
ko:K02535	ctll:L1440_00563
ko:K03820	ctll:L1440_00564
ko:K06925	ctll:L1440_00567
ko:K03671	ctll:L1440_00570
ko:K03216	ctll:L1440_00571
ko:K01876	ctll:L1440_00573
ko:K01892	ctll:L1440_00574
ko:K07783	ctll:L1440_00575
ko:K02337	ctll:L1440_00576
ko:K03311	ctll:L1440_00585
ko:K00382	ctll:L1440_00588
ko:K03644	ctll:L1440_00589
ko:K03222	ctll:L1440_00590
ko:K03223	ctll:L1440_00592
ko:K03226	ctll:L1440_00593
ko:K03228	ctll:L1440_00595
ko:K03720	ctll:L1440_00171
ko:K01696	ctll:L1440_00172
ko:K01695	ctll:L1440_00173
ko:K03611	ctll:L1440_00177
ko:K00979	ctll:L1440_00185
ko:K01937	ctll:L1440_00186
ko:K07447	ctll:L1440_00187
ko:K00036	ctll:L1440_00188
ko:K01057	ctll:L1440_00189
ko:K02343	ctll:L1440_00190
ko:K00943	ctll:L1440_00191
ko:K02469	ctll:L1440_00192
ko:K02470	ctll:L1440_00193
ko:K00773	ctll:L1440_00196
ko:K06213	ctll:L1440_00197
ko:K15580	ctll:L1440_00201
ko:K15581	ctll:L1440_00202
ko:K03319	ctll:L1440_00207
ko:K00850	ctll:L1440_00208
