ko:K08744	mtq:HKBS1_1915
ko:K07029	mtq:HKBS1_2382
ko:K08884	mtq:HKBS1_3066
ko:K12349	mtq:HKBS1_0704
ko:K22476	mtq:HKBS1_0445
ko:K07171	mtq:HKBS1_2100
ko:K12439	mtq:HKBS1_1757
ko:K07171	mtq:HKBS1_0474
ko:K03297	mtq:HKBS1_3231
ko:K21431	mtq:HKBS1_0896
ko:K22316	mtq:HKBS1_2356
ko:K07171	mtq:HKBS1_1169
ko:K18956	mtq:HKBS1_0027
ko:K18957	mtq:HKBS1_4089
ko:K18851	mtq:HKBS1_0139
ko:K18958	mtq:HKBS1_3378
ko:K18955	mtq:HKBS1_3446
ko:K07068	mtq:HKBS1_1721
ko:K07448	mtq:HKBS1_2676
ko:K00561	mtq:HKBS1_2096
ko:K19311	mtq:HKBS1_3386
ko:K09144	mtq:HKBS1_2975
ko:K00344	mtq:HKBS1_3316
ko:K07493	mtq:HKBS1_3645
ko:K07493	mtq:HKBS1_3853
ko:K07064	mtq:HKBS1_3015
ko:K07064	mtq:HKBS1_3510
ko:K07064	mtq:HKBS1_3915
ko:K21688	mtq:HKBS1_1063
ko:K07485	mtq:HKBS1_4023
ko:K07100	mtq:HKBS1_0595
ko:K07486	mtq:HKBS1_2301
ko:K00897	mtq:HKBS1_4043
ko:K19139	mtq:HKBS1_2969
ko:K03519	mtq:HKBS1_0391
ko:K07402	mtq:HKBS1_0392
ko:K09165	mtq:HKBS1_0395
ko:K00762	mtq:HKBS1_0398
ko:K03695	mtq:HKBS1_0400
ko:K08289	mtq:HKBS1_0404
ko:K10764	mtq:HKBS1_0406
ko:K03885	mtq:HKBS1_0407
ko:K00252	mtq:HKBS1_0415
ko:K06994	mtq:HKBS1_0417
ko:K13788	mtq:HKBS1_0424
ko:K00925	mtq:HKBS1_0425
ko:K14949	mtq:HKBS1_0426
ko:K02030	mtq:HKBS1_0427
ko:K03574	mtq:HKBS1_0429
ko:K00788	mtq:HKBS1_0430
ko:K03153	mtq:HKBS1_0431
ko:K03154	mtq:HKBS1_0432
ko:K03149	mtq:HKBS1_0433
ko:K07020	mtq:HKBS1_0438
ko:K00941	mtq:HKBS1_0439
ko:K03147	mtq:HKBS1_0440
ko:K01142	mtq:HKBS1_0444
ko:K01462	mtq:HKBS1_0446
ko:K01990	mtq:HKBS1_1299
ko:K03088	mtq:HKBS1_1302
ko:K03117	mtq:HKBS1_1305
ko:K08981	mtq:HKBS1_1307
ko:K09167	mtq:HKBS1_1308
ko:K03593	mtq:HKBS1_1311
ko:K02027	mtq:HKBS1_1317
ko:K02025	mtq:HKBS1_1318
ko:K02026	mtq:HKBS1_1319
ko:K10112	mtq:HKBS1_1320
ko:K03284	mtq:HKBS1_1321
ko:K00024	mtq:HKBS1_1322
ko:K01616	mtq:HKBS1_1330
ko:K05592	mtq:HKBS1_1335
ko:K00104	mtq:HKBS1_1339
ko:K01426	mtq:HKBS1_1346
ko:K03727	mtq:HKBS1_2214
ko:K03118	mtq:HKBS1_2215
ko:K03116	mtq:HKBS1_2216
ko:K13573	mtq:HKBS1_2217
ko:K13571	mtq:HKBS1_2219
ko:K03432	mtq:HKBS1_2231
ko:K03433	mtq:HKBS1_2232
ko:K13570	mtq:HKBS1_2233
ko:K13527	mtq:HKBS1_2237
ko:K09764	mtq:HKBS1_2239
ko:K07442	mtq:HKBS1_2240
ko:K00765	mtq:HKBS1_2243
ko:K01523	mtq:HKBS1_2244
ko:K00548	mtq:HKBS1_2247
ko:K11738	mtq:HKBS1_2251
ko:K15526	mtq:HKBS1_2254
ko:K01082	mtq:HKBS1_2255
ko:K03685	mtq:HKBS1_3078
ko:K07040	mtq:HKBS1_3079
ko:K12426	mtq:HKBS1_3083
ko:K12440	mtq:HKBS1_3084
ko:K12441	mtq:HKBS1_3085
ko:K12442	mtq:HKBS1_3086
ko:K12443	mtq:HKBS1_3087
ko:K12444	mtq:HKBS1_3088
ko:K01990	mtq:HKBS1_3089
ko:K01992	mtq:HKBS1_3090
ko:K01992	mtq:HKBS1_3091
ko:K11628	mtq:HKBS1_3093
ko:K12427	mtq:HKBS1_3094
ko:K06994	mtq:HKBS1_3095
ko:K12430	mtq:HKBS1_3100
ko:K12424	mtq:HKBS1_3101
ko:K14728	mtq:HKBS1_3104
ko:K12445	mtq:HKBS1_3106
ko:K07089	mtq:HKBS1_3118
ko:K01433	mtq:HKBS1_3119
ko:K00954	mtq:HKBS1_3121
ko:K01958	mtq:HKBS1_3123
ko:K03655	mtq:HKBS1_3130
ko:K07030	mtq:HKBS1_3131
ko:K09966	mtq:HKBS1_3967
ko:K11991	mtq:HKBS1_3974
ko:K04517	mtq:HKBS1_3976
ko:K09957	mtq:HKBS1_3977
ko:K05846	mtq:HKBS1_3978
ko:K05846	mtq:HKBS1_3979
ko:K05847	mtq:HKBS1_3980
ko:K05845	mtq:HKBS1_3981
ko:K14953	mtq:HKBS1_3985
ko:K02484	mtq:HKBS1_3986
ko:K00817	mtq:HKBS1_3996
ko:K01692	mtq:HKBS1_3998
ko:K16649	mtq:HKBS1_4006
ko:K16653	mtq:HKBS1_4015
ko:K01719	mtq:HKBS1_0277
ko:K02575	mtq:HKBS1_0278
ko:K02016	mtq:HKBS1_0282
ko:K01469	mtq:HKBS1_0283
ko:K02575	mtq:HKBS1_0284
ko:K00666	mtq:HKBS1_0287
ko:K14743	mtq:HKBS1_0309
ko:K00598	mtq:HKBS1_0312
ko:K04719	mtq:HKBS1_0323
ko:K00036	mtq:HKBS1_1189
ko:K00033	mtq:HKBS1_1190
ko:K01006	mtq:HKBS1_1195
ko:K01720	mtq:HKBS1_1199
ko:K01647	mtq:HKBS1_1200
ko:K00549	mtq:HKBS1_1202
ko:K00626	mtq:HKBS1_1209
ko:K16168	mtq:HKBS1_1215
ko:K07052	mtq:HKBS1_1216
ko:K01692	mtq:HKBS1_1217
ko:K01692	mtq:HKBS1_1219
ko:K01796	mtq:HKBS1_1218
ko:K06994	mtq:HKBS1_1222
ko:K12410	mtq:HKBS1_1229
ko:K13669	mtq:HKBS1_1239
ko:K01724	mtq:HKBS1_1240
ko:K03574	mtq:HKBS1_1241
ko:K00370	mtq:HKBS1_1242
ko:K09131	mtq:HKBS1_2092
ko:K05596	mtq:HKBS1_2093
ko:K06895	mtq:HKBS1_2094
ko:K12953	mtq:HKBS1_2107
ko:K12953	mtq:HKBS1_2108
ko:K03294	mtq:HKBS1_2110
ko:K00038	mtq:HKBS1_2113
ko:K07028	mtq:HKBS1_2115
ko:K01194	mtq:HKBS1_2117
ko:K07133	mtq:HKBS1_2119
ko:K09002	mtq:HKBS1_2970
ko:K01692	mtq:HKBS1_2981
ko:K05816	mtq:HKBS1_2982
ko:K05813	mtq:HKBS1_2983
ko:K05815	mtq:HKBS1_2984
ko:K05814	mtq:HKBS1_2985
ko:K02834	mtq:HKBS1_2988
ko:K02519	mtq:HKBS1_2989
ko:K07742	mtq:HKBS1_2990
ko:K02600	mtq:HKBS1_2991
ko:K09748	mtq:HKBS1_2992
ko:K01881	mtq:HKBS1_2995
ko:K02302	mtq:HKBS1_2997
ko:K02224	mtq:HKBS1_2998
ko:K03404	mtq:HKBS1_3000
ko:K02348	mtq:HKBS1_3001
ko:K00116	mtq:HKBS1_3002
ko:K17883	mtq:HKBS1_3005
ko:K07241	mtq:HKBS1_3006
ko:K04652	mtq:HKBS1_3007
ko:K04652	mtq:HKBS1_3008
ko:K07010	mtq:HKBS1_3011
ko:K01915	mtq:HKBS1_3012
ko:K01265	mtq:HKBS1_3013
ko:K06976	mtq:HKBS1_3019
ko:K00099	mtq:HKBS1_3022
ko:K04095	mtq:HKBS1_3854
ko:K02341	mtq:HKBS1_3858
ko:K03168	mtq:HKBS1_3860
ko:K03704	mtq:HKBS1_3862
ko:K06877	mtq:HKBS1_3863
ko:K12510	mtq:HKBS1_3873
ko:K02283	mtq:HKBS1_3874
ko:K02031	mtq:HKBS1_3879
ko:K02032	mtq:HKBS1_3879
ko:K15582	mtq:HKBS1_3880
ko:K15581	mtq:HKBS1_3881
ko:K15580	mtq:HKBS1_3882
ko:K01895	mtq:HKBS1_3883
ko:K10773	mtq:HKBS1_3890
ko:K01738	mtq:HKBS1_3902
ko:K09931	mtq:HKBS1_0564
ko:K01911	mtq:HKBS1_0566
ko:K03306	mtq:HKBS1_0569
ko:K01661	mtq:HKBS1_0572
ko:K00666	mtq:HKBS1_0575
ko:K02549	mtq:HKBS1_0577
ko:K02551	mtq:HKBS1_0579
ko:K12583	mtq:HKBS1_0581
ko:K03183	mtq:HKBS1_0582
ko:K00805	mtq:HKBS1_0586
ko:K03799	mtq:HKBS1_0587
ko:K00057	mtq:HKBS1_0588
ko:K09767	mtq:HKBS1_0590
ko:K00763	mtq:HKBS1_0599
ko:K07282	mtq:HKBS1_0600
ko:K06996	mtq:HKBS1_0603
ko:K09122	mtq:HKBS1_0605
ko:K02066	mtq:HKBS1_0613
ko:K02066	mtq:HKBS1_0614
ko:K02067	mtq:HKBS1_0615
ko:K02067	mtq:HKBS1_0616
ko:K02067	mtq:HKBS1_0617
ko:K02067	mtq:HKBS1_0618
ko:K02067	mtq:HKBS1_0619
ko:K02067	mtq:HKBS1_0620
ko:K09136	mtq:HKBS1_1468
ko:K02825	mtq:HKBS1_1471
ko:K00609	mtq:HKBS1_1473
ko:K01465	mtq:HKBS1_1474
ko:K01956	mtq:HKBS1_1476
ko:K01955	mtq:HKBS1_1477
ko:K01591	mtq:HKBS1_1478
ko:K00942	mtq:HKBS1_1483
ko:K03060	mtq:HKBS1_1484
ko:K13038	mtq:HKBS1_1485
ko:K00789	mtq:HKBS1_1486
ko:K04066	mtq:HKBS1_1496
ko:K00604	mtq:HKBS1_1500
ko:K03500	mtq:HKBS1_1501
ko:K01783	mtq:HKBS1_1502
ko:K11752	mtq:HKBS1_1503
ko:K14954	mtq:HKBS1_1505
ko:K00793	mtq:HKBS1_1506
ko:K14652	mtq:HKBS1_1509
ko:K00794	mtq:HKBS1_1510
ko:K03703	mtq:HKBS1_1514
ko:K06958	mtq:HKBS1_1515
ko:K09762	mtq:HKBS1_1517
ko:K03386	mtq:HKBS1_2368
ko:K00163	mtq:HKBS1_2370
ko:K00645	mtq:HKBS1_2373
ko:K02078	mtq:HKBS1_2374
ko:K11609	mtq:HKBS1_2375
ko:K11609	mtq:HKBS1_2376
ko:K18472	mtq:HKBS1_2377
ko:K00111	mtq:HKBS1_2379
ko:K00803	mtq:HKBS1_2381
ko:K00153	mtq:HKBS1_2389
