ko:K19079	saud:CH52_02460
ko:K01977	saud:CH52_03200
ko:K01977	saud:CH52_03180
ko:K01977	saud:CH52_08120
ko:K01977	saud:CH52_08665
ko:K01977	saud:CH52_03445
ko:K01977	saud:CH52_09625
ko:K00130	saud:CH52_05945
ko:K19005	saud:CH52_02175
ko:K07456	saud:CH52_00170
ko:K00887	saud:CH52_11220
ko:K11442	saud:CH52_08090
ko:K18934	saud:CH52_08110
ko:K08168	saud:CH52_05040
ko:K18936	saud:CH52_06910
ko:K18935	saud:CH52_08100
ko:K03328	saud:CH52_05065
ko:K03328	saud:CH52_03315
ko:K18940	saud:CH52_11995
ko:K21454	saud:CH52_07190
ko:K19975	saud:CH52_02605
ko:K19973	saud:CH52_02595
ko:K19080	saud:CH52_02455
ko:K02479	saud:CH52_09840
ko:K02483	saud:CH52_07170
ko:K14204	saud:CH52_09225
ko:K01046	saud:CH52_05655
ko:K03293	saud:CH52_12400
ko:K07741	saud:CH52_08925
ko:K22580	saud:CH52_00600
ko:K21461	saud:CH52_05670
ko:K21462	saud:CH52_05660
ko:K21463	saud:CH52_07195
ko:K05352	saud:CH52_04445
ko:K18906	saud:CH52_02335
ko:K09692	saud:CH52_02570
ko:K05879	saud:CH52_02510
ko:K05878	saud:CH52_02515
ko:K02015	saud:CH52_02520
ko:K02015	saud:CH52_02525
ko:K02013	saud:CH52_02530
ko:K16323	saud:CH52_02540
ko:K18104	saud:CH52_02545
ko:K07258	saud:CH52_02550
ko:K09693	saud:CH52_02575
ko:K05946	saud:CH52_02580
ko:K03709	saud:CH52_02590
ko:K05571	saud:CH52_02620
ko:K05570	saud:CH52_02625
ko:K05569	saud:CH52_02630
ko:K05568	saud:CH52_02635
ko:K05567	saud:CH52_02640
ko:K05566	saud:CH52_02645
ko:K05565	saud:CH52_02650
ko:K09936	saud:CH52_02670
ko:K07025	saud:CH52_02700
ko:K02015	saud:CH52_02705
ko:K02016	saud:CH52_02710
ko:K07457	saud:CH52_02715
ko:K01887	saud:CH52_02725
ko:K13953	saud:CH52_02735
ko:K06885	saud:CH52_02745
ko:K11102	saud:CH52_07065
ko:K02809	saud:CH52_07090
ko:K02810	saud:CH52_07090
ko:K03303	saud:CH52_07145
ko:K00116	saud:CH52_07150
ko:K09813	saud:CH52_07175
ko:K09814	saud:CH52_07180
ko:K07552	saud:CH52_07200
ko:K07107	saud:CH52_07235
ko:K03284	saud:CH52_07240
ko:K01823	saud:CH52_07245
ko:K03312	saud:CH52_07250
ko:K03652	saud:CH52_07255
ko:K01990	saud:CH52_07265
ko:K01992	saud:CH52_07270
ko:K09771	saud:CH52_07275
ko:K01785	saud:CH52_07280
ko:K01807	saud:CH52_07290
ko:K01479	saud:CH52_07300
ko:K11210	saud:CH52_07305
ko:K01712	saud:CH52_07315
ko:K01468	saud:CH52_07320
ko:K07304	saud:CH52_11945
ko:K07305	saud:CH52_11950
ko:K03797	saud:CH52_11965
ko:K02563	saud:CH52_11975
ko:K00164	saud:CH52_12000
ko:K00658	saud:CH52_12005
ko:K03311	saud:CH52_12030
ko:K01512	saud:CH52_12045
ko:K03704	saud:CH52_12055
ko:K01586	saud:CH52_12065
ko:K01775	saud:CH52_12070
ko:K05822	saud:CH52_12080
ko:K00215	saud:CH52_12085
ko:K01714	saud:CH52_12090
ko:K00133	saud:CH52_12095
ko:K00928	saud:CH52_12100
ko:K00243	saud:CH52_12110
ko:K02040	saud:CH52_12120
ko:K02037	saud:CH52_12125
ko:K02038	saud:CH52_12130
ko:K02036	saud:CH52_12135
ko:K02039	saud:CH52_12140
ko:K02033	saud:CH52_12155
ko:K02034	saud:CH52_12160
ko:K11695	saud:CH52_12190
ko:K11694	saud:CH52_12195
ko:K01695	saud:CH52_12200
ko:K01696	saud:CH52_12205
ko:K01817	saud:CH52_12210
ko:K01739	saud:CH52_03930
ko:K01760	saud:CH52_03935
ko:K00549	saud:CH52_03945
ko:K00626	saud:CH52_03955
ko:K01990	saud:CH52_03970
ko:K07729	saud:CH52_03980
ko:K03116	saud:CH52_03990
ko:K03118	saud:CH52_03995
ko:K16301	saud:CH52_04005
ko:K07224	saud:CH52_04010
ko:K03817	saud:CH52_04015
ko:K00299	saud:CH52_04030
ko:K02445	saud:CH52_04045
ko:K02821	saud:CH52_04070
ko:K02822	saud:CH52_04075
ko:K03475	saud:CH52_04080
ko:K03800	saud:CH52_04090
ko:K01788	saud:CH52_04135
ko:K01639	saud:CH52_04150
ko:K03307	saud:CH52_04155
ko:K16329	saud:CH52_04165
ko:K02003	saud:CH52_04180
ko:K02004	saud:CH52_04185
