ko:K04042	cbk:CLL_A0148
ko:K02409	cbk:CLL_A0840
ko:K03816	cbk:CLL_A1697
ko:K08384	cbk:CLL_A2446
ko:K07099	cbk:CLL_A3163
ko:K09766	cbk:CLL_A3160
ko:K02428	cbk:CLL_A0418
ko:K00132	cbk:CLL_A1465
ko:K11358	cbk:CLL_A3292
ko:K03573	cbk:CLL_A0606
ko:K03624	cbk:CLL_A0177
ko:K03629	cbk:CLL_A0004
ko:K03784	cbk:CLL_A1585
ko:K00954	cbk:CLL_A1230
ko:K01893	cbk:CLL_A0142
ko:K01892	cbk:CLL_A1035
ko:K01876	cbk:CLL_A1036
ko:K05873	cbk:CLL_A3123
ko:K02822	cbk:CLL_A3531
ko:K03789	cbk:CLL_A0530
ko:K03091	cbk:CLL_A0222
ko:K03547	cbk:CLL_A2991
ko:K01448	cbk:CLL_A0276
ko:K03498	cbk:CLL_A2476
ko:K01546	cbk:CLL_A0978
ko:K01547	cbk:CLL_A0979
ko:K01548	cbk:CLL_A0980
ko:K03497	cbk:CLL_A3595
ko:K01704	cbk:CLL_A0323
ko:K00604	cbk:CLL_A1216
ko:K03500	cbk:CLL_A1218
ko:K03785	cbk:CLL_A2227
ko:K03572	cbk:CLL_A1818
ko:K05366	cbk:CLL_A1001
ko:K02761	cbk:CLL_A1503
ko:K02400	cbk:CLL_A0858
ko:K05934	cbk:CLL_A2930
ko:K03665	cbk:CLL_A1004
ko:K02412	cbk:CLL_A0843
ko:K02123	cbk:CLL_A2866
ko:K02115	cbk:CLL_A0497
ko:K02111	cbk:CLL_A0496
ko:K03498	cbk:CLL_A1845
ko:K03177	cbk:CLL_A1276
ko:K04069	cbk:CLL_A2572
ko:K03553	cbk:CLL_A1287
ko:K08303	cbk:CLL_A2464
ko:K02760	cbk:CLL_A2096
ko:K05592	cbk:CLL_A3470
ko:K07461	cbk:CLL_A0328
ko:K01222	cbk:CLL_A2094
ko:K03686	cbk:CLL_A0892
ko:K01889	cbk:CLL_A2473
ko:K19271	cbk:CLL_A2128
ko:K03657	cbk:CLL_A0408
ko:K07456	cbk:CLL_A2463
ko:K02406	cbk:CLL_A3427
ko:K01696	cbk:CLL_A1973
ko:K02556	cbk:CLL_A3510
ko:K02406	cbk:CLL_A0818
ko:K01356	cbk:CLL_A1814
ko:K02405	cbk:CLL_A0862
ko:K00790	cbk:CLL_A0501
ko:K03685	cbk:CLL_A1240
ko:K13038	cbk:CLL_A1213
ko:K03070	cbk:CLL_A0520
ko:K03787	cbk:CLL_A2994
ko:K02759	cbk:CLL_A1500
ko:K00826	cbk:CLL_A1088
ko:K02781	cbk:CLL_A0400
ko:K00385	cbk:CLL_A3039
ko:K03569	cbk:CLL_A0563
ko:K03569	cbk:CLL_A0505
ko:K04651	cbk:CLL_A2005
ko:K04651	cbk:CLL_A1472
ko:K02793	cbk:CLL_A1373
ko:K02794	cbk:CLL_A1373
ko:K06024	cbk:CLL_A2365
ko:K03609	cbk:CLL_A0568
ko:K03555	cbk:CLL_A1823
ko:K02563	cbk:CLL_A0788
ko:K04652	cbk:CLL_A1470
ko:K02600	cbk:CLL_A1270
ko:K06178	cbk:CLL_A1677
ko:K02621	cbk:CLL_A0782
