ko:K02495	senr:STMDT2_38651
ko:K07497	senr:STMDT2_26751
ko:K22507	senr:STMDT2_27891
ko:K18923	senr:STMDT2_14771
ko:K19504	senr:STMDT2_43871
ko:K06148	senr:STMDT2_41121
ko:K03297	senr:STMDT2_15761
ko:K19595	senr:STMDT2_03481
ko:K01990	senr:STMDT2_07941
ko:K09690	senr:STMDT2_07051
ko:K02345	senr:STMDT2_18041
ko:K18138	senr:STMDT2_04711
ko:K03111	senr:STMDT2_41061
ko:K02031	senr:STMDT2_11911
ko:K02032	senr:STMDT2_11921
ko:K18292	senr:STMDT2_30141
ko:K00526	senr:STMDT2_22471
ko:K10906	senr:STMDT2_09441
ko:K18968	senr:STMDT2_03811
ko:K18984	senr:STMDT2_13281
ko:K01185	senr:STMDT2_25751
ko:K19611	senr:STMDT2_26831
ko:K14744	senr:STMDT2_19521
ko:K00287	senr:STMDT2_00891
ko:K01175	senr:STMDT2_06801
ko:K19221	senr:STMDT2_16431
ko:K00632	senr:STMDT2_23581
ko:K00254	senr:STMDT2_09951
ko:K12455	senr:STMDT2_20631
ko:K18288	senr:STMDT2_30121
ko:K13654	senr:STMDT2_15111
ko:K01139	senr:STMDT2_36281
ko:K07274	senr:STMDT2_12181
ko:K19230	senr:STMDT2_16191
ko:K18828	senr:STMDT2_29311
ko:K00537	senr:STMDT2_24581
ko:K18816	senr:STMDT2_15421
ko:K07012	senr:STMDT2_28441
ko:K04065	senr:STMDT2_44061
ko:K19092	senr:STMDT2_28561
ko:K13285	senr:STMDT2_27841
ko:K13286	senr:STMDT2_27831
ko:K03826	senr:STMDT2_35281
ko:K00090	senr:STMDT2_35311
ko:K07726	senr:STMDT2_35331
ko:K03704	senr:STMDT2_35341
ko:K03830	senr:STMDT2_35381
ko:K01879	senr:STMDT2_35391
ko:K01878	senr:STMDT2_35401
ko:K00854	senr:STMDT2_35441
ko:K01805	senr:STMDT2_35451
ko:K02529	senr:STMDT2_35461
ko:K03796	senr:STMDT2_35471
ko:K01176	senr:STMDT2_35481
ko:K00835	senr:STMDT2_35491
ko:K10555	senr:STMDT2_39401
ko:K08321	senr:STMDT2_39411
ko:K11530	senr:STMDT2_39421
ko:K01783	senr:STMDT2_39431
ko:K01803	senr:STMDT2_39441
ko:K00528	senr:STMDT2_39471
ko:K02446	senr:STMDT2_39481
ko:K00864	senr:STMDT2_39491
ko:K02440	senr:STMDT2_39501
ko:K09892	senr:STMDT2_39511
ko:K02553	senr:STMDT2_39521
ko:K02548	senr:STMDT2_39531
ko:K03667	senr:STMDT2_39541
ko:K01419	senr:STMDT2_39551
ko:K03591	senr:STMDT2_39561
ko:K05499	senr:STMDT2_39571
ko:K04066	senr:STMDT2_39581
ko:K02909	senr:STMDT2_39591
ko:K03764	senr:STMDT2_39621
ko:K12525	senr:STMDT2_39641
ko:K00135	senr:STMDT2_43671
ko:K01154	senr:STMDT2_43721
ko:K03427	senr:STMDT2_43731
ko:K01153	senr:STMDT2_43741
ko:K09803	senr:STMDT2_43761
ko:K00773	senr:STMDT2_04011
ko:K03210	senr:STMDT2_04021
ko:K03072	senr:STMDT2_04031
ko:K03074	senr:STMDT2_04041
ko:K06996	senr:STMDT2_04051
ko:K05517	senr:STMDT2_04091
ko:K00031	senr:STMDT2_11741
ko:K03704	senr:STMDT2_11791
ko:K07804	senr:STMDT2_11811
ko:K04080	senr:STMDT2_11841
ko:K02035	senr:STMDT2_11881
ko:K02033	senr:STMDT2_11891
ko:K02034	senr:STMDT2_11901
ko:K04093	senr:STMDT2_12011
ko:K11250	senr:STMDT2_12021
ko:K09712	senr:STMDT2_12081
ko:K03449	senr:STMDT2_12111
ko:K09786	senr:STMDT2_12161
ko:K07180	senr:STMDT2_12171
ko:K06871	senr:STMDT2_12191
ko:K01792	senr:STMDT2_12211
ko:K00134	senr:STMDT2_12231
ko:K07305	senr:STMDT2_12241
ko:K09916	senr:STMDT2_12251
ko:K08281	senr:STMDT2_12261
ko:K02008	senr:STMDT2_19941
ko:K02009	senr:STMDT2_19951
ko:K02007	senr:STMDT2_19961
ko:K03394	senr:STMDT2_19971
ko:K02190	senr:STMDT2_19981
ko:K05895	senr:STMDT2_19991
ko:K02189	senr:STMDT2_20011
ko:K05936	senr:STMDT2_20021
ko:K02191	senr:STMDT2_20031
ko:K03399	senr:STMDT2_20041
ko:K02188	senr:STMDT2_20051
ko:K06042	senr:STMDT2_20061
ko:K02227	senr:STMDT2_20071
ko:K02224	senr:STMDT2_20081
ko:K13919	senr:STMDT2_20141
ko:K13920	senr:STMDT2_20151
ko:K13923	senr:STMDT2_20201
ko:K10002	senr:STMDT2_06541
ko:K10003	senr:STMDT2_06551
ko:K10001	senr:STMDT2_06561
ko:K03820	senr:STMDT2_06571
ko:K06189	senr:STMDT2_06581
ko:K07042	senr:STMDT2_06591
ko:K06168	senr:STMDT2_06611
ko:K03184	senr:STMDT2_06621
ko:K00657	senr:STMDT2_14291
ko:K09771	senr:STMDT2_14311
ko:K08323	senr:STMDT2_14321
ko:K08322	senr:STMDT2_14331
ko:K00040	senr:STMDT2_14351
ko:K16066	senr:STMDT2_14381
ko:K01284	senr:STMDT2_14391
ko:K15268	senr:STMDT2_14441
ko:K13630	senr:STMDT2_14451
ko:K13632	senr:STMDT2_14461
ko:K03712	senr:STMDT2_14471
ko:K05595	senr:STMDT2_14481
ko:K08159	senr:STMDT2_14491
ko:K08324	senr:STMDT2_14511
ko:K01425	senr:STMDT2_14521
ko:K04651	senr:STMDT2_14571
ko:K03618	senr:STMDT2_14591
ko:K03619	senr:STMDT2_14601
ko:K04653	senr:STMDT2_14611
ko:K03620	senr:STMDT2_14631
ko:K06281	senr:STMDT2_14641
ko:K06282	senr:STMDT2_14651
ko:K00568	senr:STMDT2_22451
ko:K10004	senr:STMDT2_06531
ko:K11107	senr:STMDT2_22481
ko:K01126	senr:STMDT2_22511
ko:K02445	senr:STMDT2_22521
ko:K13922	senr:STMDT2_20241
ko:K13921	senr:STMDT2_20251
ko:K04031	senr:STMDT2_20281
ko:K04029	senr:STMDT2_20291
ko:K16651	senr:STMDT2_20311
ko:K09802	senr:STMDT2_20321
ko:K07470	senr:STMDT2_20341
ko:K07258	senr:STMDT2_20351
ko:K08354	senr:STMDT2_20361
ko:K08353	senr:STMDT2_20371
ko:K08352	senr:STMDT2_20381
ko:K01141	senr:STMDT2_20411
ko:K03225	senr:STMDT2_27901
ko:K03230	senr:STMDT2_27951
ko:K07314	senr:STMDT2_28071
ko:K03555	senr:STMDT2_28091
ko:K03186	senr:STMDT2_28211
ko:K06194	senr:STMDT2_28251
ko:K00573	senr:STMDT2_28261
ko:K03787	senr:STMDT2_28271
ko:K06176	senr:STMDT2_28281
ko:K01770	senr:STMDT2_28291
ko:K00991	senr:STMDT2_28301
ko:K05589	senr:STMDT2_28311
ko:K00860	senr:STMDT2_28331
ko:K00957	senr:STMDT2_28351
ko:K09612	senr:STMDT2_28361
ko:K15342	senr:STMDT2_28381
ko:K08092	senr:STMDT2_35521
ko:K00880	senr:STMDT2_35581
ko:K09955	senr:STMDT2_35631
ko:K00138	senr:STMDT2_35641
ko:K03833	senr:STMDT2_35661
ko:K01042	senr:STMDT2_35671
ko:K02798	senr:STMDT2_35691
ko:K02799	senr:STMDT2_35691
ko:K02800	senr:STMDT2_35691
ko:K00009	senr:STMDT2_35701
ko:K08309	senr:STMDT2_44261
ko:K03720	senr:STMDT2_44271
ko:K05804	senr:STMDT2_44301
ko:K05805	senr:STMDT2_44311
ko:K07663	senr:STMDT2_44321
ko:K07641	senr:STMDT2_44331
ko:K06143	senr:STMDT2_44341
ko:K07347	senr:STMDT2_44371
ko:K03800	senr:STMDT2_44201
ko:K07186	senr:STMDT2_44211
ko:K01079	senr:STMDT2_44221
ko:K04485	senr:STMDT2_44231
ko:K06211	senr:STMDT2_44241
ko:K08316	senr:STMDT2_34571
ko:K10805	senr:STMDT2_04611
ko:K09914	senr:STMDT2_04621
ko:K07443	senr:STMDT2_04631
ko:K02909	senr:STMDT2_04651
ko:K02919	senr:STMDT2_04661
ko:K03577	senr:STMDT2_04731
ko:K05802	senr:STMDT2_04741
ko:K04067	senr:STMDT2_04771
ko:K09790	senr:STMDT2_04781
ko:K00759	senr:STMDT2_04791
ko:K02343	senr:STMDT2_04801
ko:K09747	senr:STMDT2_04811
ko:K06187	senr:STMDT2_04821
ko:K04079	senr:STMDT2_04831
ko:K00939	senr:STMDT2_04841
ko:K01772	senr:STMDT2_04851
ko:K00892	senr:STMDT2_04871
ko:K03455	senr:STMDT2_04881
ko:K08223	senr:STMDT2_04891
ko:K11751	senr:STMDT2_04901
ko:K09973	senr:STMDT2_04921
ko:K17686	senr:STMDT2_04941
ko:K07340	senr:STMDT2_04961
ko:K02068	senr:STMDT2_04981
ko:K02069	senr:STMDT2_04991
ko:K05838	senr:STMDT2_05001
ko:K10804	senr:STMDT2_05021
ko:K02003	senr:STMDT2_05031
ko:K02004	senr:STMDT2_05041
ko:K02073	senr:STMDT2_05061
ko:K02071	senr:STMDT2_05071
ko:K02072	senr:STMDT2_05081
ko:K06917	senr:STMDT2_05091
ko:K10972	senr:STMDT2_05101
ko:K01483	senr:STMDT2_05111
ko:K10973	senr:STMDT2_05121
ko:K01608	senr:STMDT2_05131
ko:K01626	senr:STMDT2_12801
ko:K09773	senr:STMDT2_12811
ko:K12507	senr:STMDT2_12831
ko:K00313	senr:STMDT2_12851
ko:K03785	senr:STMDT2_12911
ko:K05887	senr:STMDT2_12921
ko:K06956	senr:STMDT2_13001
ko:K05997	senr:STMDT2_13011
ko:K09014	senr:STMDT2_13021
ko:K09013	senr:STMDT2_13031
ko:K09015	senr:STMDT2_13041
ko:K11717	senr:STMDT2_13051
ko:K02426	senr:STMDT2_13061
ko:K06078	senr:STMDT2_13081
ko:K06078	senr:STMDT2_13091
ko:K00873	senr:STMDT2_13101
ko:K01259	senr:STMDT2_13121
ko:K08357	senr:STMDT2_13151
ko:K08359	senr:STMDT2_13161
ko:K08358	senr:STMDT2_13171
ko:K13040	senr:STMDT2_13181
ko:K13041	senr:STMDT2_13191
ko:K14979	senr:STMDT2_13231
ko:K14978	senr:STMDT2_13241
ko:K03219	senr:STMDT2_13261
ko:K13292	senr:STMDT2_29011
ko:K03220	senr:STMDT2_13271
ko:K16692	senr:STMDT2_20901
ko:K01104	senr:STMDT2_20911
ko:K01991	senr:STMDT2_20921
ko:K07289	senr:STMDT2_20941
ko:K01494	senr:STMDT2_20951
ko:K00876	senr:STMDT2_20961
ko:K01247	senr:STMDT2_20981
ko:K04046	senr:STMDT2_20991
ko:K07799	senr:STMDT2_21001
ko:K07788	senr:STMDT2_21011
ko:K07789	senr:STMDT2_21021
ko:K07642	senr:STMDT2_21041
ko:K07664	senr:STMDT2_21051
ko:K08303	senr:STMDT2_21091
ko:K00941	senr:STMDT2_21201
ko:K00878	senr:STMDT2_21211
ko:K07347	senr:STMDT2_21241
ko:K03593	senr:STMDT2_21281
ko:K01874	senr:STMDT2_21291
ko:K02478	senr:STMDT2_21341
ko:K05846	senr:STMDT2_21371
ko:K05847	senr:STMDT2_21381
ko:K05846	senr:STMDT2_21391
ko:K01448	senr:STMDT2_28901
ko:K14682	senr:STMDT2_28911
ko:K03581	senr:STMDT2_28921
ko:K03582	senr:STMDT2_28931
ko:K01407	senr:STMDT2_28941
ko:K03583	senr:STMDT2_28951
ko:K02681	senr:STMDT2_28961
