ko:K00459	hpb:HELPY_0591
ko:K13797	hpb:HELPY_1170
ko:K01961	hpb:HELPY_1055
ko:K14652	hpb:HELPY_0555
ko:K13038	hpb:HELPY_0514
ko:K03625	hpb:HELPY_0001
ko:K12574	hpb:HELPY_1399
ko:K13292	hpb:HELPY_0941
ko:K00244	hpb:HELPY_0195
ko:K08602	hpb:HELPY_0453
ko:K03455	hpb:HELPY_0455
ko:K02020	hpb:HELPY_0457
ko:K02018	hpb:HELPY_0458
ko:K02017	hpb:HELPY_0459
ko:K01885	hpb:HELPY_0460
ko:K06207	hpb:HELPY_0464
ko:K01159	hpb:HELPY_0475
ko:K03781	hpb:HELPY_0477
ko:K06193	hpb:HELPY_0480
ko:K01521	hpb:HELPY_0481
ko:K02390	hpb:HELPY_0482
ko:K04651	hpb:HELPY_0483
ko:K00748	hpb:HELPY_0485
ko:K03624	hpb:HELPY_0486
ko:K03525	hpb:HELPY_0490
ko:K09792	hpb:HELPY_0491
ko:K03273	hpb:HELPY_0492
ko:K03274	hpb:HELPY_0493
ko:K03271	hpb:HELPY_0495
ko:K06950	hpb:HELPY_0386
ko:K03501	hpb:HELPY_0387
ko:K07568	hpb:HELPY_0388
ko:K03118	hpb:HELPY_0389
ko:K03117	hpb:HELPY_0390
ko:K03551	hpb:HELPY_0391
ko:K00606	hpb:HELPY_0392
ko:K03636	hpb:HELPY_0559
ko:K03635	hpb:HELPY_0560
ko:K03831	hpb:HELPY_0561
ko:K03637	hpb:HELPY_0562
ko:K00364	hpb:HELPY_0500
ko:K01154	hpb:HELPY_0507
ko:K00878	hpb:HELPY_0510
ko:K00788	hpb:HELPY_0512
ko:K09860	hpb:HELPY_0518
ko:K03530	hpb:HELPY_0519
ko:K03977	hpb:HELPY_0520
ko:K02108	hpb:HELPY_0526
ko:K07270	hpb:HELPY_0529
ko:K00384	hpb:HELPY_0531
ko:K03671	hpb:HELPY_0532
ko:K07460	hpb:HELPY_0533
ko:K00003	hpb:HELPY_0534
ko:K03703	hpb:HELPY_0535
ko:K05847	hpb:HELPY_0538
ko:K05845	hpb:HELPY_0539
