ko:K02035	spx:SPG_0777
ko:K04042	spx:SPG_0913
ko:K03816	spx:SPG_1731
ko:K02760	spx:SPG_0236
ko:K05366	spx:SPG_0334
ko:K01598	spx:SPG_1122
ko:K02760	spx:SPG_1698
ko:K07473	spx:SPG_0258
ko:K02759	spx:SPG_1697
ko:K02124	spx:SPG_1214
ko:K02123	spx:SPG_1215
ko:K05808	spx:SPG_2152
ko:K02240	spx:SPG_2154
ko:K01738	spx:SPG_2156
ko:K02357	spx:SPG_2160
ko:K02967	spx:SPG_2161
ko:K03571	spx:SPG_2163
ko:K03570	spx:SPG_2164
ko:K00995	spx:SPG_2168
ko:K03629	spx:SPG_2173
ko:K00088	spx:SPG_2174
ko:K01867	spx:SPG_2175
ko:K00783	spx:SPG_2187
ko:K01639	spx:SPG_1222
ko:K01788	spx:SPG_1223
ko:K02003	spx:SPG_0836
ko:K00797	spx:SPG_0844
ko:K10536	spx:SPG_0847
ko:K03101	spx:SPG_0854
ko:K06180	spx:SPG_0855
ko:K00931	spx:SPG_0857
ko:K00931	spx:SPG_0858
ko:K00147	spx:SPG_0859
ko:K00286	spx:SPG_0860
ko:K00943	spx:SPG_0861
ko:K02341	spx:SPG_0862
ko:K07056	spx:SPG_0864
ko:K04094	spx:SPG_0870
ko:K09903	spx:SPG_0871
ko:K02838	spx:SPG_0872
ko:K00243	spx:SPG_0873
ko:K06217	spx:SPG_0875
ko:K02238	spx:SPG_0878
ko:K02520	spx:SPG_0883
ko:K02916	spx:SPG_0884
ko:K02887	spx:SPG_0885
ko:K07042	spx:SPG_0891
ko:K03595	spx:SPG_0893
ko:K10563	spx:SPG_0894
ko:K00859	spx:SPG_0895
ko:K03075	spx:SPG_0897
ko:K03664	spx:SPG_0899
ko:K11031	spx:SPG_1836
ko:K03553	spx:SPG_1849
ko:K06925	spx:SPG_1853
ko:K02003	spx:SPG_1858
ko:K00940	spx:SPG_1860
ko:K03046	spx:SPG_1861
ko:K03043	spx:SPG_1862
ko:K00790	spx:SPG_1867
ko:K07177	spx:SPG_1869
ko:K00954	spx:SPG_1870
ko:K01914	spx:SPG_1872
ko:K06890	spx:SPG_1873
ko:K03437	spx:SPG_1875
ko:K01512	spx:SPG_1876
ko:K03217	spx:SPG_1877
ko:K04069	spx:SPG_1878
ko:K01586	spx:SPG_1879
ko:K09685	spx:SPG_1880
ko:K03698	spx:SPG_1881
ko:K09760	spx:SPG_1882
ko:K01783	spx:SPG_1884
ko:K06949	spx:SPG_1885
ko:K02528	spx:SPG_1886
ko:K02003	spx:SPG_1888
ko:K05985	spx:SPG_1892
ko:K03424	spx:SPG_1893
ko:K02914	spx:SPG_1895
ko:K00566	spx:SPG_0123
ko:K03495	spx:SPG_0125
ko:K03789	spx:SPG_0131
ko:K01409	spx:SPG_0132
ko:K00012	spx:SPG_0142
ko:K02073	spx:SPG_0151
ko:K01439	spx:SPG_0152
ko:K02071	spx:SPG_0153
ko:K02072	spx:SPG_0154
ko:K03647	spx:SPG_0160
ko:K03572	spx:SPG_0165
ko:K00794	spx:SPG_0166
ko:K00793	spx:SPG_0168
ko:K03550	spx:SPG_0170
ko:K01246	spx:SPG_0171
ko:K03284	spx:SPG_0175
ko:K03701	spx:SPG_0176
ko:K01262	spx:SPG_0177
ko:K07447	spx:SPG_0181
ko:K01926	spx:SPG_1011
ko:K00948	spx:SPG_1015
ko:K07816	spx:SPG_1017
ko:K00858	spx:SPG_1018
ko:K06180	spx:SPG_1019
ko:K09747	spx:SPG_1021
ko:K02888	spx:SPG_1023
ko:K07584	spx:SPG_1024
ko:K02899	spx:SPG_1025
ko:K03530	spx:SPG_1031
ko:K06158	spx:SPG_1032
ko:K01972	spx:SPG_1035
ko:K02245	spx:SPG_1966
ko:K02244	spx:SPG_1967
ko:K02243	spx:SPG_1968
ko:K01443	spx:SPG_1971
ko:K00773	spx:SPG_1973
ko:K01304	spx:SPG_1975
ko:K08987	spx:SPG_1976
ko:K01733	spx:SPG_1981
ko:K01810	spx:SPG_2009
ko:K07010	spx:SPG_2011
ko:K03555	spx:SPG_2015
ko:K03402	spx:SPG_2016
ko:K01887	spx:SPG_2017
ko:K09705	spx:SPG_2019
ko:K07658	spx:SPG_2020
ko:K07636	spx:SPG_2021
ko:K02040	spx:SPG_2022
ko:K02037	spx:SPG_2023
ko:K02038	spx:SPG_2024
ko:K02036	spx:SPG_2025
ko:K02039	spx:SPG_2026
ko:K02959	spx:SPG_0705
ko:K06960	spx:SPG_0706
ko:K02860	spx:SPG_0708
ko:K00554	spx:SPG_0709
ko:K03523	spx:SPG_0713
ko:K00383	spx:SPG_0714
ko:K01256	spx:SPG_0727
ko:K03722	spx:SPG_0732
ko:K05837	spx:SPG_0733
ko:K03152	spx:SPG_0734
ko:K02470	spx:SPG_0736
ko:K06286	spx:SPG_0737
ko:K03697	spx:SPG_0743
ko:K01807	spx:SPG_0749
ko:K01839	spx:SPG_0750
ko:K03783	spx:SPG_0752
ko:K03784	spx:SPG_0756
ko:K02968	spx:SPG_0758
ko:K00867	spx:SPG_0759
ko:K00756	spx:SPG_0762
ko:K01619	spx:SPG_0763
ko:K01489	spx:SPG_0764
ko:K01696	spx:SPG_1708
ko:K01817	spx:SPG_1709
ko:K01609	spx:SPG_1710
ko:K00766	spx:SPG_1711
ko:K01658	spx:SPG_1712
ko:K00700	spx:SPG_1039
ko:K00975	spx:SPG_1040
ko:K00975	spx:SPG_1041
ko:K00865	spx:SPG_1046
ko:K01689	spx:SPG_1047
ko:K03470	spx:SPG_1058
ko:K03800	spx:SPG_1061
ko:K00382	spx:SPG_1062
ko:K00627	spx:SPG_1063
ko:K00162	spx:SPG_1064
ko:K00161	spx:SPG_1065
ko:K03327	spx:SPG_1066
ko:K01465	spx:SPG_1067
ko:K03648	spx:SPG_1069
ko:K08483	spx:SPG_1074
ko:K06191	spx:SPG_1076
ko:K00525	spx:SPG_1077
ko:K00526	spx:SPG_1078
ko:K02530	spx:SPG_1079
ko:K01220	spx:SPG_1081
ko:K03631	spx:SPG_1096
ko:K03402	spx:SPG_1097
ko:K06442	spx:SPG_1098
ko:K03602	spx:SPG_1100
ko:K03601	spx:SPG_1101
ko:K00876	spx:SPG_1102
ko:K03177	spx:SPG_1104
ko:K01740	spx:SPG_1107
ko:K02469	spx:SPG_1111
ko:K07652	spx:SPG_1117
ko:K07668	spx:SPG_1118
ko:K03575	spx:SPG_1119
ko:K01938	spx:SPG_1120
ko:K03702	spx:SPG_1129
ko:K00036	spx:SPG_1133
ko:K03110	spx:SPG_1134
ko:K03529	spx:SPG_1137
ko:K03685	spx:SPG_1138
ko:K00364	spx:SPG_1140
ko:K01704	spx:SPG_1147
ko:K00052	spx:SPG_1149
ko:K01649	spx:SPG_1151
ko:K09790	spx:SPG_1155
ko:K01818	spx:SPG_2098
ko:K01206	spx:SPG_2104
ko:K00848	spx:SPG_2108
ko:K09815	spx:SPG_2110
ko:K09816	spx:SPG_2111
ko:K09817	spx:SPG_2112
ko:K03740	spx:SPG_2115
ko:K03739	spx:SPG_2117
ko:K03367	spx:SPG_2118
ko:K02440	spx:SPG_2125
ko:K00864	spx:SPG_2127
ko:K04083	spx:SPG_2129
ko:K03696	spx:SPG_2141
ko:K03708	spx:SPG_2142
ko:K02314	spx:SPG_2149
ko:K02939	spx:SPG_2150
ko:K02793	spx:SPG_0267
ko:K02794	spx:SPG_0267
ko:K06131	spx:SPG_0186
ko:K04068	spx:SPG_0192
ko:K02946	spx:SPG_0194
ko:K02906	spx:SPG_0195
ko:K02926	spx:SPG_0196
ko:K02892	spx:SPG_0197
ko:K02886	spx:SPG_0198
ko:K02965	spx:SPG_0199
ko:K02890	spx:SPG_0200
ko:K02982	spx:SPG_0201
ko:K02878	spx:SPG_0202
ko:K02904	spx:SPG_0203
ko:K02961	spx:SPG_0204
ko:K02874	spx:SPG_0205
