ko:K09779	ctrs:SOTONE8_00002
ko:K19405	ctrs:SOTONE8_00721
ko:K14233	ctrs:SOTONE8_00898
ko:K11645	ctrs:SOTONE8_00227
ko:K02433	ctrs:SOTONE8_00004
ko:K02834	ctrs:SOTONE8_00097
ko:K02519	ctrs:SOTONE8_00098
ko:K02600	ctrs:SOTONE8_00099
ko:K02945	ctrs:SOTONE8_00100
ko:K00384	ctrs:SOTONE8_00101
ko:K00997	ctrs:SOTONE8_00102
ko:K00208	ctrs:SOTONE8_00106
ko:K03575	ctrs:SOTONE8_00109
ko:K04077	ctrs:SOTONE8_00112
ko:K04078	ctrs:SOTONE8_00113
ko:K08602	ctrs:SOTONE8_00114
ko:K03695	ctrs:SOTONE8_00115
ko:K01783	ctrs:SOTONE8_00123
ko:K02356	ctrs:SOTONE8_00124
ko:K02160	ctrs:SOTONE8_00125
ko:K01961	ctrs:SOTONE8_00126
ko:K02871	ctrs:SOTONE8_00127
ko:K02996	ctrs:SOTONE8_00128
ko:K02029	ctrs:SOTONE8_00131
ko:K07058	ctrs:SOTONE8_00134
ko:K06999	ctrs:SOTONE8_00138
ko:K07566	ctrs:SOTONE8_00139
ko:K09125	ctrs:SOTONE8_00142
ko:K07039	ctrs:SOTONE8_00143
ko:K01972	ctrs:SOTONE8_00150
ko:K02913	ctrs:SOTONE8_00154
ko:K09808	ctrs:SOTONE8_00155
ko:K09810	ctrs:SOTONE8_00156
ko:K03720	ctrs:SOTONE8_00177
ko:K01696	ctrs:SOTONE8_00178
ko:K01695	ctrs:SOTONE8_00179
ko:K03611	ctrs:SOTONE8_00184
ko:K00979	ctrs:SOTONE8_00192
ko:K01937	ctrs:SOTONE8_00193
ko:K07447	ctrs:SOTONE8_00194
ko:K00036	ctrs:SOTONE8_00195
ko:K01057	ctrs:SOTONE8_00196
ko:K02343	ctrs:SOTONE8_00197
ko:K00943	ctrs:SOTONE8_00198
ko:K02469	ctrs:SOTONE8_00199
ko:K02470	ctrs:SOTONE8_00200
ko:K00773	ctrs:SOTONE8_00203
ko:K06213	ctrs:SOTONE8_00204
ko:K07099	ctrs:SOTONE8_00523
ko:K00975	ctrs:SOTONE8_00524
ko:K03628	ctrs:SOTONE8_00526
ko:K00859	ctrs:SOTONE8_00527
ko:K03301	ctrs:SOTONE8_00530
ko:K00995	ctrs:SOTONE8_00531
ko:K03495	ctrs:SOTONE8_00534
ko:K03800	ctrs:SOTONE8_00535
ko:K00940	ctrs:SOTONE8_00536
ko:K03550	ctrs:SOTONE8_00537
ko:K01159	ctrs:SOTONE8_00538
ko:K00134	ctrs:SOTONE8_00542
ko:K02879	ctrs:SOTONE8_00543
ko:K03040	ctrs:SOTONE8_00544
ko:K02948	ctrs:SOTONE8_00545
ko:K02952	ctrs:SOTONE8_00546
ko:K03076	ctrs:SOTONE8_00547
ko:K02876	ctrs:SOTONE8_00548
ko:K02988	ctrs:SOTONE8_00549
ko:K02881	ctrs:SOTONE8_00550
ko:K02933	ctrs:SOTONE8_00551
ko:K02994	ctrs:SOTONE8_00552
ko:K02931	ctrs:SOTONE8_00553
ko:K02895	ctrs:SOTONE8_00554
ko:K02874	ctrs:SOTONE8_00555
ko:K02961	ctrs:SOTONE8_00556
ko:K02904	ctrs:SOTONE8_00557
ko:K02878	ctrs:SOTONE8_00558
ko:K02982	ctrs:SOTONE8_00559
ko:K02890	ctrs:SOTONE8_00560
ko:K02965	ctrs:SOTONE8_00561
ko:K02886	ctrs:SOTONE8_00562
ko:K02892	ctrs:SOTONE8_00563
ko:K02926	ctrs:SOTONE8_00564
ko:K02906	ctrs:SOTONE8_00565
ko:K00604	ctrs:SOTONE8_00567
ko:K00677	ctrs:SOTONE8_00568
ko:K02372	ctrs:SOTONE8_00569
ko:K02535	ctrs:SOTONE8_00570
ko:K03820	ctrs:SOTONE8_00571
ko:K15580	ctrs:SOTONE8_00208
ko:K15581	ctrs:SOTONE8_00209
ko:K03319	ctrs:SOTONE8_00214
ko:K00850	ctrs:SOTONE8_00215
ko:K00895	ctrs:SOTONE8_00217
ko:K02527	ctrs:SOTONE8_00220
ko:K01869	ctrs:SOTONE8_00221
ko:K01845	ctrs:SOTONE8_00222
ko:K07735	ctrs:SOTONE8_00223
ko:K08999	ctrs:SOTONE8_00224
ko:K01807	ctrs:SOTONE8_00225
ko:K03787	ctrs:SOTONE8_00230
ko:K03179	ctrs:SOTONE8_00231
ko:K03186	ctrs:SOTONE8_00232
ko:K03308	ctrs:SOTONE8_00245
ko:K02078	ctrs:SOTONE8_00250
ko:K00645	ctrs:SOTONE8_00252
ko:K00648	ctrs:SOTONE8_00253
ko:K06187	ctrs:SOTONE8_00254
ko:K07277	ctrs:SOTONE8_00255
ko:K06142	ctrs:SOTONE8_00256
ko:K02536	ctrs:SOTONE8_00257
ko:K06925	ctrs:SOTONE8_00574
ko:K03671	ctrs:SOTONE8_00577
ko:K03216	ctrs:SOTONE8_00578
ko:K01876	ctrs:SOTONE8_00580
ko:K01892	ctrs:SOTONE8_00581
ko:K07783	ctrs:SOTONE8_00582
ko:K02337	ctrs:SOTONE8_00583
ko:K03311	ctrs:SOTONE8_00592
ko:K00382	ctrs:SOTONE8_00595
ko:K03644	ctrs:SOTONE8_00596
ko:K03222	ctrs:SOTONE8_00597
ko:K03223	ctrs:SOTONE8_00599
ko:K03226	ctrs:SOTONE8_00600
ko:K03228	ctrs:SOTONE8_00602
ko:K02455	ctrs:SOTONE8_00608
ko:K02453	ctrs:SOTONE8_00610
ko:K03572	ctrs:SOTONE8_00613
ko:K01868	ctrs:SOTONE8_00619
ko:K01867	ctrs:SOTONE8_00623
ko:K03702	ctrs:SOTONE8_00624
ko:K01689	ctrs:SOTONE8_00625
ko:K03582	ctrs:SOTONE8_00682
ko:K03583	ctrs:SOTONE8_00683
ko:K03168	ctrs:SOTONE8_00686
ko:K02221	ctrs:SOTONE8_00688
ko:K03581	ctrs:SOTONE8_00695
ko:K06861	ctrs:SOTONE8_00697
ko:K01627	ctrs:SOTONE8_00699
ko:K06180	ctrs:SOTONE8_00703
ko:K06960	ctrs:SOTONE8_00704
ko:K02469	ctrs:SOTONE8_00705
ko:K02470	ctrs:SOTONE8_00706
ko:K02492	ctrs:SOTONE8_00707
ko:K03224	ctrs:SOTONE8_00714
ko:K02417	ctrs:SOTONE8_00717
ko:K03219	ctrs:SOTONE8_00719
ko:K02838	ctrs:SOTONE8_00725
ko:K09903	ctrs:SOTONE8_00726
ko:K02357	ctrs:SOTONE8_00727
ko:K02967	ctrs:SOTONE8_00728
ko:K03162	ctrs:SOTONE8_00730
ko:K09013	ctrs:SOTONE8_00734
ko:K09015	ctrs:SOTONE8_00735
ko:K11717	ctrs:SOTONE8_00736
ko:K00161	ctrs:SOTONE8_00259
ko:K00162	ctrs:SOTONE8_00260
ko:K00627	ctrs:SOTONE8_00261
ko:K00688	ctrs:SOTONE8_00262
ko:K02313	ctrs:SOTONE8_00264
ko:K03217	ctrs:SOTONE8_00265
ko:K04487	ctrs:SOTONE8_00272
ko:K07083	ctrs:SOTONE8_00276
ko:K01962	ctrs:SOTONE8_00279
ko:K01448	ctrs:SOTONE8_00282
ko:K01928	ctrs:SOTONE8_00283
ko:K03587	ctrs:SOTONE8_00284
ko:K03438	ctrs:SOTONE8_00286
ko:K02313	ctrs:SOTONE8_00289
ko:K00347	ctrs:SOTONE8_00292
ko:K00348	ctrs:SOTONE8_00293
ko:K00349	ctrs:SOTONE8_00294
ko:K00350	ctrs:SOTONE8_00295
ko:K02437	ctrs:SOTONE8_00296
ko:K03800	ctrs:SOTONE8_00299
ko:K03696	ctrs:SOTONE8_00300
ko:K00566	ctrs:SOTONE8_00301
ko:K01963	ctrs:SOTONE8_00307
ko:K04564	ctrs:SOTONE8_00308
ko:K00240	ctrs:SOTONE8_00629
ko:K00239	ctrs:SOTONE8_00630
ko:K03424	ctrs:SOTONE8_00633
ko:K03562	ctrs:SOTONE8_00635
