ko:K02881	lpr:LBP_cg0827
ko:K03040	lpr:LBP_cg0836
ko:K02956	lpr:LBP_cg1732
ko:K19975	lpr:LBP_cg0869
ko:K19973	lpr:LBP_cg0867
ko:K03431	lpr:LBP_cg0618
ko:K00820	lpr:LBP_cg0619
ko:K01951	lpr:LBP_cg0696
ko:K09014	lpr:LBP_cg1134
ko:K00033	lpr:LBP_cg1167
ko:K07478	lpr:LBP_cg1168
ko:K00554	lpr:LBP_cg1254
ko:K01658	lpr:LBP_cg1263
ko:K00766	lpr:LBP_cg1264
ko:K01817	lpr:LBP_cg1266
ko:K00383	lpr:LBP_cg1418
ko:K07304	lpr:LBP_cg1425
ko:K03186	lpr:LBP_cg0233
ko:K03168	lpr:LBP_cg1437
ko:K03322	lpr:LBP_cg0237
ko:K02761	lpr:LBP_cg0247
ko:K04096	lpr:LBP_cg1438
ko:K15738	lpr:LBP_cg1454
ko:K01358	lpr:LBP_cg0587
ko:K00104	lpr:LBP_cg0251
ko:K02003	lpr:LBP_cg0259
ko:K01689	lpr:LBP_cg0593
ko:K01696	lpr:LBP_cg1267
ko:K12573	lpr:LBP_cg0598
ko:K00075	lpr:LBP_cg0612
ko:K03316	lpr:LBP_cg0613
ko:K02372	lpr:LBP_cg1279
ko:K00688	lpr:LBP_cg0022
ko:K00154	lpr:LBP_cg0038
ko:K01118	lpr:LBP_cg0062
ko:K03704	lpr:LBP_cg0028
ko:K03449	lpr:LBP_cg0115
ko:K02761	lpr:LBP_cg1068
ko:K00645	lpr:LBP_cg1282
ko:K00059	lpr:LBP_cg1283
ko:K09458	lpr:LBP_cg1284
ko:K02160	lpr:LBP_cg1285
ko:K02372	lpr:LBP_cg1286
ko:K01963	lpr:LBP_cg1288
ko:K07150	lpr:LBP_cg1292
ko:K01586	lpr:LBP_cg1319
ko:K03885	lpr:LBP_cg0273
ko:K11069	lpr:LBP_cg0275
ko:K01524	lpr:LBP_cg0354
ko:K00054	lpr:LBP_cg0355
ko:K01874	lpr:LBP_cg0362
ko:K03424	lpr:LBP_cg0367
ko:K02528	lpr:LBP_cg0369
ko:K04042	lpr:LBP_cg0382
ko:K06885	lpr:LBP_cg0390
ko:K01153	lpr:LBP_cg0733
ko:K03654	lpr:LBP_cg0759
ko:K01679	lpr:LBP_cg0880
ko:K01937	lpr:LBP_cg0394
ko:K03837	lpr:LBP_cg0396
ko:K01752	lpr:LBP_cg0398
ko:K00790	lpr:LBP_cg0401
ko:K03628	lpr:LBP_cg0402
ko:K03744	lpr:LBP_cg0406
ko:K01955	lpr:LBP_cg0420
ko:K01956	lpr:LBP_cg0421
ko:K00930	lpr:LBP_cg0424
ko:K00611	lpr:LBP_cg0426
ko:K04485	lpr:LBP_cg0487
ko:K01883	lpr:LBP_cg0490
ko:K02863	lpr:LBP_cg0500
ko:K06966	lpr:LBP_cg0506
ko:K01784	lpr:LBP_cg0522
ko:K01785	lpr:LBP_cg0624
ko:K00864	lpr:LBP_cg0631
ko:K00937	lpr:LBP_cg0638
ko:K01869	lpr:LBP_cg1006
ko:K05814	lpr:LBP_cg1013
ko:K05815	lpr:LBP_cg1014
ko:K03282	lpr:LBP_cg1017
ko:K01512	lpr:LBP_cg1176
ko:K03437	lpr:LBP_cg1177
ko:K01889	lpr:LBP_cg1180
ko:K01890	lpr:LBP_cg1181
ko:K07082	lpr:LBP_cg1182
ko:K00876	lpr:LBP_cg1183
ko:K01928	lpr:LBP_cg0771
ko:K00928	lpr:LBP_cg0772
ko:K01953	lpr:LBP_cg0773
ko:K01652	lpr:LBP_cg0793
ko:K11733	lpr:LBP_cg0795
ko:K01875	lpr:LBP_cg0799
ko:K03696	lpr:LBP_cg0802
ko:K03657	lpr:LBP_cg0906
ko:K01972	lpr:LBP_cg0907
ko:K02435	lpr:LBP_cg0909
ko:K02433	lpr:LBP_cg0910
ko:K03704	lpr:LBP_cg0921
ko:K00262	lpr:LBP_cg0930
ko:K03299	lpr:LBP_cg0952
ko:K00549	lpr:LBP_cg1046
ko:K00860	lpr:LBP_cg1050
ko:K06881	lpr:LBP_cg1051
ko:K01887	lpr:LBP_cg1059
ko:K01915	lpr:LBP_cg1200
ko:K02899	lpr:LBP_cg1211
ko:K03601	lpr:LBP_cg1217
ko:K05847	lpr:LBP_cg1223
ko:K01259	lpr:LBP_cg0647
ko:K00942	lpr:LBP_cg1228
ko:K13038	lpr:LBP_cg1230
ko:K03655	lpr:LBP_cg1243
ko:K03685	lpr:LBP_cg1246
ko:K03529	lpr:LBP_cg1247
ko:K03106	lpr:LBP_cg1250
ko:K03294	lpr:LBP_cg1327
ko:K03294	lpr:LBP_cg0653
ko:K16211	lpr:LBP_cg1331
ko:K01823	lpr:LBP_cg1334
ko:K01597	lpr:LBP_cg1336
ko:K01893	lpr:LBP_cg1341
ko:K02071	lpr:LBP_cg1343
ko:K02073	lpr:LBP_cg1345
ko:K02011	lpr:LBP_cg1348
ko:K10112	lpr:LBP_cg0153
ko:K00691	lpr:LBP_cg0154
ko:K00942	lpr:LBP_cg0658
ko:K06180	lpr:LBP_cg1379
ko:K01955	lpr:LBP_cg1382
ko:K03315	lpr:LBP_cg0165
ko:K19265	lpr:LBP_cg0179
ko:K00925	lpr:LBP_cg0183
ko:K06199	lpr:LBP_cg0186
ko:K16786	lpr:LBP_cg0194
ko:K16787	lpr:LBP_cg0194
ko:K03975	lpr:LBP_cg0692
ko:K19784	lpr:LBP_cg0217
ko:K00640	lpr:LBP_cg0218
ko:K00867	lpr:LBP_cg0695
ko:K03043	lpr:LBP_cg0804
ko:K11070	lpr:LBP_cg0276
ko:K01990	lpr:LBP_cg0285
ko:K03524	lpr:LBP_cg0296
ko:K03320	lpr:LBP_cg0306
ko:K00383	lpr:LBP_cg0325
ko:K02440	lpr:LBP_cg0328
ko:K04075	lpr:LBP_cg0437
ko:K00760	lpr:LBP_cg0438
ko:K03798	lpr:LBP_cg0439
ko:K04567	lpr:LBP_cg0442
ko:K01537	lpr:LBP_cg0458
ko:K06959	lpr:LBP_cg0460
ko:K00872	lpr:LBP_cg0463
ko:K03046	lpr:LBP_cg0805
ko:K02950	lpr:LBP_cg0807
ko:K00648	lpr:LBP_cg0472
ko:K02355	lpr:LBP_cg0809
ko:K01961	lpr:LBP_cg0474
ko:K01963	lpr:LBP_cg0475
ko:K05306	lpr:LBP_cg0524
ko:K01409	lpr:LBP_cg0532
ko:K06158	lpr:LBP_cg0534
ko:K03070	lpr:LBP_cg0547
ko:K02836	lpr:LBP_cg0548
ko:K02036	lpr:LBP_cg0555
ko:K13292	lpr:LBP_cg0561
ko:K00963	lpr:LBP_cg0563
ko:K03702	lpr:LBP_cg0576
ko:K03701	lpr:LBP_cg0577
ko:K02926	lpr:LBP_cg0812
ko:K16785	lpr:LBP_cg0123
ko:K16786	lpr:LBP_cg0124
ko:K16787	lpr:LBP_cg0124
ko:K18704	lpr:LBP_cg1415
ko:K09809	lpr:LBP_cg0231
ko:K06890	lpr:LBP_cg1137
ko:K10563	lpr:LBP_cg1139
ko:K00859	lpr:LBP_cg1140
ko:K07738	lpr:LBP_cg1141
ko:K03346	lpr:LBP_cg1142
ko:K11144	lpr:LBP_cg1143
ko:K01868	lpr:LBP_cg1144
ko:K02520	lpr:LBP_cg1145
ko:K02916	lpr:LBP_cg1146
ko:K02887	lpr:LBP_cg1147
ko:K07478	lpr:LBP_cg1149
ko:K01779	lpr:LBP_cg1152
ko:K07015	lpr:LBP_cg1155
ko:K06948	lpr:LBP_cg1156
ko:K07574	lpr:LBP_cg1157
ko:K00969	lpr:LBP_cg1158
