ko:K09796	nmp:NMBB_1781
ko:K02483	nmp:NMBB_0656
ko:K21345	nmp:NMBB_2388
ko:K18929	nmp:NMBB_1597
ko:K14742	nmp:NMBB_2135
ko:K04771	nmp:NMBB_0573
ko:K18893	nmp:NMBB_0287
ko:K18133	nmp:NMBB_2336
ko:K07482	nmp:NMBB_0643
ko:K07316	nmp:NMBB_1526
ko:K18928	nmp:NMBB_1595
ko:K16087	nmp:NMBB_2284
ko:K18138	nmp:NMBB_1966
ko:K03495	nmp:NMBB_0205
ko:K03310	nmp:NMBB_0206
ko:K00097	nmp:NMBB_0207
ko:K08300	nmp:NMBB_0211
ko:K00748	nmp:NMBB_0213
ko:K00215	nmp:NMBB_0215
ko:K06186	nmp:NMBB_0216
ko:K00684	nmp:NMBB_0218
ko:K00134	nmp:NMBB_0219
ko:K01752	nmp:NMBB_0224
ko:K02470	nmp:NMBB_0225
ko:K01414	nmp:NMBB_0228
ko:K03781	nmp:NMBB_0235
ko:K03092	nmp:NMBB_0238
ko:K09458	nmp:NMBB_0240
ko:K02078	nmp:NMBB_0241
ko:K00982	nmp:NMBB_0251
ko:K07043	nmp:NMBB_0255
ko:K07160	nmp:NMBB_0257
ko:K03657	nmp:NMBB_0261
ko:K00330	nmp:NMBB_0266
ko:K00331	nmp:NMBB_0267
ko:K00332	nmp:NMBB_0268
ko:K00333	nmp:NMBB_0269
ko:K00334	nmp:NMBB_0270
ko:K02291	nmp:NMBB_1255A
ko:K04044	nmp:NMBB_1256
ko:K04755	nmp:NMBB_1259
ko:K04762	nmp:NMBB_1265
ko:K01962	nmp:NMBB_1266
ko:K04075	nmp:NMBB_1267
ko:K03437	nmp:NMBB_1268
ko:K02558	nmp:NMBB_1271
ko:K01012	nmp:NMBB_1272
ko:K01687	nmp:NMBB_1276
ko:K00381	nmp:NMBB_1277
ko:K00957	nmp:NMBB_1280
ko:K00390	nmp:NMBB_1281
ko:K02302	nmp:NMBB_1282
ko:K06207	nmp:NMBB_1286
ko:K12573	nmp:NMBB_1288
ko:K00990	nmp:NMBB_1291
ko:K03594	nmp:NMBB_1294
ko:K03594	nmp:NMBB_1295
ko:K03644	nmp:NMBB_1297
ko:K03801	nmp:NMBB_1298
ko:K09158	nmp:NMBB_1299
ko:K03648	nmp:NMBB_1304
ko:K06158	nmp:NMBB_1311
ko:K00003	nmp:NMBB_1313
ko:K03530	nmp:NMBB_1315
ko:K01338	nmp:NMBB_1316
ko:K00954	nmp:NMBB_2315A
ko:K00783	nmp:NMBB_2318
ko:K09710	nmp:NMBB_2319
ko:K00969	nmp:NMBB_2320
ko:K01673	nmp:NMBB_2321
ko:K02063	nmp:NMBB_2322
ko:K02204	nmp:NMBB_2325
ko:K03835	nmp:NMBB_2327
ko:K03273	nmp:NMBB_2329
ko:K00655	nmp:NMBB_2330
ko:K07043	nmp:NMBB_2331
ko:K06173	nmp:NMBB_2334
ko:K03147	nmp:NMBB_2339
ko:K00760	nmp:NMBB_2352
ko:K09760	nmp:NMBB_2355
ko:K00413	nmp:NMBB_2357
ko:K00412	nmp:NMBB_2358
ko:K00411	nmp:NMBB_2359
ko:K03576	nmp:NMBB_2361
ko:K02996	nmp:NMBB_2362
ko:K02871	nmp:NMBB_2363
ko:K09888	nmp:NMBB_2364
ko:K00057	nmp:NMBB_2366
ko:K01595	nmp:NMBB_2367
ko:K03745	nmp:NMBB_2371
ko:K07084	nmp:NMBB_2372
ko:K02493	nmp:NMBB_2373
ko:K01921	nmp:NMBB_0465
ko:K03589	nmp:NMBB_0466
ko:K03590	nmp:NMBB_0467
ko:K03531	nmp:NMBB_0468
ko:K06901	nmp:NMBB_0469
ko:K08641	nmp:NMBB_0474
ko:K00925	nmp:NMBB_0479
ko:K13771	nmp:NMBB_0481
ko:K07234	nmp:NMBB_0483
ko:K07552	nmp:NMBB_0493
ko:K14170	nmp:NMBB_0494
ko:K03584	nmp:NMBB_0495
ko:K03474	nmp:NMBB_0496
ko:K07090	nmp:NMBB_0497
ko:K00997	nmp:NMBB_0499
ko:K07444	nmp:NMBB_0502
ko:K01448	nmp:NMBB_0503
ko:K06925	nmp:NMBB_0503A
ko:K01776	nmp:NMBB_0505
ko:K02968	nmp:NMBB_0512
ko:K01058	nmp:NMBB_391
ko:K01876	nmp:NMBB_0515
ko:K03319	nmp:NMBB_0520
ko:K09789	nmp:NMBB_0527
ko:K02169	nmp:NMBB_0528
ko:K03671	nmp:NMBB_1514
ko:K06969	nmp:NMBB_1515
ko:K03544	nmp:NMBB_1522
ko:K02834	nmp:NMBB_1523
ko:K13643	nmp:NMBB_1529
ko:K04487	nmp:NMBB_1530
ko:K04082	nmp:NMBB_1534
ko:K02469	nmp:NMBB_1535
ko:K01810	nmp:NMBB_1539
ko:K01057	nmp:NMBB_1543
ko:K00036	nmp:NMBB_1544
ko:K01690	nmp:NMBB_1546
ko:K01625	nmp:NMBB_1547
ko:K03575	nmp:NMBB_1552
ko:K11004	nmp:NMBB_1559
ko:K01256	nmp:NMBB_1566
ko:K07501	nmp:NMBB_1567
ko:K02517	nmp:NMBB_1570
ko:K01159	nmp:NMBB_1571
ko:K03557	nmp:NMBB_1572
ko:K04567	nmp:NMBB_1580
ko:K03624	nmp:NMBB_1587
ko:K00800	nmp:NMBB_1591
ko:K03089	nmp:NMBB_0804
ko:K03820	nmp:NMBB_0805
ko:K09781	nmp:NMBB_0806
ko:K01772	nmp:NMBB_0812
ko:K00773	nmp:NMBB_0813
ko:K01868	nmp:NMBB_0815
ko:K02520	nmp:NMBB_0816
ko:K02916	nmp:NMBB_0817
ko:K02887	nmp:NMBB_0818
ko:K01889	nmp:NMBB_0820
ko:K01890	nmp:NMBB_0823
ko:K04764	nmp:NMBB_0824
ko:K07113	nmp:NMBB_0826
ko:K00833	nmp:NMBB_0828
ko:K01935	nmp:NMBB_0829
ko:K03181	nmp:NMBB_0829A
ko:K03179	nmp:NMBB_0830
ko:K06958	nmp:NMBB_0833
ko:K03631	nmp:NMBB_0838
ko:K03183	nmp:NMBB_0841
ko:K00950	nmp:NMBB_0843
ko:K03666	nmp:NMBB_0846
ko:K07262	nmp:NMBB_0847
ko:K03564	nmp:NMBB_0848
ko:K02192	nmp:NMBB_0851
ko:K00067	nmp:NMBB_0853
ko:K01923	nmp:NMBB_0854
ko:K00962	nmp:NMBB_0855
ko:K09792	nmp:NMBB_0857
ko:K01778	nmp:NMBB_0859
