ko:K01215	stx:MGAS1882_1587
ko:K03293	stx:MGAS1882_1316
ko:K03790	stx:MGAS1882_1040
ko:K15771	stx:MGAS1882_0999
ko:K13677	stx:MGAS1882_0451
ko:K07260	stx:MGAS1882_1409
ko:K01271	stx:MGAS1882_0449
ko:K14232	stx:MGAS1882_0028
ko:K01834	stx:MGAS1882_1098
ko:K11069	stx:MGAS1882_0827
ko:K00027	stx:MGAS1882_0831
ko:K03788	stx:MGAS1882_0833
ko:K03630	stx:MGAS1882_0837
ko:K07010	stx:MGAS1882_0838
ko:K01926	stx:MGAS1882_0839
ko:K04487	stx:MGAS1882_0841
ko:K00948	stx:MGAS1882_0842
ko:K03647	stx:MGAS1882_1594
ko:K09761	stx:MGAS1882_1597
ko:K02687	stx:MGAS1882_1598
ko:K02935	stx:MGAS1882_0815
ko:K07258	stx:MGAS1882_0816
ko:K03342	stx:MGAS1882_1600
ko:K07478	stx:MGAS1882_1602
ko:K02035	stx:MGAS1882_1609
ko:K02033	stx:MGAS1882_1610
ko:K02034	stx:MGAS1882_1611
ko:K09815	stx:MGAS1882_1616
ko:K02004	stx:MGAS1882_1629
ko:K02003	stx:MGAS1882_1630
ko:K02005	stx:MGAS1882_1631
ko:K07533	stx:MGAS1882_1637
ko:K11754	stx:MGAS1882_0818
ko:K01495	stx:MGAS1882_0819
ko:K00796	stx:MGAS1882_0820
ko:K01633	stx:MGAS1882_0821
ko:K00950	stx:MGAS1882_0822
ko:K00075	stx:MGAS1882_0823
ko:K11072	stx:MGAS1882_0824
ko:K11071	stx:MGAS1882_0825
ko:K15582	stx:MGAS1882_0276
ko:K07015	stx:MGAS1882_0288
ko:K06948	stx:MGAS1882_0289
ko:K07574	stx:MGAS1882_0290
ko:K00969	stx:MGAS1882_0291
ko:K09710	stx:MGAS1882_0293
ko:K02073	stx:MGAS1882_0299
ko:K02071	stx:MGAS1882_0300
ko:K02072	stx:MGAS1882_0301
ko:K03311	stx:MGAS1882_0302
ko:K07862	stx:MGAS1882_0303
ko:K03499	stx:MGAS1882_0304
ko:K03501	stx:MGAS1882_0306
ko:K03744	stx:MGAS1882_0307
ko:K03799	stx:MGAS1882_0308
ko:K07040	stx:MGAS1882_0309
ko:K07105	stx:MGAS1882_1097
ko:K01534	stx:MGAS1882_1101
ko:K01197	stx:MGAS1882_1115
ko:K07738	stx:MGAS1882_0312
ko:K03346	stx:MGAS1882_0313
ko:K11144	stx:MGAS1882_0314
ko:K03977	stx:MGAS1882_0315
ko:K01924	stx:MGAS1882_0318
ko:K07082	stx:MGAS1882_0320
ko:K03624	stx:MGAS1882_0321
ko:K03217	stx:MGAS1882_0323
ko:K01512	stx:MGAS1882_0324
ko:K03437	stx:MGAS1882_0325
ko:K06950	stx:MGAS1882_0326
ko:K06890	stx:MGAS1882_0327
ko:K09976	stx:MGAS1882_0328
ko:K01776	stx:MGAS1882_0329
ko:K02428	stx:MGAS1882_0330
ko:K07095	stx:MGAS1882_0331
ko:K05896	stx:MGAS1882_0334
ko:K06024	stx:MGAS1882_0335
ko:K06178	stx:MGAS1882_0336
ko:K08998	stx:MGAS1882_0337
ko:K03216	stx:MGAS1882_0338
ko:K07139	stx:MGAS1882_0341
ko:K04069	stx:MGAS1882_0344
ko:K15986	stx:MGAS1882_0345
ko:K02015	stx:MGAS1882_0347
ko:K02015	stx:MGAS1882_0348
ko:K02016	stx:MGAS1882_0349
ko:K02013	stx:MGAS1882_0350
ko:K05362	stx:MGAS1882_0351
ko:K00761	stx:MGAS1882_0353
ko:K01358	stx:MGAS1882_0354
ko:K00943	stx:MGAS1882_0356
ko:K02341	stx:MGAS1882_0357
ko:K07056	stx:MGAS1882_0361
ko:K06201	stx:MGAS1882_0363
ko:K03530	stx:MGAS1882_1168
ko:K03631	stx:MGAS1882_1173
ko:K03402	stx:MGAS1882_1174
ko:K06442	stx:MGAS1882_1175
ko:K13789	stx:MGAS1882_1176
ko:K03602	stx:MGAS1882_1177
ko:K03601	stx:MGAS1882_1178
ko:K01491	stx:MGAS1882_1179
ko:K01669	stx:MGAS1882_1181
ko:K03697	stx:MGAS1882_1185
ko:K01870	stx:MGAS1882_1188
ko:K04074	stx:MGAS1882_1189
ko:K02221	stx:MGAS1882_1191
ko:K09772	stx:MGAS1882_1192
ko:K06997	stx:MGAS1882_1193
ko:K03531	stx:MGAS1882_1194
ko:K03590	stx:MGAS1882_1195
ko:K03589	stx:MGAS1882_1196
ko:K02563	stx:MGAS1882_1197
ko:K07042	stx:MGAS1882_0415
ko:K01925	stx:MGAS1882_1198
ko:K06207	stx:MGAS1882_1200
ko:K00845	stx:MGAS1882_1202
ko:K04047	stx:MGAS1882_1204
ko:K02236	stx:MGAS1882_1205
ko:K06941	stx:MGAS1882_1206
ko:K02529	stx:MGAS1882_1208
ko:K07177	stx:MGAS1882_1209
ko:K00954	stx:MGAS1882_1210
ko:K01914	stx:MGAS1882_1212
ko:K00926	stx:MGAS1882_1213
ko:K00611	stx:MGAS1882_1216
ko:K01478	stx:MGAS1882_1218
ko:K03402	stx:MGAS1882_1220
ko:K07718	stx:MGAS1882_1223
ko:K12267	stx:MGAS1882_1225
ko:K06196	stx:MGAS1882_1227
ko:K07491	stx:MGAS1882_1235
ko:K01873	stx:MGAS1882_1236
ko:K03856	stx:MGAS1882_1243
ko:K01735	stx:MGAS1882_1244
ko:K00626	stx:MGAS1882_0155
ko:K01034	stx:MGAS1882_0156
ko:K02123	stx:MGAS1882_0162
ko:K02124	stx:MGAS1882_0163
ko:K02121	stx:MGAS1882_0164
ko:K02119	stx:MGAS1882_0165
ko:K02122	stx:MGAS1882_0166
ko:K02117	stx:MGAS1882_0167
ko:K02118	stx:MGAS1882_0168
ko:K02120	stx:MGAS1882_0169
ko:K01939	stx:MGAS1882_0172
ko:K07335	stx:MGAS1882_0173
ko:K02601	stx:MGAS1882_0174
ko:K11031	stx:MGAS1882_0177
ko:K01869	stx:MGAS1882_0183
ko:K03475	stx:MGAS1882_0184
ko:K02822	stx:MGAS1882_0185
ko:K02821	stx:MGAS1882_0186
ko:K03493	stx:MGAS1882_0191
ko:K03476	stx:MGAS1882_0192
ko:K02000	stx:MGAS1882_0193
ko:K06929	stx:MGAS1882_0196
ko:K09825	stx:MGAS1882_0197
ko:K00767	stx:MGAS1882_0204
ko:K00705	stx:MGAS1882_0996
ko:K02529	stx:MGAS1882_0997
ko:K03740	stx:MGAS1882_1004
ko:K14188	stx:MGAS1882_1005
ko:K03739	stx:MGAS1882_1006
ko:K03367	stx:MGAS1882_1007
ko:K03702	stx:MGAS1882_1009
ko:K02761	stx:MGAS1882_1013
ko:K02759	stx:MGAS1882_1015
ko:K02760	stx:MGAS1882_1016
ko:K03491	stx:MGAS1882_1017
ko:K09963	stx:MGAS1882_1018
ko:K03979	stx:MGAS1882_1022
ko:K06183	stx:MGAS1882_1027
ko:K03215	stx:MGAS1882_1033
ko:K00891	stx:MGAS1882_1035
ko:K00800	stx:MGAS1882_1036
ko:K07058	stx:MGAS1882_1037
ko:K01265	stx:MGAS1882_1038
ko:K00790	stx:MGAS1882_1042
ko:K00789	stx:MGAS1882_1043
ko:K01595	stx:MGAS1882_0528
ko:K03588	stx:MGAS1882_0529
ko:K02358	stx:MGAS1882_0531
ko:K01803	stx:MGAS1882_0532
ko:K12554	stx:MGAS1882_0533
ko:K05363	stx:MGAS1882_0534
ko:K06885	stx:MGAS1882_0537
ko:K02747	stx:MGAS1882_0542
ko:K02746	stx:MGAS1882_0543
ko:K02745	stx:MGAS1882_0544
ko:K02744	stx:MGAS1882_0546
ko:K00046	stx:MGAS1882_0548
ko:K00874	stx:MGAS1882_0550
ko:K01625	stx:MGAS1882_0551
ko:K09812	stx:MGAS1882_0555
ko:K09811	stx:MGAS1882_0556
ko:K02836	stx:MGAS1882_0554
ko:K01893	stx:MGAS1882_0561
ko:K06958	stx:MGAS1882_0562
ko:K09762	stx:MGAS1882_0564
ko:K08659	stx:MGAS1882_0565
ko:K09815	stx:MGAS1882_0566
ko:K03710	stx:MGAS1882_0567
ko:K02082	stx:MGAS1882_0568
ko:K02909	stx:MGAS1882_0569
ko:K04516	stx:MGAS1882_0572
ko:K02884	stx:MGAS1882_0574
ko:K02470	stx:MGAS1882_0578
ko:K06286	stx:MGAS1882_0579
ko:K01635	stx:MGAS1882_1354
ko:K00917	stx:MGAS1882_1355
ko:K01819	stx:MGAS1882_1356
ko:K01819	stx:MGAS1882_1357
ko:K02530	stx:MGAS1882_1361
ko:K02834	stx:MGAS1882_1367
ko:K02519	stx:MGAS1882_1368
ko:K07742	stx:MGAS1882_1370
ko:K02600	stx:MGAS1882_1371
ko:K09748	stx:MGAS1882_1372
ko:K03439	stx:MGAS1882_1374
ko:K02503	stx:MGAS1882_1378
ko:K06925	stx:MGAS1882_1382
ko:K06901	stx:MGAS1882_1383
ko:K02793	stx:MGAS1882_1385
ko:K02794	stx:MGAS1882_1385
ko:K02795	stx:MGAS1882_1386
ko:K01875	stx:MGAS1882_1390
ko:K01962	stx:MGAS1882_1391
ko:K01963	stx:MGAS1882_1392
ko:K01961	stx:MGAS1882_1393
ko:K02372	stx:MGAS1882_1394
ko:K10563	stx:MGAS1882_0434
ko:K00859	stx:MGAS1882_0435
ko:K06915	stx:MGAS1882_0436
ko:K02913	stx:MGAS1882_0438
ko:K03075	stx:MGAS1882_0439
ko:K12573	stx:MGAS1882_0440
ko:K03664	stx:MGAS1882_0441
ko:K01304	stx:MGAS1882_0443
ko:K12999	stx:MGAS1882_0446
ko:K01759	stx:MGAS1882_0447
ko:K02529	stx:MGAS1882_0450
ko:K01868	stx:MGAS1882_0453
ko:K00626	stx:MGAS1882_0458
