ko:K07497	seo:STM14_3336
ko:K18138	seo:STM14_0559
ko:K22507	seo:STM14_3489
ko:K18923	seo:STM14_1871
ko:K10906	seo:STM14_3224
ko:K19504	seo:STM14_5453
ko:K06148	seo:STM14_5122
ko:K03297	seo:STM14_1998
ko:K10014	seo:STM14_2900
ko:K19595	seo:STM14_0410
ko:K19555	seo:STM14_5564
ko:K00872	seo:STM14_0003
ko:K01733	seo:STM14_0004
ko:K03831	seo:STM14_0008
ko:K04043	seo:STM14_0013
ko:K03686	seo:STM14_0014
ko:K03310	seo:STM14_0006
ko:K07347	seo:STM14_0030
ko:K14236	seo:STM14_4979
ko:K14236	seo:STM14_2126
ko:K14236	seo:STM14_2124
ko:K09861	seo:STM14_0005
ko:K12524	seo:STM14_0002
ko:K13795	seo:STM14_0805
ko:K13796	seo:STM14_0806
ko:K13794	seo:STM14_0807
ko:K03839	seo:STM14_0810
ko:K03645	seo:STM14_0814
ko:K03288	seo:STM14_0804
ko:K11934	seo:STM14_971
ko:K11924	seo:STM14_975
ko:K00164	seo:STM14_0855
ko:K00658	seo:STM14_0856
ko:K01903	seo:STM14_0857
ko:K01902	seo:STM14_0858
ko:K00425	seo:STM14_0861
ko:K00426	seo:STM14_0862
ko:K01626	seo:STM14_0884
ko:K01678	seo:STM14_0885
ko:K01677	seo:STM14_0886
ko:K01573	seo:STM14_0890
ko:K02015	seo:STM14_0894
ko:K02013	seo:STM14_0895
ko:K00849	seo:STM14_0899
ko:K03801	seo:STM14_0741
ko:K09158	seo:STM14_0743
ko:K03642	seo:STM14_0746
ko:K05837	seo:STM14_0747
ko:K05515	seo:STM14_0748
ko:K00783	seo:STM14_0749
ko:K09710	seo:STM14_0750
ko:K03644	seo:STM14_0737
ko:K01647	seo:STM14_0849
ko:K00242	seo:STM14_0852
ko:K00239	seo:STM14_0853
ko:K00240	seo:STM14_0854
ko:K07107	seo:STM14_0866
ko:K03562	seo:STM14_0867
ko:K03641	seo:STM14_0870
ko:K03640	seo:STM14_0871
ko:K03517	seo:STM14_0880
ko:K03811	seo:STM14_0881
ko:K01910	seo:STM14_0069
ko:K01646	seo:STM14_0070
ko:K01644	seo:STM14_0071
ko:K01643	seo:STM14_0072
ko:K05964	seo:STM14_0073
ko:K00215	seo:STM14_0075
ko:K01956	seo:STM14_0077
ko:K01955	seo:STM14_0078
ko:K08277	seo:STM14_0081
ko:K01573	seo:STM14_0066
ko:K01704	seo:STM14_0131
ko:K10972	seo:STM14_0604
ko:K01483	seo:STM14_0605
ko:K10973	seo:STM14_0606
ko:K01608	seo:STM14_0607
ko:K10975	seo:STM14_0612
ko:K07340	seo:STM14_0588
ko:K02068	seo:STM14_0590
ko:K02069	seo:STM14_0591
ko:K05838	seo:STM14_0592
ko:K08223	seo:STM14_0581
ko:K10804	seo:STM14_0594
ko:K02003	seo:STM14_0595
ko:K09973	seo:STM14_0584
ko:K02073	seo:STM14_0600
ko:K02071	seo:STM14_0601
ko:K02072	seo:STM14_0602
ko:K02297	seo:STM14_0523
ko:K08218	seo:STM14_0524
ko:K07286	seo:STM14_0525
ko:K05527	seo:STM14_0527
ko:K03545	seo:STM14_0529
ko:K01358	seo:STM14_0530
ko:K03544	seo:STM14_0532
ko:K01338	seo:STM14_0533
ko:K03530	seo:STM14_0534
ko:K03770	seo:STM14_0535
ko:K02237	seo:STM14_0537
ko:K12500	seo:STM14_0538
ko:K06920	seo:STM14_0539
ko:K11938	seo:STM14_0541
ko:K01738	seo:STM14_0542
ko:K05800	seo:STM14_0543
ko:K00865	seo:STM14_0615
ko:K14977	seo:STM14_0616
ko:K06917	seo:STM14_0603
ko:K00773	seo:STM14_0480
ko:K03210	seo:STM14_0481
ko:K03072	seo:STM14_0482
ko:K03074	seo:STM14_0483
ko:K06996	seo:STM14_0484
ko:K05517	seo:STM14_0489
ko:K07738	seo:STM14_0492
ko:K11752	seo:STM14_0493
ko:K00794	seo:STM14_0494
ko:K03625	seo:STM14_0495
ko:K00946	seo:STM14_0496
ko:K01095	seo:STM14_0497
ko:K03271	seo:STM14_0366
ko:K02346	seo:STM14_0369
ko:K02839	seo:STM14_0371
ko:K11750	seo:STM14_0374
ko:K11926	seo:STM14_0375
ko:K00931	seo:STM14_0378
ko:K00147	seo:STM14_0379
ko:K01703	seo:STM14_0385
ko:K01704	seo:STM14_0386
ko:K00656	seo:STM14_984
ko:K04069	seo:STM14_985
ko:K03750	seo:STM14_988
ko:K13051	seo:STM14_990
ko:K13892	seo:STM14_991
ko:K13889	seo:STM14_992
ko:K13890	seo:STM14_993
ko:K13891	seo:STM14_994
ko:K14441	seo:STM14_996
ko:K03521	seo:STM14_1002
ko:K03522	seo:STM14_1003
ko:K01993	seo:STM14_949
ko:K11927	seo:STM14_951
ko:K10037	seo:STM14_963
ko:K10036	seo:STM14_964
ko:K04047	seo:STM14_966
ko:K11939	seo:STM14_968
ko:K01265	seo:STM14_0255
ko:K02967	seo:STM14_0257
ko:K02357	seo:STM14_0258
ko:K09903	seo:STM14_0259
ko:K02838	seo:STM14_0260
ko:K00099	seo:STM14_0261
ko:K00806	seo:STM14_0263
ko:K00981	seo:STM14_0264
ko:K11749	seo:STM14_0265
ko:K02071	seo:STM14_0289
ko:K03273	seo:STM14_0290
ko:K06222	seo:STM14_0300
ko:K02072	seo:STM14_0288
ko:K01662	seo:STM14_0500
ko:K00795	seo:STM14_0501
ko:K03602	seo:STM14_0502
ko:K03151	seo:STM14_0503
ko:K11082	seo:STM14_0504
ko:K11083	seo:STM14_0505
ko:K11084	seo:STM14_0506
ko:K11081	seo:STM14_0507
ko:K03430	seo:STM14_0510
ko:K00311	seo:STM14_1007
ko:K11534	seo:STM14_1014
ko:K08160	seo:STM14_1016
ko:K07085	seo:STM14_1021
ko:K11073	seo:STM14_1028
ko:K01051	seo:STM14_0912
ko:K01468	seo:STM14_0913
ko:K05836	seo:STM14_0915
ko:K01745	seo:STM14_0917
ko:K00833	seo:STM14_0919
ko:K01012	seo:STM14_0920
ko:K02169	seo:STM14_0922
ko:K01935	seo:STM14_0923
ko:K03702	seo:STM14_0926
ko:K03639	seo:STM14_930
ko:K03637	seo:STM14_932
ko:K03636	seo:STM14_933
ko:K06890	seo:STM14_935
ko:K06890	seo:STM14_938
ko:K03638	seo:STM14_931
ko:K05776	seo:STM14_0904
ko:K02019	seo:STM14_0905
ko:K02020	seo:STM14_0907
ko:K02018	seo:STM14_0908
ko:K00965	seo:STM14_0900
ko:K07347	seo:STM14_0394
ko:K07345	seo:STM14_0396
ko:K11900	seo:STM14_0321
ko:K11903	seo:STM14_0324
ko:K11903	seo:STM14_0327
ko:K11906	seo:STM14_0328
ko:K11893	seo:STM14_0329
ko:K11892	seo:STM14_0330
ko:K11891	seo:STM14_0333
ko:K11890	seo:STM14_0334
ko:K11901	seo:STM14_0320
ko:K11732	seo:STM14_0663
ko:K12686	seo:STM14_0666
ko:K04045	seo:STM14_0767
ko:K11932	seo:STM14_0713
ko:K06140	seo:STM14_0717
ko:K01169	seo:STM14_0718
ko:K05964	seo:STM14_0721
ko:K01643	seo:STM14_0722
ko:K01644	seo:STM14_0723
ko:K01646	seo:STM14_0724
ko:K07700	seo:STM14_0727
ko:K07702	seo:STM14_0728
ko:K12973	seo:STM14_0731
ko:K03704	seo:STM14_0732
ko:K06199	seo:STM14_0733
ko:K01910	seo:STM14_0725
ko:K03425	seo:STM14_0736
ko:K00969	seo:STM14_0753
ko:K02340	seo:STM14_0754
ko:K03643	seo:STM14_0755
ko:K01869	seo:STM14_0756
ko:K02182	seo:STM14_0084
ko:K08298	seo:STM14_0085
ko:K08297	seo:STM14_0087
ko:K05245	seo:STM14_0088
ko:K03521	seo:STM14_0090
ko:K03522	seo:STM14_0091
ko:K00313	seo:STM14_0092
ko:K08368	seo:STM14_0094
ko:K00767	seo:STM14_0174
ko:K03806	seo:STM14_0175
ko:K03807	seo:STM14_0176
ko:K11734	seo:STM14_0180
ko:K00163	seo:STM14_0183
ko:K00627	seo:STM14_0184
ko:K00382	seo:STM14_0185
ko:K01845	seo:STM14_0241
ko:K03281	seo:STM14_0243
ko:K15724	seo:STM14_0244
ko:K01129	seo:STM14_0248
ko:K02647	seo:STM14_0250
ko:K00990	seo:STM14_0254
ko:K03577	seo:STM14_0561
