ko:K14224	cjl:PJ17_04555
ko:K14235	cjl:PJ17_02340
ko:K01978	cjl:PJ17_09095
ko:K14230	cjl:PJ17_09005
ko:K02031	cjl:PJ17_08235
ko:K15915	cjl:PJ17_05760
ko:K14238	cjl:PJ17_07840
ko:K02482	cjl:PJ17_03850
ko:K01174	cjl:PJ17_04780
ko:K04753	cjl:PJ17_07925
ko:K06148	cjl:PJ17_05790
ko:K07216	cjl:PJ17_06250
ko:K07097	cjl:PJ17_04245
ko:K22468	cjl:PJ17_02930
ko:K00948	cjl:PJ17_04430
ko:K10040	cjl:PJ17_04435
ko:K10040	cjl:PJ17_04440
ko:K10039	cjl:PJ17_04445
ko:K10041	cjl:PJ17_04450
ko:K00575	cjl:PJ17_04455
ko:K03412	cjl:PJ17_04460
ko:K01808	cjl:PJ17_04465
ko:K00759	cjl:PJ17_04475
ko:K01255	cjl:PJ17_04485
ko:K06942	cjl:PJ17_04490
ko:K01755	cjl:PJ17_04495
ko:K01610	cjl:PJ17_04500
ko:K01960	cjl:PJ17_04505
ko:K03308	cjl:PJ17_04510
ko:K03308	cjl:PJ17_04515
ko:K02110	cjl:PJ17_04520
ko:K07088	cjl:PJ17_04530
ko:K05939	cjl:PJ17_04535
ko:K02029	cjl:PJ17_04580
ko:K02004	cjl:PJ17_04585
ko:K03070	cjl:PJ17_04590
ko:K03634	cjl:PJ17_04595
ko:K12251	cjl:PJ17_04615
ko:K03406	cjl:PJ17_04635
ko:K03406	cjl:PJ17_04640
ko:K00602	cjl:PJ17_04645
ko:K05801	cjl:PJ17_04650
ko:K01952	cjl:PJ17_04655
ko:K03650	cjl:PJ17_04660
ko:K06346	cjl:PJ17_04665
ko:K03217	cjl:PJ17_04670
ko:K03536	cjl:PJ17_04680
ko:K02914	cjl:PJ17_04685
ko:K07107	cjl:PJ17_04705
ko:K00052	cjl:PJ17_09040
ko:K01649	cjl:PJ17_09045
ko:K09457	cjl:PJ17_09060
ko:K00651	cjl:PJ17_09070
ko:K01740	cjl:PJ17_09075
ko:K02390	cjl:PJ17_09085
ko:K01159	cjl:PJ17_09090
ko:K01304	cjl:PJ17_01185
ko:K07792	cjl:PJ17_03250
ko:K01546	cjl:PJ17_03265
ko:K01546	cjl:PJ17_03275
ko:K03702	cjl:PJ17_03290
ko:K02456	cjl:PJ17_03305
ko:K04066	cjl:PJ17_03310
ko:K03526	cjl:PJ17_03320
ko:K02393	cjl:PJ17_03325
ko:K13788	cjl:PJ17_03330
ko:K00925	cjl:PJ17_03335
ko:K03438	cjl:PJ17_03355
ko:K03770	cjl:PJ17_03360
ko:K03590	cjl:PJ17_03365
ko:K03531	cjl:PJ17_03370
ko:K02392	cjl:PJ17_03375
ko:K02392	cjl:PJ17_03380
ko:K01915	cjl:PJ17_03385
ko:K08303	cjl:PJ17_03395
ko:K01588	cjl:PJ17_03400
ko:K01878	cjl:PJ17_03410
ko:K07164	cjl:PJ17_03420
ko:K02527	cjl:PJ17_03425
ko:K06180	cjl:PJ17_03430
ko:K03106	cjl:PJ17_03435
ko:K02959	cjl:PJ17_03440
ko:K06960	cjl:PJ17_03445
ko:K02860	cjl:PJ17_03450
ko:K00554	cjl:PJ17_03455
ko:K02884	cjl:PJ17_03460
ko:K07127	cjl:PJ17_03465
ko:K01626	cjl:PJ17_03470
ko:K02337	cjl:PJ17_03480
ko:K06997	cjl:PJ17_03485
ko:K02406	cjl:PJ17_03490
ko:K02493	cjl:PJ17_03500
ko:K06013	cjl:PJ17_03505
ko:K03831	cjl:PJ17_03515
ko:K03284	cjl:PJ17_03520
ko:K02055	cjl:PJ17_03525
ko:K02054	cjl:PJ17_03540
ko:K02053	cjl:PJ17_03545
ko:K00124	cjl:PJ17_07895
ko:K00123	cjl:PJ17_07900
ko:K00123	cjl:PJ17_07905
ko:K13747	cjl:PJ17_07920
ko:K03636	cjl:PJ17_07930
ko:K03635	cjl:PJ17_07935
ko:K03750	cjl:PJ17_07945
ko:K09951	cjl:PJ17_07950
ko:K15342	cjl:PJ17_07955
ko:K09952	cjl:PJ17_07960
ko:K03326	cjl:PJ17_07970
ko:K01933	cjl:PJ17_07975
ko:K00859	cjl:PJ17_07980
ko:K01778	cjl:PJ17_07985
ko:K03796	cjl:PJ17_07990
ko:K07133	cjl:PJ17_07995
ko:K04047	cjl:PJ17_08000
ko:K01810	cjl:PJ17_08005
ko:K00963	cjl:PJ17_08010
ko:K01895	cjl:PJ17_08015
ko:K06857	cjl:PJ17_08020
ko:K05773	cjl:PJ17_08025
ko:K05772	cjl:PJ17_08030
ko:K07160	cjl:PJ17_08035
ko:K03923	cjl:PJ17_08055
ko:K03098	cjl:PJ17_08065
ko:K13979	cjl:PJ17_08070
ko:K01153	cjl:PJ17_08075
ko:K01154	cjl:PJ17_08085
