ko:K18137	abr:ABTJ_01608
ko:K03602	abr:ABTJ_02504
ko:K18793	abr:ABTJ_p0085
ko:K02313	abr:ABTJ_00001
ko:K02338	abr:ABTJ_00002
ko:K03629	abr:ABTJ_00003
ko:K02470	abr:ABTJ_00004
ko:K15536	abr:ABTJ_00005
ko:K01866	abr:ABTJ_00014
ko:K09001	abr:ABTJ_00013
ko:K00799	abr:ABTJ_00021
ko:K07090	abr:ABTJ_00029
ko:K01687	abr:ABTJ_00027
ko:K03500	abr:ABTJ_00025
ko:K00604	abr:ABTJ_00026
ko:K15724	abr:ABTJ_00011
ko:K06158	abr:ABTJ_00007
ko:K03308	abr:ABTJ_00023
ko:K01595	abr:ABTJ_00032
ko:K03686	abr:ABTJ_00037
ko:K00215	abr:ABTJ_00039
ko:K01246	abr:ABTJ_00047
ko:K12957	abr:ABTJ_00046
ko:K06222	abr:ABTJ_00042
ko:K03575	abr:ABTJ_00050
ko:K03395	abr:ABTJ_02576
ko:K20319	abr:ABTJ_01149
ko:K18138	abr:ABTJ_00726
ko:K03297	abr:ABTJ_00612
ko:K03297	abr:ABTJ_01221
ko:K16090	abr:ABTJ_01677
ko:K18145	abr:ABTJ_01879
ko:K18146	abr:ABTJ_01880
ko:K21029	abr:ABTJ_01398
ko:K11735	abr:ABTJ_01285
ko:K11735	abr:ABTJ_00204
ko:K06979	abr:ABTJ_01336
ko:K19302	abr:ABTJ_03822
ko:K16238	abr:ABTJ_01441
ko:K07278	abr:ABTJ_01411
ko:K01479	abr:ABTJ_00081
ko:K01011	abr:ABTJ_00098
ko:K07657	abr:ABTJ_00105
ko:K11741	abr:ABTJ_03122
ko:K08151	abr:ABTJ_03564
ko:K11939	abr:ABTJ_02463
ko:K10716	abr:ABTJ_01416
ko:K12262	abr:ABTJ_02559
ko:K00020	abr:ABTJ_03707
ko:K03327	abr:ABTJ_00064
ko:K02226	abr:ABTJ_02019
ko:K02358	abr:ABTJ_03496
ko:K14227	abr:ABTJ_00514
ko:K14227	abr:ABTJ_03632
ko:K14227	abr:ABTJ_03156
ko:K14227	abr:ABTJ_03802
ko:K14227	abr:ABTJ_00016
ko:K14227	abr:ABTJ_00480
ko:K16135	abr:ABTJ_02963
ko:K14232	abr:ABTJ_03115
ko:K14232	abr:ABTJ_03118
ko:K14234	abr:ABTJ_03497
ko:K14225	abr:ABTJ_03498
ko:K14236	abr:ABTJ_03499
ko:K14226	abr:ABTJ_03116
ko:K14223	abr:ABTJ_02979
ko:K14223	abr:ABTJ_02981
ko:K14223	abr:ABTJ_02982
ko:K14223	abr:ABTJ_02980
ko:K01978	abr:ABTJ_02966
ko:K14230	abr:ABTJ_02965
ko:K14230	abr:ABTJ_02956
ko:K14219	abr:ABTJ_02681
ko:K14224	abr:ABTJ_02619
ko:K14224	abr:ABTJ_00280
ko:K14224	abr:ABTJ_00281
ko:K14224	abr:ABTJ_00284
ko:K14233	abr:ABTJ_02613
ko:K14233	abr:ABTJ_00819
ko:K14225	abr:ABTJ_02482
ko:K14225	abr:ABTJ_03683
ko:K14225	abr:ABTJ_03684
ko:K14230	abr:ABTJ_02169
ko:K01983	abr:ABTJ_01624
ko:K14228	abr:ABTJ_01280
ko:K14228	abr:ABTJ_01278
ko:K14219	abr:ABTJ_01206
ko:K14237	abr:ABTJ_01089
ko:K14222	abr:ABTJ_00793
ko:K14228	abr:ABTJ_00792
ko:K14228	abr:ABTJ_00790
ko:K14219	abr:ABTJ_00699
ko:K14221	abr:ABTJ_00660
ko:K14221	abr:ABTJ_00657
ko:K14221	abr:ABTJ_00658
ko:K14228	abr:ABTJ_00543
ko:K01985	abr:ABTJ_00518
ko:K01985	abr:ABTJ_00020
ko:K16092	abr:ABTJ_00580
ko:K16090	abr:ABTJ_03299
ko:K16088	abr:ABTJ_01469
ko:K01985	abr:ABTJ_03152
ko:K01985	abr:ABTJ_03628
ko:K01985	abr:ABTJ_00484
ko:K01985	abr:ABTJ_03798
ko:K01980	abr:ABTJ_00516
ko:K01980	abr:ABTJ_03629
ko:K01980	abr:ABTJ_03799
ko:K01980	abr:ABTJ_00482
ko:K01980	abr:ABTJ_03153
ko:K01980	abr:ABTJ_00018
ko:K14218	abr:ABTJ_00515
ko:K14218	abr:ABTJ_03155
ko:K14218	abr:ABTJ_03631
ko:K14218	abr:ABTJ_03801
ko:K14218	abr:ABTJ_00481
ko:K14218	abr:ABTJ_00017
ko:K14219	abr:ABTJ_00455
ko:K14219	abr:ABTJ_00451
ko:K14219	abr:ABTJ_00452
ko:K14233	abr:ABTJ_00450
ko:K14218	abr:ABTJ_00285
ko:K14231	abr:ABTJ_00258
ko:K14231	abr:ABTJ_00257
ko:K14233	abr:ABTJ_00234
ko:K14234	abr:ABTJ_00215
ko:K14234	abr:ABTJ_03500
ko:K14235	abr:ABTJ_01281
ko:K14235	abr:ABTJ_01279
ko:K16088	abr:ABTJ_02011
ko:K16137	abr:ABTJ_00193
ko:K02014	abr:ABTJ_02620
ko:K02014	abr:ABTJ_01132
ko:K02014	abr:ABTJ_03637
ko:K00130	abr:ABTJ_02592
ko:K00130	abr:ABTJ_02883
ko:K02014	abr:ABTJ_02028
ko:K14237	abr:ABTJ_00661
ko:K14237	abr:ABTJ_00656
ko:K14237	abr:ABTJ_00659
ko:K07666	abr:ABTJ_00711
ko:K03767	abr:ABTJ_03804
ko:K02029	abr:ABTJ_02272
ko:K02028	abr:ABTJ_02271
ko:K02030	abr:ABTJ_02269
ko:K03320	abr:ABTJ_00714
ko:K00375	abr:ABTJ_02255
ko:K00074	abr:ABTJ_02319
ko:K00459	abr:ABTJ_02323
ko:K06446	abr:ABTJ_02327
ko:K08196	abr:ABTJ_02328
ko:K05306	abr:ABTJ_02329
ko:K03430	abr:ABTJ_02330
ko:K02011	abr:ABTJ_02332
ko:K02012	abr:ABTJ_02334
ko:K00481	abr:ABTJ_02336
ko:K02624	abr:ABTJ_02337
ko:K01118	abr:ABTJ_02338
ko:K03781	abr:ABTJ_02352
ko:K02616	abr:ABTJ_02361
ko:K01912	abr:ABTJ_02362
ko:K00074	abr:ABTJ_02364
ko:K15866	abr:ABTJ_02365
ko:K02613	abr:ABTJ_02367
ko:K02612	abr:ABTJ_02368
ko:K02611	abr:ABTJ_02369
ko:K02610	abr:ABTJ_02370
ko:K11746	abr:ABTJ_02425
ko:K09967	abr:ABTJ_02427
ko:K09967	abr:ABTJ_02428
ko:K07160	abr:ABTJ_02442
ko:K08195	abr:ABTJ_02457
ko:K02517	abr:ABTJ_02461
ko:K03555	abr:ABTJ_02465
ko:K12542	abr:ABTJ_02473
ko:K12541	abr:ABTJ_02474
ko:K12543	abr:ABTJ_02475
ko:K06861	abr:ABTJ_02476
ko:K09774	abr:ABTJ_02477
ko:K03070	abr:ABTJ_00595
ko:K11068	abr:ABTJ_00598
ko:K07267	abr:ABTJ_00608
ko:K00117	abr:ABTJ_00609
ko:K00381	abr:ABTJ_00610
ko:K08084	abr:ABTJ_00615
ko:K14415	abr:ABTJ_00618
ko:K06207	abr:ABTJ_00622
ko:K03282	abr:ABTJ_00623
ko:K03652	abr:ABTJ_00627
ko:K07088	abr:ABTJ_00633
ko:K03981	abr:ABTJ_00635
ko:K06980	abr:ABTJ_00636
ko:K06193	abr:ABTJ_00639
ko:K09946	abr:ABTJ_00640
ko:K01881	abr:ABTJ_00641
ko:K09977	abr:ABTJ_00653
ko:K09790	abr:ABTJ_00654
ko:K07552	abr:ABTJ_00666
ko:K03310	abr:ABTJ_00669
ko:K07001	abr:ABTJ_00670
ko:K01754	abr:ABTJ_00671
ko:K05520	abr:ABTJ_00676
ko:K02434	abr:ABTJ_00678
ko:K02435	abr:ABTJ_00680
ko:K03569	abr:ABTJ_00681
ko:K03570	abr:ABTJ_00682
ko:K03571	abr:ABTJ_00683
ko:K06287	abr:ABTJ_00684
ko:K08301	abr:ABTJ_00685
ko:K00390	abr:ABTJ_00688
ko:K02203	abr:ABTJ_00689
ko:K06076	abr:ABTJ_00690
ko:K02616	abr:ABTJ_00694
ko:K06153	abr:ABTJ_00695
ko:K05523	abr:ABTJ_00698
ko:K00795	abr:ABTJ_00702
ko:K03656	abr:ABTJ_02927
ko:K03610	abr:ABTJ_02932
ko:K03609	abr:ABTJ_02933
ko:K03608	abr:ABTJ_02934
