ko:K18928	but:X994_4295
ko:K07119	but:X994_562
ko:K07005	but:X994_3886
ko:K07172	but:X994_265
ko:K12979	but:X994_5696
ko:K03297	but:X994_1035
ko:K01156	but:X994_258
ko:K16238	but:X994_2728
ko:K11741	but:X994_1558
ko:K15634	but:X994_3252
ko:K05799	but:X994_3205
ko:K18139	but:X994_973
ko:K07485	but:X994_3339
ko:K01458	but:X994_4336
ko:K05375	but:X994_5864
ko:K06893	but:X994_2615
ko:K19231	but:X994_6554
ko:K18816	but:X994_4362
ko:K03458	but:X994_1919
ko:K00102	but:X994_5807
ko:K11209	but:X994_3248
ko:K11209	but:X994_912
ko:K19209	but:X994_5095
ko:K00821	but:X994_1805
ko:K07492	but:X994_1101
ko:K21449	but:X994_839
ko:K00042	but:X994_584
ko:K07346	but:X994_759
ko:K22589	but:X994_3527
ko:K21449	but:X994_4594
ko:K21449	but:X994_3771
ko:K21678	but:X994_4704
ko:K08166	but:X994_4290
ko:K00249	but:X994_2606
ko:K21345	but:X994_2302
ko:K21344	but:X994_3639
ko:K05882	but:X994_6261
ko:K01738	but:X994_369
ko:K01697	but:X994_369
ko:K15355	but:X994_6116
ko:K00108	but:X994_5768
ko:K05874	but:X994_894
ko:K00344	but:X994_4755
ko:K00091	but:X994_4891
ko:K00863	but:X994_748
ko:K00108	but:X994_2680
ko:K21105	but:X994_3785
ko:K21757	but:X994_5206
ko:K00344	but:X994_1527
ko:K02484	but:X994_5658
ko:K08369	but:X994_5660
ko:K13747	but:X994_5665
ko:K00368	but:X994_5666
ko:K04561	but:X994_5667
ko:K00253	but:X994_5669
ko:K01969	but:X994_5670
ko:K13766	but:X994_5671
ko:K01968	but:X994_5672
ko:K03325	but:X994_5684
ko:K08677	but:X994_5553
ko:K00101	but:X994_5555
ko:K03221	but:X994_5569
ko:K03230	but:X994_5574
ko:K03225	but:X994_5579
ko:K18292	but:X994_5469
ko:K18290	but:X994_5470
ko:K18288	but:X994_5471
ko:K00156	but:X994_5472
ko:K00836	but:X994_5473
ko:K03228	but:X994_5481
ko:K03224	but:X994_5483
ko:K03223	but:X994_5484
ko:K03222	but:X994_5486
ko:K18374	but:X994_5487
ko:K03229	but:X994_5489
ko:K03230	but:X994_5490
ko:K18381	but:X994_5491
ko:K03225	but:X994_5492
ko:K03226	but:X994_5493
ko:K00231	but:X994_5851
ko:K03088	but:X994_5855
ko:K04780	but:X994_5865
ko:K08325	but:X994_5872
ko:K00059	but:X994_5876
ko:K00343	but:X994_5884
ko:K01495	but:X994_5886
ko:K02303	but:X994_5889
ko:K02575	but:X994_5891
ko:K00362	but:X994_5892
ko:K00363	but:X994_5893
ko:K00380	but:X994_5894
ko:K03587	but:X994_5896
ko:K07258	but:X994_5897
ko:K00854	but:X994_5898
ko:K10112	but:X994_5900
ko:K05351	but:X994_5901
ko:K02026	but:X994_5902
ko:K02025	but:X994_5903
ko:K02027	but:X994_5904
ko:K16074	but:X994_5908
ko:K07044	but:X994_5913
ko:K03455	but:X994_5914
ko:K02058	but:X994_5917
ko:K03587	but:X994_5918
ko:K03406	but:X994_5920
ko:K07141	but:X994_5921
ko:K03762	but:X994_5924
ko:K08195	but:X994_5935
ko:K01061	but:X994_5936
ko:K06205	but:X994_5938
ko:K05712	but:X994_5940
ko:K00452	but:X994_5943
ko:K07080	but:X994_5944
ko:K03406	but:X994_5950
ko:K07126	but:X994_5952
ko:K16090	but:X994_5953
ko:K00609	but:X994_5954
ko:K00375	but:X994_5958
ko:K01414	but:X994_5980
ko:K03119	but:X994_5990
ko:K00370	but:X994_5997
ko:K00371	but:X994_5998
ko:K00373	but:X994_5999
ko:K00374	but:X994_6000
ko:K03769	but:X994_6001
ko:K02575	but:X994_6002
ko:K00797	but:X994_6005
ko:K11189	but:X994_6006
ko:K12140	but:X994_6011
ko:K12141	but:X994_6012
ko:K07088	but:X994_6019
ko:K00878	but:X994_6021
ko:K00219	but:X994_6023
ko:K09803	but:X994_6409
ko:K06077	but:X994_6412
ko:K03547	but:X994_6448
ko:K14162	but:X994_6460
ko:K11752	but:X994_6031
ko:K01497	but:X994_6035
ko:K18139	but:X994_6036
ko:K18307	but:X994_6037
ko:K18306	but:X994_6038
ko:K03798	but:X994_6042
ko:K03758	but:X994_6044
ko:K00471	but:X994_6047
ko:K00941	but:X994_6053
ko:K01537	but:X994_6057
ko:K07282	but:X994_6061
ko:K03607	but:X994_6066
ko:K00259	but:X994_6069
ko:K09129	but:X994_6071
ko:K15725	but:X994_6074
ko:K15727	but:X994_6075
ko:K15726	but:X994_6076
ko:K07665	but:X994_6077
ko:K07644	but:X994_6078
ko:K06133	but:X994_6482
ko:K10112	but:X994_6491
ko:K02529	but:X994_6492
ko:K17319	but:X994_6493
ko:K17320	but:X994_6494
ko:K17318	but:X994_6495
ko:K03337	but:X994_6496
ko:K00065	but:X994_6497
ko:K18581	but:X994_6498
ko:K01753	but:X994_6500
ko:K06015	but:X994_6501
ko:K00883	but:X994_6503
ko:K01631	but:X994_6504
ko:K01727	but:X994_6505
ko:K03535	but:X994_6516
ko:K01707	but:X994_6518
ko:K03530	but:X994_6524
ko:K01686	but:X994_6534
ko:K01686	but:X994_6536
ko:K18335	but:X994_6537
ko:K01689	but:X994_6542
ko:K02058	but:X994_6543
ko:K10440	but:X994_6545
ko:K03535	but:X994_6563
ko:K04095	but:X994_6632
ko:K10439	but:X994_6085
ko:K10441	but:X994_6086
ko:K10440	but:X994_6087
ko:K10440	but:X994_6088
ko:K02014	but:X994_6089
ko:K07165	but:X994_6090
ko:K03088	but:X994_6091
ko:K03088	but:X994_6096
ko:K16165	but:X994_6099
ko:K07052	but:X994_6100
ko:K05595	but:X994_6101
ko:K07300	but:X994_6103
ko:K07168	but:X994_6105
ko:K14257	but:X994_6109
ko:K15311	but:X994_6118
ko:K15312	but:X994_6119
ko:K15313	but:X994_6120
ko:K15337	but:X994_6121
ko:K00646	but:X994_6122
ko:K03781	but:X994_6127
ko:K01999	but:X994_6576
ko:K01997	but:X994_6577
ko:K01995	but:X994_6578
ko:K01998	but:X994_6578
ko:K01996	but:X994_6579
ko:K03969	but:X994_6583
ko:K03168	but:X994_6595
ko:K09005	but:X994_6617
ko:K00790	but:X994_6135
ko:K10017	but:X994_6136
ko:K10015	but:X994_6137
ko:K10016	but:X994_6138
ko:K15977	but:X994_6141
ko:K14645	but:X994_6146
ko:K01531	but:X994_6148
ko:K03322	but:X994_6155
ko:K01569	but:X994_6156
ko:K02035	but:X994_6157
ko:K07394	but:X994_6158
ko:K12685	but:X994_6159
ko:K11904	but:X994_6163
ko:K08641	but:X994_6167
ko:K02035	but:X994_6168
ko:K02033	but:X994_6169
ko:K02034	but:X994_6170
ko:K03566	but:X994_6175
ko:K17836	but:X994_6176
ko:K06194	but:X994_6177
ko:K01607	but:X994_6185
ko:K10716	but:X994_6187
ko:K03406	but:X994_6192
ko:K03823	but:X994_6195
ko:K15553	but:X994_6197
ko:K07044	but:X994_6201
ko:K03762	but:X994_6203
ko:K09957	but:X994_6208
ko:K00675	but:X994_6209
ko:K01761	but:X994_6212
ko:K01426	but:X994_6214
ko:K06989	but:X994_6222
ko:K01652	but:X994_6223
ko:K09019	but:X994_6235
ko:K07098	but:X994_6236
ko:K07507	but:X994_6237
ko:K01497	but:X994_6241
ko:K06140	but:X994_6245
ko:K00059	but:X994_6259
ko:K07396	but:X994_6262
ko:K02407	but:X994_6264
ko:K00852	but:X994_6271
ko:K07044	but:X994_6275
ko:K01999	but:X994_6284
ko:K09780	but:X994_6296
ko:K03381	but:X994_6297
ko:K02078	but:X994_6308
ko:K00648	but:X994_6309
ko:K02055	but:X994_784
ko:K02054	but:X994_785
ko:K02053	but:X994_786
ko:K02052	but:X994_787
ko:K00135	but:X994_789
ko:K13472	but:X994_796
ko:K12541	but:X994_797
ko:K12542	but:X994_798
ko:K00860	but:X994_801
ko:K01745	but:X994_809
ko:K01712	but:X994_811
ko:K09703	but:X994_812
ko:K01466	but:X994_814
ko:K06016	but:X994_815
ko:K03088	but:X994_818
ko:K15977	but:X994_821
ko:K09930	but:X994_823
ko:K01434	but:X994_872
ko:K00612	but:X994_873
ko:K01620	but:X994_876
ko:K01755	but:X994_877
ko:K01738	but:X994_878
ko:K01755	but:X994_882
ko:K01940	but:X994_883
ko:K00817	but:X994_886
ko:K03408	but:X994_893
ko:K00666	but:X994_896
ko:K05845	but:X994_899
ko:K05846	but:X994_900
ko:K05847	but:X994_901
ko:K05846	but:X994_903
ko:K03758	but:X994_905
ko:K01478	but:X994_906
ko:K00611	but:X994_907
ko:K00926	but:X994_908
ko:K03449	but:X994_917
ko:K05936	but:X994_919
ko:K05895	but:X994_920
ko:K02188	but:X994_921
ko:K00595	but:X994_922
ko:K02229	but:X994_923
ko:K06042	but:X994_924
ko:K03394	but:X994_925
ko:K13541	but:X994_926
ko:K01183	but:X994_927
ko:K06999	but:X994_929
ko:K13580	but:X994_936
ko:K03405	but:X994_937
ko:K02230	but:X994_938
ko:K02234	but:X994_939
ko:K07241	but:X994_940
ko:K02189	but:X994_941
ko:K02224	but:X994_943
ko:K02014	but:X994_945
ko:K10531	but:X994_946
ko:K02051	but:X994_996
ko:K09786	but:X994_999
ko:K07180	but:X994_1000
ko:K00852	but:X994_1002
ko:K02529	but:X994_1003
ko:K10440	but:X994_1004
ko:K10441	but:X994_1005
ko:K10439	but:X994_1006
ko:K13635	but:X994_1007
ko:K02045	but:X994_1008
ko:K02047	but:X994_1009
ko:K02046	but:X994_1010
ko:K02048	but:X994_1011
ko:K01356	but:X994_1012
ko:K09695	but:X994_1016
ko:K09694	but:X994_1017
ko:K07089	but:X994_1019
ko:K05539	but:X994_1024
ko:K15555	but:X994_1030
ko:K15554	but:X994_1031
ko:K04091	but:X994_1032
ko:K00684	but:X994_1039
ko:K00254	but:X994_1041
ko:K02424	but:X994_1042
ko:K10009	but:X994_1043
ko:K01807	but:X994_1046
ko:K06024	but:X994_1099
ko:K07287	but:X994_1108
ko:K04764	but:X994_1115
ko:K01890	but:X994_1116
ko:K01889	but:X994_1117
ko:K02887	but:X994_1118
ko:K02916	but:X994_1119
ko:K02520	but:X994_1120
ko:K01868	but:X994_1121
ko:K00951	but:X994_1123
ko:K01029	but:X994_1131
ko:K01028	but:X994_1132
ko:K07107	but:X994_1136
ko:K00311	but:X994_1138
ko:K01736	but:X994_1140
ko:K07058	but:X994_1144
ko:K03809	but:X994_1145
ko:K05973	but:X994_1257
ko:K16147	but:X994_1258
ko:K05343	but:X994_1259
ko:K00700	but:X994_1260
ko:K01236	but:X994_1262
ko:K00705	but:X994_1263
ko:K06044	but:X994_1264
ko:K00375	but:X994_1267
ko:K06153	but:X994_1277
ko:K01895	but:X994_1280
ko:K03327	but:X994_1282
