ko:K10563	ecw:EcE24377A_4136
ko:K02081	ecw:EcE24377A_3611
ko:K15581	ecw:EcE24377A_1392
ko:K02548	ecw:EcE24377A_4466
ko:K06917	ecw:EcE24377A_0540
ko:K13888	ecw:EcE24377A_0951
ko:K10773	ecw:EcE24377A_1842
ko:K03925	ecw:EcE24377A_0083
ko:K01546	ecw:EcE24377A_0724
ko:K07407	ecw:EcE24377A_3380
ko:K02834	ecw:EcE24377A_3651
ko:K06133	ecw:EcE24377A_3957
ko:K01720	ecw:EcE24377A_0358
ko:K05520	ecw:EcE24377A_3636
ko:K07229	ecw:EcE24377A_3535
ko:K11746	ecw:EcE24377A_0050
ko:K11733	ecw:EcE24377A_2453
ko:K00850	ecw:EcE24377A_4449
ko:K03765	ecw:EcE24377A_4688
ko:K11734	ecw:EcE24377A_0114
ko:K06889	ecw:EcE24377A_4751
ko:K10680	ecw:EcE24377A_1861
ko:K01962	ecw:EcE24377A_0189
ko:K02506	ecw:EcE24377A_3806
ko:K02948	ecw:EcE24377A_3780
ko:K01096	ecw:EcE24377A_1480
ko:K02196	ecw:EcE24377A_2497
ko:K02195	ecw:EcE24377A_2498
ko:K02194	ecw:EcE24377A_2499
ko:K02361	ecw:EcE24377A_0613
ko:K02364	ecw:EcE24377A_0606
ko:K04047	ecw:EcE24377A_0881
ko:K03168	ecw:EcE24377A_1474
ko:K03169	ecw:EcE24377A_1986
ko:K02041	ecw:EcE24377A_4659
ko:K00627	ecw:EcE24377A_0117
ko:K00833	ecw:EcE24377A_0837
ko:K01610	ecw:EcE24377A_3877
ko:K02013	ecw:EcE24377A_0607
ko:K02015	ecw:EcE24377A_0609
ko:K02015	ecw:EcE24377A_0610
ko:K02016	ecw:EcE24377A_0612
ko:K05590	ecw:EcE24377A_2863
ko:K06205	ecw:EcE24377A_4258
ko:K03718	ecw:EcE24377A_4259
ko:K03549	ecw:EcE24377A_4263
ko:K07708	ecw:EcE24377A_4391
ko:K02552	ecw:EcE24377A_2562
ko:K02412	ecw:EcE24377A_2174
ko:K02904	ecw:EcE24377A_3795
ko:K04568	ecw:EcE24377A_4714
ko:K04567	ecw:EcE24377A_3216
ko:K01252	ecw:EcE24377A_0615
ko:K09024	ecw:EcE24377A_1125
ko:K00954	ecw:EcE24377A_4135
ko:K05851	ecw:EcE24377A_4321
ko:K07462	ecw:EcE24377A_3218
ko:K07645	ecw:EcE24377A_3491
ko:K03594	ecw:EcE24377A_3805
ko:K03977	ecw:EcE24377A_2795
ko:K03789	ecw:EcE24377A_4968
