ko:K11707	ctz:CTB_0661
ko:K09779	ctz:CTB_0011
ko:K02909	ctz:CTB_0221
ko:K02835	ctz:CTB_0231
ko:K02434	ctz:CTB_0041
ko:K02517	ctz:CTB_0101
ko:K00425	ctz:CTB_0131
ko:K00426	ctz:CTB_0141
ko:K07175	ctz:CTB_0151
ko:K01870	ctz:CTB_0191
ko:K03100	ctz:CTB_0201
ko:K02435	ctz:CTB_0021
ko:K03523	ctz:CTB_3571
ko:K01714	ctz:CTB_3591
ko:K00928	ctz:CTB_3601
ko:K00133	ctz:CTB_3611
ko:K00215	ctz:CTB_3621
ko:K01783	ctz:CTB_1201
ko:K02356	ctz:CTB_1211
ko:K02160	ctz:CTB_1221
ko:K01961	ctz:CTB_1231
ko:K02871	ctz:CTB_1241
ko:K02996	ctz:CTB_1251
ko:K02029	ctz:CTB_1281
ko:K06942	ctz:CTB_0911
ko:K11753	ctz:CTB_0921
ko:K02834	ctz:CTB_0941
ko:K02519	ctz:CTB_0951
ko:K02600	ctz:CTB_0961
ko:K02945	ctz:CTB_0971
ko:K00384	ctz:CTB_0981
ko:K01869	ctz:CTB_2031
ko:K01845	ctz:CTB_2041
ko:K07735	ctz:CTB_2051
ko:K08999	ctz:CTB_2061
ko:K01807	ctz:CTB_2071
ko:K03787	ctz:CTB_2121
ko:K03179	ctz:CTB_2131
ko:K03186	ctz:CTB_2141
ko:K00997	ctz:CTB_0991
ko:K00208	ctz:CTB_1031
ko:K03575	ctz:CTB_1061
ko:K04077	ctz:CTB_1091
ko:K04078	ctz:CTB_1101
ko:K08602	ctz:CTB_1111
ko:K03695	ctz:CTB_1121
ko:K03183	ctz:CTB_4291
ko:K01778	ctz:CTB_4311
ko:K01358	ctz:CTB_4321
ko:K00600	ctz:CTB_4331
ko:K01770	ctz:CTB_4351
ko:K02946	ctz:CTB_4371
ko:K02355	ctz:CTB_4381
ko:K02992	ctz:CTB_4391
ko:K02950	ctz:CTB_4401
ko:K03797	ctz:CTB_4421
ko:K03308	ctz:CTB_2261
ko:K02078	ctz:CTB_2311
ko:K00645	ctz:CTB_2331
ko:K00648	ctz:CTB_2341
ko:K06187	ctz:CTB_2351
ko:K07277	ctz:CTB_2361
ko:K06142	ctz:CTB_2371
ko:K02536	ctz:CTB_2381
ko:K00161	ctz:CTB_2401
ko:K00162	ctz:CTB_2411
ko:K00627	ctz:CTB_2421
ko:K00688	ctz:CTB_2431
ko:K02313	ctz:CTB_2451
ko:K03217	ctz:CTB_2461
ko:K04487	ctz:CTB_2531
ko:K07083	ctz:CTB_2571
ko:K01962	ctz:CTB_2601
ko:K01448	ctz:CTB_2631
ko:K01928	ctz:CTB_2641
ko:K07462	ctz:CTB_4491
ko:K12257	ctz:CTB_4501
ko:K00806	ctz:CTB_4521
ko:K00981	ctz:CTB_4531
ko:K00945	ctz:CTB_4541
ko:K00655	ctz:CTB_4551
ko:K01887	ctz:CTB_4561
ko:K00790	ctz:CTB_4571
ko:K02836	ctz:CTB_4611
ko:K00991	ctz:CTB_4641
ko:K06173	ctz:CTB_4651
ko:K07710	ctz:CTB_4691
ko:K03584	ctz:CTB_4721
ko:K00979	ctz:CTB_1761
ko:K01937	ctz:CTB_1771
ko:K07447	ctz:CTB_1781
ko:K00036	ctz:CTB_1791
ko:K01057	ctz:CTB_1801
ko:K02343	ctz:CTB_1811
ko:K00943	ctz:CTB_1821
ko:K02469	ctz:CTB_1831
ko:K02470	ctz:CTB_1841
ko:K00773	ctz:CTB_1871
ko:K06213	ctz:CTB_1881
ko:K03587	ctz:CTB_2651
ko:K03438	ctz:CTB_2671
ko:K02313	ctz:CTB_2701
ko:K00347	ctz:CTB_2731
ko:K00348	ctz:CTB_2741
ko:K03596	ctz:CTB_0631
ko:K03301	ctz:CTB_0641
ko:K00099	ctz:CTB_0701
ko:K03629	ctz:CTB_0731
ko:K02338	ctz:CTB_0741
ko:K03664	ctz:CTB_0751
ko:K03734	ctz:CTB_0761
ko:K01491	ctz:CTB_0771
ko:K02902	ctz:CTB_0851
ko:K00705	ctz:CTB_0861
