ko:K11707	ctq:G11222_00355
ko:K09779	ctq:G11222_00010
ko:K02435	ctq:G11222_00015
ko:K02434	ctq:G11222_00025
ko:K02517	ctq:G11222_00055
ko:K00425	ctq:G11222_00070
ko:K00426	ctq:G11222_00075
ko:K07175	ctq:G11222_00080
ko:K01870	ctq:G11222_00105
ko:K03100	ctq:G11222_00110
ko:K02909	ctq:G11222_00120
ko:K02835	ctq:G11222_00125
ko:K02493	ctq:G11222_00130
ko:K03106	ctq:G11222_00135
ko:K02959	ctq:G11222_00140
ko:K00554	ctq:G11222_00145
ko:K02884	ctq:G11222_00150
ko:K03470	ctq:G11222_00155
ko:K00942	ctq:G11222_00160
ko:K01874	ctq:G11222_00170
ko:K00655	ctq:G11222_04130
ko:K04066	ctq:G11222_04145
ko:K04567	ctq:G11222_04165
ko:K01883	ctq:G11222_04170
ko:K03536	ctq:G11222_04180
ko:K02919	ctq:G11222_04185
ko:K02954	ctq:G11222_04190
ko:K03703	ctq:G11222_04215
ko:K03555	ctq:G11222_04220
ko:K14164	ctq:G11222_04245
ko:K00995	ctq:G11222_04255
ko:K00703	ctq:G11222_04260
ko:K02897	ctq:G11222_04265
ko:K01056	ctq:G11222_04270
ko:K02990	ctq:G11222_04275
ko:K02963	ctq:G11222_04280
ko:K02939	ctq:G11222_04285
ko:K00919	ctq:G11222_04290
ko:K00630	ctq:G11222_04310
ko:K08301	ctq:G11222_04315
ko:K02911	ctq:G11222_04325
ko:K03621	ctq:G11222_04330
ko:K03431	ctq:G11222_04360
ko:K00820	ctq:G11222_04365
ko:K03834	ctq:G11222_04370
ko:K03834	ctq:G11222_04380
ko:K06890	ctq:G11222_04385
ko:K03110	ctq:G11222_04390
ko:K01689	ctq:G11222_03095
ko:K00240	ctq:G11222_03115
ko:K03424	ctq:G11222_03140
ko:K03562	ctq:G11222_03150
ko:K03641	ctq:G11222_03165
ko:K03640	ctq:G11222_03170
ko:K03648	ctq:G11222_03210
ko:K03657	ctq:G11222_03215
ko:K03092	ctq:G11222_03220
