ko:K19744	pff:PFLUOLIPICF726490
ko:K19296	pff:PFLUOLIPICF703440
ko:K21147	pff:PFLUOLIPICF715515
ko:K22617	pff:PFLUOLIPICF701390
ko:K16238	pff:PFLUOLIPICF711660
ko:K12960	pff:PFLUOLIPICF700275
ko:K19736	pff:PFLUOLIPICF714720
ko:K21430	pff:PFLUOLIPICF724255
ko:K01980	pff:PFLUOLIPICF712685
ko:K01980	pff:PFLUOLIPICF713195
ko:K01980	pff:PFLUOLIPICF704980
ko:K01980	pff:PFLUOLIPICF727340
ko:K01980	pff:PFLUOLIPICF711170
ko:K01980	pff:PFLUOLIPICF707645
ko:K11209	pff:PFLUOLIPICF701800
ko:K11209	pff:PFLUOLIPICF726875
ko:K00821	pff:PFLUOLIPICF700355
ko:K18291	pff:PFLUOLIPICF721650
ko:K19746	pff:PFLUOLIPICF726495
ko:K03458	pff:PFLUOLIPICF716895
ko:K09017	pff:PFLUOLIPICF728035
ko:K12253	pff:PFLUOLIPICF726665
ko:K01007	pff:PFLUOLIPICF715535
ko:K12979	pff:PFLUOLIPICF724275
ko:K12979	pff:PFLUOLIPICF700380
ko:K12979	pff:PFLUOLIPICF700690
ko:K19270	pff:PFLUOLIPICF717905
ko:K03293	pff:PFLUOLIPICF702835
ko:K11894	pff:PFLUOLIPICF721300
ko:K16638	pff:PFLUOLIPICF710290
ko:K19113	pff:PFLUOLIPICF705465
ko:K00249	pff:PFLUOLIPICF721655
ko:K06599	pff:PFLUOLIPICF722480
ko:K22589	pff:PFLUOLIPICF724475
ko:K00249	pff:PFLUOLIPICF719625
ko:K00248	pff:PFLUOLIPICF706070
ko:K00042	pff:PFLUOLIPICF728060
ko:K01802	pff:PFLUOLIPICF726015
ko:K00249	pff:PFLUOLIPICF715765
ko:K05799	pff:PFLUOLIPICF712350
ko:K05799	pff:PFLUOLIPICF721525
ko:K01800	pff:PFLUOLIPICF703210
ko:K00130	pff:PFLUOLIPICF700915
ko:K00632	pff:PFLUOLIPICF717125
ko:K19092	pff:PFLUOLIPICF724010
ko:K09017	pff:PFLUOLIPICF719020
ko:K00344	pff:PFLUOLIPICF709445
ko:K21645	pff:PFLUOLIPICF708665
ko:K20862	pff:PFLUOLIPICF709185
ko:K00991	pff:PFLUOLIPICF701915
ko:K05589	pff:PFLUOLIPICF701920
ko:K01689	pff:PFLUOLIPICF701925
ko:K01627	pff:PFLUOLIPICF701930
ko:K01937	pff:PFLUOLIPICF701935
ko:K04075	pff:PFLUOLIPICF701940
ko:K01962	pff:PFLUOLIPICF701945
