ko:K19079	saus:SA40_0601
ko:K09022	saus:SA40_0435
ko:K19285	saus:SA40_0339
ko:K00887	saus:SA40_1440
ko:K05592	saus:SA40_1838
ko:K07145	saus:SA40_0132
ko:K02545	saus:SA40_0033
ko:K05352	saus:SA40_0214
ko:K13733	saus:SA40_2249
ko:K11442	saus:SA40_1926
ko:K18936	saus:SA40_2164
ko:K03328	saus:SA40_0099
ko:K03328	saus:SA40_0443
ko:K12574	saus:SA40_1148
ko:K12574	saus:SA40_0959
ko:K18935	saus:SA40_1924
ko:K18940	saus:SA40_1290
ko:K21454	saus:SA40_2103
ko:K01791	saus:SA40_0122
ko:K07045	saus:SA40_2334
ko:K19975	saus:SA40_0572
ko:K19973	saus:SA40_0574
ko:K17716	saus:SA40_0120
ko:K09692	saus:SA40_0579
ko:K11070	saus:SA40_0972
ko:K01897	saus:SA40_0190
ko:K00265	saus:SA40_0410
ko:K00951	saus:SA40_1503
ko:K14228	saus:SA40_t044
ko:K14228	saus:SA40_t009
ko:K02313	saus:SA40_0001
ko:K08974	saus:SA40_0780
ko:K04488	saus:SA40_0784
ko:K13628	saus:SA40_0807
ko:K05570	saus:SA40_0814
ko:K05568	saus:SA40_0816
ko:K05565	saus:SA40_0819
ko:K03768	saus:SA40_0821
ko:K00819	saus:SA40_0824
ko:K01261	saus:SA40_1607
ko:K01439	saus:SA40_1613
ko:K06183	saus:SA40_1615
ko:K07052	saus:SA40_1639
ko:K07052	saus:SA40_1640
ko:K00616	saus:SA40_1641
ko:K02549	saus:SA40_1652
ko:K00380	saus:SA40_2375
ko:K01077	saus:SA40_2383
ko:K01478	saus:SA40_2391
ko:K01401	saus:SA40_2393
ko:K12270	saus:SA40_2406
ko:K12269	saus:SA40_2407
ko:K12268	saus:SA40_2408
ko:K07304	saus:SA40_2418
ko:K01104	saus:SA40_2420
ko:K09013	saus:SA40_0781
ko:K09015	saus:SA40_0782
ko:K11717	saus:SA40_0783
ko:K09014	saus:SA40_0785
ko:K00459	saus:SA40_0788
ko:K07090	saus:SA40_0790
ko:K03644	saus:SA40_0792
ko:K03367	saus:SA40_0799
ko:K03739	saus:SA40_0800
ko:K14188	saus:SA40_0801
ko:K03740	saus:SA40_0802
ko:K03885	saus:SA40_0805
ko:K03885	saus:SA40_0808
ko:K01255	saus:SA40_0809
ko:K07084	saus:SA40_0810
ko:K05571	saus:SA40_0813
ko:K05569	saus:SA40_0815
ko:K05567	saus:SA40_0817
ko:K16899	saus:SA40_0833
ko:K06910	saus:SA40_0846
ko:K15582	saus:SA40_0853
ko:K15583	saus:SA40_0854
ko:K10823	saus:SA40_0855
ko:K02035	saus:SA40_0857
ko:K02033	saus:SA40_0860
ko:K16509	saus:SA40_0864
ko:K06198	saus:SA40_0866
ko:K07816	saus:SA40_0872
ko:K03455	saus:SA40_0876
ko:K01992	saus:SA40_1677
ko:K01990	saus:SA40_1678
ko:K07533	saus:SA40_1682
ko:K03698	saus:SA40_1683
ko:K01679	saus:SA40_1692
ko:K02028	saus:SA40_1698
ko:K02029	saus:SA40_1699
ko:K02030	saus:SA40_1699
ko:K07035	saus:SA40_1700
ko:K07491	saus:SA40_0003
ko:K07668	saus:SA40_0019
ko:K07652	saus:SA40_0020
ko:K05362	saus:SA40_0888
ko:K07052	saus:SA40_0899
ko:K02552	saus:SA40_0913
ko:K08680	saus:SA40_0915
ko:K00841	saus:SA40_0920
ko:K09825	saus:SA40_1701
ko:K11085	saus:SA40_1706
ko:K07586	saus:SA40_1707
ko:K09693	saus:SA40_1711
ko:K01104	saus:SA40_1721
ko:K07694	saus:SA40_1724
ko:K07009	saus:SA40_1731
ko:K05566	saus:SA40_0818
ko:K06347	saus:SA40_0820
ko:K00260	saus:SA40_0825
ko:K01126	saus:SA40_0826
ko:K04768	saus:SA40_1597
ko:K02529	saus:SA40_1598
ko:K13853	saus:SA40_1599
ko:K01924	saus:SA40_1602
ko:K03466	saus:SA40_1603
ko:K06878	saus:SA40_1604
ko:K03439	saus:SA40_1610
ko:K00824	saus:SA40_1612
ko:K07007	saus:SA40_1617
ko:K01869	saus:SA40_1620
ko:K07139	saus:SA40_1622
ko:K00318	saus:SA40_1627
ko:K00794	saus:SA40_1628
ko:K14652	saus:SA40_1629
ko:K00793	saus:SA40_1630
ko:K11752	saus:SA40_1631
ko:K03893	saus:SA40_1633
ko:K06199	saus:SA40_1643
ko:K06199	saus:SA40_1644
ko:K00789	saus:SA40_1647
ko:K01610	saus:SA40_1648
ko:K08998	saus:SA40_1651
ko:K03300	saus:SA40_2373
ko:K02304	saus:SA40_2374
ko:K00432	saus:SA40_2376
ko:K14192	saus:SA40_2386
ko:K00926	saus:SA40_2388
ko:K03758	saus:SA40_2389
ko:K00611	saus:SA40_2390
ko:K02768	saus:SA40_2397
ko:K02769	saus:SA40_2397
ko:K02770	saus:SA40_2397
ko:K01809	saus:SA40_2398
ko:K01421	saus:SA40_2399
ko:K03070	saus:SA40_2405
ko:K03076	saus:SA40_2409
ko:K11936	saus:SA40_2424
ko:K01755	saus:SA40_0827
ko:K01940	saus:SA40_0828
ko:K01810	saus:SA40_0829
ko:K03100	saus:SA40_0831
ko:K03100	saus:SA40_0832
ko:K16898	saus:SA40_0834
ko:K03695	saus:SA40_0841
ko:K00648	saus:SA40_0849
ko:K09458	saus:SA40_0850
ko:K15581	saus:SA40_0852
ko:K15580	saus:SA40_0856
ko:K02034	saus:SA40_0861
ko:K01867	saus:SA40_0863
ko:K16511	saus:SA40_0865
ko:K08602	saus:SA40_0867
ko:K06886	saus:SA40_0869
ko:K00858	saus:SA40_0873
ko:K06180	saus:SA40_0874
ko:K06213	saus:SA40_0875
ko:K00208	saus:SA40_0877
ko:K03310	saus:SA40_0880
ko:K01911	saus:SA40_1653
ko:K01154	saus:SA40_1664
ko:K07002	saus:SA40_1672
ko:K00231	saus:SA40_1673
ko:K01772	saus:SA40_1674
ko:K01599	saus:SA40_1675
ko:K02503	saus:SA40_1679
ko:K06180	saus:SA40_1691
ko:K03216	saus:SA40_1696
ko:K03501	saus:SA40_2471
ko:K03495	saus:SA40_2472
ko:K03650	saus:SA40_2473
ko:K03536	saus:SA40_2474
ko:K02914	saus:SA40_2475
ko:K02338	saus:SA40_0002
ko:K03629	saus:SA40_0005
ko:K02470	saus:SA40_0006
ko:K02469	saus:SA40_0007
ko:K01745	saus:SA40_0009
ko:K01875	saus:SA40_0010
ko:K00641	saus:SA40_0013
ko:K02939	saus:SA40_0016
ko:K01939	saus:SA40_0018
ko:K00783	saus:SA40_0026
