ko:K11741	lcl:LOCK919_3044
ko:K00887	lcl:LOCK919_1688
ko:K00226	lcl:LOCK919_1905
ko:K18939	lcl:LOCK919_2360
ko:K18926	lcl:LOCK919_2359
ko:K12574	lcl:LOCK919_1139
ko:K12574	lcl:LOCK919_1483
ko:K17828	lcl:LOCK919_1626
ko:K19973	lcl:LOCK919_2649
ko:K01791	lcl:LOCK919_2175
ko:K14219	lcl:LOCK919_t0940
ko:K14219	lcl:LOCK919_t2742
ko:K14233	lcl:LOCK919_t0976
ko:K14234	lcl:LOCK919_t2000
ko:K14234	lcl:LOCK919_t2858
ko:K01977	lcl:LOCK919_r201004
ko:K15555	lcl:LOCK919_2679
ko:K01250	lcl:LOCK919_0398
ko:K11070	lcl:LOCK919_1160
ko:K01977	lcl:LOCK919_r275205
ko:K00951	lcl:LOCK919_1707
ko:K00265	lcl:LOCK919_2773
ko:K14219	lcl:LOCK919_t0572
ko:K14230	lcl:LOCK919_t0943
ko:K14233	lcl:LOCK919_t0951
ko:K14223	lcl:LOCK919_t0958
ko:K14228	lcl:LOCK919_t0993
ko:K14228	lcl:LOCK919_t1966
ko:K01977	lcl:LOCK919_r027701
ko:K01977	lcl:LOCK919_r097203
ko:K01977	lcl:LOCK919_r093302
ko:K01421	lcl:LOCK919_0506
ko:K02073	lcl:LOCK919_0508
ko:K01442	lcl:LOCK919_0509
ko:K05879	lcl:LOCK919_0515
ko:K05878	lcl:LOCK919_0516
ko:K01246	lcl:LOCK919_0525
ko:K01624	lcl:LOCK919_0526
ko:K07010	lcl:LOCK919_0531
ko:K01915	lcl:LOCK919_0532
ko:K01223	lcl:LOCK919_0540
ko:K02759	lcl:LOCK919_0541
ko:K02761	lcl:LOCK919_0542
ko:K02760	lcl:LOCK919_0543
ko:K07693	lcl:LOCK919_1404
ko:K07778	lcl:LOCK919_1405
ko:K06959	lcl:LOCK919_1410
ko:K02986	lcl:LOCK919_1422
ko:K04487	lcl:LOCK919_1425
ko:K03151	lcl:LOCK919_1426
ko:K01926	lcl:LOCK919_1428
ko:K16211	lcl:LOCK919_0672
ko:K01223	lcl:LOCK919_0681
ko:K02424	lcl:LOCK919_0688
ko:K10009	lcl:LOCK919_0689
ko:K03311	lcl:LOCK919_0692
ko:K00868	lcl:LOCK919_0707
ko:K00297	lcl:LOCK919_0708
ko:K00549	lcl:LOCK919_0709
ko:K13715	lcl:LOCK919_0712
ko:K08177	lcl:LOCK919_0718
ko:K07862	lcl:LOCK919_0723
