ko:K06896	sagi:MSA_20550
ko:K00105	sagi:MSA_3400
ko:K07045	sagi:MSA_19410
ko:K03293	sagi:MSA_16040
ko:K01215	sagi:MSA_20100
ko:K13677	sagi:MSA_8510
ko:K07464	sagi:MSA_5480
ko:K18940	sagi:MSA_8060
ko:K12574	sagi:MSA_18920
ko:K07012	sagi:MSA_5440
ko:K11704	sagi:MSA_16520
ko:K11705	sagi:MSA_16500
ko:K01791	sagi:MSA_12800
ko:K08986	sagi:MSA_8700
ko:K11053	sagi:MSA_8160
ko:K11070	sagi:MSA_12270
ko:K02851	sagi:MSA_2050
ko:K01835	sagi:MSA_11880
ko:K06147	sagi:MSA_11890
ko:K00600	sagi:MSA_11930
ko:K07566	sagi:MSA_11940
ko:K02493	sagi:MSA_11950
ko:K02835	sagi:MSA_11960
ko:K01821	sagi:MSA_11980
ko:K03734	sagi:MSA_11990
ko:K16169	sagi:MSA_12030
ko:K03816	sagi:MSA_12040
ko:K00364	sagi:MSA_12050
ko:K03549	sagi:MSA_12080
ko:K00625	sagi:MSA_12100
ko:K06180	sagi:MSA_12110
ko:K00858	sagi:MSA_12120
ko:K07816	sagi:MSA_12130
ko:K00948	sagi:MSA_12150
ko:K04487	sagi:MSA_12160
ko:K01926	sagi:MSA_12180
ko:K00874	sagi:MSA_19910
ko:K01625	sagi:MSA_19920
ko:K07078	sagi:MSA_19940
ko:K03763	sagi:MSA_19960
ko:K01881	sagi:MSA_19980
ko:K11749	sagi:MSA_19990
ko:K00981	sagi:MSA_20000
ko:K00806	sagi:MSA_20010
ko:K03210	sagi:MSA_20030
ko:K00027	sagi:MSA_20050
ko:K01784	sagi:MSA_20090
ko:K01635	sagi:MSA_20140
ko:K00917	sagi:MSA_20150
ko:K01819	sagi:MSA_20160
ko:K01819	sagi:MSA_20170
ko:K01186	sagi:MSA_20180
ko:K02530	sagi:MSA_20220
ko:K09815	sagi:MSA_20270
ko:K07560	sagi:MSA_20280
ko:K01119	sagi:MSA_20300
ko:K03647	sagi:MSA_20310
ko:K02012	sagi:MSA_20350
ko:K07720	sagi:MSA_20360
ko:K02793	sagi:MSA_20410
ko:K01223	sagi:MSA_12210
ko:K11069	sagi:MSA_12260
ko:K11071	sagi:MSA_12280
ko:K11072	sagi:MSA_12290
ko:K00075	sagi:MSA_12300
ko:K00950	sagi:MSA_12310
ko:K01633	sagi:MSA_12320
ko:K00796	sagi:MSA_12330
ko:K01495	sagi:MSA_12340
ko:K11754	sagi:MSA_12350
ko:K05786	sagi:MSA_12360
ko:K00872	sagi:MSA_12370
ko:K00003	sagi:MSA_12380
ko:K05020	sagi:MSA_12400
ko:K00135	sagi:MSA_12410
ko:K11065	sagi:MSA_12460
ko:K03657	sagi:MSA_12570
ko:K02824	sagi:MSA_12590
ko:K03310	sagi:MSA_12600
ko:K02945	sagi:MSA_12660
ko:K00826	sagi:MSA_12700
ko:K02621	sagi:MSA_12710
ko:K02622	sagi:MSA_12720
ko:K08591	sagi:MSA_12730
ko:K03630	sagi:MSA_12190
ko:K03648	sagi:MSA_12740
ko:K11068	sagi:MSA_14400
ko:K01104	sagi:MSA_12970
ko:K03784	sagi:MSA_13010
ko:K03783	sagi:MSA_13030
ko:K01839	sagi:MSA_13050
ko:K01807	sagi:MSA_13060
ko:K03930	sagi:MSA_13080
ko:K05833	sagi:MSA_13100
ko:K05832	sagi:MSA_13110
ko:K01989	sagi:MSA_13120
ko:K01575	sagi:MSA_13140
ko:K01652	sagi:MSA_13150
ko:K03574	sagi:MSA_13190
ko:K01727	sagi:MSA_13200
ko:K07042	sagi:MSA_16210
ko:K10254	sagi:MSA_16300
ko:K07304	sagi:MSA_16320
ko:K00243	sagi:MSA_16330
ko:K02838	sagi:MSA_16340
ko:K09903	sagi:MSA_16350
ko:K07707	sagi:MSA_20530
ko:K07636	sagi:MSA_20570
ko:K07658	sagi:MSA_20580
