ko:K06179	mhyo:MHL_2974
ko:K02433	mhyo:MHL_3244
ko:K03784	mhyo:MHL_2846
ko:K03700	mhyo:MHL_3201
ko:K00016	mhyo:MHL_2863
ko:K01885	mhyo:MHL_3511
ko:K06881	mhyo:MHL_2961
ko:K03177	mhyo:MHL_2660
ko:K03346	mhyo:MHL_3014
ko:K01489	mhyo:MHL_2887
ko:K00939	mhyo:MHL_0660
ko:K15582	mhyo:MHL_2868
ko:K15583	mhyo:MHL_3298
ko:K10823	mhyo:MHL_3301
ko:K03647	mhyo:MHL_3155
ko:K00010	mhyo:MHL_0860
ko:K10440	mhyo:MHL_3008
ko:K10439	mhyo:MHL_0882
ko:K00010	mhyo:MHL_3371
ko:K16786	mhyo:MHL_3324
ko:K16787	mhyo:MHL_1029
ko:K01537	mhyo:MHL_3211
ko:K14225	mhyo:MHL_3575
ko:K01200	mhyo:MHL_3104
ko:K02025	mhyo:MHL_2636
ko:K02821	mhyo:MHL_3343
ko:K02822	mhyo:MHL_2824
ko:K03475	mhyo:MHL_2956
ko:K07048	mhyo:MHL_1423
ko:K02025	mhyo:MHL_2850
ko:K03077	mhyo:MHL_1567
ko:K03079	mhyo:MHL_1568
ko:K00016	mhyo:MHL_2639
ko:K08483	mhyo:MHL_1734
ko:K01916	mhyo:MHL_3247
ko:K01243	mhyo:MHL_2913
ko:K10823	mhyo:MHL_3407
ko:K15583	mhyo:MHL_3406
ko:K15582	mhyo:MHL_3184
ko:K00625	mhyo:MHL_1877
ko:K00845	mhyo:MHL_3109
ko:K01619	mhyo:MHL_2955
ko:K09762	mhyo:MHL_2723
ko:K01507	mhyo:MHL_2718
ko:K02056	mhyo:MHL_2283
ko:K11189	mhyo:MHL_2667
ko:K07305	mhyo:MHL_1977
ko:K11069	mhyo:MHL_3102
ko:K01409	mhyo:MHL_2413
ko:K11071	mhyo:MHL_3303
ko:K11072	mhyo:MHL_2030
ko:K03499	mhyo:MHL_3057
ko:K02798	mhyo:MHL_2853
ko:K02799	mhyo:MHL_2978
ko:K02800	mhyo:MHL_2978
ko:K03475	mhyo:MHL_2949
ko:K02821	mhyo:MHL_2830
ko:K02564	mhyo:MHL_2157
ko:K10563	mhyo:MHL_3152
ko:K01262	mhyo:MHL_3381
ko:K07316	mhyo:MHL_3394
ko:K07316	mhyo:MHL_3339
ko:K07316	mhyo:MHL_2630
ko:K07316	mhyo:MHL_3257
