ko:K01006	pav:TIA2EST22_10015
ko:K16264	pav:TIA2EST22_06110
ko:K01990	pav:TIA2EST22_02035
ko:K01990	pav:TIA2EST22_07810
ko:K01990	pav:TIA2EST22_10780
ko:K01990	pav:TIA2EST22_11280
ko:K15582	pav:TIA2EST22_10520
ko:K10823	pav:TIA2EST22_10530
ko:K18930	pav:TIA2EST22_03920
ko:K18930	pav:TIA2EST22_03925
ko:K16013	pav:TIA2EST22_00875
ko:K16012	pav:TIA2EST22_00870
ko:K00265	pav:TIA2EST22_05635
ko:K00951	pav:TIA2EST22_05795
ko:K00040	pav:TIA2EST22_11530
ko:K12510	pav:TIA2EST22_01195
ko:K01897	pav:TIA2EST22_08010
ko:K16926	pav:TIA2EST22_10125
ko:K01938	pav:TIA2EST22_00230
ko:K02003	pav:TIA2EST22_00255
ko:K02003	pav:TIA2EST22_00355
ko:K02016	pav:TIA2EST22_00365
ko:K02015	pav:TIA2EST22_00370
ko:K02013	pav:TIA2EST22_00375
ko:K00688	pav:TIA2EST22_00390
ko:K15533	pav:TIA2EST22_00405
ko:K01744	pav:TIA2EST22_00460
ko:K07791	pav:TIA2EST22_00465
ko:K06975	pav:TIA2EST22_00470
ko:K03781	pav:TIA2EST22_00475
ko:K01895	pav:TIA2EST22_04530
ko:K02230	pav:TIA2EST22_00500
ko:K06871	pav:TIA2EST22_00505
ko:K02013	pav:TIA2EST22_00510
ko:K02015	pav:TIA2EST22_00515
ko:K02016	pav:TIA2EST22_00520
ko:K02016	pav:TIA2EST22_00525
ko:K00941	pav:TIA2EST22_00540
ko:K00788	pav:TIA2EST22_00550
ko:K01546	pav:TIA2EST22_00570
ko:K01547	pav:TIA2EST22_00575
ko:K01548	pav:TIA2EST22_00580
ko:K07646	pav:TIA2EST22_00585
ko:K07667	pav:TIA2EST22_00590
ko:K03305	pav:TIA2EST22_00695
ko:K02768	pav:TIA2EST22_00715
ko:K02769	pav:TIA2EST22_00715
ko:K02770	pav:TIA2EST22_00715
ko:K03885	pav:TIA2EST22_00765
ko:K03579	pav:TIA2EST22_00780
ko:K03737	pav:TIA2EST22_00815
ko:K03303	pav:TIA2EST22_00840
ko:K00782	pav:TIA2EST22_00855
ko:K00426	pav:TIA2EST22_00880
ko:K00425	pav:TIA2EST22_00885
ko:K04567	pav:TIA2EST22_00915
ko:K06187	pav:TIA2EST22_01055
ko:K02003	pav:TIA2EST22_01065
ko:K01870	pav:TIA2EST22_01110
ko:K10773	pav:TIA2EST22_01155
ko:K03313	pav:TIA2EST22_01175
ko:K02283	pav:TIA2EST22_01190
ko:K03168	pav:TIA2EST22_01245
ko:K00943	pav:TIA2EST22_01255
ko:K02341	pav:TIA2EST22_01260
ko:K08296	pav:TIA2EST22_01300
ko:K01060	pav:TIA2EST22_01305
ko:K00796	pav:TIA2EST22_01385
ko:K01633	pav:TIA2EST22_01390
ko:K00950	pav:TIA2EST22_01395
ko:K00333	pav:TIA2EST22_01410
ko:K03696	pav:TIA2EST22_01420
ko:K07160	pav:TIA2EST22_01440
ko:K07071	pav:TIA2EST22_01460
ko:K03575	pav:TIA2EST22_01515
ko:K01845	pav:TIA2EST22_01520
ko:K01698	pav:TIA2EST22_01525
ko:K01749	pav:TIA2EST22_01535
ko:K00231	pav:TIA2EST22_01540
ko:K01599	pav:TIA2EST22_01545
ko:K02492	pav:TIA2EST22_01550
ko:K01772	pav:TIA2EST22_01555
ko:K07399	pav:TIA2EST22_01645
ko:K07124	pav:TIA2EST22_01660
ko:K02016	pav:TIA2EST22_01680
ko:K02013	pav:TIA2EST22_01685
ko:K02015	pav:TIA2EST22_01690
ko:K02036	pav:TIA2EST22_01700
ko:K02038	pav:TIA2EST22_01705
ko:K02037	pav:TIA2EST22_01710
ko:K02040	pav:TIA2EST22_01715
ko:K00937	pav:TIA2EST22_01725
ko:K07560	pav:TIA2EST22_01740
ko:K06980	pav:TIA2EST22_01750
ko:K00991	pav:TIA2EST22_01775
ko:K01770	pav:TIA2EST22_01780
ko:K02781	pav:TIA2EST22_01785
ko:K02774	pav:TIA2EST22_01790
ko:K07736	pav:TIA2EST22_01795
ko:K03218	pav:TIA2EST22_01890
ko:K01883	pav:TIA2EST22_01895
ko:K03088	pav:TIA2EST22_01935
ko:K01752	pav:TIA2EST22_01960
ko:K00060	pav:TIA2EST22_01985
ko:K05845	pav:TIA2EST22_01995
ko:K05846	pav:TIA2EST22_02000
ko:K05847	pav:TIA2EST22_02010
ko:K02224	pav:TIA2EST22_02160
ko:K05846	pav:TIA2EST22_02005
ko:K05895	pav:TIA2EST22_02170
ko:K02233	pav:TIA2EST22_02180
ko:K07173	pav:TIA2EST22_02225
ko:K01809	pav:TIA2EST22_02230
