ko:K14222	hie:R2846_0559
ko:K18923	hie:R2846_1391
ko:K00127	hie:R2846_0639
ko:K06148	hie:R2846_1671
ko:K19229	hie:R2846_1121
ko:K03326	hie:R2846_1742
ko:K03718	hie:R2846_0021
ko:K01082	hie:R2846_0025
ko:K00033	hie:R2846_0030
ko:K01525	hie:R2846_0032
ko:K01409	hie:R2846_0055
ko:K03317	hie:R2846_0066
ko:K03784	hie:R2846_0067
ko:K02548	hie:R2846_0074
ko:K10441	hie:R2846_0081
ko:K06726	hie:R2846_0082
ko:K02553	hie:R2846_0075
ko:K02529	hie:R2846_0077
ko:K03046	hie:R2846_0071
ko:K03304	hie:R2846_0072
ko:K02950	hie:R2846_0002
ko:K02992	hie:R2846_0003
ko:K02355	hie:R2846_0004
ko:K02358	hie:R2846_0005
ko:K07237	hie:R2846_0006
ko:K07236	hie:R2846_0007
ko:K07235	hie:R2846_0008
ko:K03745	hie:R2846_0011
ko:K04761	hie:R2846_0013
ko:K04760	hie:R2846_0015
ko:K06959	hie:R2846_0016
ko:K02470	hie:R2846_0017
ko:K01783	hie:R2846_0018
ko:K01091	hie:R2846_0019
ko:K01914	hie:R2846_0020
ko:K04762	hie:R2846_0022
ko:K00036	hie:R2846_0026
ko:K01057	hie:R2846_0027
ko:K02528	hie:R2846_0034
ko:K07270	hie:R2846_0036
ko:K02518	hie:R2846_0037
ko:K02990	hie:R2846_0038
ko:K02686	hie:R2846_0039
ko:K02963	hie:R2846_0040
ko:K02939	hie:R2846_0041
ko:K04077	hie:R2846_0042
ko:K04078	hie:R2846_0043
ko:K01430	hie:R2846_0044
ko:K01429	hie:R2846_0045
ko:K01428	hie:R2846_0046
ko:K03187	hie:R2846_0047
ko:K03188	hie:R2846_0048
ko:K03189	hie:R2846_0049
ko:K03190	hie:R2846_0050
ko:K01744	hie:R2846_0051
ko:K03086	hie:R2846_0052
ko:K02970	hie:R2846_0054
ko:K03834	hie:R2846_0057
ko:K00927	hie:R2846_0060
ko:K01624	hie:R2846_0061
ko:K02867	hie:R2846_0068
ko:K02863	hie:R2846_0069
ko:K19267	hie:R2846_1584
ko:K18136	hie:R2846_1423
ko:K04082	hie:R2846_0205
ko:K04044	hie:R2846_0207
ko:K04755	hie:R2846_0208
ko:K01892	hie:R2846_0211
ko:K15539	hie:R2846_0213
