ko:K19079	sauq:SAI4T8_1005110
ko:K00130	sauq:SAI4T8_1019520
ko:K19005	sauq:SAI4T8_1005560
ko:K19285	sauq:SAI4T8_1002890
ko:K00561	sauq:SAI4T8_1015850
ko:K00561	sauq:SAI4T8_1019350
ko:K00561	sauq:SAI4T8_1012000
ko:K05352	sauq:SAI4T8_1001970
ko:K00561	sauq:SAI4T8_1006330
ko:K18938	sauq:SAI4T8_20070
ko:K18934	sauq:SAI4T8_1016100
ko:K18934	sauq:SAI4T8_1016110
ko:K11442	sauq:SAI4T8_1016150
ko:K08168	sauq:SAI4T8_1000920
ko:K18936	sauq:SAI4T8_1017910
ko:K18935	sauq:SAI4T8_1016130
ko:K03328	sauq:SAI4T8_1000870
ko:K03328	sauq:SAI4T8_1003750
ko:K18940	sauq:SAI4T8_1010220
ko:K19975	sauq:SAI4T8_1004850
ko:K19973	sauq:SAI4T8_1004870
ko:K19080	sauq:SAI4T8_1005120
ko:K02479	sauq:SAI4T8_1013680
ko:K02483	sauq:SAI4T8_1017510
ko:K14204	sauq:SAI4T8_1014710
ko:K01046	sauq:SAI4T8_1020040
ko:K03293	sauq:SAI4T8_1009580
ko:K13714	sauq:SAI4T8_1007440
ko:K22580	sauq:SAI4T8_1007480
ko:K21462	sauq:SAI4T8_1020030
ko:K21463	sauq:SAI4T8_1017470
ko:K02499	sauq:SAI4T8_1003760
ko:K04075	sauq:SAI4T8_1003770
ko:K00760	sauq:SAI4T8_1003780
ko:K03798	sauq:SAI4T8_1003790
ko:K04083	sauq:SAI4T8_1003800
ko:K01738	sauq:SAI4T8_1003810
ko:K02071	sauq:SAI4T8_1006350
ko:K02072	sauq:SAI4T8_1006360
ko:K02073	sauq:SAI4T8_1006370
ko:K08974	sauq:SAI4T8_1006380
ko:K09013	sauq:SAI4T8_1006390
ko:K09015	sauq:SAI4T8_1006400
ko:K11717	sauq:SAI4T8_1006410
ko:K04488	sauq:SAI4T8_1006420
ko:K09014	sauq:SAI4T8_1006430
ko:K00459	sauq:SAI4T8_1006460
ko:K07090	sauq:SAI4T8_1006480
ko:K03644	sauq:SAI4T8_1006500
ko:K03367	sauq:SAI4T8_1006540
ko:K03739	sauq:SAI4T8_1006550
ko:K03740	sauq:SAI4T8_1006560
ko:K03885	sauq:SAI4T8_1006570
ko:K03885	sauq:SAI4T8_1006580
ko:K01255	sauq:SAI4T8_1006590
