ko:K07062	xcu:J159_04447
ko:K07172	xcu:J159_02338
ko:K16238	xcu:J159_02523
ko:K01436	xcu:J159_03998
ko:K19736	xcu:J159_00367
ko:K05802	xcu:J159_00540
ko:K05710	xcu:J159_03100
ko:K19611	xcu:J159_03778
ko:K11209	xcu:J159_04172
ko:K09788	xcu:J159_01273
ko:K07063	xcu:J159_00108
ko:K01007	xcu:J159_02188
ko:K12979	xcu:J159_00501
ko:K21449	xcu:J159_03703
ko:K04034	xcu:J159_01844
ko:K05874	xcu:J159_02039
ko:K02485	xcu:J159_00802
ko:K09691	xcu:J159_03758
ko:K01800	xcu:J159_03766
ko:K01829	xcu:J159_04028
ko:K20862	xcu:J159_04113
ko:K13664	xcu:J159_02746
ko:K15270	xcu:J159_00715
ko:K01184	xcu:J159_00779
ko:K06148	xcu:J159_00167
ko:K07063	xcu:J159_00034
ko:K00344	xcu:J159_01134
ko:K20074	xcu:J159_01222
ko:K12132	xcu:J159_04255
ko:K01968	xcu:J159_00379
ko:K01969	xcu:J159_00380
ko:K00253	xcu:J159_00381
ko:K07004	xcu:J159_00390
ko:K07018	xcu:J159_00395
ko:K06916	xcu:J159_00396
ko:K06181	xcu:J159_00406
ko:K03579	xcu:J159_00409
ko:K07127	xcu:J159_00411
ko:K13485	xcu:J159_00413
ko:K02083	xcu:J159_00417
ko:K00681	xcu:J159_00421
ko:K02433	xcu:J159_00422
ko:K01488	xcu:J159_00424
ko:K06901	xcu:J159_00425
ko:K07483	xcu:J159_01200
ko:K03545	xcu:J159_01207
ko:K01358	xcu:J159_01208
ko:K03544	xcu:J159_01209
ko:K01338	xcu:J159_01210
ko:K03530	xcu:J159_01211
ko:K03770	xcu:J159_01215
ko:K08307	xcu:J159_01217
ko:K01069	xcu:J159_01218
ko:K03469	xcu:J159_01220
ko:K02342	xcu:J159_01221
ko:K12982	xcu:J159_01225
ko:K11211	xcu:J159_01226
ko:K03639	xcu:J159_01228
ko:K03637	xcu:J159_01229
ko:K03636	xcu:J159_01230
ko:K03635	xcu:J159_01231
ko:K07483	xcu:J159_01234
ko:K02343	xcu:J159_01241
ko:K09747	xcu:J159_01242
ko:K06187	xcu:J159_01243
ko:K07285	xcu:J159_01245
ko:K01955	xcu:J159_02007
ko:K03624	xcu:J159_02008
ko:K07462	xcu:J159_02010
ko:K02836	xcu:J159_02019
ko:K04567	xcu:J159_02020
ko:K13815	xcu:J159_02021
ko:K10715	xcu:J159_02022
ko:K13816	xcu:J159_02023
ko:K01897	xcu:J159_02024
ko:K01681	xcu:J159_02026
ko:K01682	xcu:J159_02029
ko:K03412	xcu:J159_02032
ko:K03411	xcu:J159_02033
ko:K00575	xcu:J159_02034
ko:K03406	xcu:J159_02036
ko:K03406	xcu:J159_02041
ko:K03406	xcu:J159_02044
ko:K03407	xcu:J159_02047
ko:K03413	xcu:J159_02048
ko:K03408	xcu:J159_02050
ko:K03496	xcu:J159_02051
ko:K02557	xcu:J159_02052
ko:K02556	xcu:J159_02053
ko:K07483	xcu:J159_02829
ko:K02655	xcu:J159_02830
ko:K02674	xcu:J159_02831
ko:K02672	xcu:J159_02832
ko:K08084	xcu:J159_02833
ko:K08082	xcu:J159_02834
ko:K06966	xcu:J159_02835
ko:K07390	xcu:J159_02839
ko:K04564	xcu:J159_02840
ko:K01589	xcu:J159_02841
ko:K01588	xcu:J159_02842
ko:K00767	xcu:J159_02844
ko:K00962	xcu:J159_02846
ko:K02956	xcu:J159_02847
ko:K03177	xcu:J159_02848
ko:K02834	xcu:J159_02849
ko:K02519	xcu:J159_02850
ko:K02600	xcu:J159_02851
ko:K09748	xcu:J159_02852
ko:K00343	xcu:J159_02854
ko:K00342	xcu:J159_02855
ko:K00341	xcu:J159_02856
ko:K00340	xcu:J159_02857
ko:K00339	xcu:J159_02858
ko:K00338	xcu:J159_02859
ko:K00337	xcu:J159_02860
ko:K00336	xcu:J159_02861
ko:K00335	xcu:J159_02862
ko:K00334	xcu:J159_02863
ko:K00333	xcu:J159_02864
ko:K00332	xcu:J159_02865
ko:K00331	xcu:J159_02866
ko:K00330	xcu:J159_02867
ko:K03075	xcu:J159_02869
ko:K01803	xcu:J159_02870
ko:K00573	xcu:J159_03622
ko:K12340	xcu:J159_03623
ko:K02527	xcu:J159_03624
ko:K02517	xcu:J159_03625
ko:K00029	xcu:J159_03630
ko:K11103	xcu:J159_03631
ko:K07221	xcu:J159_03632
ko:K03288	xcu:J159_03634
ko:K06893	xcu:J159_03638
ko:K02012	xcu:J159_03642
ko:K07649	xcu:J159_03643
ko:K07774	xcu:J159_03644
ko:K07221	xcu:J159_03645
ko:K03300	xcu:J159_03646
ko:K00023	xcu:J159_03648
ko:K16211	xcu:J159_03650
ko:K05341	xcu:J159_03652
ko:K06949	xcu:J159_03655
ko:K14260	xcu:J159_03656
ko:K16088	xcu:J159_03659
ko:K07390	xcu:J159_03661
ko:K18195	xcu:J159_03666
ko:K01462	xcu:J159_03670
ko:K00537	xcu:J159_03671
ko:K03424	xcu:J159_00429
ko:K07095	xcu:J159_00272
ko:K00064	xcu:J159_00273
ko:K03929	xcu:J159_00274
ko:K02554	xcu:J159_00276
ko:K02529	xcu:J159_00281
ko:K01815	xcu:J159_00282
ko:K00065	xcu:J159_00283
ko:K01808	xcu:J159_00284
ko:K00500	xcu:J159_00288
ko:K03719	xcu:J159_00289
ko:K16088	xcu:J159_00290
ko:K07001	xcu:J159_00291
ko:K02013	xcu:J159_00293
ko:K05847	xcu:J159_00296
ko:K05845	xcu:J159_00297
ko:K05846	xcu:J159_00297
ko:K07154	xcu:J159_00301
ko:K04090	xcu:J159_00303
ko:K07088	xcu:J159_00305
ko:K03496	xcu:J159_00306
ko:K00655	xcu:J159_00311
ko:K07019	xcu:J159_00312
ko:K06910	xcu:J159_00315
ko:K06153	xcu:J159_00318
ko:K01915	xcu:J159_00319
ko:K01056	xcu:J159_01075
ko:K06942	xcu:J159_01076
ko:K02358	xcu:J159_01080
ko:K03073	xcu:J159_01082
ko:K02601	xcu:J159_01083
ko:K02867	xcu:J159_01084
ko:K02863	xcu:J159_01085
ko:K02864	xcu:J159_01086
ko:K02935	xcu:J159_01087
ko:K03043	xcu:J159_01089
ko:K03046	xcu:J159_01090
ko:K02950	xcu:J159_01091
ko:K02992	xcu:J159_01092
ko:K02355	xcu:J159_01093
ko:K02358	xcu:J159_01094
ko:K02946	xcu:J159_01095
ko:K02906	xcu:J159_01096
ko:K02926	xcu:J159_01097
ko:K02892	xcu:J159_01098
ko:K02886	xcu:J159_01099
ko:K02965	xcu:J159_01100
ko:K02890	xcu:J159_01101
ko:K02982	xcu:J159_01102
ko:K02878	xcu:J159_01103
ko:K02904	xcu:J159_01104
ko:K02961	xcu:J159_01105
ko:K02874	xcu:J159_01106
ko:K02895	xcu:J159_01107
ko:K02931	xcu:J159_01108
ko:K02954	xcu:J159_01109
ko:K02994	xcu:J159_01110
ko:K02933	xcu:J159_01111
ko:K02881	xcu:J159_01112
ko:K02988	xcu:J159_01113
ko:K02907	xcu:J159_01114
ko:K02876	xcu:J159_01115
ko:K03076	xcu:J159_01116
ko:K02952	xcu:J159_01117
ko:K02948	xcu:J159_01118
ko:K02986	xcu:J159_01119
ko:K03040	xcu:J159_01120
ko:K02879	xcu:J159_01121
ko:K03611	xcu:J159_01122
ko:K01626	xcu:J159_01124
ko:K01426	xcu:J159_01126
ko:K06207	xcu:J159_01128
ko:K03768	xcu:J159_01129
ko:K00024	xcu:J159_01130
ko:K00799	xcu:J159_01131
ko:K07175	xcu:J159_01898
ko:K03564	xcu:J159_01899
ko:K03567	xcu:J159_01901
ko:K01714	xcu:J159_01902
ko:K05524	xcu:J159_01904
ko:K00883	xcu:J159_01905
ko:K01684	xcu:J159_01907
ko:K01631	xcu:J159_01908
ko:K05970	xcu:J159_01914
ko:K01811	xcu:J159_01916
ko:K15923	xcu:J159_01917
ko:K00854	xcu:J159_01918
ko:K01805	xcu:J159_01919
ko:K01448	xcu:J159_01923
ko:K09007	xcu:J159_01924
ko:K00970	xcu:J159_01928
ko:K00950	xcu:J159_01929
ko:K00606	xcu:J159_01930
ko:K01918	xcu:J159_01931
ko:K01579	xcu:J159_01932
ko:K01810	xcu:J159_01933
ko:K07093	xcu:J159_01936
ko:K05349	xcu:J159_01937
ko:K03307	xcu:J159_01938
ko:K01218	xcu:J159_01940
ko:K15012	xcu:J159_01941
ko:K15011	xcu:J159_01942
ko:K03526	xcu:J159_01943
ko:K01779	xcu:J159_01946
ko:K00075	xcu:J159_01948
ko:K00254	xcu:J159_01949
ko:K03110	xcu:J159_02718
ko:K03575	xcu:J159_02719
ko:K05984	xcu:J159_02724
ko:K03098	xcu:J159_02727
ko:K01662	xcu:J159_02731
ko:K00720	xcu:J159_02734
ko:K00648	xcu:J159_02737
ko:K09705	xcu:J159_02739
ko:K13660	xcu:J159_02740
ko:K13659	xcu:J159_02742
ko:K13657	xcu:J159_02745
ko:K13662	xcu:J159_02748
ko:K01991	xcu:J159_02751
ko:K04764	xcu:J159_02754
ko:K01890	xcu:J159_02755
ko:K01889	xcu:J159_02756
ko:K02887	xcu:J159_02757
ko:K02916	xcu:J159_02758
ko:K02520	xcu:J159_02760
ko:K01868	xcu:J159_02761
ko:K00134	xcu:J159_03511
ko:K07275	xcu:J159_03513
ko:K02020	xcu:J159_03517
ko:K02018	xcu:J159_03518
ko:K02017	xcu:J159_03519
ko:K16088	xcu:J159_03529
ko:K00615	xcu:J159_03531
ko:K07114	xcu:J159_03534
ko:K07114	xcu:J159_03535
ko:K03924	xcu:J159_03538
ko:K02666	xcu:J159_03540
ko:K02665	xcu:J159_03541
ko:K02664	xcu:J159_03542
ko:K02663	xcu:J159_03543
ko:K02662	xcu:J159_03544
ko:K05366	xcu:J159_03545
ko:K01647	xcu:J159_03548
ko:K02909	xcu:J159_03549
ko:K01239	xcu:J159_03550
ko:K03655	xcu:J159_03551
ko:K03060	xcu:J159_03554
ko:K00942	xcu:J159_03555
ko:K00989	xcu:J159_03557
ko:K02428	xcu:J159_03559
ko:K01262	xcu:J159_03565
ko:K09895	xcu:J159_03566
ko:K00799	xcu:J159_04485
ko:K03294	xcu:J159_04487
ko:K02647	xcu:J159_04491
ko:K00865	xcu:J159_04492
ko:K01273	xcu:J159_04494
ko:K06969	xcu:J159_04496
ko:K05794	xcu:J159_04498
ko:K01126	xcu:J159_04500
ko:K02014	xcu:J159_04501
ko:K09474	xcu:J159_04502
ko:K03650	xcu:J159_04503
ko:K03217	xcu:J159_04505
ko:K03536	xcu:J159_04506
ko:K02914	xcu:J159_04507
ko:K03496	xcu:J159_00019
ko:K18841	xcu:J159_00027
ko:K18842	xcu:J159_00028
ko:K03496	xcu:J159_00041
ko:K03496	xcu:J159_00060
ko:K07171	xcu:J159_00074
ko:K03194	xcu:J159_00078
ko:K03196	xcu:J159_00079
ko:K12994	xcu:J159_00151
ko:K12995	xcu:J159_00152
ko:K03606	xcu:J159_00153
ko:K01791	xcu:J159_00154
ko:K05946	xcu:J159_00156
ko:K01953	xcu:J159_00161
ko:K01953	xcu:J159_00169
ko:K07502	xcu:J159_00190
ko:K06877	xcu:J159_00191
ko:K11068	xcu:J159_00192
ko:K00059	xcu:J159_00196
ko:K00355	xcu:J159_00201
ko:K07483	xcu:J159_00203
ko:K15555	xcu:J159_00971
ko:K15554	xcu:J159_00972
ko:K15553	xcu:J159_00973
ko:K04091	xcu:J159_00974
ko:K00299	xcu:J159_00975
ko:K02014	xcu:J159_00976
ko:K02035	xcu:J159_00980
ko:K02033	xcu:J159_00981
ko:K02034	xcu:J159_00982
ko:K02031	xcu:J159_00984
ko:K02032	xcu:J159_00984
ko:K01525	xcu:J159_00985
ko:K06195	xcu:J159_00986
ko:K02528	xcu:J159_00987
ko:K00097	xcu:J159_00988
ko:K03771	xcu:J159_00989
ko:K04744	xcu:J159_00990
ko:K00798	xcu:J159_00994
ko:K03185	xcu:J159_00996
ko:K03184	xcu:J159_00997
ko:K11475	xcu:J159_01001
ko:K04101	xcu:J159_01002
ko:K04100	xcu:J159_01003
ko:K02623	xcu:J159_01004
ko:K00666	xcu:J159_01005
ko:K18383	xcu:J159_01007
ko:K06968	xcu:J159_01013
ko:K01886	xcu:J159_01017
ko:K01745	xcu:J159_01786
ko:K01468	xcu:J159_01787
ko:K05836	xcu:J159_01789
ko:K17247	xcu:J159_01795
ko:K00831	xcu:J159_01797
ko:K14170	xcu:J159_01798
ko:K00800	xcu:J159_01799
ko:K03832	xcu:J159_01800
ko:K01875	xcu:J159_01802
ko:K01118	xcu:J159_01803
