ko:K15581	sew:SeSA_A1879
ko:K11733	sew:SeSA_A2439
ko:K05365	sew:SeSA_A0218
ko:K02412	sew:SeSA_A2130
ko:K05515	sew:SeSA_A0800
ko:K02411	sew:SeSA_A2129
ko:K05515	sew:SeSA_A2065
ko:K08358	sew:SeSA_A1482
ko:K08357	sew:SeSA_A1480
ko:K06133	sew:SeSA_A3775
ko:K07229	sew:SeSA_A3404
ko:K06146	sew:SeSA_A4736
ko:K11746	sew:SeSA_A0095
ko:K07781	sew:SeSA_A2141
ko:K00850	sew:SeSA_A4279
ko:K02409	sew:SeSA_A2127
ko:K03765	sew:SeSA_A2799
ko:K00244	sew:SeSA_A4613
ko:K07052	sew:SeSA_A2606
ko:K02511	sew:SeSA_A1171
ko:K02417	sew:SeSA_A2135
ko:K08478	sew:SeSA_A2628
ko:K00833	sew:SeSA_A0943
ko:K02506	sew:SeSA_A3638
ko:K08475	sew:SeSA_A2626
ko:K00652	sew:SeSA_A0945
ko:K01610	sew:SeSA_A3698
ko:K03587	sew:SeSA_A1980
ko:K02799	sew:SeSA_A3253
ko:K02800	sew:SeSA_A3253
ko:K02778	sew:SeSA_A1279
ko:K02779	sew:SeSA_A1279
ko:K01961	sew:SeSA_A3572
ko:K04022	sew:SeSA_A2695
ko:K11183	sew:SeSA_A2445
ko:K02768	sew:SeSA_A2445
ko:K01223	sew:SeSA_A3220
ko:K02761	sew:SeSA_A1410
ko:K08476	sew:SeSA_A2625
ko:K06221	sew:SeSA_A3349
ko:K01222	sew:SeSA_A1413
ko:K08298	sew:SeSA_A0080
ko:K05366	sew:SeSA_A3690
ko:K03587	sew:SeSA_A0138
ko:K05367	sew:SeSA_A2770
ko:K10823	sew:SeSA_A1876
ko:K18138	sew:SeSA_A0535
ko:K19092	sew:SeSA_A3113
ko:K13041	sew:SeSA_A1484
ko:K03077	sew:SeSA_A4656
ko:K01524	sew:SeSA_A2740
ko:K00631	sew:SeSA_A4427
ko:K03101	sew:SeSA_A0051
ko:K06866	sew:SeSA_A2840
ko:K02769	sew:SeSA_A2443
ko:K02770	sew:SeSA_A2443
ko:K09973	sew:SeSA_A0560
ko:K02781	sew:SeSA_A2985
ko:K03557	sew:SeSA_A3577
ko:K01963	sew:SeSA_A2596
ko:K03609	sew:SeSA_A1957
ko:K03110	sew:SeSA_A3763
ko:K11250	sew:SeSA_A1359
ko:K04564	sew:SeSA_A1527
ko:K11249	sew:SeSA_A2839
ko:K05851	sew:SeSA_A4152
ko:K09980	sew:SeSA_A4638
ko:K02793	sew:SeSA_A1973
ko:K02794	sew:SeSA_A1973
ko:K01714	sew:SeSA_A2723
ko:K05516	sew:SeSA_A1176
ko:K03666	sew:SeSA_A4629
ko:K00230	sew:SeSA_A4194
ko:K02498	sew:SeSA_A4148
ko:K05804	sew:SeSA_A4837
ko:K07636	sew:SeSA_A0455
ko:K05966	sew:SeSA_A0778
ko:K07306	sew:SeSA_A1078
ko:K05964	sew:SeSA_A0068
ko:K05966	sew:SeSA_A0069
ko:K07306	sew:SeSA_A4560
ko:K03610	sew:SeSA_A1956
ko:K03225	sew:SeSA_A3044
ko:K03225	sew:SeSA_A1514
ko:K02484	sew:SeSA_A1159
ko:K02483	sew:SeSA_A1160
ko:K03226	sew:SeSA_A1515
ko:K02621	sew:SeSA_A3360
ko:K02160	sew:SeSA_A3571
ko:K04103	sew:SeSA_A2639
ko:K03608	sew:SeSA_A1958
ko:K01515	sew:SeSA_A3371
ko:K01581	sew:SeSA_A3289
ko:K02420	sew:SeSA_A2138
ko:K06934	sew:SeSA_A3244
ko:K04564	sew:SeSA_A4272
ko:K02821	sew:SeSA_A4653
ko:K00219	sew:SeSA_A3410
ko:K04565	sew:SeSA_A1537
ko:K18923	sew:SeSA_A1656
ko:K07274	sew:SeSA_A1380
ko:K08723	sew:SeSA_A4812
ko:K02809	sew:SeSA_A2813
ko:K02810	sew:SeSA_A2813
ko:K01673	sew:SeSA_A0190
ko:K02783	sew:SeSA_A2983
ko:K00658	sew:SeSA_A0893
ko:K04652	sew:SeSA_A3008
ko:K02798	sew:SeSA_A3254
ko:K03224	sew:SeSA_A1511
ko:K07347	sew:SeSA_A0025
ko:K06871	sew:SeSA_A0041
ko:K03313	sew:SeSA_A0044
ko:K03717	sew:SeSA_A0045
ko:K01811	sew:SeSA_A0046
ko:K02968	sew:SeSA_A0048
ko:K01870	sew:SeSA_A0050
ko:K03774	sew:SeSA_A0053
ko:K03527	sew:SeSA_A0054
ko:K03521	sew:SeSA_A1006
ko:K03522	sew:SeSA_A1007
ko:K09709	sew:SeSA_A1008
ko:K00311	sew:SeSA_A1010
ko:K07258	sew:SeSA_A1015
ko:K08160	sew:SeSA_A1018
ko:K07085	sew:SeSA_A1023
ko:K03674	sew:SeSA_A1025
ko:K10678	sew:SeSA_A1027
ko:K05844	sew:SeSA_A1028
ko:K11073	sew:SeSA_A1030
ko:K11076	sew:SeSA_A1031
ko:K11075	sew:SeSA_A1032
ko:K11074	sew:SeSA_A1033
ko:K03212	sew:SeSA_A1035
ko:K03475	sew:SeSA_A1037
ko:K09996	sew:SeSA_A1041
ko:K09998	sew:SeSA_A1042
ko:K09999	sew:SeSA_A1043
ko:K09997	sew:SeSA_A1044
ko:K10000	sew:SeSA_A1045
ko:K11066	sew:SeSA_A1048
ko:K01620	sew:SeSA_A1051
ko:K00156	sew:SeSA_A1052
ko:K01665	sew:SeSA_A1968
ko:K01752	sew:SeSA_A1970
ko:K02795	sew:SeSA_A1974
ko:K02796	sew:SeSA_A1975
ko:K00563	sew:SeSA_A1979
ko:K03704	sew:SeSA_A1981
ko:K03799	sew:SeSA_A1987
ko:K03797	sew:SeSA_A1988
ko:K03607	sew:SeSA_A1989
ko:K03808	sew:SeSA_A1991
ko:K07156	sew:SeSA_A2029
ko:K02345	sew:SeSA_A2030
ko:K10857	sew:SeSA_A2032
ko:K01354	sew:SeSA_A2033
ko:K00858	sew:SeSA_A2878
ko:K03631	sew:SeSA_A2879
ko:K06186	sew:SeSA_A2880
ko:K09801	sew:SeSA_A2881
ko:K03664	sew:SeSA_A2883
ko:K02406	sew:SeSA_A2912
ko:K09824	sew:SeSA_A2922
ko:K07241	sew:SeSA_A2926
ko:K07649	sew:SeSA_A2927
ko:K07795	sew:SeSA_A2930
ko:K07115	sew:SeSA_A3789
ko:K00383	sew:SeSA_A3791
ko:K03710	sew:SeSA_A3796
ko:K01194	sew:SeSA_A3797
ko:K07058	sew:SeSA_A3802
ko:K07290	sew:SeSA_A3804
ko:K11103	sew:SeSA_A3809
ko:K01246	sew:SeSA_A3837
ko:K03826	sew:SeSA_A3838
ko:K03704	sew:SeSA_A3845
ko:K00610	sew:SeSA_A4712
ko:K00926	sew:SeSA_A4720
ko:K01478	sew:SeSA_A4721
ko:K00611	sew:SeSA_A4724
ko:K09893	sew:SeSA_A4725
ko:K06169	sew:SeSA_A4726
ko:K03828	sew:SeSA_A4729
ko:K01873	sew:SeSA_A4731
ko:K02339	sew:SeSA_A4732
ko:K01255	sew:SeSA_A4733
ko:K07091	sew:SeSA_A4734
ko:K00098	sew:SeSA_A4739
ko:K00851	sew:SeSA_A4740
ko:K01867	sew:SeSA_A4762
ko:K01305	sew:SeSA_A4768
ko:K00525	sew:SeSA_A2955
ko:K00526	sew:SeSA_A2956
ko:K03543	sew:SeSA_A2962
ko:K07173	sew:SeSA_A2966
ko:K01919	sew:SeSA_A2968
ko:K03563	sew:SeSA_A2977
ko:K01872	sew:SeSA_A2978
ko:K03565	sew:SeSA_A2979
ko:K03553	sew:SeSA_A2980
ko:K03743	sew:SeSA_A2981
ko:K00068	sew:SeSA_A2986
ko:K02466	sew:SeSA_A2987
ko:K02467	sew:SeSA_A2989
ko:K04656	sew:SeSA_A2993
ko:K05796	sew:SeSA_A2994
ko:K08315	sew:SeSA_A2997
ko:K01879	sew:SeSA_A3849
ko:K01878	sew:SeSA_A3850
ko:K01805	sew:SeSA_A3857
ko:K03796	sew:SeSA_A3860
ko:K00880	sew:SeSA_A3872
ko:K09955	sew:SeSA_A3877
ko:K03833	sew:SeSA_A3882
ko:K01042	sew:SeSA_A3883
ko:K00009	sew:SeSA_A3886
ko:K02562	sew:SeSA_A3887
ko:K00427	sew:SeSA_A3893
ko:K00101	sew:SeSA_A3895
ko:K03216	sew:SeSA_A3896
ko:K00640	sew:SeSA_A3898
ko:K00057	sew:SeSA_A3899
ko:K03071	sew:SeSA_A3900
ko:K03676	sew:SeSA_A3901
ko:K09798	sew:SeSA_A3905
ko:K00639	sew:SeSA_A3908
ko:K00135	sew:SeSA_A4778
ko:K02072	sew:SeSA_A0576
ko:K06917	sew:SeSA_A0577
ko:K01589	sew:SeSA_A0578
ko:K01588	sew:SeSA_A0579
ko:K03269	sew:SeSA_A0580
ko:K01883	sew:SeSA_A0582
ko:K07345	sew:SeSA_A0588
ko:K07347	sew:SeSA_A0591
ko:K06077	sew:SeSA_A1542
ko:K00275	sew:SeSA_A1545
ko:K01866	sew:SeSA_A1546
ko:K03305	sew:SeSA_A1549
ko:K10773	sew:SeSA_A1551
ko:K03613	sew:SeSA_A1552
ko:K03612	sew:SeSA_A1553
ko:K03614	sew:SeSA_A1554
ko:K03615	sew:SeSA_A1555
ko:K03616	sew:SeSA_A1556
ko:K03617	sew:SeSA_A1557
ko:K01676	sew:SeSA_A1567
ko:K01679	sew:SeSA_A1568
ko:K10748	sew:SeSA_A1569
ko:K07661	sew:SeSA_A1575
ko:K03758	sew:SeSA_A1577
ko:K00324	sew:SeSA_A1579
ko:K00325	sew:SeSA_A1580
ko:K01935	sew:SeSA_A1591
ko:K03281	sew:SeSA_A1592
ko:K05846	sew:SeSA_A1594
ko:K05846	sew:SeSA_A1596
ko:K07552	sew:SeSA_A2461
ko:K02897	sew:SeSA_A2464
ko:K06899	sew:SeSA_A2465
ko:K09904	sew:SeSA_A2466
