ko:K00984	seeh:SEEH1578_15545
ko:K07497	seeh:SEEH1578_22655
ko:K18138	seeh:SEEH1578_11800
ko:K19092	seeh:SEEH1578_00830
ko:K14218	seeh:SEEH1578_t23500
ko:K14218	seeh:SEEH1578_t23534
ko:K14218	seeh:SEEH1578_t23504
ko:K18923	seeh:SEEH1578_23791
ko:K14230	seeh:SEEH1578_t23462
ko:K14230	seeh:SEEH1578_t23464
ko:K14230	seeh:SEEH1578_t23472
ko:K14234	seeh:SEEH1578_t23476
ko:K14232	seeh:SEEH1578_t23496
ko:K14234	seeh:SEEH1578_t23506
ko:K14225	seeh:SEEH1578_t23510
ko:K14225	seeh:SEEH1578_t23518
ko:K14225	seeh:SEEH1578_t23520
ko:K14225	seeh:SEEH1578_t23592
ko:K14225	seeh:SEEH1578_t23522
ko:K14228	seeh:SEEH1578_t23556
ko:K19504	seeh:SEEH1578_08750
ko:K19124	seeh:SEEH1578_00710
ko:K03297	seeh:SEEH1578_17515
ko:K19595	seeh:SEEH1578_11175
ko:K01990	seeh:SEEH1578_13480
ko:K09690	seeh:SEEH1578_13020
ko:K02345	seeh:SEEH1578_18685
ko:K08151	seeh:SEEH1578_00495
ko:K03111	seeh:SEEH1578_07445
ko:K18968	seeh:SEEH1578_11345
ko:K06148	seeh:SEEH1578_07475
ko:K19611	seeh:SEEH1578_22700
ko:K14744	seeh:SEEH1578_14385
ko:K00526	seeh:SEEH1578_20665
ko:K18984	seeh:SEEH1578_16215
ko:K00287	seeh:SEEH1578_09465
ko:K02495	seeh:SEEH1578_06070
ko:K19221	seeh:SEEH1578_17865
ko:K03111	seeh:SEEH1578_00230
ko:K00254	seeh:SEEH1578_14530
ko:K00537	seeh:SEEH1578_01285
ko:K12455	seeh:SEEH1578_19725
ko:K18288	seeh:SEEH1578_01715
ko:K13654	seeh:SEEH1578_17185
ko:K01139	seeh:SEEH1578_04800
ko:K07274	seeh:SEEH1578_15655
ko:K19230	seeh:SEEH1578_17745
ko:K18816	seeh:SEEH1578_17340
ko:K07012	seeh:SEEH1578_00725
ko:K01420	seeh:SEEH1578_17560
ko:K09477	seeh:SEEH1578_12520
ko:K03417	seeh:SEEH1578_11260
ko:K00151	seeh:SEEH1578_14735
ko:K00265	seeh:SEEH1578_02755
ko:K04017	seeh:SEEH1578_07575
ko:K03779	seeh:SEEH1578_02875
ko:K00951	seeh:SEEH1578_00840
ko:K17713	seeh:SEEH1578_21915
ko:K03604	seeh:SEEH1578_16375
ko:K06075	seeh:SEEH1578_16450
ko:K07245	seeh:SEEH1578_18675
ko:K08302	seeh:SEEH1578_02400
ko:K13926	seeh:SEEH1578_04000
ko:K01993	seeh:SEEH1578_04005
ko:K07007	seeh:SEEH1578_04010
ko:K16322	seeh:SEEH1578_04015
ko:K06144	seeh:SEEH1578_04020
ko:K03305	seeh:SEEH1578_04030
ko:K15984	seeh:SEEH1578_04035
ko:K01414	seeh:SEEH1578_04040
ko:K07115	seeh:SEEH1578_04050
ko:K03710	seeh:SEEH1578_04080
ko:K01194	seeh:SEEH1578_04085
ko:K07058	seeh:SEEH1578_04120
ko:K07290	seeh:SEEH1578_04130
ko:K00874	seeh:SEEH1578_04140
ko:K11103	seeh:SEEH1578_04150
ko:K00694	seeh:SEEH1578_04175
ko:K12372	seeh:SEEH1578_04220
ko:K12371	seeh:SEEH1578_04225
ko:K12370	seeh:SEEH1578_04230
ko:K12369	seeh:SEEH1578_04235
ko:K12368	seeh:SEEH1578_04240
ko:K07406	seeh:SEEH1578_07670
ko:K01676	seeh:SEEH1578_07680
ko:K07703	seeh:SEEH1578_07690
ko:K07701	seeh:SEEH1578_07695
ko:K07306	seeh:SEEH1578_07700
ko:K09474	seeh:SEEH1578_07785
ko:K04084	seeh:SEEH1578_07800
ko:K03926	seeh:SEEH1578_07805
ko:K07791	seeh:SEEH1578_07810
ko:K01744	seeh:SEEH1578_07815
ko:K07113	seeh:SEEH1578_07820
ko:K16263	seeh:SEEH1578_07825
ko:K04078	seeh:SEEH1578_07830
ko:K04077	seeh:SEEH1578_07835
ko:K02356	seeh:SEEH1578_07855
ko:K16347	seeh:SEEH1578_07860
ko:K16348	seeh:SEEH1578_07865
ko:K03098	seeh:SEEH1578_07880
ko:K00246	seeh:SEEH1578_07890
ko:K04568	seeh:SEEH1578_07905
ko:K03072	seeh:SEEH1578_11465
ko:K03074	seeh:SEEH1578_11470
ko:K06996	seeh:SEEH1578_11475
ko:K05517	seeh:SEEH1578_11495
ko:K07738	seeh:SEEH1578_11505
ko:K11752	seeh:SEEH1578_11510
ko:K00794	seeh:SEEH1578_11515
ko:K03625	seeh:SEEH1578_11520
ko:K00946	seeh:SEEH1578_11525
