ko:K00942	aby:ABAYE0312
ko:K00626	aby:ABAYE0638
ko:K00564	aby:ABAYE0644
ko:K03527	aby:ABAYE0313
ko:K00554	aby:ABAYE0323
ko:K01046	aby:ABAYE0325
ko:K01881	aby:ABAYE0663
ko:K01439	aby:ABAYE0676
ko:K01754	aby:ABAYE0691
ko:K00058	aby:ABAYE0332
ko:K00261	aby:ABAYE0351
ko:K00635	aby:ABAYE0708
ko:K00355	aby:ABAYE0712
ko:K06153	aby:ABAYE0716
ko:K00795	aby:ABAYE0722
ko:K01873	aby:ABAYE0740
ko:K01875	aby:ABAYE0757
ko:K00673	aby:ABAYE0353
ko:K00014	aby:ABAYE0377
ko:K00228	aby:ABAYE0378
ko:K01497	aby:ABAYE0379
ko:K01662	aby:ABAYE0381
ko:K01092	aby:ABAYE0382
ko:K00255	aby:ABAYE0436
ko:K01414	aby:ABAYE0444
ko:K00097	aby:ABAYE0489
ko:K01760	aby:ABAYE0405
ko:K01933	aby:ABAYE0889
ko:K01129	aby:ABAYE0911
ko:K01952	aby:ABAYE0912
ko:K00674	aby:ABAYE0923
ko:K00943	aby:ABAYE0933
ko:K00278	aby:ABAYE0935
ko:K03100	aby:ABAYE0939
ko:K00134	aby:ABAYE0958
ko:K00931	aby:ABAYE0962
ko:K01791	aby:ABAYE0969
ko:K01669	aby:ABAYE0975
ko:K00031	aby:ABAYE0980
ko:K00031	aby:ABAYE0982
ko:K00788	aby:ABAYE1010
ko:K01845	aby:ABAYE1011
ko:K00836	aby:ABAYE1026
ko:K01756	aby:ABAYE1039
ko:K00566	aby:ABAYE1041
ko:K01590	aby:ABAYE1098
ko:K01599	aby:ABAYE1106
ko:K01495	aby:ABAYE1113
ko:K01609	aby:ABAYE1118
ko:K00766	aby:ABAYE1119
ko:K01915	aby:ABAYE1126
ko:K00297	aby:ABAYE1141
ko:K01251	aby:ABAYE1142
ko:K01607	aby:ABAYE1144
ko:K00322	aby:ABAYE1147
ko:K01265	aby:ABAYE1152
ko:K00600	aby:ABAYE1171
ko:K00528	aby:ABAYE1186
ko:K00858	aby:ABAYE1199
ko:K00255	aby:ABAYE1204
ko:K01270	aby:ABAYE1209
