ko:K08744	mtut:HKBT1_1911
ko:K07029	mtut:HKBT1_2376
ko:K08884	mtut:HKBT1_3059
ko:K12349	mtut:HKBT1_0704
ko:K22476	mtut:HKBT1_0445
ko:K07171	mtut:HKBT1_2095
ko:K07171	mtut:HKBT1_0474
ko:K03297	mtut:HKBT1_3220
ko:K21431	mtut:HKBT1_0896
ko:K22316	mtut:HKBT1_2350
ko:K07171	mtut:HKBT1_1167
ko:K18956	mtut:HKBT1_0027
ko:K18957	mtut:HKBT1_4076
ko:K18958	mtut:HKBT1_3368
ko:K18955	mtut:HKBT1_3436
ko:K07068	mtut:HKBT1_1717
ko:K07448	mtut:HKBT1_2669
ko:K00561	mtut:HKBT1_2091
ko:K00681	mtut:HKBT1_0812
ko:K19311	mtut:HKBT1_3376
ko:K09144	mtut:HKBT1_2968
ko:K00344	mtut:HKBT1_3305
ko:K07493	mtut:HKBT1_3634
ko:K07493	mtut:HKBT1_3841
ko:K07064	mtut:HKBT1_3008
ko:K07064	mtut:HKBT1_3500
ko:K07064	mtut:HKBT1_3902
ko:K21688	mtut:HKBT1_1061
ko:K07100	mtut:HKBT1_0595
ko:K07486	mtut:HKBT1_2295
ko:K00897	mtut:HKBT1_4030
ko:K19139	mtut:HKBT1_2962
ko:K00805	mtut:HKBT1_1039
ko:K00963	mtut:HKBT1_1043
ko:K03750	mtut:HKBT1_1044
ko:K03790	mtut:HKBT1_1045
ko:K01478	mtut:HKBT1_1053
ko:K07056	mtut:HKBT1_1055
ko:K01665	mtut:HKBT1_1057
ko:K01874	mtut:HKBT1_1059
ko:K03424	mtut:HKBT1_1060
ko:K02528	mtut:HKBT1_1062
ko:K00919	mtut:HKBT1_1063
ko:K00666	mtut:HKBT1_1065
ko:K01056	mtut:HKBT1_1066
ko:K02897	mtut:HKBT1_1067
ko:K00948	mtut:HKBT1_1069
ko:K04042	mtut:HKBT1_1070
ko:K03723	mtut:HKBT1_1072
ko:K02428	mtut:HKBT1_1073
ko:K01689	mtut:HKBT1_1075
ko:K09009	mtut:HKBT1_1077
ko:K01524	mtut:HKBT1_1078
ko:K07667	mtut:HKBT1_1080
ko:K07646	mtut:HKBT1_1081
ko:K01546	mtut:HKBT1_1083
ko:K01547	mtut:HKBT1_1084
ko:K01548	mtut:HKBT1_1085
ko:K07656	mtut:HKBT1_1086
ko:K07672	mtut:HKBT1_1087
ko:K02961	mtut:HKBT1_0746
ko:K01130	mtut:HKBT1_0747
ko:K02874	mtut:HKBT1_0750
ko:K02895	mtut:HKBT1_0751
ko:K02931	mtut:HKBT1_0752
ko:K02954	mtut:HKBT1_0753
ko:K02994	mtut:HKBT1_0754
ko:K02933	mtut:HKBT1_0755
ko:K02881	mtut:HKBT1_0756
ko:K02988	mtut:HKBT1_0757
ko:K02907	mtut:HKBT1_0758
ko:K02876	mtut:HKBT1_0759
ko:K04773	mtut:HKBT1_0760
ko:K01628	mtut:HKBT1_0763
ko:K00058	mtut:HKBT1_0764
ko:K00854	mtut:HKBT1_0765
ko:K03076	mtut:HKBT1_0768
ko:K02168	mtut:HKBT1_0965
ko:K03322	mtut:HKBT1_0972
ko:K00076	mtut:HKBT1_0975
ko:K02040	mtut:HKBT1_0976
ko:K02037	mtut:HKBT1_0977
