ko:K13060	yet:CH48_48
ko:K08723	yet:CH48_3757
ko:K21029	yet:CH48_3043
ko:K00638	yet:CH48_3432
ko:K15634	yet:CH48_1007
ko:K01990	yet:CH48_2980
ko:K19734	yet:CH48_47
ko:K05802	yet:CH48_1267
ko:K19221	yet:CH48_1487
ko:K19230	yet:CH48_3699
ko:K19227	yet:CH48_3702
ko:K01985	yet:CH48_1695
ko:K01985	yet:CH48_1976
ko:K01985	yet:CH48_2576
ko:K01985	yet:CH48_1825
ko:K01985	yet:CH48_2018
ko:K01985	yet:CH48_1316
ko:K01985	yet:CH48_697
ko:K19229	yet:CH48_3700
ko:K14231	yet:CH48_1250
ko:K14231	yet:CH48_2407
ko:K14232	yet:CH48_1544
ko:K14232	yet:CH48_1879
ko:K02495	yet:CH48_1706
ko:K01046	yet:CH48_3438
ko:K19789	yet:CH48_225
ko:K00344	yet:CH48_2051
ko:K21430	yet:CH48_636
ko:K21908	yet:CH48_2223
ko:K02081	yet:CH48_3508
ko:K01271	yet:CH48_1968
ko:K03973	yet:CH48_3709
ko:K00632	yet:CH48_1965
ko:K04057	yet:CH48_4209
ko:K21365	yet:CH48_2757
ko:K02032	yet:CH48_653
ko:K05799	yet:CH48_909
ko:K03293	yet:CH48_1874
ko:K04753	yet:CH48_2265
ko:K05874	yet:CH48_3292
ko:K05934	yet:CH48_3165
ko:K05874	yet:CH48_789
ko:K01977	yet:CH48_1320
ko:K14236	yet:CH48_1984
ko:K14236	yet:CH48_3940
ko:K14236	yet:CH48_3941
ko:K14223	yet:CH48_2834
ko:K14229	yet:CH48_2899
ko:K20861	yet:CH48_4011
ko:K04103	yet:CH48_396
ko:K02465	yet:CH48_793
ko:K02460	yet:CH48_797
ko:K02459	yet:CH48_798
ko:K02458	yet:CH48_799
ko:K02456	yet:CH48_800
ko:K02455	yet:CH48_801
ko:K02454	yet:CH48_802
ko:K02453	yet:CH48_803
ko:K02452	yet:CH48_804
ko:K01673	yet:CH48_806
ko:K18997	yet:CH48_809
ko:K05516	yet:CH48_810
ko:K13655	yet:CH48_817
ko:K13651	yet:CH48_818
ko:K04567	yet:CH48_831
ko:K02836	yet:CH48_832
ko:K07462	yet:CH48_833
ko:K03981	yet:CH48_834
ko:K04763	yet:CH48_835
ko:K03840	yet:CH48_836
ko:K06143	yet:CH48_837
ko:K07641	yet:CH48_838
ko:K07663	yet:CH48_839
ko:K09159	yet:CH48_841
ko:K06980	yet:CH48_842
ko:K11068	yet:CH48_844
ko:K07023	yet:CH48_845
ko:K03406	yet:CH48_1645
ko:K06901	yet:CH48_1650
ko:K02029	yet:CH48_1651
ko:K02029	yet:CH48_1653
ko:K02030	yet:CH48_1654
ko:K02039	yet:CH48_1656
ko:K02036	yet:CH48_1657
ko:K02038	yet:CH48_1658
ko:K02037	yet:CH48_1659
ko:K02040	yet:CH48_1660
ko:K00820	yet:CH48_1662
ko:K04042	yet:CH48_1663
ko:K02114	yet:CH48_1664
ko:K02112	yet:CH48_1665
ko:K02115	yet:CH48_1666
ko:K02111	yet:CH48_1667
ko:K02113	yet:CH48_1668
ko:K02109	yet:CH48_1669
ko:K02110	yet:CH48_1670
ko:K02108	yet:CH48_1671
ko:K02116	yet:CH48_1672
ko:K03501	yet:CH48_1673
ko:K03495	yet:CH48_1674
ko:K06205	yet:CH48_1675
ko:K03718	yet:CH48_1676
ko:K01914	yet:CH48_1677
ko:K03924	yet:CH48_1680
ko:K03549	yet:CH48_1681
ko:K06726	yet:CH48_1682
ko:K10441	yet:CH48_1683
ko:K10440	yet:CH48_1684
ko:K10439	yet:CH48_1685
ko:K00852	yet:CH48_1686
ko:K02529	yet:CH48_1688
ko:K02815	yet:CH48_2515
ko:K02814	yet:CH48_2516
ko:K02813	yet:CH48_2517
ko:K02812	yet:CH48_2518
ko:K01999	yet:CH48_2522
ko:K01996	yet:CH48_2524
ko:K01995	yet:CH48_2525
ko:K01998	yet:CH48_2526
ko:K01997	yet:CH48_2527
ko:K01999	yet:CH48_2528
ko:K01676	yet:CH48_2529
ko:K07306	yet:CH48_2530
ko:K07307	yet:CH48_2531
ko:K07308	yet:CH48_2532
ko:K03743	yet:CH48_2537
ko:K03565	yet:CH48_2539
ko:K01872	yet:CH48_2540
ko:K03563	yet:CH48_2541
ko:K01919	yet:CH48_2548
ko:K07173	yet:CH48_2549
ko:K03106	yet:CH48_2553
ko:K02959	yet:CH48_2554
ko:K02860	yet:CH48_2555
ko:K00554	yet:CH48_2556
ko:K02884	yet:CH48_2557
ko:K07283	yet:CH48_2558
ko:K07792	yet:CH48_2559
ko:K02477	yet:CH48_2560
ko:K01626	yet:CH48_2561
ko:K14187	yet:CH48_2562
ko:K14170	yet:CH48_2563
ko:K03695	yet:CH48_2566
ko:K05810	yet:CH48_2567
ko:K09021	yet:CH48_3372
ko:K09020	yet:CH48_3373
ko:K09018	yet:CH48_3374
ko:K11737	yet:CH48_3376
ko:K01176	yet:CH48_3382
ko:K07689	yet:CH48_3386
ko:K03703	yet:CH48_3387
ko:K00995	yet:CH48_3388
ko:K07473	yet:CH48_3406
ko:K09803	yet:CH48_3416
ko:K16089	yet:CH48_186
ko:K02013	yet:CH48_187
ko:K02015	yet:CH48_188
ko:K11733	yet:CH48_189
ko:K01151	yet:CH48_195
ko:K07347	yet:CH48_196
ko:K02769	yet:CH48_201
ko:K02770	yet:CH48_201
ko:K00882	yet:CH48_202
ko:K02768	yet:CH48_203
ko:K11183	yet:CH48_203
ko:K03532	yet:CH48_205
ko:K07812	yet:CH48_206
ko:K06940	yet:CH48_207
ko:K03835	yet:CH48_208
ko:K02356	yet:CH48_209
ko:K01686	yet:CH48_210
ko:K00040	yet:CH48_211
ko:K13637	yet:CH48_212
ko:K13694	yet:CH48_216
ko:K13893	yet:CH48_218
ko:K13894	yet:CH48_219
ko:K13895	yet:CH48_220
ko:K13896	yet:CH48_221
ko:K07552	yet:CH48_223
ko:K06183	yet:CH48_224
ko:K02897	yet:CH48_226
ko:K06899	yet:CH48_227
ko:K09904	yet:CH48_228
ko:K07014	yet:CH48_229
ko:K07483	yet:CH48_235
ko:K01674	yet:CH48_239
ko:K01223	yet:CH48_240
ko:K05878	yet:CH48_1060
ko:K00005	yet:CH48_1061
ko:K01478	yet:CH48_1064
ko:K03758	yet:CH48_1065
ko:K02849	yet:CH48_1067
ko:K11216	yet:CH48_1068
ko:K11531	yet:CH48_1069
ko:K10558	yet:CH48_1070
ko:K10556	yet:CH48_1071
ko:K10557	yet:CH48_1072
ko:K10555	yet:CH48_1073
ko:K08321	yet:CH48_1074
ko:K11530	yet:CH48_1075
