ko:K19405	cthj:CTRC953_03555
ko:K01921	cthj:CTRC953_04025
ko:K01924	cthj:CTRC953_04025
ko:K03559	cthj:CTRC953_03135
ko:K14233	cthj:CTRC953_t04713
ko:K14228	cthj:CTRC953_t04719
ko:K14219	cthj:CTRC953_t04721
ko:K14219	cthj:CTRC953_t04737
ko:K14228	cthj:CTRC953_t04727
ko:K14228	cthj:CTRC953_t04729
ko:K14232	cthj:CTRC953_t04733
ko:K14218	cthj:CTRC953_t04735
ko:K04084	cthj:CTRC953_03125
ko:K09779	cthj:CTRC953_00010
ko:K02435	cthj:CTRC953_00015
ko:K02434	cthj:CTRC953_00025
ko:K02517	cthj:CTRC953_00055
ko:K00425	cthj:CTRC953_00070
ko:K00426	cthj:CTRC953_00075
ko:K07175	cthj:CTRC953_00080
ko:K06966	cthj:CTRC953_02010
ko:K09131	cthj:CTRC953_02015
ko:K10206	cthj:CTRC953_02025
ko:K01881	cthj:CTRC953_02040
ko:K03705	cthj:CTRC953_02045
ko:K03687	cthj:CTRC953_02050
ko:K04043	cthj:CTRC953_02055
ko:K12573	cthj:CTRC953_02060
ko:K07164	cthj:CTRC953_02065
ko:K06041	cthj:CTRC953_02070
ko:K00658	cthj:CTRC953_02075
ko:K00912	cthj:CTRC953_02085
ko:K03437	cthj:CTRC953_02090
ko:K06969	cthj:CTRC953_02095
ko:K00793	cthj:CTRC953_02100
ko:K07738	cthj:CTRC953_02105
ko:K06204	cthj:CTRC953_02110
ko:K03101	cthj:CTRC953_02115
ko:K03310	cthj:CTRC953_02120
ko:K03230	cthj:CTRC953_00470
ko:K03229	cthj:CTRC953_00475
ko:K06942	cthj:CTRC953_00480
ko:K11753	cthj:CTRC953_00485
ko:K02834	cthj:CTRC953_00495
ko:K02519	cthj:CTRC953_00500
ko:K02600	cthj:CTRC953_00505
ko:K02945	cthj:CTRC953_00510
ko:K00384	cthj:CTRC953_00515
ko:K00997	cthj:CTRC953_00520
ko:K00208	cthj:CTRC953_00540
ko:K03575	cthj:CTRC953_00555
ko:K04077	cthj:CTRC953_00570
ko:K04078	cthj:CTRC953_00575
ko:K08602	cthj:CTRC953_00580
ko:K07099	cthj:CTRC953_02565
ko:K00975	cthj:CTRC953_02570
ko:K03628	cthj:CTRC953_02580
ko:K00859	cthj:CTRC953_02585
ko:K03301	cthj:CTRC953_02600
ko:K00995	cthj:CTRC953_02605
ko:K03495	cthj:CTRC953_02625
ko:K03800	cthj:CTRC953_02630
ko:K00940	cthj:CTRC953_02635
ko:K03550	cthj:CTRC953_02640
ko:K01159	cthj:CTRC953_02645
ko:K00134	cthj:CTRC953_02660
ko:K02879	cthj:CTRC953_02665
ko:K03040	cthj:CTRC953_02670
ko:K02948	cthj:CTRC953_02675
ko:K02952	cthj:CTRC953_02680
ko:K03076	cthj:CTRC953_02685
ko:K02876	cthj:CTRC953_02690
ko:K02988	cthj:CTRC953_02695
ko:K02881	cthj:CTRC953_02700
ko:K02933	cthj:CTRC953_02705
ko:K02994	cthj:CTRC953_02710
ko:K02931	cthj:CTRC953_02715
ko:K02895	cthj:CTRC953_02720
