ko:K18929	hpt:HPSAT_00655
ko:K19302	hpt:HPSAT_02465
ko:K18928	hpt:HPSAT_00660
ko:K12574	hpt:HPSAT_06835
ko:K02169	hpt:HPSAT_06055
ko:K03075	hpt:HPSAT_06060
ko:K02377	hpt:HPSAT_00220
ko:K04656	hpt:HPSAT_00235
ko:K13821	hpt:HPSAT_00270
ko:K03190	hpt:HPSAT_00295
ko:K03189	hpt:HPSAT_00300
ko:K03188	hpt:HPSAT_00305
ko:K03187	hpt:HPSAT_00310
ko:K01428	hpt:HPSAT_00325
ko:K03101	hpt:HPSAT_00335
ko:K03431	hpt:HPSAT_00340
ko:K02968	hpt:HPSAT_00345
ko:K02835	hpt:HPSAT_00350
ko:K02996	hpt:HPSAT_00380
ko:K02871	hpt:HPSAT_00385
ko:K00116	hpt:HPSAT_00395
ko:K03086	hpt:HPSAT_00405
ko:K00645	hpt:HPSAT_00415
ko:K01733	hpt:HPSAT_00460
ko:K09765	hpt:HPSAT_00470
ko:K07173	hpt:HPSAT_00495
ko:K02527	hpt:HPSAT_04690
ko:K07164	hpt:HPSAT_04695
ko:K01878	hpt:HPSAT_04705
ko:K00057	hpt:HPSAT_04710
ko:K01879	hpt:HPSAT_04775
ko:K15633	hpt:HPSAT_04785
ko:K02435	hpt:HPSAT_04790
ko:K00833	hpt:HPSAT_04795
ko:K03770	hpt:HPSAT_04800
ko:K03590	hpt:HPSAT_04805
ko:K03531	hpt:HPSAT_04810
ko:K15257	hpt:HPSAT_04935
ko:K01772	hpt:HPSAT_04940
ko:K01874	hpt:HPSAT_04945
ko:K00574	hpt:HPSAT_04950
ko:K15846	hpt:HPSAT_04965
ko:K01951	hpt:HPSAT_04970
ko:K02503	hpt:HPSAT_04995
ko:K01626	hpt:HPSAT_00635
ko:K03564	hpt:HPSAT_00645
ko:K00782	hpt:HPSAT_00650
ko:K03303	hpt:HPSAT_00665
ko:K03303	hpt:HPSAT_00670
ko:K03575	hpt:HPSAT_00675
ko:K00404	hpt:HPSAT_00685
ko:K00405	hpt:HPSAT_00690
ko:K00407	hpt:HPSAT_00695
ko:K00406	hpt:HPSAT_00700
ko:K01689	hpt:HPSAT_00740
ko:K00891	hpt:HPSAT_00755
ko:K01698	hpt:HPSAT_00790
ko:K01889	hpt:HPSAT_05000
ko:K01890	hpt:HPSAT_05005
ko:K00800	hpt:HPSAT_05010
ko:K03527	hpt:HPSAT_05015
ko:K02945	hpt:HPSAT_05020
ko:K03182	hpt:HPSAT_05035
ko:K06997	hpt:HPSAT_05040
ko:K03269	hpt:HPSAT_05045
ko:K03415	hpt:HPSAT_05050
ko:K03407	hpt:HPSAT_05055
ko:K03408	hpt:HPSAT_05060
ko:K11065	hpt:HPSAT_05070
ko:K04564	hpt:HPSAT_05075
ko:K15256	hpt:HPSAT_05080
ko:K04066	hpt:HPSAT_05085
ko:K02493	hpt:HPSAT_05120
ko:K00262	hpt:HPSAT_05125
ko:K01772	hpt:HPSAT_05145
ko:K09761	hpt:HPSAT_05155
ko:K01494	hpt:HPSAT_05165
ko:K02160	hpt:HPSAT_05170
ko:K01961	hpt:HPSAT_05175
ko:K00573	hpt:HPSAT_05210
ko:K07091	hpt:HPSAT_05215
ko:K06173	hpt:HPSAT_05220
ko:K01625	hpt:HPSAT_05250
ko:K01690	hpt:HPSAT_05255
ko:K00036	hpt:HPSAT_05260
ko:K03837	hpt:HPSAT_00625
ko:K02106	hpt:HPSAT_03340
ko:K01029	hpt:HPSAT_03345
ko:K01028	hpt:HPSAT_03350
ko:K07501	hpt:HPSAT_03360
ko:K04759	hpt:HPSAT_03365
ko:K02419	hpt:HPSAT_03375
ko:K04042	hpt:HPSAT_03385
ko:K07090	hpt:HPSAT_03410
ko:K00812	hpt:HPSAT_03430
ko:K11473	hpt:HPSAT_03450
ko:K01736	hpt:HPSAT_03465
ko:K03685	hpt:HPSAT_03470
ko:K02434	hpt:HPSAT_03490
ko:K07277	hpt:HPSAT_03510
ko:K02217	hpt:HPSAT_03520
ko:K01079	hpt:HPSAT_03525
ko:K01744	hpt:HPSAT_03545
ko:K00790	hpt:HPSAT_03550
ko:K00963	hpt:HPSAT_03560
ko:K08309	hpt:HPSAT_03565
ko:K02221	hpt:HPSAT_03570
ko:K06920	hpt:HPSAT_03595
ko:K03270	hpt:HPSAT_07695
ko:K03642	hpt:HPSAT_07700
ko:K08307	hpt:HPSAT_07705
ko:K03424	hpt:HPSAT_07710
ko:K00793	hpt:HPSAT_07715
ko:K04061	hpt:HPSAT_07720
ko:K02071	hpt:HPSAT_07725
ko:K02072	hpt:HPSAT_07730
ko:K03474	hpt:HPSAT_07750
ko:K00097	hpt:HPSAT_07755
ko:K02392	hpt:HPSAT_07770
ko:K14652	hpt:HPSAT_02755
ko:K03636	hpt:HPSAT_02770
ko:K03831	hpt:HPSAT_02780
ko:K03637	hpt:HPSAT_02785
ko:K15846	hpt:HPSAT_02790
