ko:K02495	senc:SEET0819_03850
ko:K19504	senc:SEET0819_06605
ko:K01977	senc:SEET0819_00595
ko:K19595	senc:SEET0819_08720
ko:K01977	senc:SEET0819_20485
ko:K01990	senc:SEET0819_11020
ko:K18816	senc:SEET0819_14790
ko:K19611	senc:SEET0819_20695
ko:K19697	senc:SEET0819_17430
ko:K19789	senc:SEET0819_18295
ko:K14225	senc:SEET0819_04520
ko:K14225	senc:SEET0819_05635
ko:K14225	senc:SEET0819_05640
ko:K14225	senc:SEET0819_05645
ko:K14225	senc:SEET0819_16730
ko:K14225	senc:SEET0819_22160
ko:K18864	senc:SEET0819_23385
ko:K08348	senc:SEET0819_14545
ko:K03292	senc:SEET0819_04170
ko:K04103	senc:SEET0819_19470
ko:K00001	senc:SEET0819_04060
ko:K12979	senc:SEET0819_05250
ko:K01007	senc:SEET0819_13390
ko:K21430	senc:SEET0819_11240
ko:K21469	senc:SEET0819_19840
ko:K08156	senc:SEET0819_08930
ko:K19597	senc:SEET0819_08725
ko:K07005	senc:SEET0819_10465
ko:K01801	senc:SEET0819_18055
ko:K01977	senc:SEET0819_03775
ko:K04753	senc:SEET0819_22870
ko:K00984	senc:SEET0819_12965
ko:K21645	senc:SEET0819_06470
ko:K14235	senc:SEET0819_03330
ko:K14227	senc:SEET0819_03780
ko:K14227	senc:SEET0819_04475
ko:K14227	senc:SEET0819_08180
ko:K14233	senc:SEET0819_12095
ko:K14233	senc:SEET0819_20940
ko:K20861	senc:SEET0819_11270
ko:K20866	senc:SEET0819_03955
ko:K20881	senc:SEET0819_01075
ko:K20862	senc:SEET0819_03590
ko:K08970	senc:SEET0819_21990
ko:K03841	senc:SEET0819_05945
ko:K02558	senc:SEET0819_05950
ko:K03805	senc:SEET0819_10000
ko:K03386	senc:SEET0819_10005
ko:K03387	senc:SEET0819_10010
ko:K11932	senc:SEET0819_10035
ko:K06140	senc:SEET0819_10045
ko:K01169	senc:SEET0819_10050
ko:K09477	senc:SEET0819_10055
ko:K05966	senc:SEET0819_10060
ko:K05964	senc:SEET0819_10065
ko:K01643	senc:SEET0819_10070
ko:K01644	senc:SEET0819_10075
ko:K01646	senc:SEET0819_10080
ko:K01910	senc:SEET0819_10085
ko:K07700	senc:SEET0819_10090
ko:K07702	senc:SEET0819_10095
ko:K03326	senc:SEET0819_10100
ko:K12973	senc:SEET0819_10105
ko:K03704	senc:SEET0819_10110
ko:K06199	senc:SEET0819_10115
ko:K03425	senc:SEET0819_10125
ko:K03644	senc:SEET0819_10130
ko:K03801	senc:SEET0819_10140
ko:K09158	senc:SEET0819_10145
ko:K07258	senc:SEET0819_10150
ko:K03642	senc:SEET0819_10155
ko:K05837	senc:SEET0819_10160
ko:K05515	senc:SEET0819_10165
ko:K00783	senc:SEET0819_10170
ko:K09710	senc:SEET0819_10175
ko:K02226	senc:SEET0819_10185
ko:K04720	senc:SEET0819_10190
ko:K00969	senc:SEET0819_10195
ko:K02340	senc:SEET0819_10200
ko:K03643	senc:SEET0819_10205
ko:K01869	senc:SEET0819_10210
ko:K16849	senc:SEET0819_10215
ko:K16850	senc:SEET0819_10220
ko:K07126	senc:SEET0819_10240
ko:K04651	senc:SEET0819_14320
ko:K03618	senc:SEET0819_14330
ko:K03619	senc:SEET0819_14335
ko:K04653	senc:SEET0819_14340
ko:K03605	senc:SEET0819_14345
ko:K03620	senc:SEET0819_14350
ko:K06281	senc:SEET0819_14355
ko:K06282	senc:SEET0819_14360
ko:K06218	senc:SEET0819_14415
ko:K18923	senc:SEET0819_14420
ko:K02371	senc:SEET0819_14455
ko:K02529	senc:SEET0819_14465
ko:K03315	senc:SEET0819_14470
ko:K14155	senc:SEET0819_14475
ko:K06044	senc:SEET0819_14485
ko:K04063	senc:SEET0819_14505
ko:K02972	senc:SEET0819_14515
ko:K00027	senc:SEET0819_14520
ko:K13953	senc:SEET0819_14525
ko:K08350	senc:SEET0819_14530
ko:K08349	senc:SEET0819_14535
ko:K16076	senc:SEET0819_14555
ko:K08167	senc:SEET0819_14565
ko:K02575	senc:SEET0819_14575
ko:K02551	senc:SEET0819_18635
ko:K02552	senc:SEET0819_18640
ko:K05594	senc:SEET0819_18645
ko:K02348	senc:SEET0819_18650
ko:K00784	senc:SEET0819_18655
ko:K03415	senc:SEET0819_18660
ko:K07114	senc:SEET0819_18665
ko:K00343	senc:SEET0819_18675
ko:K00342	senc:SEET0819_18680
ko:K00341	senc:SEET0819_18685
ko:K00340	senc:SEET0819_18690
ko:K00339	senc:SEET0819_18695
ko:K00338	senc:SEET0819_18700
ko:K00337	senc:SEET0819_18705
ko:K00336	senc:SEET0819_18710
ko:K00335	senc:SEET0819_18715
ko:K00334	senc:SEET0819_18720
ko:K13378	senc:SEET0819_18725
ko:K00331	senc:SEET0819_18730
ko:K00330	senc:SEET0819_18735
ko:K14260	senc:SEET0819_18745
ko:K08722	senc:SEET0819_18750
ko:K09161	senc:SEET0819_18765
ko:K09899	senc:SEET0819_18770
ko:K00925	senc:SEET0819_18775
ko:K13788	senc:SEET0819_18780
ko:K00615	senc:SEET0819_18790
ko:K00615	senc:SEET0819_18795
ko:K03475	senc:SEET0819_18800
ko:K02822	senc:SEET0819_18805
ko:K02821	senc:SEET0819_18810
ko:K07095	senc:SEET0819_18830
ko:K07071	senc:SEET0819_18845
ko:K10017	senc:SEET0819_18850
ko:K10015	senc:SEET0819_18855
ko:K10016	senc:SEET0819_18860
ko:K10014	senc:SEET0819_18865
ko:K10013	senc:SEET0819_18870
ko:K03186	senc:SEET0819_18875
ko:K03923	senc:SEET0819_22905
ko:K02622	senc:SEET0819_22915
ko:K07000	senc:SEET0819_22920
ko:K03651	senc:SEET0819_22925
ko:K09920	senc:SEET0819_22930
ko:K01515	senc:SEET0819_22935
ko:K12340	senc:SEET0819_22940
ko:K07238	senc:SEET0819_22960
ko:K03673	senc:SEET0819_22975
ko:K03611	senc:SEET0819_22980
ko:K02858	senc:SEET0819_22985
ko:K09806	senc:SEET0819_22990
ko:K03272	senc:SEET0819_23010
ko:K00982	senc:SEET0819_23015
ko:K18446	senc:SEET0819_23020
ko:K07184	senc:SEET0819_23025
ko:K00974	senc:SEET0819_23030
ko:K06153	senc:SEET0819_23035
ko:K01633	senc:SEET0819_23040
ko:K08591	senc:SEET0819_23045
ko:K01409	senc:SEET0819_23050
ko:K02970	senc:SEET0819_23055
ko:K03086	senc:SEET0819_23065
ko:K03649	senc:SEET0819_23070
ko:K07229	senc:SEET0819_23080
ko:K03776	senc:SEET0819_23095
ko:K09251	senc:SEET0819_23100
ko:K00219	senc:SEET0819_23105
ko:K11391	senc:SEET0819_23110
ko:K07043	senc:SEET0819_23115
ko:K07862	senc:SEET0819_23135
ko:K15977	senc:SEET0819_23170
ko:K03800	senc:SEET0819_06790
ko:K07186	senc:SEET0819_06795
ko:K01079	senc:SEET0819_06800
ko:K04485	senc:SEET0819_06805
ko:K06211	senc:SEET0819_06810
ko:K08309	senc:SEET0819_06820
ko:K03720	senc:SEET0819_06825
ko:K05804	senc:SEET0819_06840
ko:K05805	senc:SEET0819_06845
ko:K07663	senc:SEET0819_06850
ko:K07641	senc:SEET0819_06855
ko:K06143	senc:SEET0819_06860
ko:K07347	senc:SEET0819_06875
ko:K07773	senc:SEET0819_06900
ko:K02533	senc:SEET0819_06905
ko:K12524	senc:SEET0819_06910
ko:K00872	senc:SEET0819_06915
ko:K01733	senc:SEET0819_06920
ko:K09861	senc:SEET0819_06925
ko:K03310	senc:SEET0819_06930
ko:K00616	senc:SEET0819_06935
ko:K03831	senc:SEET0819_06940
ko:K07034	senc:SEET0819_06945
ko:K04043	senc:SEET0819_06960
ko:K03686	senc:SEET0819_06965
ko:K07347	senc:SEET0819_07015
ko:K11927	senc:SEET0819_11065
ko:K06970	senc:SEET0819_11090
ko:K10038	senc:SEET0819_11100
ko:K10037	senc:SEET0819_11105
ko:K10036	senc:SEET0819_11110
ko:K04047	senc:SEET0819_11120
ko:K11939	senc:SEET0819_11125
ko:K11934	senc:SEET0819_11130
ko:K11924	senc:SEET0819_11145
ko:K19235	senc:SEET0819_11155
ko:K07757	senc:SEET0819_11170
ko:K07757	senc:SEET0819_11180
ko:K00656	senc:SEET0819_11185
ko:K04069	senc:SEET0819_11190
ko:K03750	senc:SEET0819_11200
ko:K13051	senc:SEET0819_11205
ko:K13892	senc:SEET0819_11210
ko:K13889	senc:SEET0819_11215
ko:K13890	senc:SEET0819_11220
ko:K13891	senc:SEET0819_11225
ko:K14441	senc:SEET0819_11230
ko:K07258	senc:SEET0819_11250
ko:K11534	senc:SEET0819_11255
ko:K08160	senc:SEET0819_11265
ko:K07217	senc:SEET0819_15395
ko:K07275	senc:SEET0819_15400
ko:K06940	senc:SEET0819_15405
ko:K06190	senc:SEET0819_15415
ko:K10806	senc:SEET0819_15420
ko:K03832	senc:SEET0819_15425
ko:K09780	senc:SEET0819_15430
ko:K06131	senc:SEET0819_15440
ko:K09901	senc:SEET0819_15445
ko:K10716	senc:SEET0819_15450
ko:K10823	senc:SEET0819_15455
ko:K15583	senc:SEET0819_15460
ko:K15582	senc:SEET0819_15465
ko:K15581	senc:SEET0819_15470
ko:K15580	senc:SEET0819_15475
ko:K04072	senc:SEET0819_15485
ko:K03746	senc:SEET0819_15495
ko:K00963	senc:SEET0819_15500
ko:K07001	senc:SEET0819_15510
ko:K09858	senc:SEET0819_15515
ko:K01433	senc:SEET0819_15520
ko:K07126	senc:SEET0819_15540
ko:K00374	senc:SEET0819_15550
ko:K00373	senc:SEET0819_15555
ko:K00371	senc:SEET0819_15560
ko:K00370	senc:SEET0819_15565
ko:K02575	senc:SEET0819_15570
ko:K07673	senc:SEET0819_15575
ko:K07684	senc:SEET0819_15580
ko:K06039	senc:SEET0819_15590
ko:K07300	senc:SEET0819_15600
ko:K01627	senc:SEET0819_15605
ko:K02493	senc:SEET0819_15620
ko:K02835	senc:SEET0819_15625
ko:K02492	senc:SEET0819_15630
ko:K02494	senc:SEET0819_15635
ko:K00919	senc:SEET0819_15640
ko:K00948	senc:SEET0819_15645
ko:K03321	senc:SEET0819_15650
ko:K01056	senc:SEET0819_15660
ko:K06942	senc:SEET0819_15665
ko:K04033	senc:SEET0819_19725
ko:K04025	senc:SEET0819_19730
ko:K04026	senc:SEET0819_19735
ko:K03736	senc:SEET0819_19740
ko:K03735	senc:SEET0819_19745
ko:K04019	senc:SEET0819_19750
ko:K04023	senc:SEET0819_19755
ko:K04022	senc:SEET0819_19760
ko:K04024	senc:SEET0819_19765
ko:K04021	senc:SEET0819_19770
ko:K04028	senc:SEET0819_19775
ko:K04027	senc:SEET0819_19780
ko:K04020	senc:SEET0819_19785
ko:K04032	senc:SEET0819_19790
ko:K04030	senc:SEET0819_19795
ko:K04029	senc:SEET0819_19800
ko:K04031	senc:SEET0819_19805
ko:K00029	senc:SEET0819_19810
ko:K00616	senc:SEET0819_19815
ko:K00615	senc:SEET0819_19820
ko:K12945	senc:SEET0819_19835
ko:K07674	senc:SEET0819_19850
