ko:K12978	fpx:KU46_827
ko:K14219	fpx:KU46_219
ko:K14235	fpx:KU46_279
ko:K14227	fpx:KU46_1938
ko:K14227	fpx:KU46_994
ko:K14227	fpx:KU46_451
ko:K03602	fpx:KU46_1309
ko:K19416	fpx:KU46_1750
ko:K19561	fpx:KU46_1499
ko:K01990	fpx:KU46_1180
ko:K18431	fpx:KU46_144
ko:K04763	fpx:KU46_262
ko:K02884	fpx:KU46_263
ko:K00554	fpx:KU46_264
ko:K02860	fpx:KU46_265
ko:K02959	fpx:KU46_266
ko:K00789	fpx:KU46_267
ko:K01409	fpx:KU46_269
ko:K03046	fpx:KU46_271
ko:K03043	fpx:KU46_272
ko:K02935	fpx:KU46_273
ko:K02864	fpx:KU46_274
ko:K02863	fpx:KU46_275
ko:K02867	fpx:KU46_276
ko:K02601	fpx:KU46_277
ko:K03073	fpx:KU46_278
ko:K02358	fpx:KU46_280
ko:K03442	fpx:KU46_286
ko:K02440	fpx:KU46_288
ko:K00111	fpx:KU46_289
ko:K00864	fpx:KU46_290
ko:K10823	fpx:KU46_294
ko:K15582	fpx:KU46_297
ko:K15581	fpx:KU46_298
ko:K15580	fpx:KU46_299
ko:K03657	fpx:KU46_300
ko:K03110	fpx:KU46_301
ko:K02837	fpx:KU46_303
ko:K00943	fpx:KU46_304
ko:K11535	fpx:KU46_305
ko:K11535	fpx:KU46_306
ko:K01619	fpx:KU46_307
ko:K01839	fpx:KU46_308
ko:K03525	fpx:KU46_309
ko:K00912	fpx:KU46_311
ko:K06215	fpx:KU46_1137
ko:K08681	fpx:KU46_1138
ko:K10563	fpx:KU46_1139
ko:K03438	fpx:KU46_1141
ko:K03586	fpx:KU46_1142
ko:K03587	fpx:KU46_1143
ko:K02956	fpx:KU46_1144
ko:K00962	fpx:KU46_1145
ko:K15724	fpx:KU46_1146
ko:K01627	fpx:KU46_1147
ko:K00876	fpx:KU46_1148
ko:K03060	fpx:KU46_1149
ko:K03215	fpx:KU46_1152
ko:K00845	fpx:KU46_1153
ko:K00845	fpx:KU46_1154
ko:K03811	fpx:KU46_1155
ko:K01689	fpx:KU46_1157
ko:K05589	fpx:KU46_1158
ko:K00991	fpx:KU46_1159
ko:K00060	fpx:KU46_1161
ko:K00639	fpx:KU46_1162
ko:K00761	fpx:KU46_1164
ko:K01433	fpx:KU46_1165
ko:K03327	fpx:KU46_1170
ko:K01129	fpx:KU46_1172
ko:K03782	fpx:KU46_1174
ko:K02445	fpx:KU46_1177
ko:K01126	fpx:KU46_1178
ko:K01993	fpx:KU46_1179
ko:K03321	fpx:KU46_1184
ko:K11103	fpx:KU46_1187
ko:K03427	fpx:KU46_1188
ko:K01154	fpx:KU46_1190
ko:K01719	fpx:KU46_2008
ko:K02426	fpx:KU46_2009
ko:K01881	fpx:KU46_2013
ko:K01885	fpx:KU46_749
ko:K00640	fpx:KU46_752
ko:K01738	fpx:KU46_754
ko:K02967	fpx:KU46_755
ko:K02357	fpx:KU46_756
ko:K09903	fpx:KU46_757
ko:K02838	fpx:KU46_758
ko:K00806	fpx:KU46_759
ko:K00981	fpx:KU46_760
ko:K00995	fpx:KU46_762
ko:K02950	fpx:KU46_763
ko:K02992	fpx:KU46_764
ko:K02355	fpx:KU46_765
ko:K02946	fpx:KU46_766
ko:K02906	fpx:KU46_767
ko:K02926	fpx:KU46_768
ko:K02892	fpx:KU46_769
ko:K02886	fpx:KU46_770
ko:K02965	fpx:KU46_771
ko:K02890	fpx:KU46_772
ko:K02982	fpx:KU46_773
ko:K02878	fpx:KU46_774
ko:K02904	fpx:KU46_775
ko:K02961	fpx:KU46_776
ko:K02874	fpx:KU46_777
ko:K02895	fpx:KU46_778
ko:K02931	fpx:KU46_779
ko:K02954	fpx:KU46_780
ko:K02994	fpx:KU46_781
ko:K02933	fpx:KU46_782
ko:K02881	fpx:KU46_783
ko:K02988	fpx:KU46_784
ko:K02907	fpx:KU46_785
ko:K02876	fpx:KU46_786
ko:K03076	fpx:KU46_787
ko:K02919	fpx:KU46_788
ko:K02952	fpx:KU46_789
ko:K02948	fpx:KU46_790
ko:K02986	fpx:KU46_791
ko:K03040	fpx:KU46_792
ko:K02879	fpx:KU46_793
ko:K10716	fpx:KU46_794
ko:K04079	fpx:KU46_795
ko:K00611	fpx:KU46_796
ko:K00930	fpx:KU46_797
ko:K00620	fpx:KU46_798
ko:K00145	fpx:KU46_799
ko:K00819	fpx:KU46_801
ko:K03402	fpx:KU46_800
ko:K01755	fpx:KU46_802
ko:K01940	fpx:KU46_803
ko:K01937	fpx:KU46_805
ko:K00940	fpx:KU46_806
ko:K12267	fpx:KU46_1631
ko:K02168	fpx:KU46_1632
ko:K03437	fpx:KU46_1634
ko:K07107	fpx:KU46_1636
ko:K00432	fpx:KU46_1654
ko:K03781	fpx:KU46_1656
ko:K04761	fpx:KU46_1660
ko:K00128	fpx:KU46_1664
ko:K07260	fpx:KU46_1667
ko:K02342	fpx:KU46_1668
ko:K06193	fpx:KU46_1671
ko:K03386	fpx:KU46_1673
ko:K06134	fpx:KU46_1677
ko:K00024	fpx:KU46_1680
ko:K03674	fpx:KU46_1682
ko:K01963	fpx:KU46_807
ko:K11754	fpx:KU46_808
ko:K06925	fpx:KU46_809
ko:K07126	fpx:KU46_810
ko:K03980	fpx:KU46_811
ko:K01919	fpx:KU46_812
ko:K02909	fpx:KU46_813
ko:K03607	fpx:KU46_819
ko:K03498	fpx:KU46_821
ko:K03634	fpx:KU46_825
ko:K03466	fpx:KU46_826
ko:K11733	fpx:KU46_828
ko:K07018	fpx:KU46_829
ko:K02446	fpx:KU46_830
ko:K11928	fpx:KU46_831
ko:K02672	fpx:KU46_839
ko:K01883	fpx:KU46_841
ko:K07320	fpx:KU46_842
ko:K07552	fpx:KU46_843
ko:K01775	fpx:KU46_847
ko:K00568	fpx:KU46_854
ko:K04754	fpx:KU46_855
ko:K07122	fpx:KU46_857
ko:K07323	fpx:KU46_858
ko:K02067	fpx:KU46_859
ko:K02066	fpx:KU46_860
ko:K02065	fpx:KU46_861
ko:K03608	fpx:KU46_862
ko:K03609	fpx:KU46_863
ko:K06158	fpx:KU46_1684
ko:K02346	fpx:KU46_1687
ko:K02970	fpx:KU46_1688
ko:K03704	fpx:KU46_1690
ko:K04762	fpx:KU46_1699
ko:K18930	fpx:KU46_1700
ko:K00101	fpx:KU46_1704
ko:K04761	fpx:KU46_1705
ko:K01866	fpx:KU46_1707
ko:K03800	fpx:KU46_1708
ko:K01419	fpx:KU46_1710
ko:K03667	fpx:KU46_1711
ko:K03305	fpx:KU46_1712
ko:K10716	fpx:KU46_1713
ko:K00322	fpx:KU46_1714
ko:K02654	fpx:KU46_1715
