ko:K02028	sst:SSUST3_0517
ko:K01142	sst:SSUST3_0834
ko:K03294	sst:SSUST3_0836
ko:K07052	sst:SSUST3_0839
ko:K07491	sst:SSUST3_0848
ko:K01938	sst:SSUST3_0853
ko:K03740	sst:SSUST3_0801
ko:K07393	sst:SSUST3_0805
ko:K06183	sst:SSUST3_0806
ko:K00432	sst:SSUST3_0807
ko:K02015	sst:SSUST3_0808
ko:K02015	sst:SSUST3_0809
ko:K02016	sst:SSUST3_0810
ko:K02013	sst:SSUST3_0811
ko:K05362	sst:SSUST3_0812
ko:K00655	sst:SSUST3_0813
ko:K02237	sst:SSUST3_0814
ko:K02238	sst:SSUST3_0815
ko:K04767	sst:SSUST3_0818
ko:K02887	sst:SSUST3_0716
ko:K06969	sst:SSUST3_0719
ko:K03785	sst:SSUST3_0720
ko:K01736	sst:SSUST3_0721
ko:K04517	sst:SSUST3_0722
ko:K00931	sst:SSUST3_0729
ko:K00147	sst:SSUST3_0730
ko:K00286	sst:SSUST3_0731
ko:K09861	sst:SSUST3_0735
ko:K01104	sst:SSUST3_0739
ko:K00012	sst:SSUST3_0748
ko:K04763	sst:SSUST3_0753
ko:K07238	sst:SSUST3_0684
ko:K00067	sst:SSUST3_0689
ko:K12996	sst:SSUST3_0696
ko:K07272	sst:SSUST3_0700
ko:K14188	sst:SSUST3_0800
ko:K00800	sst:SSUST3_0757
ko:K00891	sst:SSUST3_0758
ko:K04518	sst:SSUST3_0759
ko:K01854	sst:SSUST3_0763
ko:K01893	sst:SSUST3_0770
ko:K02759	sst:SSUST3_0866
ko:K06958	sst:SSUST3_0775
ko:K09762	sst:SSUST3_0777
ko:K01478	sst:SSUST3_0779
ko:K09153	sst:SSUST3_0708
ko:K05337	sst:SSUST3_0712
ko:K00945	sst:SSUST3_0713
ko:K02520	sst:SSUST3_0714
ko:K02916	sst:SSUST3_0715
ko:K02760	sst:SSUST3_0867
ko:K02761	sst:SSUST3_0868
ko:K00943	sst:SSUST3_0822
ko:K00656	sst:SSUST3_0869
ko:K00005	sst:SSUST3_0872
ko:K00133	sst:SSUST3_0873
ko:K01714	sst:SSUST3_0874
ko:K02440	sst:SSUST3_0875
ko:K03657	sst:SSUST3_0880
ko:K07025	sst:SSUST3_0882
ko:K03703	sst:SSUST3_0890
ko:K03979	sst:SSUST3_0892
ko:K02341	sst:SSUST3_0823
ko:K07056	sst:SSUST3_0825
ko:K00831	sst:SSUST3_0827
ko:K00058	sst:SSUST3_0829
ko:K00567	sst:SSUST3_0830
ko:K03823	sst:SSUST3_0860
ko:K04069	sst:SSUST3_0863
ko:K00611	sst:SSUST3_0781
ko:K00926	sst:SSUST3_0782
ko:K12373	sst:SSUST3_0785
ko:K03402	sst:SSUST3_0786
ko:K07568	sst:SSUST3_0787
ko:K02564	sst:SSUST3_0789
ko:K03367	sst:SSUST3_0798
ko:K03739	sst:SSUST3_0799
ko:K10947	sst:SSUST3_0269
ko:K03584	sst:SSUST3_0026
ko:K03571	sst:SSUST3_0022
ko:K00948	sst:SSUST3_0024
ko:K03621	sst:SSUST3_0027
ko:K02078	sst:SSUST3_0028
ko:K03798	sst:SSUST3_0015
ko:K03570	sst:SSUST3_0021
ko:K03723	sst:SSUST3_0008
ko:K06942	sst:SSUST3_0006
ko:K01056	sst:SSUST3_0007
ko:K04075	sst:SSUST3_0013
ko:K00760	sst:SSUST3_0014
ko:K00841	sst:SSUST3_0025
ko:K12296	sst:SSUST3_0016
ko:K14228	sst:SSUST3_t040
ko:K14228	sst:SSUST3_t08
ko:K01923	sst:SSUST3_0029
ko:K01790	sst:SSUST3_0686
ko:K01537	sst:SSUST3_0566
ko:K14234	sst:SSUST3_t043
ko:K15051	sst:SSUST3_1186
ko:K14222	sst:SSUST3_t047
ko:K14228	sst:SSUST3_t028
ko:K14224	sst:SSUST3_t020
ko:K14224	sst:SSUST3_t051
ko:K14224	sst:SSUST3_t032
ko:K14228	sst:SSUST3_t029
ko:K19689	sst:SSUST3_1792
ko:K14234	sst:SSUST3_t038
ko:K14234	sst:SSUST3_t06
ko:K14233	sst:SSUST3_t015
ko:K12997	sst:SSUST3_0697
ko:K15383	sst:SSUST3_1679
ko:K10040	sst:SSUST3_0619
ko:K03790	sst:SSUST3_1205
ko:K09951	sst:SSUST3_1316
ko:K15771	sst:SSUST3_0535
ko:K14231	sst:SSUST3_t023
ko:K14231	sst:SSUST3_t013
ko:K14225	sst:SSUST3_t018
ko:K14233	sst:SSUST3_t021
ko:K03215	sst:SSUST3_0761
ko:K01834	sst:SSUST3_1485
ko:K10947	sst:SSUST3_1434
ko:K02428	sst:SSUST3_1550
ko:K14219	sst:SSUST3_t053
ko:K15738	sst:SSUST3_0965
ko:K01271	sst:SSUST3_0610
ko:K06148	sst:SSUST3_1086
ko:K07284	sst:SSUST3_1101
ko:K01835	sst:SSUST3_0849
ko:K01990	sst:SSUST3_0050
ko:K01274	sst:SSUST3_1328
ko:K00657	sst:SSUST3_0509
ko:K03697	sst:SSUST3_0514
ko:K00383	sst:SSUST3_0540
ko:K02005	sst:SSUST3_0541
ko:K02004	sst:SSUST3_0543
ko:K03976	sst:SSUST3_0547
ko:K08974	sst:SSUST3_0548
ko:K07273	sst:SSUST3_0550
ko:K07004	sst:SSUST3_1808
ko:K03708	sst:SSUST3_1813
ko:K12555	sst:SSUST3_1823
ko:K09787	sst:SSUST3_0998
ko:K02004	sst:SSUST3_1009
ko:K09685	sst:SSUST3_1846
ko:K03698	sst:SSUST3_1848
ko:K00949	sst:SSUST3_1850
ko:K03574	sst:SSUST3_1861
ko:K06346	sst:SSUST3_1866
ko:K07105	sst:SSUST3_1872
ko:K09698	sst:SSUST3_1875
ko:K10117	sst:SSUST3_1399
ko:K09825	sst:SSUST3_0322
ko:K09702	sst:SSUST3_0327
ko:K09815	sst:SSUST3_0125
ko:K03693	sst:SSUST3_0130
ko:K02243	sst:SSUST3_0135
ko:K02244	sst:SSUST3_0136
ko:K03713	sst:SSUST3_0167
ko:K01409	sst:SSUST3_0174
ko:K02025	sst:SSUST3_0177
ko:K02822	sst:SSUST3_0191
ko:K03475	sst:SSUST3_0192
ko:K03471	sst:SSUST3_0229
ko:K01226	sst:SSUST3_0232
ko:K02817	sst:SSUST3_0233
ko:K02818	sst:SSUST3_0233
ko:K02819	sst:SSUST3_0233
ko:K03486	sst:SSUST3_0234
ko:K13953	sst:SSUST3_0283
ko:K00869	sst:SSUST3_0298
ko:K01597	sst:SSUST3_0299
ko:K00938	sst:SSUST3_0300
ko:K01823	sst:SSUST3_0301
ko:K01507	sst:SSUST3_1042
ko:K02823	sst:SSUST3_1045
ko:K00700	sst:SSUST3_1050
ko:K03574	sst:SSUST3_1053
ko:K01220	sst:SSUST3_1067
ko:K02786	sst:SSUST3_1069
ko:K01635	sst:SSUST3_1071
ko:K00917	sst:SSUST3_1072
ko:K01819	sst:SSUST3_1073
ko:K01819	sst:SSUST3_1074
ko:K02530	sst:SSUST3_1075
ko:K01934	sst:SSUST3_1890
ko:K00674	sst:SSUST3_1892
ko:K03476	sst:SSUST3_1899
ko:K03493	sst:SSUST3_1900
ko:K02821	sst:SSUST3_1905
ko:K02822	sst:SSUST3_1906
ko:K03475	sst:SSUST3_1907
ko:K03491	sst:SSUST3_1918
ko:K09963	sst:SSUST3_1919
ko:K01222	sst:SSUST3_1921
ko:K07386	sst:SSUST3_1923
ko:K11709	sst:SSUST3_1924
ko:K11708	sst:SSUST3_1925
ko:K11710	sst:SSUST3_1926
ko:K11707	sst:SSUST3_1928
ko:K03709	sst:SSUST3_1929
ko:K02755	sst:SSUST3_1350
ko:K02756	sst:SSUST3_1350
ko:K02757	sst:SSUST3_1350
ko:K03488	sst:SSUST3_1351
ko:K03177	sst:SSUST3_1138
ko:K09155	sst:SSUST3_1140
ko:K01258	sst:SSUST3_1147
ko:K07729	sst:SSUST3_1242
ko:K01784	sst:SSUST3_1300
ko:K03647	sst:SSUST3_1972
ko:K02348	sst:SSUST3_1975
ko:K00244	sst:SSUST3_1979
ko:K03048	sst:SSUST3_0345
ko:K01424	sst:SSUST3_0353
ko:K02433	sst:SSUST3_0364
ko:K06201	sst:SSUST3_0372
ko:K06948	sst:SSUST3_0375
ko:K00657	sst:SSUST3_0379
ko:K07032	sst:SSUST3_0403
ko:K03700	sst:SSUST3_0409
ko:K11617	sst:SSUST3_0426
ko:K11618	sst:SSUST3_0427
ko:K03768	sst:SSUST3_0428
ko:K07570	sst:SSUST3_0429
ko:K07586	sst:SSUST3_0468
ko:K02795	sst:SSUST3_0474
ko:K02793	sst:SSUST3_0476
ko:K01785	sst:SSUST3_0477
ko:K07386	sst:SSUST3_0162
ko:K00939	sst:SSUST3_0097
ko:K01281	sst:SSUST3_0201
ko:K02245	sst:SSUST3_0137
ko:K02246	sst:SSUST3_0138
ko:K02248	sst:SSUST3_0140
ko:K01261	sst:SSUST3_0146
ko:K07404	sst:SSUST3_1356
ko:K07025	sst:SSUST3_1358
ko:K02236	sst:SSUST3_1515
ko:K01916	sst:SSUST3_1517
ko:K07177	sst:SSUST3_1522
ko:K11144	sst:SSUST3_1570
ko:K03346	sst:SSUST3_1571
ko:K00033	sst:SSUST3_1575
ko:K02793	sst:SSUST3_1619
ko:K02794	sst:SSUST3_1619
ko:K02795	sst:SSUST3_1620
ko:K07052	sst:SSUST3_1629
ko:K03491	sst:SSUST3_1676
ko:K01759	sst:SSUST3_1681
ko:K04488	sst:SSUST3_1722
ko:K00088	sst:SSUST3_2021
ko:K08483	sst:SSUST3_1215
ko:K11189	sst:SSUST3_1216
ko:K01727	sst:SSUST3_1226
ko:K02745	sst:SSUST3_1230
ko:K02744	sst:SSUST3_1232
ko:K00046	sst:SSUST3_1236
ko:K07052	sst:SSUST3_1238
ko:K07052	sst:SSUST3_1240
ko:K07533	sst:SSUST3_1251
ko:K06198	sst:SSUST3_1256
ko:K05833	sst:SSUST3_1264
ko:K05832	sst:SSUST3_1265
ko:K01635	sst:SSUST3_1268
ko:K01488	sst:SSUST3_1287
ko:K07491	sst:SSUST3_1292
ko:K03784	sst:SSUST3_1309
ko:K03783	sst:SSUST3_1310
ko:K09952	sst:SSUST3_1318
ko:K07192	sst:SSUST3_1323
ko:K07009	sst:SSUST3_1336
ko:K03930	sst:SSUST3_1342
ko:K05833	sst:SSUST3_1346
ko:K05832	sst:SSUST3_1347
ko:K01989	sst:SSUST3_1348
ko:K06286	sst:SSUST3_1368
ko:K04516	sst:SSUST3_1380
ko:K01081	sst:SSUST3_1382
ko:K01243	sst:SSUST3_1425
ko:K01515	sst:SSUST3_1427
ko:K00059	sst:SSUST3_1431
ko:K02004	sst:SSUST3_1436
ko:K05845	sst:SSUST3_1443
ko:K05846	sst:SSUST3_1443
ko:K06023	sst:SSUST3_1449
ko:K03095	sst:SSUST3_1453
ko:K01759	sst:SSUST3_1484
ko:K00626	sst:SSUST3_1486
ko:K01641	sst:SSUST3_1487
ko:K00054	sst:SSUST3_1488
ko:K07054	sst:SSUST3_1501
ko:K01104	sst:SSUST3_1534
ko:K09976	sst:SSUST3_1552
ko:K01372	sst:SSUST3_1554
ko:K12556	sst:SSUST3_1585
ko:K07729	sst:SSUST3_1588
ko:K00805	sst:SSUST3_1597
ko:K00805	sst:SSUST3_1599
ko:K03498	sst:SSUST3_1600
ko:K03499	sst:SSUST3_1602
ko:K01439	sst:SSUST3_1612
ko:K00059	sst:SSUST3_1638
ko:K02371	sst:SSUST3_1640
ko:K02808	sst:SSUST3_1654
ko:K02809	sst:SSUST3_1654
ko:K02810	sst:SSUST3_1654
ko:K01262	sst:SSUST3_1660
ko:K02755	sst:SSUST3_1685
ko:K02756	sst:SSUST3_1685
ko:K02757	sst:SSUST3_1685
ko:K03488	sst:SSUST3_1686
ko:K07030	sst:SSUST3_1710
ko:K02033	sst:SSUST3_1714
ko:K02035	sst:SSUST3_1717
ko:K07258	sst:SSUST3_1718
ko:K14982	sst:SSUST3_1122
ko:K14983	sst:SSUST3_1123
ko:K01092	sst:SSUST3_1133
ko:K01119	sst:SSUST3_1934
ko:K07668	sst:SSUST3_0623
ko:K07652	sst:SSUST3_0624
ko:K02004	sst:SSUST3_0634
ko:K08234	sst:SSUST3_0652
ko:K07457	sst:SSUST3_0212
ko:K02050	sst:SSUST3_0219
ko:K02049	sst:SSUST3_0220
ko:K01990	sst:SSUST3_0261
ko:K09815	sst:SSUST3_0339
ko:K04086	sst:SSUST3_0389
ko:K07025	sst:SSUST3_0579
ko:K01788	sst:SSUST3_0581
ko:K10563	sst:SSUST3_0587
ko:K11209	sst:SSUST3_0657
ko:K00784	sst:SSUST3_0673
ko:K02086	sst:SSUST3_0681
ko:K15986	sst:SSUST3_1509
ko:K06147	sst:SSUST3_1085
ko:K00625	sst:SSUST3_1087
ko:K07816	sst:SSUST3_1090
ko:K00016	sst:SSUST3_1103
ko:K02056	sst:SSUST3_1111
ko:K01489	sst:SSUST3_1114
ko:K01619	sst:SSUST3_1115
ko:K00564	sst:SSUST3_1117
ko:K00867	sst:SSUST3_1118
ko:K11072	sst:SSUST3_0941
ko:K11071	sst:SSUST3_0942
ko:K11069	sst:SSUST3_0944
ko:K01361	sst:SSUST3_0948
ko:K03436	sst:SSUST3_0958
ko:K00882	sst:SSUST3_0959
ko:K00974	sst:SSUST3_0964
ko:K00845	sst:SSUST3_0967
ko:K02824	sst:SSUST3_1777
ko:K06183	sst:SSUST3_1782
ko:K02240	sst:SSUST3_0461
ko:K02242	sst:SSUST3_0462
ko:K03550	sst:SSUST3_0063
ko:K02965	sst:SSUST3_0079
ko:K02907	sst:SSUST3_0094
ko:K02881	sst:SSUST3_0092
ko:K11175	sst:SSUST3_0033
ko:K00602	sst:SSUST3_0034
ko:K00764	sst:SSUST3_0031
ko:K01933	sst:SSUST3_0032
ko:K01952	sst:SSUST3_0030
ko:K03572	sst:SSUST3_0062
ko:K01589	sst:SSUST3_0041
ko:K01756	sst:SSUST3_0043
ko:K11754	sst:SSUST3_0058
ko:K02926	sst:SSUST3_0076
ko:K02892	sst:SSUST3_0077
ko:K02886	sst:SSUST3_0078
ko:K02933	sst:SSUST3_0091
ko:K01945	sst:SSUST3_0039
ko:K01588	sst:SSUST3_0040
ko:K02946	sst:SSUST3_0074
ko:K02906	sst:SSUST3_0075
ko:K02954	sst:SSUST3_0088
ko:K02994	sst:SSUST3_0089
ko:K03551	sst:SSUST3_0054
ko:K07447	sst:SSUST3_0069
ko:K02895	sst:SSUST3_0086
