ko:K09779	ctla:L2BAMS2_00002
ko:K02435	ctla:L2BAMS2_00003
ko:K02433	ctla:L2BAMS2_00004
ko:K02434	ctla:L2BAMS2_00005
ko:K02517	ctla:L2BAMS2_00011
ko:K00425	ctla:L2BAMS2_00014
ko:K00426	ctla:L2BAMS2_00015
ko:K03471	ctla:L2BAMS2_00009
ko:K07175	ctla:L2BAMS2_00016
ko:K19405	ctla:L2BAMS2_00710
ko:K01870	ctla:L2BAMS2_00021
ko:K01921	ctla:L2BAMS2_00810
ko:K01924	ctla:L2BAMS2_00810
ko:K02806	ctla:L2BAMS2_00295
ko:K02806	ctla:L2BAMS2_00296
ko:K02124	ctla:L2BAMS2_00309
ko:K02123	ctla:L2BAMS2_00310
ko:K02120	ctla:L2BAMS2_00311
ko:K02118	ctla:L2BAMS2_00312
ko:K02117	ctla:L2BAMS2_00313
ko:K02121	ctla:L2BAMS2_00315
ko:K00616	ctla:L2BAMS2_00318
ko:K03177	ctla:L2BAMS2_00095
ko:K06179	ctla:L2BAMS2_00107
ko:K00939	ctla:L2BAMS2_00130
ko:K03856	ctla:L2BAMS2_00395
ko:K00970	ctla:L2BAMS2_00424
ko:K08483	ctla:L2BAMS2_00346
ko:K11189	ctla:L2BAMS2_00347
ko:K00784	ctla:L2BAMS2_00357
ko:K02035	ctla:L2BAMS2_00141
ko:K06889	ctla:L2BAMS2_00153
ko:K02035	ctla:L2BAMS2_00174
ko:K02049	ctla:L2BAMS2_00179
ko:K01409	ctla:L2BAMS2_00198
ko:K15582	ctla:L2BAMS2_00201
ko:K10823	ctla:L2BAMS2_00202
ko:K15583	ctla:L2BAMS2_00203
ko:K06889	ctla:L2BAMS2_00207
ko:K00059	ctla:L2BAMS2_00242
ko:K07052	ctla:L2BAMS2_00259
ko:K02342	ctla:L2BAMS2_00266
ko:K00033	ctla:L2BAMS2_00066
ko:K11707	ctla:L2BAMS2_00070
ko:K11710	ctla:L2BAMS2_00071
ko:K11708	ctla:L2BAMS2_00072
ko:K11709	ctla:L2BAMS2_00073
ko:K01885	ctla:L2BAMS2_00464
ko:K07098	ctla:L2BAMS2_00480
ko:K00567	ctla:L2BAMS2_00499
ko:K02033	ctla:L2BAMS2_00501
ko:K02035	ctla:L2BAMS2_00502
ko:K02030	ctla:L2BAMS2_00510
ko:K07258	ctla:L2BAMS2_00578
ko:K03227	ctla:L2BAMS2_00590
ko:K02454	ctla:L2BAMS2_00598
ko:K01262	ctla:L2BAMS2_00601
ko:K07315	ctla:L2BAMS2_00615
ko:K00813	ctla:L2BAMS2_00669
ko:K01934	ctla:L2BAMS2_00681
ko:K06910	ctla:L2BAMS2_00776
ko:K07117	ctla:L2BAMS2_00777
ko:K01507	ctla:L2BAMS2_00820
ko:K01082	ctla:L2BAMS2_00822
ko:K01909	ctla:L2BAMS2_00824
ko:K00652	ctla:L2BAMS2_00825
ko:K01679	ctla:L2BAMS2_00912
ko:K04763	ctla:L2BAMS2_00923
ko:K00700	ctla:L2BAMS2_00925
ko:K01408	ctla:L2BAMS2_00856
ko:K09815	ctla:L2BAMS2_00430
ko:K01719	ctla:L2BAMS2_00451
ko:K00380	ctla:L2BAMS2_00453
ko:K02342	ctla:L2BAMS2_00562
ko:K00241	ctla:L2BAMS2_00620
ko:K00241	ctla:L2BAMS2_00621
ko:K03386	ctla:L2BAMS2_00631
ko:K02428	ctla:L2BAMS2_00635
ko:K00970	ctla:L2BAMS2_00743
ko:K01596	ctla:L2BAMS2_00750
ko:K00972	ctla:L2BAMS2_00755
ko:K01834	ctla:L2BAMS2_00762
ko:K14233	ctla:L2BAMS2_00890
ko:K11645	ctla:L2BAMS2_00218
ko:K01873	ctla:L2BAMS2_00307
ko:K03046	ctla:L2BAMS2_00319
ko:K03043	ctla:L2BAMS2_00320
ko:K02935	ctla:L2BAMS2_00321
ko:K02864	ctla:L2BAMS2_00322
ko:K02863	ctla:L2BAMS2_00323
ko:K02867	ctla:L2BAMS2_00324
ko:K02601	ctla:L2BAMS2_00325
ko:K03073	ctla:L2BAMS2_00326
ko:K02358	ctla:L2BAMS2_00328
ko:K02518	ctla:L2BAMS2_00330
ko:K01803	ctla:L2BAMS2_00337
ko:K03601	ctla:L2BAMS2_00338
ko:K03602	ctla:L2BAMS2_00339
ko:K01662	ctla:L2BAMS2_00341
ko:K00873	ctla:L2BAMS2_00342
ko:K03701	ctla:L2BAMS2_00343
ko:K02343	ctla:L2BAMS2_00344
ko:K09747	ctla:L2BAMS2_00345
ko:K11381	ctla:L2BAMS2_00351
ko:K03686	ctla:L2BAMS2_00352
ko:K02970	ctla:L2BAMS2_00353
ko:K01338	ctla:L2BAMS2_00355
ko:K03070	ctla:L2BAMS2_00740
ko:K03977	ctla:L2BAMS2_00742
ko:K03544	ctla:L2BAMS2_00744
ko:K01358	ctla:L2BAMS2_00745
ko:K03545	ctla:L2BAMS2_00746
ko:K03569	ctla:L2BAMS2_00749
ko:K00057	ctla:L2BAMS2_00754
ko:K02412	ctla:L2BAMS2_00757
ko:K02411	ctla:L2BAMS2_00758
ko:K02409	ctla:L2BAMS2_00759
ko:K13819	ctla:L2BAMS2_00760
ko:K04487	ctla:L2BAMS2_00761
ko:K06178	ctla:L2BAMS2_00763
ko:K03524	ctla:L2BAMS2_00765
ko:K05837	ctla:L2BAMS2_00766
ko:K01214	ctla:L2BAMS2_00044
ko:K01875	ctla:L2BAMS2_00769
ko:K11752	ctla:L2BAMS2_00770
ko:K14652	ctla:L2BAMS2_00771
ko:K00794	ctla:L2BAMS2_00772
ko:K03310	ctla:L2BAMS2_00775
ko:K03466	ctla:L2BAMS2_00779
ko:K00351	ctla:L2BAMS2_00784
ko:K03210	ctla:L2BAMS2_00785
ko:K00231	ctla:L2BAMS2_00789
ko:K03733	ctla:L2BAMS2_00358
ko:K06287	ctla:L2BAMS2_00360
ko:K03075	ctla:L2BAMS2_00363
ko:K01462	ctla:L2BAMS2_00364
ko:K02528	ctla:L2BAMS2_00365
ko:K06888	ctla:L2BAMS2_00367
ko:K03523	ctla:L2BAMS2_00371
ko:K01714	ctla:L2BAMS2_00374
ko:K00928	ctla:L2BAMS2_00375
ko:K00133	ctla:L2BAMS2_00376
ko:K00215	ctla:L2BAMS2_00377
ko:K00800	ctla:L2BAMS2_00379
ko:K00891	ctla:L2BAMS2_00380
ko:K01736	ctla:L2BAMS2_00381
ko:K01735	ctla:L2BAMS2_00382
ko:K13832	ctla:L2BAMS2_00383
ko:K03758	ctla:L2BAMS2_00387
ko:K00024	ctla:L2BAMS2_00389
ko:K01810	ctla:L2BAMS2_00391
ko:K03665	ctla:L2BAMS2_00392
ko:K06167	ctla:L2BAMS2_00393
ko:K09996	ctla:L2BAMS2_00394
ko:K06966	ctla:L2BAMS2_00401
ko:K09131	ctla:L2BAMS2_00402
ko:K10206	ctla:L2BAMS2_00404
ko:K01881	ctla:L2BAMS2_00407
ko:K03705	ctla:L2BAMS2_00408
ko:K03687	ctla:L2BAMS2_00409
ko:K01599	ctla:L2BAMS2_00791
ko:K03723	ctla:L2BAMS2_00792
ko:K01872	ctla:L2BAMS2_00793
ko:K00615	ctla:L2BAMS2_00797
ko:K01241	ctla:L2BAMS2_00798
ko:K02356	ctla:L2BAMS2_00799
ko:K01929	ctla:L2BAMS2_00804
ko:K01000	ctla:L2BAMS2_00805
ko:K01925	ctla:L2BAMS2_00806
ko:K03588	ctla:L2BAMS2_00808
ko:K02563	ctla:L2BAMS2_00809
ko:K06960	ctla:L2BAMS2_00811
ko:K00791	ctla:L2BAMS2_00814
ko:K09710	ctla:L2BAMS2_00817
ko:K09458	ctla:L2BAMS2_00818
ko:K00263	ctla:L2BAMS2_00821
ko:K00655	ctla:L2BAMS2_00823
ko:K04066	ctla:L2BAMS2_00826
ko:K04567	ctla:L2BAMS2_00830
ko:K01883	ctla:L2BAMS2_00831
ko:K03536	ctla:L2BAMS2_00833
ko:K02919	ctla:L2BAMS2_00834
ko:K02954	ctla:L2BAMS2_00835
ko:K03703	ctla:L2BAMS2_00839
ko:K03555	ctla:L2BAMS2_00840
ko:K04043	ctla:L2BAMS2_00410
ko:K12573	ctla:L2BAMS2_00411
ko:K07164	ctla:L2BAMS2_00412
ko:K06041	ctla:L2BAMS2_00413
ko:K00658	ctla:L2BAMS2_00414
ko:K00912	ctla:L2BAMS2_00416
ko:K03437	ctla:L2BAMS2_00417
ko:K06969	ctla:L2BAMS2_00418
ko:K00793	ctla:L2BAMS2_00419
ko:K07738	ctla:L2BAMS2_00420
ko:K06204	ctla:L2BAMS2_00421
ko:K03101	ctla:L2BAMS2_00422
ko:K03310	ctla:L2BAMS2_00423
ko:K00748	ctla:L2BAMS2_00425
ko:K09817	ctla:L2BAMS2_00431
ko:K09816	ctla:L2BAMS2_00432
ko:K03979	ctla:L2BAMS2_00433
ko:K02899	ctla:L2BAMS2_00434
ko:K02888	ctla:L2BAMS2_00435
ko:K07042	ctla:L2BAMS2_00440
ko:K03183	ctla:L2BAMS2_00446
ko:K01778	ctla:L2BAMS2_00448
ko:K01358	ctla:L2BAMS2_00449
ko:K00600	ctla:L2BAMS2_00450
ko:K01770	ctla:L2BAMS2_00452
ko:K02946	ctla:L2BAMS2_00454
ko:K02355	ctla:L2BAMS2_00455
ko:K02992	ctla:L2BAMS2_00456
ko:K02950	ctla:L2BAMS2_00457
ko:K03797	ctla:L2BAMS2_00459
ko:K14164	ctla:L2BAMS2_00844
ko:K00995	ctla:L2BAMS2_00845
ko:K00703	ctla:L2BAMS2_00846
ko:K02897	ctla:L2BAMS2_00848
ko:K01056	ctla:L2BAMS2_00849
ko:K02990	ctla:L2BAMS2_00850
ko:K02963	ctla:L2BAMS2_00851
ko:K02939	ctla:L2BAMS2_00852
ko:K00919	ctla:L2BAMS2_00853
ko:K00630	ctla:L2BAMS2_00857
ko:K08301	ctla:L2BAMS2_00858
ko:K02911	ctla:L2BAMS2_00861
ko:K03621	ctla:L2BAMS2_00862
ko:K03431	ctla:L2BAMS2_00867
ko:K00820	ctla:L2BAMS2_00868
ko:K03834	ctla:L2BAMS2_00869
ko:K03834	ctla:L2BAMS2_00871
ko:K06890	ctla:L2BAMS2_00872
ko:K03110	ctla:L2BAMS2_00873
ko:K01903	ctla:L2BAMS2_00874
ko:K01902	ctla:L2BAMS2_00875
ko:K09760	ctla:L2BAMS2_00878
ko:K00075	ctla:L2BAMS2_00884
ko:K02520	ctla:L2BAMS2_00886
ko:K02916	ctla:L2BAMS2_00887
ko:K02887	ctla:L2BAMS2_00888
ko:K01889	ctla:L2BAMS2_00889
ko:K11720	ctla:L2BAMS2_00892
ko:K07091	ctla:L2BAMS2_00893
ko:K04075	ctla:L2BAMS2_00894
ko:K03559	ctla:L2BAMS2_00625
ko:K02493	ctla:L2BAMS2_00026
ko:K03106	ctla:L2BAMS2_00027
ko:K01874	ctla:L2BAMS2_00034
ko:K01255	ctla:L2BAMS2_00047
ko:K02959	ctla:L2BAMS2_00028
ko:K03581	ctla:L2BAMS2_00035
ko:K01494	ctla:L2BAMS2_00041
ko:K07462	ctla:L2BAMS2_00466
ko:K12257	ctla:L2BAMS2_00467
ko:K00806	ctla:L2BAMS2_00469
ko:K00981	ctla:L2BAMS2_00470
ko:K00945	ctla:L2BAMS2_00471
ko:K00655	ctla:L2BAMS2_00472
ko:K01887	ctla:L2BAMS2_00473
ko:K00790	ctla:L2BAMS2_00474
ko:K03100	ctla:L2BAMS2_00022
ko:K03551	ctla:L2BAMS2_00042
ko:K02340	ctla:L2BAMS2_00049
ko:K00164	ctla:L2BAMS2_00056
ko:K00658	ctla:L2BAMS2_00057
ko:K05810	ctla:L2BAMS2_00058
ko:K03526	ctla:L2BAMS2_00059
ko:K02400	ctla:L2BAMS2_00063
ko:K02405	ctla:L2BAMS2_00064
ko:K01866	ctla:L2BAMS2_00065
ko:K03596	ctla:L2BAMS2_00067
ko:K03301	ctla:L2BAMS2_00068
ko:K00099	ctla:L2BAMS2_00074
ko:K03629	ctla:L2BAMS2_00077
ko:K02338	ctla:L2BAMS2_00078
