ko:K19743	apg:APA12_08140
ko:K07062	apg:APA12_43880
ko:K03560	apg:APA12_26220
ko:K09690	apg:APA12_23040
ko:K00254	apg:APA12_02520
ko:K22617	apg:APA12_10790
ko:K17103	apg:APA12_07820
ko:K02169	apg:APA12_10930
ko:K01935	apg:APA12_10930
ko:K22474	apg:APA12_00860
ko:K22473	apg:APA12_00870
ko:K16013	apg:APA12_15410
ko:K16013	apg:APA12_12620
ko:K16012	apg:APA12_12610
ko:K13409	apg:APA12_03260
ko:K13408	apg:APA12_03270
ko:K12340	apg:APA12_12430
ko:K15726	apg:APA12_15930
ko:K22475	apg:APA12_07070
ko:K03297	apg:APA12_13370
ko:K03297	apg:APA12_21110
ko:K16012	apg:APA12_15400
ko:K02083	apg:APA12_12830
ko:K03446	apg:APA12_42510
ko:K07267	apg:APA12_22080
ko:K02523	apg:APA12_10630
ko:K01776	apg:APA12_10640
ko:K00762	apg:APA12_10650
ko:K01647	apg:APA12_10670
ko:K08296	apg:APA12_10680
ko:K04092	apg:APA12_10690
ko:K03529	apg:APA12_10730
ko:K07042	apg:APA12_10760
ko:K06168	apg:APA12_10780
ko:K07278	apg:APA12_10810
ko:K09800	apg:APA12_10820
ko:K01142	apg:APA12_10830
ko:K01273	apg:APA12_10840
ko:K03703	apg:APA12_10850
ko:K03636	apg:APA12_10880
ko:K00833	apg:APA12_10900
ko:K02170	apg:APA12_10920
ko:K01356	apg:APA12_10940
ko:K03750	apg:APA12_10950
ko:K02913	apg:APA12_10960
ko:K01689	apg:APA12_10980
ko:K03154	apg:APA12_11010
ko:K03149	apg:APA12_11020
ko:K00788	apg:APA12_11030
ko:K03655	apg:APA12_11040
ko:K09159	apg:APA12_11050
ko:K03723	apg:APA12_11060
ko:K14347	apg:APA12_11080
ko:K09883	apg:APA12_11100
ko:K03801	apg:APA12_11150
ko:K01698	apg:APA12_19380
ko:K02621	apg:APA12_19400
ko:K03584	apg:APA12_19410
ko:K02357	apg:APA12_19420
ko:K02967	apg:APA12_19430
ko:K00826	apg:APA12_19460
ko:K01665	apg:APA12_19470
ko:K02337	apg:APA12_19490
ko:K01918	apg:APA12_19480
ko:K00812	apg:APA12_19530
ko:K00812	apg:APA12_19540
ko:K01894	apg:APA12_19550
ko:K00940	apg:APA12_19610
ko:K06158	apg:APA12_19620
ko:K02520	apg:APA12_19670
ko:K01868	apg:APA12_19680
ko:K00858	apg:APA12_19720
ko:K02204	apg:APA12_19760
ko:K03527	apg:APA12_19770
ko:K08602	apg:APA12_19800
ko:K00266	apg:APA12_19820
ko:K01448	apg:APA12_19860
ko:K08300	apg:APA12_19870
ko:K00765	apg:APA12_19880
ko:K00013	apg:APA12_19890
ko:K02518	apg:APA12_19900
ko:K07043	apg:APA12_01830
ko:K09160	apg:APA12_01840
ko:K00220	apg:APA12_02020
ko:K04761	apg:APA12_02040
ko:K04756	apg:APA12_02060
ko:K00963	apg:APA12_11170
ko:K03639	apg:APA12_11190
ko:K00928	apg:APA12_11270
ko:K15539	apg:APA12_11290
ko:K01892	apg:APA12_11310
ko:K02835	apg:APA12_11320
ko:K02493	apg:APA12_11340
ko:K06153	apg:APA12_11380
ko:K03642	apg:APA12_11430
ko:K00943	apg:APA12_11450
ko:K02341	apg:APA12_11460
ko:K01874	apg:APA12_11470
ko:K03424	apg:APA12_11480
ko:K06167	apg:APA12_11490
ko:K00275	apg:APA12_11510
ko:K00208	apg:APA12_11520
ko:K01736	apg:APA12_11530
ko:K00116	apg:APA12_11550
ko:K01737	apg:APA12_11560
ko:K06920	apg:APA12_11570
ko:K01012	apg:APA12_11590
ko:K00390	apg:APA12_11610
ko:K00957	apg:APA12_11620
ko:K00955	apg:APA12_11630
ko:K00381	apg:APA12_11650
ko:K02527	apg:APA12_11670
ko:K00912	apg:APA12_11680
ko:K02517	apg:APA12_11690
ko:K06287	apg:APA12_19910
ko:K09862	apg:APA12_19930
