ko:K11741	lce:LC2W_2988
ko:K15771	lce:LC2W_1137
ko:K00887	lce:LC2W_1684
ko:K00426	lce:LC2W_0017
ko:K12574	lce:LC2W_1472
ko:K14234	lce:LC2W_t56
ko:K01977	lce:LC2W_r03
ko:K16958	lce:LC2W_0456
ko:K00226	lce:LC2W_1908
ko:K03707	lce:LC2W_0306
ko:K00878	lce:LC2W_0308
ko:K00788	lce:LC2W_0309
ko:K00941	lce:LC2W_0310
ko:K02529	lce:LC2W_0315
ko:K06726	lce:LC2W_0316
ko:K10441	lce:LC2W_0317
ko:K00820	lce:LC2W_1177
ko:K07407	lce:LC2W_1196
ko:K06209	lce:LC2W_1206
ko:K10804	lce:LC2W_1212
ko:K03657	lce:LC2W_1214
ko:K01972	lce:LC2W_1215
ko:K02435	lce:LC2W_1217
ko:K02434	lce:LC2W_1219
ko:K03215	lce:LC2W_1222
ko:K15581	lce:LC2W_2063
ko:K01951	lce:LC2W_2110
ko:K08659	lce:LC2W_2114
ko:K01772	lce:LC2W_2118
ko:K02774	lce:LC2W_2951
ko:K02773	lce:LC2W_2952
ko:K03828	lce:LC2W_2955
ko:K01126	lce:LC2W_2966
ko:K05813	lce:LC2W_2968
ko:K00763	lce:LC2W_2972
ko:K07106	lce:LC2W_2978
ko:K03826	lce:LC2W_2998
ko:K01574	lce:LC2W_0790
ko:K01356	lce:LC2W_0803
ko:K07088	lce:LC2W_0806
ko:K03284	lce:LC2W_0813
ko:K07088	lce:LC2W_0817
ko:K11065	lce:LC2W_0818
ko:K00940	lce:LC2W_0825
ko:K01091	lce:LC2W_0831
ko:K07173	lce:LC2W_0843
ko:K09773	lce:LC2W_1690
ko:K01151	lce:LC2W_1691
ko:K01876	lce:LC2W_1694
ko:K01892	lce:LC2W_1695
ko:K01448	lce:LC2W_1703
ko:K07560	lce:LC2W_1705
ko:K09761	lce:LC2W_1708
ko:K02687	lce:LC2W_1709
ko:K03652	lce:LC2W_1711
ko:K00759	lce:LC2W_1723
ko:K07462	lce:LC2W_1724
ko:K03596	lce:LC2W_1729
ko:K03686	lce:LC2W_1730
ko:K04043	lce:LC2W_1732
ko:K03687	lce:LC2W_1733
ko:K03705	lce:LC2W_1734
ko:K11753	lce:LC2W_1736
ko:K02834	lce:LC2W_1739
ko:K02519	lce:LC2W_1740
ko:K07742	lce:LC2W_1742
ko:K02600	lce:LC2W_1743
ko:K09748	lce:LC2W_1744
ko:K07248	lce:LC2W_2586
ko:K02954	lce:LC2W_2587
ko:K06199	lce:LC2W_2603
ko:K06199	lce:LC2W_2604
ko:K02044	lce:LC2W_2607
ko:K02041	lce:LC2W_2608
ko:K02042	lce:LC2W_2609
ko:K02042	lce:LC2W_2610
ko:K15553	lce:LC2W_2612
ko:K15554	lce:LC2W_2616
ko:K07478	lce:LC2W_0149
ko:K00925	lce:LC2W_0150
ko:K01421	lce:LC2W_0154
