ko:K19416	amao:I634_10555
ko:K19092	amao:I634_15590
ko:K10747	amao:I634_17770
ko:K18923	amao:I634_03030
ko:K03297	amao:I634_15130
ko:K01563	amao:I634_08460
ko:K11741	amao:I634_00910
ko:K21430	amao:I634_02865
ko:K03111	amao:I634_01180
ko:K00254	amao:I634_10155
ko:K19736	amao:I634_06730
ko:K18828	amao:I634_18420
ko:K07577	amao:I634_17765
ko:K01271	amao:I634_03150
ko:K19226	amao:I634_05625
ko:K13693	amao:I634_10850
ko:K18820	amao:I634_18610
ko:K01897	amao:I634_12205
ko:K03559	amao:I634_16410
ko:K03559	amao:I634_03845
ko:K03559	amao:I634_05745
ko:K06075	amao:I634_05845
ko:K03417	amao:I634_15165
ko:K08282	amao:I634_10060
ko:K11209	amao:I634_17795
ko:K14223	amao:I634_t19429
ko:K14223	amao:I634_t19435
ko:K01897	amao:I634_03870
ko:K00040	amao:I634_11850
ko:K00951	amao:I634_04010
ko:K00265	amao:I634_15240
ko:K01897	amao:I634_12445
ko:K01190	amao:I634_01380
ko:K17713	amao:I634_13210
ko:K09897	amao:I634_02735
ko:K01652	amao:I634_02740
ko:K01653	amao:I634_02745
ko:K03116	amao:I634_02755
ko:K03117	amao:I634_02760
ko:K03118	amao:I634_02765
ko:K03424	amao:I634_02775
ko:K01698	amao:I634_02785
ko:K01524	amao:I634_02790
ko:K03732	amao:I634_02795
ko:K03671	amao:I634_02800
ko:K03628	amao:I634_02805
ko:K03313	amao:I634_02820
ko:K01588	amao:I634_02825
ko:K01589	amao:I634_02830
ko:K02358	amao:I634_02840
ko:K07093	amao:I634_02850
ko:K04047	amao:I634_02860
ko:K05838	amao:I634_02880
ko:K09937	amao:I634_02895
ko:K01939	amao:I634_02900
ko:K06991	amao:I634_02910
ko:K01207	amao:I634_02930
ko:K07106	amao:I634_02945
ko:K01775	amao:I634_02950
ko:K06193	amao:I634_02990
ko:K03829	amao:I634_02995
ko:K01956	amao:I634_07170
ko:K01955	amao:I634_07175
ko:K03624	amao:I634_07180
ko:K04080	amao:I634_07195
ko:K00925	amao:I634_07200
ko:K13788	amao:I634_07205
ko:K03820	amao:I634_07220
ko:K06189	amao:I634_07225
ko:K07042	amao:I634_07230
ko:K06168	amao:I634_07240
ko:K03184	amao:I634_07245
ko:K03310	amao:I634_07300
ko:K06942	amao:I634_07310
ko:K01056	amao:I634_07315
ko:K02897	amao:I634_07320
ko:K12957	amao:I634_07325
ko:K00948	amao:I634_07340
ko:K00919	amao:I634_07345
ko:K02494	amao:I634_07350
ko:K02492	amao:I634_07355
ko:K02835	amao:I634_07360
ko:K02493	amao:I634_07365
ko:K01627	amao:I634_07385
ko:K07020	amao:I634_07400
ko:K06968	amao:I634_07410
ko:K09916	amao:I634_11630
ko:K03310	amao:I634_11645
ko:K00134	amao:I634_11655
ko:K00705	amao:I634_11685
ko:K00134	amao:I634_11690
ko:K01792	amao:I634_11695
ko:K01625	amao:I634_11700
ko:K01690	amao:I634_11710
ko:K01057	amao:I634_11715
ko:K00036	amao:I634_11720
ko:K00873	amao:I634_11730
ko:K09190	amao:I634_11780
ko:K09967	amao:I634_11785
ko:K01815	amao:I634_11815
ko:K02529	amao:I634_11835
ko:K01685	amao:I634_11840
ko:K01812	amao:I634_11845
ko:K00874	amao:I634_11860
ko:K15532	amao:I634_11875
ko:K01051	amao:I634_11885
ko:K02168	amao:I634_15945
ko:K03088	amao:I634_15950
ko:K03777	amao:I634_15980
ko:K06214	amao:I634_15990
ko:K04338	amao:I634_15995
ko:K04337	amao:I634_16000
ko:K04335	amao:I634_16010
ko:K11927	amao:I634_16045
ko:K01625	amao:I634_16070
ko:K00874	amao:I634_16075
ko:K00874	amao:I634_16080
ko:K03782	amao:I634_16105
ko:K00817	amao:I634_16145
ko:K03410	amao:I634_16155
ko:K02336	amao:I634_16170
ko:K09013	amao:I634_13275
ko:K09014	amao:I634_13280
ko:K04487	amao:I634_13285
ko:K13643	amao:I634_13290
ko:K00640	amao:I634_13300
ko:K15396	amao:I634_13305
ko:K03074	amao:I634_13325
ko:K03072	amao:I634_13330
ko:K03210	amao:I634_13335
ko:K00773	amao:I634_13340
ko:K07568	amao:I634_13345
ko:K09980	amao:I634_13355
ko:K10716	amao:I634_13365
ko:K08989	amao:I634_13375
ko:K02003	amao:I634_13400
ko:K01425	amao:I634_13415
ko:K03415	amao:I634_13425
ko:K01637	amao:I634_13430
ko:K01638	amao:I634_13440
ko:K07001	amao:I634_13445
ko:K08679	amao:I634_13450
ko:K16090	amao:I634_17595
ko:K02355	amao:I634_17610
ko:K02992	amao:I634_17615
ko:K02950	amao:I634_17620
ko:K03046	amao:I634_17625
ko:K03043	amao:I634_17630
ko:K02864	amao:I634_17640
ko:K02863	amao:I634_17645
ko:K02867	amao:I634_17650
ko:K09964	amao:I634_17685
ko:K05591	amao:I634_17690
ko:K01465	amao:I634_17695
ko:K03098	amao:I634_17700
ko:K01495	amao:I634_17735
ko:K13938	amao:I634_17740
ko:K12251	amao:I634_17750
ko:K06953	amao:I634_17755
ko:K03724	amao:I634_17760
ko:K02356	amao:I634_17775
ko:K00847	amao:I634_17780
ko:K01652	amao:I634_17830
ko:K01772	amao:I634_17840
ko:K01682	amao:I634_03910
ko:K09005	amao:I634_03915
ko:K00928	amao:I634_03920
ko:K06195	amao:I634_03935
ko:K02528	amao:I634_03940
ko:K00097	amao:I634_03945
ko:K03771	amao:I634_03950
ko:K04744	amao:I634_03955
ko:K05801	amao:I634_03960
ko:K03981	amao:I634_03970
ko:K07462	amao:I634_03975
ko:K03584	amao:I634_03985
ko:K03474	amao:I634_03990
ko:K00997	amao:I634_03995
ko:K09790	amao:I634_04020
ko:K00021	amao:I634_04025
ko:K07243	amao:I634_04080
ko:K02871	amao:I634_04105
ko:K02996	amao:I634_04110
ko:K00411	amao:I634_04115
ko:K00412	amao:I634_04120
ko:K00413	amao:I634_04125
ko:K03599	amao:I634_04130
ko:K03600	amao:I634_04135
ko:K06213	amao:I634_04140
ko:K09810	amao:I634_08255
ko:K09808	amao:I634_08260
ko:K01484	amao:I634_08275
ko:K03168	amao:I634_08285
ko:K09912	amao:I634_08290
ko:K03752	amao:I634_08310
ko:K02379	amao:I634_08315
ko:K08300	amao:I634_08340
ko:K01091	amao:I634_08350
ko:K07040	amao:I634_08360
ko:K02911	amao:I634_08365
ko:K03621	amao:I634_08370
ko:K00648	amao:I634_08375
ko:K05501	amao:I634_00215
ko:K13038	amao:I634_00220
ko:K03630	amao:I634_00225
ko:K02902	amao:I634_00250
ko:K02913	amao:I634_00255
ko:K00954	amao:I634_00270
ko:K11211	amao:I634_00275
ko:K12982	amao:I634_00280
ko:K00060	amao:I634_00305
ko:K02439	amao:I634_00310
ko:K02415	amao:I634_00320
ko:K03181	amao:I634_00325
ko:K03179	amao:I634_00330
ko:K07726	amao:I634_00340
ko:K03656	amao:I634_00350
ko:K07154	amao:I634_00365
ko:K03315	amao:I634_00380
ko:K07112	amao:I634_00385
ko:K07112	amao:I634_00390
ko:K13771	amao:I634_00395
ko:K07090	amao:I634_00400
ko:K17218	amao:I634_00410
ko:K00426	amao:I634_00445
ko:K00425	amao:I634_00450
ko:K15726	amao:I634_00500
ko:K01937	amao:I634_04735
ko:K03555	amao:I634_04740
ko:K04061	amao:I634_04765
ko:K02194	amao:I634_04780
ko:K02195	amao:I634_04785
ko:K02196	amao:I634_04790
ko:K02197	amao:I634_04795
ko:K02198	amao:I634_04800
ko:K02199	amao:I634_04805
ko:K04754	amao:I634_04820
ko:K03305	amao:I634_04835
ko:K10107	amao:I634_04840
ko:K09689	amao:I634_04845
ko:K09688	amao:I634_04850
ko:K12990	amao:I634_04875
ko:K00963	amao:I634_04880
ko:K02237	amao:I634_04885
ko:K06966	amao:I634_04905
ko:K06879	amao:I634_04915
ko:K15723	amao:I634_04920
ko:K06175	amao:I634_04955
