ko:K00001	blf:BLIF_0541
ko:K01835	blf:BLIF_1702
ko:K01897	blf:BLIF_1125
ko:K01990	blf:BLIF_1870
ko:K01990	blf:BLIF_1653
ko:K07979	blf:BLIF_0597
ko:K07496	blf:BLIF_0850
ko:K03719	blf:BLIF_0011
ko:K02313	blf:BLIF_0001
ko:K17686	blf:BLIF_0205
ko:K10119	blf:BLIF_1937
ko:K01992	blf:BLIF_1871
ko:K16235	blf:BLIF_0956
ko:K03574	blf:BLIF_0068
ko:K06147	blf:BLIF_1548
ko:K00874	blf:BLIF_1540
ko:K01524	blf:BLIF_1576
ko:K01524	blf:BLIF_0616
ko:K14218	blf:BLIF_tRNA01
ko:K14227	blf:BLIF_tRNA02
ko:K14228	blf:BLIF_tRNA03
ko:K14230	blf:BLIF_tRNA11
ko:K14219	blf:BLIF_tRNA12
ko:K14225	blf:BLIF_tRNA13
ko:K14225	blf:BLIF_tRNA34
ko:K14225	blf:BLIF_tRNA38
ko:K14237	blf:BLIF_tRNA14
ko:K14237	blf:BLIF_tRNA36
ko:K14234	blf:BLIF_tRNA16
ko:K14228	blf:BLIF_tRNA17
ko:K14234	blf:BLIF_tRNA18
ko:K14226	blf:BLIF_tRNA20
ko:K14228	blf:BLIF_tRNA22
ko:K14232	blf:BLIF_tRNA23
ko:K14218	blf:BLIF_tRNA24
ko:K14218	blf:BLIF_tRNA25
ko:K14232	blf:BLIF_tRNA33
ko:K14220	blf:BLIF_tRNA40
ko:K14220	blf:BLIF_tRNA41
ko:K14220	blf:BLIF_tRNA39
ko:K14237	blf:BLIF_tRNA42
ko:K14233	blf:BLIF_tRNA50
ko:K14233	blf:BLIF_tRNA52
ko:K14234	blf:BLIF_tRNA07
ko:K14234	blf:BLIF_tRNA54
ko:K14235	blf:BLIF_tRNA57
ko:K07768	blf:BLIF_0286
ko:K14223	blf:BLIF_tRNA26
ko:K14223	blf:BLIF_tRNA06
ko:K14235	blf:BLIF_tRNA31
ko:K11068	blf:BLIF_0071
ko:K02056	blf:BLIF_1640
ko:K03741	blf:BLIF_0685
ko:K05349	blf:BLIF_1964
ko:K00633	blf:BLIF_0553
ko:K06147	blf:BLIF_1906
ko:K06147	blf:BLIF_1905
ko:K01992	blf:BLIF_1652
ko:K01190	blf:BLIF_0659
ko:K00128	blf:BLIF_0505
ko:K01182	blf:BLIF_1986
ko:K01182	blf:BLIF_1936
ko:K01048	blf:BLIF_0054
ko:K01897	blf:BLIF_1571
ko:K01209	blf:BLIF_0087
ko:K02484	blf:BLIF_1490
ko:K01485	blf:BLIF_1485
ko:K02483	blf:BLIF_1491
ko:K01664	blf:BLIF_0045
ko:K05364	blf:BLIF_0048
ko:K02055	blf:BLIF_0250
ko:K02054	blf:BLIF_0251
ko:K02052	blf:BLIF_0253
ko:K01802	blf:BLIF_0241
ko:K10231	blf:BLIF_0278
ko:K02058	blf:BLIF_1461
ko:K02056	blf:BLIF_1460
ko:K03767	blf:BLIF_1200
ko:K01802	blf:BLIF_0619
ko:K02030	blf:BLIF_0511
ko:K02528	blf:BLIF_1974
ko:K00919	blf:BLIF_1975
ko:K03980	blf:BLIF_1980
ko:K00384	blf:BLIF_1982
ko:K02027	blf:BLIF_1994
ko:K02025	blf:BLIF_1996
ko:K02026	blf:BLIF_1997
ko:K03497	blf:BLIF_1999
ko:K03496	blf:BLIF_2000
ko:K03501	blf:BLIF_2001
ko:K06346	blf:BLIF_2002
ko:K03217	blf:BLIF_2003
ko:K03536	blf:BLIF_2004
ko:K02914	blf:BLIF_2005
ko:K12112	blf:BLIF_0282
ko:K01626	blf:BLIF_0283
ko:K01626	blf:BLIF_0284
ko:K01243	blf:BLIF_0285
ko:K07776	blf:BLIF_0287
ko:K02040	blf:BLIF_0288
ko:K02037	blf:BLIF_0289
ko:K02038	blf:BLIF_0290
ko:K02036	blf:BLIF_0291
ko:K03744	blf:BLIF_0292
ko:K02860	blf:BLIF_0296
ko:K06960	blf:BLIF_0297
ko:K02959	blf:BLIF_0298
ko:K03106	blf:BLIF_0300
ko:K01883	blf:BLIF_0302
ko:K01653	blf:BLIF_0307
ko:K01652	blf:BLIF_0308
ko:K03685	blf:BLIF_0309
ko:K02911	blf:BLIF_0310
ko:K07040	blf:BLIF_0311
ko:K00954	blf:BLIF_0313
ko:K01507	blf:BLIF_0228
ko:K00651	blf:BLIF_0231
ko:K02108	blf:BLIF_0232
ko:K02110	blf:BLIF_0233
ko:K02109	blf:BLIF_0234
ko:K02113	blf:BLIF_0235
ko:K02111	blf:BLIF_0236
ko:K02115	blf:BLIF_0237
ko:K02112	blf:BLIF_0238
ko:K02114	blf:BLIF_0239
ko:K07503	blf:BLIF_0240
ko:K05838	blf:BLIF_0244
ko:K00057	blf:BLIF_0248
ko:K01921	blf:BLIF_0249
ko:K02053	blf:BLIF_0252
ko:K01744	blf:BLIF_0256
ko:K03629	blf:BLIF_0003
ko:K02470	blf:BLIF_0005
ko:K02469	blf:BLIF_0006
ko:K00262	blf:BLIF_0010
ko:K07133	blf:BLIF_0018
ko:K07043	blf:BLIF_0019
ko:K00851	blf:BLIF_0020
