ko:K18929	cjej:N564_00068
ko:K06921	cjej:N564_00771
ko:K18924	cjej:N564_00294
ko:K18928	cjej:N564_00069
ko:K18139	cjej:N564_00348
ko:K14224	cjej:N564_02100
ko:K01978	cjej:N564_02470
ko:K18682	cjej:N564_01170
ko:K02031	cjej:N564_01568
ko:K11782	cjej:N564_01303
ko:K03559	cjej:N564_00103
ko:K03559	cjej:N564_00172
ko:K03559	cjej:N564_01620
ko:K12574	cjej:N564_01703
ko:K02484	cjej:N564_01184
ko:K02484	cjej:N564_01189
ko:K02484	cjej:N564_01226
ko:K00616	cjej:N564_00265
ko:K03830	cjej:N564_00279
ko:K02017	cjej:N564_00284
ko:K00652	cjej:N564_00290
ko:K02566	cjej:N564_00299
ko:K09825	cjej:N564_00306
ko:K03177	cjej:N564_01070
ko:K03406	cjej:N564_01078
ko:K05595	cjej:N564_01079
ko:K07305	cjej:N564_01080
ko:K01784	cjej:N564_01099
ko:K03711	cjej:N564_00383
ko:K00244	cjej:N564_00392
ko:K00245	cjej:N564_00393
ko:K07126	cjej:N564_00396
ko:K00059	cjej:N564_00416
ko:K02238	cjej:N564_01172
ko:K13640	cjej:N564_01193
ko:K03455	cjej:N564_01194
ko:K04652	cjej:N564_00612
ko:K04655	cjej:N564_00615
ko:K07304	cjej:N564_00624
ko:K01507	cjej:N564_00625
ko:K00939	cjej:N564_00626
ko:K01679	cjej:N564_01360
ko:K00769	cjej:N564_01366
ko:K02428	cjej:N564_01370
ko:K07017	cjej:N564_01372
ko:K03326	cjej:N564_01387
ko:K01760	cjej:N564_01389
ko:K01082	cjej:N564_01674
ko:K02010	cjej:N564_00165
ko:K02242	cjej:N564_00995
ko:K02574	cjej:N564_00761
ko:K00974	cjej:N564_00768
ko:K11085	cjej:N564_00782
ko:K00076	cjej:N564_00786
ko:K01916	cjej:N564_00789
ko:K02030	cjej:N564_00795
ko:K09952	cjej:N564_01516
ko:K03326	cjej:N564_01519
ko:K03796	cjej:N564_01523
ko:K06857	cjej:N564_01529
ko:K08077	cjej:N564_00429
ko:K02342	cjej:N564_00434
ko:K02028	cjej:N564_00451
ko:K01104	cjej:N564_01222
ko:K00567	cjej:N564_00812
ko:K01885	cjej:N564_00820
ko:K07098	cjej:N564_00821
ko:K01664	cjej:N564_00835
ko:K03342	cjej:N564_00836
ko:K04763	cjej:N564_00837
ko:K02033	cjej:N564_01570
ko:K02035	cjej:N564_01571
ko:K00674	cjej:N564_01592
ko:K03593	cjej:N564_01593
