ko:K07498	cgm:cgp_3225
ko:K18917	cgm:cgp_0964
ko:K18230	cgm:cgp_2349
ko:K01066	cgm:cgp_0153
ko:K13877	cgm:cgp_0535
ko:K02077	cgm:cgp_0041
ko:K07504	cgm:cgp_2664
ko:K02033	cgm:cgp_2677
ko:K02035	cgm:cgp_2678
ko:K02351	cgm:cgp_2699
ko:K07245	cgm:cgp_2699
ko:K01077	cgm:cgp_2700
ko:K10118	cgm:cgp_2704
ko:K10112	cgm:cgp_2708
ko:K06898	cgm:cgp_2714
ko:K09121	cgm:cgp_2715
ko:K07214	cgm:cgp_2719
ko:K00851	cgm:cgp_2732
ko:K02428	cgm:cgp_2751
ko:K07054	cgm:cgp_1842
ko:K03768	cgm:cgp_1857
ko:K02035	cgm:cgp_1864
ko:K08256	cgm:cgp_1876
ko:K16647	cgm:cgp_2077
ko:K07305	cgm:cgp_2078
ko:K03087	cgm:cgp_2102
ko:K03709	cgm:cgp_2103
ko:K01784	cgm:cgp_2104
ko:K03436	cgm:cgp_2115
ko:K00882	cgm:cgp_2116
ko:K08483	cgm:cgp_2117
ko:K00882	cgm:cgp_2119
ko:K11189	cgm:cgp_2121
ko:K16784	cgm:cgp_2148
ko:K03743	cgm:cgp_2153
ko:K02274	cgm:cgp_2780
ko:K01092	cgm:cgp_2090
ko:K05794	cgm:cgp_2157
ko:K03177	cgm:cgp_2170
ko:K15582	cgm:cgp_2183
ko:K03404	cgm:cgp_2188
ko:K02303	cgm:cgp_2189
ko:K02004	cgm:cgp_2202
ko:K01992	cgm:cgp_2212
ko:K01990	cgm:cgp_2213
ko:K03153	cgm:cgp_2237
ko:K10563	cgm:cgp_2272
ko:K07104	cgm:cgp_2290
ko:K01496	cgm:cgp_2296
ko:K01092	cgm:cgp_2298
ko:K01814	cgm:cgp_2299
ko:K01817	cgm:cgp_2299
ko:K00010	cgm:cgp_2313
ko:K13787	cgm:cgp_2384
ko:K13671	cgm:cgp_2393
ko:K00845	cgm:cgp_2399
ko:K13668	cgm:cgp_2400
ko:K03891	cgm:cgp_2403
ko:K03890	cgm:cgp_2404
ko:K03889	cgm:cgp_2405
ko:K01113	cgm:cgp_2485
ko:K03711	cgm:cgp_2502
ko:K06147	cgm:cgp_2524
ko:K16146	cgm:cgp_2530
ko:K01823	cgm:cgp_2531
ko:K02342	cgm:cgp_2321
ko:K01424	cgm:cgp_2352
ko:K01104	cgm:cgp_2459
ko:K05833	cgm:cgp_2467
ko:K05832	cgm:cgp_2468
ko:K01989	cgm:cgp_2470
ko:K02566	cgm:cgp_2474
ko:K02035	cgm:cgp_2549
ko:K02033	cgm:cgp_2550
ko:K00852	cgm:cgp_2554
ko:K06221	cgm:cgp_2591
ko:K00626	cgm:cgp_2625
ko:K01607	cgm:cgp_2628
ko:K01885	cgm:cgp_0289
ko:K00010	cgm:cgp_0204
ko:K11387	cgm:cgp_0235
ko:K13686	cgm:cgp_0236
ko:K16652	cgm:cgp_0237
ko:K16653	cgm:cgp_0238
ko:K16649	cgm:cgp_0246
ko:K04517	cgm:cgp_0279
ko:K06994	cgm:cgp_0284
ko:K07009	cgm:cgp_0299
ko:K02342	cgm:cgp_0302
ko:K03325	cgm:cgp_0318
ko:K05570	cgm:cgp_0322
ko:K05568	cgm:cgp_0324
ko:K00059	cgm:cgp_0344
ko:K06877	cgm:cgp_0370
ko:K05565	cgm:cgp_0326
ko:K06179	cgm:cgp_0384
ko:K00153	cgm:cgp_0387
ko:K01784	cgm:cgp_0391
ko:K09153	cgm:cgp_0393
ko:K01081	cgm:cgp_0397
ko:K01322	cgm:cgp_0410
ko:K01104	cgm:cgp_0415
ko:K07120	cgm:cgp_0174
ko:K07386	cgm:cgp_0193
ko:K03635	cgm:cgp_0258
ko:K07503	cgm:cgp_1371
ko:K04091	cgm:cgp_1376
ko:K00700	cgm:cgp_1381
ko:K02342	cgm:cgp_1400
ko:K15576	cgm:cgp_1441
ko:K00058	cgm:cgp_1451
ko:K07182	cgm:cgp_1456
ko:K02433	cgm:cgp_1404
ko:K02342	cgm:cgp_1457
ko:K01885	cgm:cgp_1463
ko:K02755	cgm:cgp_1537
ko:K02756	cgm:cgp_1537
ko:K02757	cgm:cgp_1537
ko:K00852	cgm:cgp_1546
ko:K05814	cgm:cgp_1568
ko:K05815	cgm:cgp_1569
ko:K07114	cgm:cgp_1590
ko:K00374	cgm:cgp_1341
ko:K10440	cgm:cgp_1412
ko:K10439	cgm:cgp_1413
ko:K06988	cgm:cgp_1421
ko:K07393	cgm:cgp_1426
ko:K07030	cgm:cgp_1497
ko:K02028	cgm:cgp_1502
ko:K02030	cgm:cgp_1504
ko:K08974	cgm:cgp_1506
ko:K01515	cgm:cgp_1607
ko:K04763	cgm:cgp_1608
ko:K01011	cgm:cgp_1613
ko:K03316	cgm:cgp_1624
ko:K06889	cgm:cgp_1628
ko:K07397	cgm:cgp_1628
ko:K00033	cgm:cgp_1643
ko:K01990	cgm:cgp_1646
ko:K07670	cgm:cgp_0862
ko:K07654	cgm:cgp_0864
ko:K07177	cgm:cgp_0893
ko:K09118	cgm:cgp_0896
ko:K01082	cgm:cgp_0967
ko:K05522	cgm:cgp_0969
ko:K04093	cgm:cgp_0975
ko:K02004	cgm:cgp_0977
ko:K07669	cgm:cgp_0996
ko:K07653	cgm:cgp_0997
ko:K03647	cgm:cgp_2787
ko:K08372	cgm:cgp_0998
ko:K01934	cgm:cgp_1003
ko:K07032	cgm:cgp_1073
ko:K01990	cgm:cgp_1081
ko:K01992	cgm:cgp_1082
ko:K06147	cgm:cgp_1100
ko:K02428	cgm:cgp_1107
ko:K09009	cgm:cgp_1113
ko:K01679	cgm:cgp_1145
ko:K04091	cgm:cgp_1156
ko:K02446	cgm:cgp_1157
ko:K07114	cgm:cgp_1159
ko:K01607	cgm:cgp_1193
ko:K03405	cgm:cgp_1203
ko:K04750	cgm:cgp_1224
ko:K09146	cgm:cgp_1246
ko:K10843	cgm:cgp_0933
ko:K01962	cgm:cgp_0951
ko:K01963	cgm:cgp_0951
ko:K05602	cgm:cgp_0910
ko:K06994	cgm:cgp_1054
ko:K15525	cgm:cgp_1250
ko:K00674	cgm:cgp_1256
ko:K00674	cgm:cgp_1259
ko:K01439	cgm:cgp_1260
ko:K13693	cgm:cgp_1263
ko:K12503	cgm:cgp_1130
ko:K00867	cgm:cgp_1132
ko:K16148	cgm:cgp_1268
ko:K00666	cgm:cgp_1353
ko:K02851	cgm:cgp_1359
ko:K03593	cgm:cgp_1274
ko:K01616	cgm:cgp_1280
ko:K03929	cgm:cgp_1284
ko:K16012	cgm:cgp_1298
ko:K16013	cgm:cgp_1299
ko:K03574	cgm:cgp_1303
ko:K02074	cgm:cgp_0043
ko:K02056	cgm:cgp_0046
ko:K00135	cgm:cgp_0067
ko:K12942	cgm:cgp_0133
ko:K00389	cgm:cgp_0135
ko:K00045	cgm:cgp_0143
ko:K00854	cgm:cgp_0147
ko:K07025	cgm:cgp_0154
ko:K01724	cgm:cgp_0549
ko:K02549	cgm:cgp_0551
ko:K12583	cgm:cgp_0554
ko:K00805	cgm:cgp_0559
ko:K07250	cgm:cgp_0566
ko:K00135	cgm:cgp_0567
ko:K01409	cgm:cgp_0687
ko:K00088	cgm:cgp_0699
ko:K00088	cgm:cgp_0700
ko:K16870	cgm:cgp_0848
ko:K06994	cgm:cgp_0722
ko:K00241	cgm:cgp_0445
ko:K15521	cgm:cgp_0481
ko:K01834	cgm:cgp_0482
ko:K07768	cgm:cgp_0483
ko:K07776	cgm:cgp_0484
ko:K02004	cgm:cgp_0486
ko:K14162	cgm:cgp_0738
ko:K09167	cgm:cgp_0739
ko:K08981	cgm:cgp_0740
ko:K03709	cgm:cgp_0741
ko:K07192	cgm:cgp_0752
ko:K07258	cgm:cgp_0782
ko:K01619	cgm:cgp_0458
ko:K02010	cgm:cgp_0506
ko:K06196	cgm:cgp_0522
ko:K00939	cgm:cgp_0648
ko:K01958	cgm:cgp_0791
ko:K11263	cgm:cgp_0802
ko:K01011	cgm:cgp_0803
ko:K01966	cgm:cgp_0811
ko:K01966	cgm:cgp_0812
ko:K00059	cgm:cgp_0825
ko:K02025	cgm:cgp_0832
ko:K10112	cgm:cgp_0835
ko:K01916	cgm:cgp_2792
ko:K00721	cgm:cgp_1672
ko:K00595	cgm:cgp_1678
ko:K07442	cgm:cgp_1692
ko:K01523	cgm:cgp_1699
ko:K00548	cgm:cgp_1701
ko:K03325	cgm:cgp_1705
ko:K15526	cgm:cgp_1709
ko:K06910	cgm:cgp_1718
ko:K03727	cgm:cgp_1683
ko:K13573	cgm:cgp_1686
ko:K13571	cgm:cgp_1688
ko:K13570	cgm:cgp_1689
