ko:K18929	hpyo:HPOK113_0146
ko:K18928	hpyo:HPOK113_0147
ko:K07316	hpyo:HPOK113_0269
ko:K18682	hpyo:HPOK113_0770
ko:K03496	hpyo:HPOK113_0508
ko:K03196	hpyo:HPOK113_0524
ko:K03196	hpyo:HPOK113_1336
ko:K01155	hpyo:HPOK113_0103
ko:K07316	hpyo:HPOK113_0059
ko:K11028	hpyo:HPOK113_0895
ko:K02030	hpyo:HPOK113_1132
ko:K11782	hpyo:HPOK113_0792
ko:K03559	hpyo:HPOK113_1290
ko:K09477	hpyo:HPOK113_0151
ko:K03559	hpyo:HPOK113_1091
ko:K14225	hpyo:HPOK113_t31
ko:K14228	hpyo:HPOK113_t35
ko:K14221	hpyo:HPOK113_t02
ko:K14237	hpyo:HPOK113_t03
ko:K14224	hpyo:HPOK113_t04
ko:K01977	hpyo:HPOK113_r03
ko:K01977	hpyo:HPOK113_r06
ko:K01738	hpyo:HPOK113_0119
ko:K01760	hpyo:HPOK113_0118
ko:K14224	hpyo:HPOK113_t01
ko:K14237	hpyo:HPOK113_t06
ko:K14220	hpyo:HPOK113_t08
ko:K14218	hpyo:HPOK113_t09
ko:K14219	hpyo:HPOK113_t10
ko:K14233	hpyo:HPOK113_t11
ko:K14232	hpyo:HPOK113_t12
ko:K14219	hpyo:HPOK113_t14
ko:K14230	hpyo:HPOK113_t13
ko:K14230	hpyo:HPOK113_t15
ko:K14223	hpyo:HPOK113_t16
ko:K14225	hpyo:HPOK113_t17
ko:K14228	hpyo:HPOK113_t18
ko:K14222	hpyo:HPOK113_t19
ko:K14233	hpyo:HPOK113_t20
ko:K14219	hpyo:HPOK113_t21
ko:K14219	hpyo:HPOK113_t22
ko:K14226	hpyo:HPOK113_t23
ko:K14232	hpyo:HPOK113_t24
ko:K14228	hpyo:HPOK113_t25
ko:K14227	hpyo:HPOK113_t26
ko:K14218	hpyo:HPOK113_t27
ko:K14230	hpyo:HPOK113_t28
ko:K14235	hpyo:HPOK113_t29
ko:K14234	hpyo:HPOK113_t30
ko:K14236	hpyo:HPOK113_t32
ko:K14234	hpyo:HPOK113_t33
ko:K14231	hpyo:HPOK113_t36
ko:K01985	hpyo:HPOK113_r01
ko:K01985	hpyo:HPOK113_r04
ko:K01980	hpyo:HPOK113_r02
ko:K01980	hpyo:HPOK113_r05
ko:K14229	hpyo:HPOK113_t05
ko:K14233	hpyo:HPOK113_t07
ko:K14228	hpyo:HPOK113_t34
ko:K01626	hpyo:HPOK113_0142
ko:K03564	hpyo:HPOK113_0144
ko:K00782	hpyo:HPOK113_0145
ko:K03303	hpyo:HPOK113_0148
ko:K03303	hpyo:HPOK113_0149
ko:K03575	hpyo:HPOK113_0150
ko:K00404	hpyo:HPOK113_0152
ko:K00405	hpyo:HPOK113_0153
ko:K00407	hpyo:HPOK113_0154
ko:K00406	hpyo:HPOK113_0155
ko:K01689	hpyo:HPOK113_0162
ko:K00891	hpyo:HPOK113_0165
ko:K03279	hpyo:HPOK113_0167
ko:K07126	hpyo:HPOK113_0168
ko:K01698	hpyo:HPOK113_0170
ko:K08303	hpyo:HPOK113_0175
ko:K02836	hpyo:HPOK113_0177
ko:K15726	hpyo:HPOK113_0976
ko:K01879	hpyo:HPOK113_0979
ko:K15633	hpyo:HPOK113_0981
ko:K02435	hpyo:HPOK113_0982
ko:K00833	hpyo:HPOK113_0983
ko:K03770	hpyo:HPOK113_0984
ko:K03590	hpyo:HPOK113_0985
ko:K03531	hpyo:HPOK113_0986
ko:K03837	hpyo:HPOK113_0141
ko:K03442	hpyo:HPOK113_0988
ko:K01585	hpyo:HPOK113_0995
ko:K15257	hpyo:HPOK113_0998
ko:K01772	hpyo:HPOK113_0999
ko:K01874	hpyo:HPOK113_1000
ko:K00574	hpyo:HPOK113_1001
ko:K16052	hpyo:HPOK113_1002
ko:K15846	hpyo:HPOK113_1003
ko:K01951	hpyo:HPOK113_1004
ko:K02503	hpyo:HPOK113_1011
