ko:K14227	bbrd:BBBR_tRNA02
ko:K14233	bbrd:BBBR_tRNA42
ko:K14233	bbrd:BBBR_tRNA43
ko:K14233	bbrd:BBBR_tRNA44
ko:K14228	bbrd:BBBR_tRNA03
ko:K01802	bbrd:BBBR_0681
ko:K02483	bbrd:BBBR_1418
ko:K14218	bbrd:BBBR_tRNA52
ko:K14234	bbrd:BBBR_tRNA53
ko:K00991	bbrd:BBBR_1702
ko:K07062	bbrd:BBBR_0328
ko:K00526	bbrd:BBBR_1901
ko:K14225	bbrd:BBBR_tRNA31
ko:K02313	bbrd:BBBR_0001
ko:K02338	bbrd:BBBR_0002
ko:K02338	bbrd:BBBR_0003
ko:K03629	bbrd:BBBR_0004
ko:K02470	bbrd:BBBR_0006
ko:K02469	bbrd:BBBR_0007
ko:K02529	bbrd:BBBR_0009
ko:K01190	bbrd:BBBR_0011
ko:K00262	bbrd:BBBR_0013
ko:K07043	bbrd:BBBR_0015
ko:K07133	bbrd:BBBR_0016
ko:K04047	bbrd:BBBR_0017
ko:K03699	bbrd:BBBR_0018
ko:K01673	bbrd:BBBR_0020
ko:K03386	bbrd:BBBR_0021
ko:K00384	bbrd:BBBR_0022
ko:K01784	bbrd:BBBR_0023
ko:K21011	bbrd:BBBR_0026
ko:K21012	bbrd:BBBR_0027
ko:K06330	bbrd:BBBR_0028
ko:K07133	bbrd:BBBR_0032
ko:K03655	bbrd:BBBR_0033
ko:K01595	bbrd:BBBR_0034
ko:K11928	bbrd:BBBR_0036
ko:K01867	bbrd:BBBR_0039
ko:K00688	bbrd:BBBR_0046
ko:K01664	bbrd:BBBR_0052
ko:K12132	bbrd:BBBR_0053
ko:K12132	bbrd:BBBR_0054
ko:K20074	bbrd:BBBR_0057
ko:K01278	bbrd:BBBR_0060
ko:K01048	bbrd:BBBR_0061
ko:K12267	bbrd:BBBR_0067
ko:K03574	bbrd:BBBR_0072
ko:K11068	bbrd:BBBR_0074
ko:K00773	bbrd:BBBR_0075
ko:K08372	bbrd:BBBR_0076
ko:K00528	bbrd:BBBR_0078
ko:K03799	bbrd:BBBR_0080
ko:K01624	bbrd:BBBR_0082
ko:K01939	bbrd:BBBR_0083
ko:K06199	bbrd:BBBR_0085
ko:K06199	bbrd:BBBR_0086
ko:K03484	bbrd:BBBR_0087
ko:K00690	bbrd:BBBR_0088
ko:K03484	bbrd:BBBR_0090
ko:K00053	bbrd:BBBR_0092
ko:K00053	bbrd:BBBR_0094
ko:K01187	bbrd:BBBR_0095
ko:K07284	bbrd:BBBR_0099
ko:K00705	bbrd:BBBR_0100
ko:K05343	bbrd:BBBR_0101
ko:K15770	bbrd:BBBR_0102
ko:K15771	bbrd:BBBR_0103
ko:K15772	bbrd:BBBR_0104
ko:K01200	bbrd:BBBR_0107
ko:K04043	bbrd:BBBR_0108
ko:K03687	bbrd:BBBR_0109
ko:K03686	bbrd:BBBR_0110
ko:K13640	bbrd:BBBR_0111
ko:K00059	bbrd:BBBR_0114
ko:K03975	bbrd:BBBR_0116
ko:K02283	bbrd:BBBR_0118
ko:K12510	bbrd:BBBR_0119
ko:K02343	bbrd:BBBR_0126
ko:K06187	bbrd:BBBR_0127
ko:K06921	bbrd:BBBR_0128
ko:K07284	bbrd:BBBR_0129
ko:K03655	bbrd:BBBR_0131
ko:K00928	bbrd:BBBR_0132
ko:K00928	bbrd:BBBR_0133
ko:K00133	bbrd:BBBR_0134
ko:K00845	bbrd:BBBR_0137
ko:K01788	bbrd:BBBR_0138
ko:K02035	bbrd:BBBR_0140
ko:K02033	bbrd:BBBR_0141
ko:K02031	bbrd:BBBR_0142
ko:K02034	bbrd:BBBR_0142
ko:K01714	bbrd:BBBR_0144
ko:K02564	bbrd:BBBR_0145
ko:K01186	bbrd:BBBR_0147
ko:K07133	bbrd:BBBR_0148
ko:K01649	bbrd:BBBR_0151
ko:K03168	bbrd:BBBR_0154
ko:K00943	bbrd:BBBR_0155
ko:K02341	bbrd:BBBR_0156
ko:K02529	bbrd:BBBR_0157
ko:K11189	bbrd:BBBR_0158
ko:K08483	bbrd:BBBR_0159
ko:K06910	bbrd:BBBR_0162
ko:K08659	bbrd:BBBR_0163
ko:K01938	bbrd:BBBR_0164
ko:K01885	bbrd:BBBR_0172
ko:K07243	bbrd:BBBR_0174
ko:K07230	bbrd:BBBR_0175
ko:K02004	bbrd:BBBR_0177
ko:K02004	bbrd:BBBR_0178
ko:K02003	bbrd:BBBR_0179
ko:K01421	bbrd:BBBR_0182
ko:K01421	bbrd:BBBR_0183
ko:K00033	bbrd:BBBR_0185
ko:K01057	bbrd:BBBR_0186
ko:K00036	bbrd:BBBR_0188
ko:K17836	bbrd:BBBR_0189
ko:K08659	bbrd:BBBR_0190
ko:K03110	bbrd:BBBR_0193
ko:K03320	bbrd:BBBR_0194
ko:K04751	bbrd:BBBR_0195
ko:K00990	bbrd:BBBR_0196
ko:K07009	bbrd:BBBR_0200
ko:K03688	bbrd:BBBR_0202
ko:K06997	bbrd:BBBR_0205
ko:K00948	bbrd:BBBR_0206
ko:K02990	bbrd:BBBR_0208
ko:K03111	bbrd:BBBR_0209
ko:K02963	bbrd:BBBR_0210
ko:K02939	bbrd:BBBR_0211
ko:K01990	bbrd:BBBR_0216
ko:K01921	bbrd:BBBR_0278
ko:K02055	bbrd:BBBR_0280
ko:K02054	bbrd:BBBR_0281
ko:K02053	bbrd:BBBR_0282
ko:K02052	bbrd:BBBR_0283
ko:K01744	bbrd:BBBR_0286
ko:K07090	bbrd:BBBR_0288
ko:K06871	bbrd:BBBR_0289
ko:K02027	bbrd:BBBR_0292
ko:K02025	bbrd:BBBR_0293
ko:K02026	bbrd:BBBR_0294
ko:K07133	bbrd:BBBR_0295
ko:K00567	bbrd:BBBR_0299
ko:K00997	bbrd:BBBR_0300
ko:K02956	bbrd:BBBR_0308
ko:K00962	bbrd:BBBR_0309
ko:K02003	bbrd:BBBR_0310
ko:K03744	bbrd:BBBR_0312
ko:K01239	bbrd:BBBR_0317
ko:K02860	bbrd:BBBR_0318
ko:K06960	bbrd:BBBR_0319
ko:K02959	bbrd:BBBR_0320
ko:K03106	bbrd:BBBR_0322
ko:K01883	bbrd:BBBR_0324
ko:K01653	bbrd:BBBR_0330
ko:K01652	bbrd:BBBR_0331
ko:K03685	bbrd:BBBR_0332
ko:K03671	bbrd:BBBR_0400
ko:K03426	bbrd:BBBR_0403
ko:K02437	bbrd:BBBR_0404
ko:K01354	bbrd:BBBR_0406
ko:K00052	bbrd:BBBR_0407
ko:K03800	bbrd:BBBR_0408
ko:K00226	bbrd:BBBR_0412
ko:K00965	bbrd:BBBR_0414
ko:K00849	bbrd:BBBR_0415
ko:K07166	bbrd:BBBR_0417
ko:K09157	bbrd:BBBR_0418
ko:K03216	bbrd:BBBR_0419
ko:K03575	bbrd:BBBR_0420
ko:K03043	bbrd:BBBR_0422
