ko:K19079	suz:MS7_0711
ko:K09022	suz:MS7_0474
ko:K04940	suz:MS7_2319
ko:K06979	suz:MS7_0046
ko:K19285	suz:MS7_0372
ko:K07145	suz:MS7_0159
ko:K11737	suz:MS7_1703
ko:K00887	suz:MS7_1586
ko:K16301	suz:MS7_0334
ko:K05352	suz:MS7_0246
ko:K09692	suz:MS7_0689
ko:K08094	suz:MS7_0561
ko:K03762	suz:MS7_0563
ko:K00868	suz:MS7_0569
ko:K03648	suz:MS7_0570
ko:K03315	suz:MS7_2318
ko:K09940	suz:MS7_2320
ko:K00123	suz:MS7_2326
ko:K03453	suz:MS7_2338
ko:K02749	suz:MS7_2340
ko:K02750	suz:MS7_2340
ko:K03481	suz:MS7_2341
ko:K01468	suz:MS7_2348
ko:K01712	suz:MS7_2349
ko:K01807	suz:MS7_2354
ko:K09771	suz:MS7_2358
ko:K03652	suz:MS7_2362
ko:K03312	suz:MS7_2363
ko:K03284	suz:MS7_2365
ko:K07107	suz:MS7_2366
ko:K02445	suz:MS7_0326
ko:K00299	suz:MS7_0329
ko:K03817	suz:MS7_0332
ko:K07224	suz:MS7_0333
ko:K07243	suz:MS7_0335
ko:K03118	suz:MS7_0336
ko:K03116	suz:MS7_0337
ko:K00549	suz:MS7_0346
ko:K06942	suz:MS7_0353
ko:K02990	suz:MS7_0355
ko:K02963	suz:MS7_0357
ko:K03387	suz:MS7_0370
ko:K06956	suz:MS7_0373
ko:K03816	suz:MS7_0377
ko:K01951	suz:MS7_0380
ko:K03466	suz:MS7_1234
ko:K00995	suz:MS7_1241
ko:K09769	suz:MS7_1246
ko:K00174	suz:MS7_1247
ko:K00175	suz:MS7_1248
ko:K06168	suz:MS7_1250
ko:K03555	suz:MS7_1253
ko:K03572	suz:MS7_1254
ko:K02440	suz:MS7_1256
ko:K00864	suz:MS7_1257
ko:K00111	suz:MS7_1258
ko:K00791	suz:MS7_1260
ko:K03666	suz:MS7_1261
ko:K00432	suz:MS7_1262
ko:K03665	suz:MS7_1263
ko:K01915	suz:MS7_1266
ko:K01620	suz:MS7_1279
ko:K06131	suz:MS7_1281
ko:K00928	suz:MS7_1286
ko:K00003	suz:MS7_1287
ko:K01733	suz:MS7_1288
ko:K00872	suz:MS7_1289
ko:K06131	suz:MS7_2104
ko:K06950	suz:MS7_2105
ko:K03217	suz:MS7_2106
ko:K00788	suz:MS7_2107
ko:K00878	suz:MS7_2108
ko:K00941	suz:MS7_2109
ko:K03707	suz:MS7_2110
ko:K02372	suz:MS7_2115
ko:K00790	suz:MS7_2116
ko:K02114	suz:MS7_2118
ko:K02112	suz:MS7_2119
ko:K02115	suz:MS7_2120
ko:K02111	suz:MS7_2121
ko:K02113	suz:MS7_2122
ko:K02109	suz:MS7_2123
ko:K02110	suz:MS7_2124
ko:K02108	suz:MS7_2125
ko:K00761	suz:MS7_2128
ko:K00600	suz:MS7_2129
ko:K07566	suz:MS7_2132
ko:K02493	suz:MS7_2133
ko:K02835	suz:MS7_2134
ko:K02909	suz:MS7_2136
ko:K03628	suz:MS7_2137
ko:K00790	suz:MS7_2140
ko:K01624	suz:MS7_2141
ko:K01937	suz:MS7_2145
ko:K07173	suz:MS7_2152
ko:K00756	suz:MS7_2154
ko:K09768	suz:MS7_0733
ko:K06153	suz:MS7_0735
ko:K01669	suz:MS7_0743
ko:K02768	suz:MS7_0751
ko:K02769	suz:MS7_0751
ko:K02770	suz:MS7_0751
ko:K01443	suz:MS7_0752
ko:K10681	suz:MS7_0756
ko:K10682	suz:MS7_0757
ko:K10026	suz:MS7_0761
ko:K01737	suz:MS7_0762
ko:K06920	suz:MS7_0763
ko:K01665	suz:MS7_0765
ko:K15738	suz:MS7_0771
ko:K03654	suz:MS7_0772
ko:K05847	suz:MS7_0773
ko:K00817	suz:MS7_0775
ko:K03305	suz:MS7_0778
ko:K09457	suz:MS7_0779
ko:K02015	suz:MS7_0784
ko:K02015	suz:MS7_0785
ko:K02013	suz:MS7_0786
ko:K02016	suz:MS7_0787
ko:K07574	suz:MS7_1612
ko:K00014	suz:MS7_1613
ko:K07015	suz:MS7_1615
ko:K07160	suz:MS7_1621
ko:K01961	suz:MS7_1622
ko:K02160	suz:MS7_1623
ko:K03624	suz:MS7_1626
ko:K00876	suz:MS7_1627
ko:K08303	suz:MS7_1628
ko:K07447	suz:MS7_1632
ko:K01872	suz:MS7_1634
ko:K03581	suz:MS7_1635
ko:K00566	suz:MS7_1637
ko:K04487	suz:MS7_1638
ko:K07478	suz:MS7_1643
ko:K01876	suz:MS7_1645
ko:K01892	suz:MS7_1646
ko:K01448	suz:MS7_1647
ko:K07560	suz:MS7_1648
ko:K00759	suz:MS7_1650
ko:K07462	suz:MS7_1651
ko:K12257	suz:MS7_1652
ko:K03210	suz:MS7_1653
ko:K00773	suz:MS7_1654
ko:K07568	suz:MS7_1655
ko:K03551	suz:MS7_1656
ko:K03550	suz:MS7_1657
ko:K06209	suz:MS7_1658
ko:K03979	suz:MS7_1659
ko:K02899	suz:MS7_1660
ko:K02888	suz:MS7_1662
ko:K03571	suz:MS7_1663
ko:K15587	suz:MS7_2477
ko:K15586	suz:MS7_2478
ko:K15585	suz:MS7_2479
ko:K15584	suz:MS7_2480
ko:K00963	suz:MS7_2503
ko:K11476	suz:MS7_2510
ko:K04041	suz:MS7_2521
ko:K06999	suz:MS7_2523
ko:K15973	suz:MS7_2526
ko:K06975	suz:MS7_2527
ko:K03778	suz:MS7_2530
ko:K02015	suz:MS7_0105
ko:K02015	suz:MS7_0106
ko:K02016	suz:MS7_0107
ko:K01586	suz:MS7_0115
ko:K01839	suz:MS7_0130
ko:K02042	suz:MS7_0131
ko:K02042	suz:MS7_0132
ko:K02041	suz:MS7_0133
ko:K02044	suz:MS7_0134
ko:K04072	suz:MS7_0142
ko:K13012	suz:MS7_0155
ko:K02472	suz:MS7_0157
ko:K02829	suz:MS7_1015
ko:K02828	suz:MS7_1016
ko:K02827	suz:MS7_1017
ko:K02826	suz:MS7_1018
ko:K01491	suz:MS7_1021
ko:K01588	suz:MS7_1022
ko:K01589	suz:MS7_1023
ko:K01923	suz:MS7_1024
ko:K01952	suz:MS7_1026
ko:K01952	suz:MS7_1027
ko:K00764	suz:MS7_1028
ko:K01933	suz:MS7_1029
ko:K11175	suz:MS7_1030
ko:K00602	suz:MS7_1031
ko:K01945	suz:MS7_1032
ko:K06969	suz:MS7_1038
ko:K00425	suz:MS7_1043
ko:K00426	suz:MS7_1044
ko:K01462	suz:MS7_1048
ko:K00161	suz:MS7_1050
ko:K00162	suz:MS7_1051
ko:K00627	suz:MS7_1052
ko:K00382	suz:MS7_1053
ko:K03322	suz:MS7_1062
ko:K03564	suz:MS7_1898
ko:K01845	suz:MS7_1899
ko:K03575	suz:MS7_1903
ko:K03565	suz:MS7_1908
ko:K05520	suz:MS7_1910
ko:K07058	suz:MS7_1918
ko:K01265	suz:MS7_1923
ko:K02217	suz:MS7_1928
ko:K02346	suz:MS7_1930
ko:K03215	suz:MS7_1932
ko:K02434	suz:MS7_1934
ko:K02435	suz:MS7_1936
ko:K06885	suz:MS7_0656
ko:K01887	suz:MS7_0660
ko:K02016	suz:MS7_0662
ko:K02015	suz:MS7_0663
ko:K09936	suz:MS7_0670
ko:K05566	suz:MS7_0675
ko:K05567	suz:MS7_0676
ko:K07651	suz:MS7_1508
ko:K07775	suz:MS7_1509
ko:K06178	suz:MS7_1510
ko:K06024	suz:MS7_1511
ko:K05896	suz:MS7_1512
ko:K07124	suz:MS7_1519
ko:K00286	suz:MS7_1520
ko:K00036	suz:MS7_1523
ko:K09699	suz:MS7_1533
ko:K00167	suz:MS7_1534
ko:K00166	suz:MS7_1535
ko:K00382	suz:MS7_1536
ko:K03631	suz:MS7_1537
ko:K03402	suz:MS7_1538
ko:K13789	suz:MS7_1539
ko:K03602	suz:MS7_1540
ko:K03601	suz:MS7_1541
ko:K03625	suz:MS7_1542
ko:K01961	suz:MS7_1544
ko:K02160	suz:MS7_1545
ko:K02356	suz:MS7_1546
ko:K03800	suz:MS7_1550
ko:K00283	suz:MS7_1552
ko:K00282	suz:MS7_1553
ko:K00605	suz:MS7_1554
ko:K00891	suz:MS7_1555
ko:K07552	suz:MS7_2373
ko:K00116	suz:MS7_2383
ko:K03303	suz:MS7_2384
ko:K11102	suz:MS7_2401
ko:K07696	suz:MS7_2406
ko:K00373	suz:MS7_2410
ko:K00371	suz:MS7_2411
ko:K00370	suz:MS7_2412
ko:K00363	suz:MS7_2414
ko:K00362	suz:MS7_2415
ko:K00075	suz:MS7_0788
ko:K00865	suz:MS7_0792
ko:K03070	suz:MS7_0803
ko:K02836	suz:MS7_0804
ko:K07023	suz:MS7_0806
ko:K03702	suz:MS7_0808
ko:K03701	suz:MS7_0809
ko:K13292	suz:MS7_0811
ko:K00384	suz:MS7_0814
ko:K01358	suz:MS7_0819
ko:K07071	suz:MS7_0820
ko:K05311	suz:MS7_0822
ko:K00134	suz:MS7_0823
ko:K00927	suz:MS7_0824
ko:K01803	suz:MS7_0825
ko:K15633	suz:MS7_0826
ko:K01689	suz:MS7_0827
ko:K03075	suz:MS7_0829
ko:K03928	suz:MS7_0830
ko:K12573	suz:MS7_0831
ko:K03664	suz:MS7_0832
ko:K03704	suz:MS7_0844
ko:K03570	suz:MS7_1664
ko:K03630	suz:MS7_1668
ko:K11754	suz:MS7_1670
ko:K01873	suz:MS7_1671
ko:K01246	suz:MS7_1672
ko:K01845	suz:MS7_1675
ko:K01698	suz:MS7_1676
ko:K01749	suz:MS7_1678
ko:K02497	suz:MS7_1679
ko:K02492	suz:MS7_1680
ko:K03978	suz:MS7_1681
ko:K03544	suz:MS7_1682
ko:K03545	suz:MS7_1683
ko:K02887	suz:MS7_1686
ko:K02916	suz:MS7_1687
ko:K02520	suz:MS7_1688
ko:K01868	suz:MS7_1690
ko:K07738	suz:MS7_1693
ko:K00134	suz:MS7_1694
ko:K00859	suz:MS7_1695
ko:K07636	suz:MS7_1699
ko:K00031	suz:MS7_1701
ko:K01647	suz:MS7_1702
ko:K00873	suz:MS7_1704
ko:K00850	suz:MS7_1705
ko:K01962	suz:MS7_1706
ko:K01963	suz:MS7_1707
ko:K02337	suz:MS7_1709
ko:K03823	suz:MS7_2535
ko:K01752	suz:MS7_2536
ko:K01752	suz:MS7_2537
ko:K07107	suz:MS7_2542
ko:K08987	suz:MS7_0395
ko:K03427	suz:MS7_0406
ko:K01154	suz:MS7_0407
ko:K05577	suz:MS7_0425
ko:K09822	suz:MS7_0426
ko:K03928	suz:MS7_0430
ko:K03308	suz:MS7_0432
ko:K02071	suz:MS7_0435
ko:K02072	suz:MS7_0436
ko:K02073	suz:MS7_0437
ko:K03781	suz:MS7_1293
ko:K02913	suz:MS7_1294
ko:K02954	suz:MS7_1295
ko:K00364	suz:MS7_1296
ko:K01356	suz:MS7_1298
ko:K00615	suz:MS7_1301
ko:K03547	suz:MS7_1304
ko:K03282	suz:MS7_1306
ko:K01681	suz:MS7_1308
ko:K07107	suz:MS7_1309
ko:K08591	suz:MS7_1311
ko:K02622	suz:MS7_1312
ko:K02621	suz:MS7_1313
ko:K03310	suz:MS7_1314
ko:K03480	suz:MS7_1315
ko:K14205	suz:MS7_1317
ko:K01821	suz:MS7_1320
ko:K01657	suz:MS7_1324
ko:K00766	suz:MS7_1326
ko:K01609	suz:MS7_1327
ko:K01817	suz:MS7_1328
ko:K01696	suz:MS7_1329
ko:K01695	suz:MS7_1330
ko:K02034	suz:MS7_1338
ko:K02039	suz:MS7_1342
ko:K02036	suz:MS7_1343
ko:K02038	suz:MS7_1344
ko:K04047	suz:MS7_2157
ko:K01809	suz:MS7_2161
ko:K02013	suz:MS7_2169
ko:K00820	suz:MS7_2170
ko:K00009	suz:MS7_2174
ko:K03431	suz:MS7_2176
ko:K01476	suz:MS7_2179
ko:K11068	suz:MS7_2193
ko:K07038	suz:MS7_2195
ko:K02015	suz:MS7_2198
ko:K02015	suz:MS7_2199
ko:K02016	suz:MS7_2200
ko:K04759	suz:MS7_2556
ko:K04758	suz:MS7_2557
ko:K03778	suz:MS7_2566
ko:K09790	suz:MS7_0160
ko:K08996	suz:MS7_0174
ko:K00930	suz:MS7_0175
ko:K00620	suz:MS7_0176
ko:K00145	suz:MS7_0177
ko:K03311	suz:MS7_0179
ko:K07106	suz:MS7_0184
ko:K01153	suz:MS7_0187
ko:K02034	suz:MS7_0193
ko:K01118	suz:MS7_0197
ko:K15771	suz:MS7_0201
ko:K15772	suz:MS7_0202
ko:K02012	suz:MS7_0210
ko:K00656	suz:MS7_0211
ko:K04069	suz:MS7_0212
ko:K06207	suz:MS7_1066
ko:K03588	suz:MS7_1070
ko:K02259	suz:MS7_1072
ko:K08976	suz:MS7_1074
ko:K01126	suz:MS7_1077
ko:K00954	suz:MS7_1081
ko:K07040	suz:MS7_1083
ko:K02911	suz:MS7_1084
ko:K02016	suz:MS7_1089
ko:K02015	suz:MS7_1090
ko:K08600	suz:MS7_1091
ko:K03437	suz:MS7_1093
ko:K01889	suz:MS7_1094
ko:K01890	suz:MS7_1095
ko:K09888	suz:MS7_1098
ko:K02347	suz:MS7_1100
ko:K07456	suz:MS7_1101
ko:K03671	suz:MS7_1102
ko:K03703	suz:MS7_1103
ko:K00239	suz:MS7_1105
ko:K00240	suz:MS7_1106
ko:K01776	suz:MS7_1107
ko:K07095	suz:MS7_1109
ko:K11032	suz:MS7_1118
ko:K01972	suz:MS7_1939
ko:K03657	suz:MS7_1940
ko:K01756	suz:MS7_1943
ko:K00763	suz:MS7_1948
ko:K00491	suz:MS7_1949
ko:K14445	suz:MS7_1951
ko:K00130	suz:MS7_2617
ko:K06895	suz:MS7_0852
ko:K03785	suz:MS7_0855
ko:K02437	suz:MS7_0859
ko:K07476	suz:MS7_0862
ko:K02071	suz:MS7_0864
ko:K02072	suz:MS7_0865
ko:K02073	suz:MS7_0866
ko:K09013	suz:MS7_0869
ko:K09015	suz:MS7_0870
ko:K11717	suz:MS7_0871
ko:K09014	suz:MS7_0873
ko:K00459	suz:MS7_0876
ko:K07090	suz:MS7_0878
ko:K03644	suz:MS7_0880
ko:K03367	suz:MS7_0887
ko:K03739	suz:MS7_0888
ko:K14188	suz:MS7_0889
ko:K03740	suz:MS7_0890
ko:K03885	suz:MS7_0893
ko:K03885	suz:MS7_0896
ko:K01255	suz:MS7_0897
ko:K07084	suz:MS7_0898
ko:K05571	suz:MS7_0901
ko:K00259	suz:MS7_1715
ko:K00925	suz:MS7_1717
ko:K11065	suz:MS7_1719
ko:K07090	suz:MS7_1720
ko:K03151	suz:MS7_1721
ko:K04487	suz:MS7_1722
ko:K02986	suz:MS7_1726
ko:K01126	suz:MS7_1727
ko:K00655	suz:MS7_1733
ko:K01866	suz:MS7_1735
ko:K01938	suz:MS7_1738
ko:K01895	suz:MS7_1739
ko:K04766	suz:MS7_1740
ko:K04768	suz:MS7_1741
ko:K02529	suz:MS7_1742
ko:K13853	suz:MS7_1743
ko:K01924	suz:MS7_1746
ko:K03466	suz:MS7_1747
ko:K06878	suz:MS7_1748
ko:K03439	suz:MS7_1754
ko:K00824	suz:MS7_1756
ko:K07007	suz:MS7_1761
ko:K01869	suz:MS7_1764
ko:K07139	suz:MS7_1766
ko:K00266	suz:MS7_0446
ko:K02818	suz:MS7_0448
ko:K02819	suz:MS7_0448
ko:K11442	suz:MS7_2194
ko:K09765	suz:MS7_2597
ko:K06978	suz:MS7_2600
ko:K01579	suz:MS7_2602
ko:K01918	suz:MS7_2603
ko:K00606	suz:MS7_2604
ko:K00077	suz:MS7_2605
ko:K01575	suz:MS7_2606
ko:K00823	suz:MS7_2609
ko:K01623	suz:MS7_2611
ko:K00116	suz:MS7_2612
ko:K01895	suz:MS7_2613
ko:K03300	suz:MS7_2623
ko:K02304	suz:MS7_2624
ko:K00432	suz:MS7_2626
ko:K02343	suz:MS7_0452
ko:K09747	suz:MS7_0453
ko:K06187	suz:MS7_0454
ko:K00943	suz:MS7_0459
ko:K02341	suz:MS7_0461
ko:K07461	suz:MS7_0465
ko:K07056	suz:MS7_0466
ko:K01874	suz:MS7_0467
ko:K03424	suz:MS7_0468
ko:K05985	suz:MS7_0469
ko:K02528	suz:MS7_0470
ko:K00919	suz:MS7_0472
ko:K06412	suz:MS7_0475
ko:K04042	suz:MS7_0476
ko:K00948	suz:MS7_0477
ko:K02897	suz:MS7_0478
ko:K01056	suz:MS7_0479
ko:K03723	suz:MS7_0480
ko:K07571	suz:MS7_0485
ko:K04075	suz:MS7_0486
ko:K00760	suz:MS7_0487
ko:K03798	suz:MS7_0488
ko:K04083	suz:MS7_0489
ko:K01738	suz:MS7_0490
ko:K00796	suz:MS7_0491
ko:K01633	suz:MS7_0492
ko:K00950	suz:MS7_0493
ko:K04567	suz:MS7_0494
ko:K02037	suz:MS7_1345
ko:K02040	suz:MS7_1346
ko:K00243	suz:MS7_1347
ko:K00928	suz:MS7_1349
ko:K00133	suz:MS7_1350
ko:K01714	suz:MS7_1351
ko:K00215	suz:MS7_1352
ko:K01775	suz:MS7_1355
ko:K01586	suz:MS7_1356
ko:K03704	suz:MS7_1358
