ko:K19405	ctrx:A5291_00724
ko:K14233	ctrx:A5291_00901
ko:K11645	ctrx:A5291_00229
ko:K01714	ctrx:A5291_00385
ko:K00928	ctrx:A5291_00386
ko:K00133	ctrx:A5291_00387
ko:K00215	ctrx:A5291_00388
ko:K00800	ctrx:A5291_00390
ko:K00891	ctrx:A5291_00391
ko:K01736	ctrx:A5291_00392
ko:K01735	ctrx:A5291_00393
ko:K13832	ctrx:A5291_00394
ko:K03758	ctrx:A5291_00398
ko:K03758	ctrx:A5291_00399
ko:K00024	ctrx:A5291_00402
ko:K01810	ctrx:A5291_00404
ko:K03665	ctrx:A5291_00405
ko:K06167	ctrx:A5291_00406
ko:K09996	ctrx:A5291_00407
ko:K06966	ctrx:A5291_00414
ko:K09131	ctrx:A5291_00415
ko:K10206	ctrx:A5291_00417
ko:K01881	ctrx:A5291_00420
ko:K03705	ctrx:A5291_00421
ko:K03687	ctrx:A5291_00422
ko:K04043	ctrx:A5291_00423
ko:K12573	ctrx:A5291_00424
ko:K07164	ctrx:A5291_00425
ko:K06041	ctrx:A5291_00426
ko:K00658	ctrx:A5291_00427
ko:K00912	ctrx:A5291_00429
ko:K03437	ctrx:A5291_00430
ko:K06969	ctrx:A5291_00431
ko:K00793	ctrx:A5291_00432
ko:K07738	ctrx:A5291_00433
ko:K06204	ctrx:A5291_00434
ko:K03101	ctrx:A5291_00435
ko:K03310	ctrx:A5291_00436
ko:K00748	ctrx:A5291_00438
ko:K01214	ctrx:A5291_00044
ko:K02563	ctrx:A5291_00822
ko:K06960	ctrx:A5291_00824
ko:K00791	ctrx:A5291_00827
ko:K09710	ctrx:A5291_00830
ko:K09458	ctrx:A5291_00831
ko:K00263	ctrx:A5291_00834
ko:K00655	ctrx:A5291_00836
ko:K04066	ctrx:A5291_00839
ko:K04567	ctrx:A5291_00842
ko:K01883	ctrx:A5291_00843
ko:K03536	ctrx:A5291_00845
ko:K02919	ctrx:A5291_00846
ko:K02954	ctrx:A5291_00847
ko:K03703	ctrx:A5291_00851
ko:K03555	ctrx:A5291_00852
ko:K14164	ctrx:A5291_00856
ko:K00995	ctrx:A5291_00857
ko:K00703	ctrx:A5291_00858
ko:K02897	ctrx:A5291_00860
ko:K01056	ctrx:A5291_00861
ko:K02990	ctrx:A5291_00862
ko:K02963	ctrx:A5291_00863
ko:K02939	ctrx:A5291_00864
ko:K00919	ctrx:A5291_00865
ko:K00630	ctrx:A5291_00869
ko:K08301	ctrx:A5291_00870
ko:K02911	ctrx:A5291_00872
ko:K03621	ctrx:A5291_00873
ko:K09817	ctrx:A5291_00444
ko:K09816	ctrx:A5291_00445
ko:K03979	ctrx:A5291_00446
ko:K02899	ctrx:A5291_00447
ko:K02888	ctrx:A5291_00448
ko:K07042	ctrx:A5291_00453
ko:K03183	ctrx:A5291_00460
ko:K01778	ctrx:A5291_00462
ko:K01358	ctrx:A5291_00463
ko:K00600	ctrx:A5291_00464
ko:K01770	ctrx:A5291_00466
ko:K02946	ctrx:A5291_00468
ko:K02355	ctrx:A5291_00469
ko:K02992	ctrx:A5291_00470
ko:K02950	ctrx:A5291_00471
ko:K03797	ctrx:A5291_00473
ko:K07462	ctrx:A5291_00480
ko:K12257	ctrx:A5291_00481
ko:K00806	ctrx:A5291_00483
ko:K00981	ctrx:A5291_00484
ko:K00945	ctrx:A5291_00485
ko:K00655	ctrx:A5291_00486
ko:K01887	ctrx:A5291_00487
ko:K00790	ctrx:A5291_00488
ko:K02836	ctrx:A5291_00492
ko:K00991	ctrx:A5291_00495
ko:K06173	ctrx:A5291_00496
ko:K07710	ctrx:A5291_00501
ko:K07714	ctrx:A5291_00502
ko:K03584	ctrx:A5291_00505
ko:K08998	ctrx:A5291_00509
ko:K01890	ctrx:A5291_00511
ko:K02034	ctrx:A5291_00514
ko:K01772	ctrx:A5291_00523
ko:K07099	ctrx:A5291_00526
ko:K00975	ctrx:A5291_00527
ko:K03628	ctrx:A5291_00529
ko:K00859	ctrx:A5291_00530
ko:K03301	ctrx:A5291_00533
ko:K00995	ctrx:A5291_00534
ko:K03495	ctrx:A5291_00537
ko:K03800	ctrx:A5291_00538
ko:K00940	ctrx:A5291_00539
ko:K03550	ctrx:A5291_00540
ko:K01159	ctrx:A5291_00541
ko:K00134	ctrx:A5291_00545
ko:K02879	ctrx:A5291_00546
ko:K03040	ctrx:A5291_00547
ko:K09779	ctrx:A5291_00002
ko:K02435	ctrx:A5291_00003
ko:K02434	ctrx:A5291_00005
ko:K02517	ctrx:A5291_00011
ko:K00425	ctrx:A5291_00014
ko:K00426	ctrx:A5291_00015
ko:K07175	ctrx:A5291_00016
ko:K01870	ctrx:A5291_00021
ko:K03100	ctrx:A5291_00022
ko:K02909	ctrx:A5291_00024
ko:K02835	ctrx:A5291_00025
ko:K02493	ctrx:A5291_00026
ko:K03106	ctrx:A5291_00027
ko:K02959	ctrx:A5291_00028
ko:K00554	ctrx:A5291_00029
ko:K02884	ctrx:A5291_00030
ko:K03470	ctrx:A5291_00031
ko:K00942	ctrx:A5291_00032
ko:K01874	ctrx:A5291_00034
ko:K03581	ctrx:A5291_00035
ko:K01494	ctrx:A5291_00041
ko:K03551	ctrx:A5291_00042
ko:K01255	ctrx:A5291_00047
ko:K02340	ctrx:A5291_00049
ko:K07056	ctrx:A5291_00050
ko:K03431	ctrx:A5291_00878
ko:K00820	ctrx:A5291_00879
ko:K03834	ctrx:A5291_00880
ko:K03834	ctrx:A5291_00882
ko:K06890	ctrx:A5291_00883
ko:K03110	ctrx:A5291_00884
ko:K01903	ctrx:A5291_00885
ko:K01902	ctrx:A5291_00886
ko:K09760	ctrx:A5291_00889
ko:K00075	ctrx:A5291_00895
ko:K02520	ctrx:A5291_00897
ko:K02916	ctrx:A5291_00898
ko:K02887	ctrx:A5291_00899
ko:K01889	ctrx:A5291_00900
ko:K11720	ctrx:A5291_00903
ko:K07091	ctrx:A5291_00904
ko:K04075	ctrx:A5291_00905
ko:K03798	ctrx:A5291_00906
ko:K00962	ctrx:A5291_00907
ko:K02956	ctrx:A5291_00908
ko:K01265	ctrx:A5291_00917
ko:K03321	ctrx:A5291_00922
ko:K03527	ctrx:A5291_00925
ko:K02948	ctrx:A5291_00548
ko:K02952	ctrx:A5291_00549
ko:K03076	ctrx:A5291_00550
ko:K02876	ctrx:A5291_00551
ko:K02988	ctrx:A5291_00552
ko:K02881	ctrx:A5291_00553
ko:K02933	ctrx:A5291_00554
ko:K02994	ctrx:A5291_00555
ko:K02931	ctrx:A5291_00556
ko:K02895	ctrx:A5291_00557
ko:K02874	ctrx:A5291_00558
ko:K02961	ctrx:A5291_00559
ko:K02904	ctrx:A5291_00560
ko:K02878	ctrx:A5291_00561
ko:K02982	ctrx:A5291_00562
ko:K02890	ctrx:A5291_00563
ko:K02965	ctrx:A5291_00564
ko:K02886	ctrx:A5291_00565
ko:K02892	ctrx:A5291_00566
ko:K02926	ctrx:A5291_00567
ko:K02906	ctrx:A5291_00568
ko:K00604	ctrx:A5291_00570
ko:K00677	ctrx:A5291_00571
ko:K02372	ctrx:A5291_00572
ko:K02535	ctrx:A5291_00573
ko:K03820	ctrx:A5291_00574
ko:K06925	ctrx:A5291_00577
ko:K03671	ctrx:A5291_00580
ko:K03216	ctrx:A5291_00581
ko:K01876	ctrx:A5291_00583
ko:K01892	ctrx:A5291_00584
ko:K07783	ctrx:A5291_00585
ko:K02337	ctrx:A5291_00586
ko:K03311	ctrx:A5291_00595
ko:K00382	ctrx:A5291_00598
ko:K03644	ctrx:A5291_00599
ko:K03222	ctrx:A5291_00600
ko:K03720	ctrx:A5291_00177
ko:K01696	ctrx:A5291_00178
ko:K01695	ctrx:A5291_00180
ko:K03611	ctrx:A5291_00186
ko:K00979	ctrx:A5291_00194
ko:K01937	ctrx:A5291_00195
ko:K07447	ctrx:A5291_00196
ko:K00036	ctrx:A5291_00197
ko:K01057	ctrx:A5291_00198
ko:K02343	ctrx:A5291_00199
ko:K00943	ctrx:A5291_00200
ko:K02469	ctrx:A5291_00201
ko:K02470	ctrx:A5291_00202
ko:K00773	ctrx:A5291_00205
ko:K00164	ctrx:A5291_00056
ko:K00658	ctrx:A5291_00057
ko:K05810	ctrx:A5291_00058
ko:K03526	ctrx:A5291_00059
ko:K02400	ctrx:A5291_00064
ko:K02405	ctrx:A5291_00065
ko:K01866	ctrx:A5291_00066
ko:K03596	ctrx:A5291_00068
ko:K03301	ctrx:A5291_00069
ko:K00099	ctrx:A5291_00075
ko:K03629	ctrx:A5291_00078
ko:K02338	ctrx:A5291_00079
ko:K03664	ctrx:A5291_00080
ko:K03734	ctrx:A5291_00081
ko:K01491	ctrx:A5291_00082
ko:K02902	ctrx:A5291_00088
ko:K00705	ctrx:A5291_00089
ko:K04058	ctrx:A5291_00091
ko:K03230	ctrx:A5291_00092
