ko:K17103	lpu:LPE509_02745
ko:K07662	lpu:LPE509_01765
ko:K21147	lpu:LPE509_01630
ko:K00986	lpu:LPE509_01037
ko:K11741	lpu:LPE509_02665
ko:K03111	lpu:LPE509_02878
ko:K02487	lpu:LPE509_02191
ko:K08604	lpu:LPE509_03226
ko:K01990	lpu:LPE509_02530
ko:K01990	lpu:LPE509_02554
ko:K04065	lpu:LPE509_02847
ko:K02619	lpu:LPE509_02629
ko:K14236	lpu:LPE509_t41
ko:K14235	lpu:LPE509_t40
ko:K01959	lpu:LPE509_00366
ko:K14237	lpu:LPE509_t43
ko:K14225	lpu:LPE509_t15
ko:K14233	lpu:LPE509_t34
ko:K02030	lpu:LPE509_02726
ko:K02030	lpu:LPE509_02534
ko:K03417	lpu:LPE509_03190
ko:K06075	lpu:LPE509_01957
ko:K03704	lpu:LPE509_00177
ko:K01166	lpu:LPE509_00180
ko:K03928	lpu:LPE509_00183
ko:K07175	lpu:LPE509_00186
ko:K03564	lpu:LPE509_00188
ko:K03664	lpu:LPE509_00189
ko:K07146	lpu:LPE509_00190
ko:K00820	lpu:LPE509_00192
ko:K06959	lpu:LPE509_00194
ko:K10806	lpu:LPE509_00195
ko:K03704	lpu:LPE509_00204
ko:K03631	lpu:LPE509_00205
ko:K00858	lpu:LPE509_00206
ko:K06207	lpu:LPE509_00207
ko:K04083	lpu:LPE509_00212
ko:K03656	lpu:LPE509_00214
ko:K09786	lpu:LPE509_00219
ko:K07180	lpu:LPE509_00220
ko:K01256	lpu:LPE509_00221
ko:K00014	lpu:LPE509_00223
ko:K06176	lpu:LPE509_01574
ko:K00931	lpu:LPE509_01589
ko:K00147	lpu:LPE509_01590
ko:K01595	lpu:LPE509_01592
ko:K03563	lpu:LPE509_01603
ko:K02990	lpu:LPE509_01605
ko:K02963	lpu:LPE509_01606
ko:K02939	lpu:LPE509_01608
ko:K01004	lpu:LPE509_01613
ko:K15371	lpu:LPE509_01617
ko:K12262	lpu:LPE509_01618
ko:K01442	lpu:LPE509_02414
ko:K03321	lpu:LPE509_02417
ko:K01756	lpu:LPE509_02418
ko:K00278	lpu:LPE509_02419
ko:K03517	lpu:LPE509_02420
ko:K08218	lpu:LPE509_02422
ko:K03773	lpu:LPE509_02423
ko:K01752	lpu:LPE509_02424
ko:K04075	lpu:LPE509_02428
ko:K01962	lpu:LPE509_02429
ko:K06133	lpu:LPE509_02430
ko:K03524	lpu:LPE509_02431
ko:K03563	lpu:LPE509_02433
ko:K00973	lpu:LPE509_02451
ko:K01810	lpu:LPE509_02452
ko:K00067	lpu:LPE509_02454
ko:K01790	lpu:LPE509_02455
ko:K02501	lpu:LPE509_02461
ko:K07726	lpu:LPE509_p00014
ko:K07154	lpu:LPE509_01254
ko:K09791	lpu:LPE509_01269
ko:K00979	lpu:LPE509_01270
ko:K05527	lpu:LPE509_01274
ko:K07678	lpu:LPE509_01278
ko:K09906	lpu:LPE509_01284
ko:K03924	lpu:LPE509_01293
ko:K09858	lpu:LPE509_01295
ko:K03980	lpu:LPE509_02097
ko:K01129	lpu:LPE509_02105
ko:K01462	lpu:LPE509_02120
ko:K03762	lpu:LPE509_02121
ko:K00023	lpu:LPE509_02125
ko:K03821	lpu:LPE509_02126
ko:K02112	lpu:LPE509_02134
ko:K02114	lpu:LPE509_02135
ko:K02108	lpu:LPE509_02138
ko:K02110	lpu:LPE509_02139
ko:K02109	lpu:LPE509_02140
ko:K02111	lpu:LPE509_02141
ko:K02115	lpu:LPE509_02142
ko:K07240	lpu:LPE509_02928
ko:K00937	lpu:LPE509_02930
ko:K02356	lpu:LPE509_02932
ko:K08281	lpu:LPE509_02953
ko:K00763	lpu:LPE509_02954
ko:K06915	lpu:LPE509_02955
ko:K07023	lpu:LPE509_02956
ko:K09125	lpu:LPE509_02973
ko:K11927	lpu:LPE509_02975
ko:K00019	lpu:LPE509_00775
ko:K01714	lpu:LPE509_00778
ko:K01776	lpu:LPE509_00783
ko:K00057	lpu:LPE509_00784
ko:K03071	lpu:LPE509_00785
ko:K07320	lpu:LPE509_00789
ko:K01736	lpu:LPE509_00790
ko:K00133	lpu:LPE509_00791
ko:K03580	lpu:LPE509_00794
ko:K08300	lpu:LPE509_00797
ko:K07001	lpu:LPE509_00224
ko:K03305	lpu:LPE509_00226
ko:K10763	lpu:LPE509_00228
ko:K07574	lpu:LPE509_00232
ko:K03798	lpu:LPE509_00234
ko:K00796	lpu:LPE509_00235
ko:K03431	lpu:LPE509_00236
ko:K01803	lpu:LPE509_00238
ko:K03075	lpu:LPE509_00239
ko:K00330	lpu:LPE509_00240
ko:K00331	lpu:LPE509_00242
ko:K00332	lpu:LPE509_00243
ko:K00333	lpu:LPE509_00244
ko:K00334	lpu:LPE509_00245
ko:K00337	lpu:LPE509_00248
ko:K00338	lpu:LPE509_00249
ko:K00339	lpu:LPE509_00250
ko:K00340	lpu:LPE509_00251
ko:K00341	lpu:LPE509_00252
ko:K00342	lpu:LPE509_00253
ko:K00343	lpu:LPE509_00254
ko:K09748	lpu:LPE509_00255
ko:K02600	lpu:LPE509_00256
ko:K02519	lpu:LPE509_00257
ko:K02834	lpu:LPE509_00258
ko:K02956	lpu:LPE509_00260
ko:K00962	lpu:LPE509_00261
ko:K01495	lpu:LPE509_00263
ko:K02503	lpu:LPE509_00264
ko:K06187	lpu:LPE509_00275
ko:K09747	lpu:LPE509_00276
ko:K02343	lpu:LPE509_00277
ko:K01091	lpu:LPE509_00800
ko:K01118	lpu:LPE509_00803
ko:K06911	lpu:LPE509_00804
ko:K09808	lpu:LPE509_00805
ko:K09810	lpu:LPE509_00806
ko:K01893	lpu:LPE509_00808
ko:K16171	lpu:LPE509_00811
ko:K00457	lpu:LPE509_00812
ko:K00263	lpu:LPE509_00814
ko:K01126	lpu:LPE509_00816
ko:K05813	lpu:LPE509_00817
ko:K09941	lpu:LPE509_00824
ko:K06980	lpu:LPE509_01619
ko:K09159	lpu:LPE509_01620
ko:K03088	lpu:LPE509_01622
ko:K03551	lpu:LPE509_01623
ko:K07107	lpu:LPE509_01624
ko:K03562	lpu:LPE509_01625
ko:K03641	lpu:LPE509_01628
ko:K14153	lpu:LPE509_01631
ko:K03149	lpu:LPE509_01632
ko:K03154	lpu:LPE509_01633
ko:K00627	lpu:LPE509_01641
ko:K00162	lpu:LPE509_01642
ko:K00161	lpu:LPE509_01643
ko:K01665	lpu:LPE509_01645
ko:K09996	lpu:LPE509_01647
ko:K03610	lpu:LPE509_01649
ko:K03269	lpu:LPE509_01650
ko:K06169	lpu:LPE509_01652
ko:K00940	lpu:LPE509_01654
ko:K06941	lpu:LPE509_01655
ko:K02656	lpu:LPE509_01656
ko:K01892	lpu:LPE509_01658
ko:K03977	lpu:LPE509_01661
ko:K00950	lpu:LPE509_01663
ko:K08973	lpu:LPE509_01666
ko:K01845	lpu:LPE509_01668
ko:K03305	lpu:LPE509_01669
ko:K02500	lpu:LPE509_02462
ko:K03305	lpu:LPE509_02466
ko:K07461	lpu:LPE509_02467
ko:K03644	lpu:LPE509_02468
ko:K01775	lpu:LPE509_02474
ko:K01950	lpu:LPE509_02478
ko:K01095	lpu:LPE509_02483
ko:K00946	lpu:LPE509_02484
ko:K03625	lpu:LPE509_02485
ko:K07738	lpu:LPE509_02486
ko:K00600	lpu:LPE509_02487
ko:K01873	lpu:LPE509_02493
ko:K07644	lpu:LPE509_02498
ko:K01468	lpu:LPE509_02501
ko:K06076	lpu:LPE509_02505
ko:K07112	lpu:LPE509_02506
ko:K07112	lpu:LPE509_02507
ko:K00060	lpu:LPE509_02510
ko:K00573	lpu:LPE509_02512
ko:K12340	lpu:LPE509_02513
ko:K14058	lpu:LPE509_02514
ko:K06949	lpu:LPE509_00280
ko:K13288	lpu:LPE509_00282
ko:K09765	lpu:LPE509_00283
ko:K16264	lpu:LPE509_00284
ko:K02498	lpu:LPE509_00285
ko:K02496	lpu:LPE509_00286
ko:K01749	lpu:LPE509_00288
ko:K03611	lpu:LPE509_00295
ko:K00773	lpu:LPE509_00296
ko:K06048	lpu:LPE509_00304
ko:K09131	lpu:LPE509_00307
ko:K01868	lpu:LPE509_00309
ko:K02520	lpu:LPE509_00310
ko:K02916	lpu:LPE509_00311
ko:K02887	lpu:LPE509_00312
ko:K01889	lpu:LPE509_00313
ko:K01890	lpu:LPE509_00314
ko:K04764	lpu:LPE509_00315
ko:K02871	lpu:LPE509_00317
ko:K02996	lpu:LPE509_00318
ko:K00411	lpu:LPE509_00319
ko:K00412	lpu:LPE509_00320
ko:K00413	lpu:LPE509_00321
ko:K03599	lpu:LPE509_00322
ko:K03600	lpu:LPE509_00323
ko:K06925	lpu:LPE509_00325
ko:K01448	lpu:LPE509_00326
ko:K03572	lpu:LPE509_00327
ko:K00791	lpu:LPE509_00328
ko:K15461	lpu:LPE509_01670
ko:K01720	lpu:LPE509_01673
ko:K09773	lpu:LPE509_01674
ko:K02654	lpu:LPE509_01678
ko:K02652	lpu:LPE509_01680
ko:K00760	lpu:LPE509_01684
ko:K12542	lpu:LPE509_01686
ko:K12541	lpu:LPE509_01687
ko:K03801	lpu:LPE509_01691
ko:K09158	lpu:LPE509_01692
ko:K00824	lpu:LPE509_01693
ko:K03642	lpu:LPE509_01695
ko:K03807	lpu:LPE509_01697
ko:K00163	lpu:LPE509_01698
ko:K00627	lpu:LPE509_01699
ko:K00382	lpu:LPE509_01700
ko:K03789	lpu:LPE509_01701
ko:K01256	lpu:LPE509_01705
ko:K03573	lpu:LPE509_01721
ko:K05802	lpu:LPE509_01722
ko:K01673	lpu:LPE509_02515
ko:K01881	lpu:LPE509_02518
ko:K02622	lpu:LPE509_02521
ko:K04047	lpu:LPE509_02524
ko:K04077	lpu:LPE509_02525
ko:K04078	lpu:LPE509_02526
ko:K04084	lpu:LPE509_02527
ko:K14441	lpu:LPE509_02528
ko:K00982	lpu:LPE509_02533
ko:K09930	lpu:LPE509_02537
ko:K01574	lpu:LPE509_02541
ko:K03885	lpu:LPE509_02542
ko:K07001	lpu:LPE509_02543
ko:K15977	lpu:LPE509_02547
ko:K01783	lpu:LPE509_02549
ko:K08309	lpu:LPE509_02550
ko:K01993	lpu:LPE509_02555
ko:K03834	lpu:LPE509_02559
ko:K03834	lpu:LPE509_02560
ko:K00029	lpu:LPE509_02564
ko:K02909	lpu:LPE509_02565
ko:K01142	lpu:LPE509_02566
ko:K12982	lpu:LPE509_00330
ko:K01666	lpu:LPE509_00348
ko:K03110	lpu:LPE509_00360
ko:K09812	lpu:LPE509_00361
ko:K09811	lpu:LPE509_00362
ko:K03089	lpu:LPE509_00363
ko:K01918	lpu:LPE509_00368
ko:K00606	lpu:LPE509_00369
ko:K07018	lpu:LPE509_00370
ko:K06916	lpu:LPE509_00371
ko:K04758	lpu:LPE509_00372
ko:K04759	lpu:LPE509_00373
ko:K02523	lpu:LPE509_00375
ko:K06942	lpu:LPE509_00378
ko:K01056	lpu:LPE509_00379
ko:K02897	lpu:LPE509_00380
ko:K02888	lpu:LPE509_00381
ko:K02899	lpu:LPE509_00382
ko:K03979	lpu:LPE509_00383
ko:K01876	lpu:LPE509_01723
ko:K01935	lpu:LPE509_01726
ko:K02170	lpu:LPE509_01727
