ko:K00020	cpsf:CPTC_00383
ko:K18926	cpsf:CPTC_00172
ko:K15733	cpsf:CPTC_01755
ko:K18955	cpsf:CPTC_00141
ko:K01906	cpsf:CPTC_01746
ko:K19745	cpsf:CPTC_02229
ko:K00130	cpsf:CPTC_01036
ko:K21480	cpsf:CPTC_02070
ko:K21687	cpsf:CPTC_01133
ko:K21688	cpsf:CPTC_01223
ko:K00652	cpsf:CPTC_01747
ko:K02483	cpsf:CPTC_01076
ko:K14228	cpsf:CPTC_tRNA00001
ko:K14221	cpsf:CPTC_tRNA00024
ko:K14221	cpsf:CPTC_tRNA00025
ko:K14234	cpsf:CPTC_tRNA00008
ko:K14225	cpsf:CPTC_tRNA00020
ko:K14228	cpsf:CPTC_tRNA00016
ko:K14233	cpsf:CPTC_tRNA00014
ko:K14233	cpsf:CPTC_tRNA00010
ko:K14234	cpsf:CPTC_tRNA00006
ko:K01990	cpsf:CPTC_00550
ko:K01992	cpsf:CPTC_00549
ko:K01966	cpsf:CPTC_00157
ko:K01966	cpsf:CPTC_00158
ko:K02529	cpsf:CPTC_00161
ko:K00852	cpsf:CPTC_00162
ko:K06287	cpsf:CPTC_00163
ko:K01011	cpsf:CPTC_00169
ko:K11263	cpsf:CPTC_00170
ko:K01958	cpsf:CPTC_00173
ko:K00382	cpsf:CPTC_00174
ko:K01840	cpsf:CPTC_00176
ko:K00761	cpsf:CPTC_00178
ko:K01488	cpsf:CPTC_00182
ko:K07258	cpsf:CPTC_00184
ko:K07058	cpsf:CPTC_00185
ko:K01867	cpsf:CPTC_00186
ko:K01142	cpsf:CPTC_00188
ko:K00031	cpsf:CPTC_00191
ko:K01740	cpsf:CPTC_00192
ko:K01740	cpsf:CPTC_00193
ko:K02013	cpsf:CPTC_00195
ko:K02015	cpsf:CPTC_00196
ko:K02016	cpsf:CPTC_00197
ko:K00641	cpsf:CPTC_00200
ko:K00641	cpsf:CPTC_00201
ko:K01491	cpsf:CPTC_00203
ko:K03216	cpsf:CPTC_00204
ko:K03709	cpsf:CPTC_00205
ko:K06131	cpsf:CPTC_00992
ko:K01142	cpsf:CPTC_00993
ko:K01462	cpsf:CPTC_00995
ko:K05571	cpsf:CPTC_01000
ko:K05570	cpsf:CPTC_01001
ko:K05569	cpsf:CPTC_01002
ko:K05568	cpsf:CPTC_01003
ko:K05567	cpsf:CPTC_01004
ko:K05565	cpsf:CPTC_01005
ko:K04077	cpsf:CPTC_01011
ko:K11103	cpsf:CPTC_01019
ko:K01507	cpsf:CPTC_01021
ko:K07259	cpsf:CPTC_01022
ko:K04075	cpsf:CPTC_01023
ko:K00760	cpsf:CPTC_01024
ko:K03798	cpsf:CPTC_01025
ko:K01495	cpsf:CPTC_01026
ko:K00796	cpsf:CPTC_01027
ko:K01633	cpsf:CPTC_01028
ko:K00950	cpsf:CPTC_01029
ko:K01918	cpsf:CPTC_01033
ko:K02168	cpsf:CPTC_01035
ko:K04567	cpsf:CPTC_01040
ko:K07052	cpsf:CPTC_01041
ko:K08256	cpsf:CPTC_01749
ko:K00995	cpsf:CPTC_01751
ko:K01868	cpsf:CPTC_01754
ko:K07156	cpsf:CPTC_01757
ko:K16647	cpsf:CPTC_01759
ko:K07305	cpsf:CPTC_01761
ko:K03684	cpsf:CPTC_01764
ko:K01662	cpsf:CPTC_01765
ko:K01092	cpsf:CPTC_01773
ko:K01092	cpsf:CPTC_01774
ko:K00886	cpsf:CPTC_01775
ko:K03086	cpsf:CPTC_01776
ko:K07560	cpsf:CPTC_01783
ko:K03087	cpsf:CPTC_01784
ko:K03709	cpsf:CPTC_01785
ko:K01784	cpsf:CPTC_01786
ko:K04756	cpsf:CPTC_01792
ko:K03386	cpsf:CPTC_01793
ko:K04761	cpsf:CPTC_01794
ko:K03299	cpsf:CPTC_00519
ko:K06187	cpsf:CPTC_00520
ko:K09747	cpsf:CPTC_00521
ko:K02343	cpsf:CPTC_00522
ko:K00046	cpsf:CPTC_00526
ko:K00098	cpsf:CPTC_00527
ko:K00851	cpsf:CPTC_00528
ko:K03299	cpsf:CPTC_00529
ko:K01885	cpsf:CPTC_00530
ko:K00773	cpsf:CPTC_00531
ko:K06994	cpsf:CPTC_00532
