ko:K19079	sauv:SAI7S6_1005120
ko:K00130	sauv:SAI7S6_1019510
ko:K19005	sauv:SAI7S6_1005570
ko:K00561	sauv:SAI7S6_1006340
ko:K18938	sauv:SAI7S6_20070
ko:K18934	sauv:SAI7S6_1016090
ko:K18934	sauv:SAI7S6_1016100
ko:K11442	sauv:SAI7S6_1016140
ko:K08168	sauv:SAI7S6_1000920
ko:K18936	sauv:SAI7S6_1017900
ko:K18935	sauv:SAI7S6_1016120
ko:K03328	sauv:SAI7S6_1000870
ko:K03328	sauv:SAI7S6_1003740
ko:K19285	sauv:SAI7S6_1002890
ko:K18940	sauv:SAI7S6_1010230
ko:K19975	sauv:SAI7S6_1004860
ko:K19973	sauv:SAI7S6_1004880
ko:K09692	sauv:SAI7S6_1004930
ko:K05352	sauv:SAI7S6_1001970
ko:K19080	sauv:SAI7S6_1005130
ko:K02479	sauv:SAI7S6_1013690
ko:K02483	sauv:SAI7S6_1017500
ko:K14204	sauv:SAI7S6_1014710
ko:K01046	sauv:SAI7S6_1020030
ko:K03293	sauv:SAI7S6_1009590
ko:K13714	sauv:SAI7S6_1007450
ko:K22580	sauv:SAI7S6_1007490
ko:K21462	sauv:SAI7S6_1020020
ko:K21463	sauv:SAI7S6_1017460
ko:K02338	sauv:SAI7S6_1000020
ko:K02313	sauv:SAI7S6_1000010
ko:K03629	sauv:SAI7S6_1000030
ko:K02470	sauv:SAI7S6_1000040
ko:K02469	sauv:SAI7S6_1000050
ko:K02250	sauv:SAI7S6_1007290
ko:K03800	sauv:SAI7S6_1007300
ko:K07052	sauv:SAI7S6_1007310
ko:K02003	sauv:SAI7S6_1007330
ko:K02016	sauv:SAI7S6_1007340
ko:K02548	sauv:SAI7S6_1007360
ko:K02552	sauv:SAI7S6_1007370
ko:K02551	sauv:SAI7S6_1007380
ko:K08680	sauv:SAI7S6_1007390
ko:K01661	sauv:SAI7S6_1007400
ko:K00033	sauv:SAI7S6_1011000
ko:K09699	sauv:SAI7S6_1011030
ko:K00167	sauv:SAI7S6_1011040
ko:K00166	sauv:SAI7S6_1011050
ko:K00382	sauv:SAI7S6_1011060
ko:K03631	sauv:SAI7S6_1011070
ko:K13789	sauv:SAI7S6_1011080
ko:K03601	sauv:SAI7S6_1011090
ko:K01961	sauv:SAI7S6_1011100
ko:K02160	sauv:SAI7S6_1011110
ko:K02356	sauv:SAI7S6_1011120
ko:K01262	sauv:SAI7S6_1011130
ko:K03800	sauv:SAI7S6_1011150
ko:K00283	sauv:SAI7S6_1011160
ko:K00282	sauv:SAI7S6_1011170
ko:K00605	sauv:SAI7S6_1011180
ko:K00891	sauv:SAI7S6_1011190
ko:K01835	sauv:SAI7S6_1018550
ko:K00963	sauv:SAI7S6_1018600
ko:K13732	sauv:SAI7S6_1018610
ko:K03299	sauv:SAI7S6_1018620
ko:K00851	sauv:SAI7S6_1018630
ko:K11476	sauv:SAI7S6_1018640
ko:K03535	sauv:SAI7S6_1018690
ko:K01990	sauv:SAI7S6_1018710
ko:K04041	sauv:SAI7S6_1018730
ko:K06999	sauv:SAI7S6_1018750
ko:K15975	sauv:SAI7S6_1018760
ko:K07104	sauv:SAI7S6_1018770
ko:K03778	sauv:SAI7S6_1018790
ko:K16917	sauv:SAI7S6_1018810
ko:K16916	sauv:SAI7S6_1018820
ko:K07284	sauv:SAI7S6_1018830
ko:K03823	sauv:SAI7S6_1018840
ko:K01752	sauv:SAI7S6_1018850
ko:K01752	sauv:SAI7S6_1018860
ko:K00158	sauv:SAI7S6_1018910
ko:K00054	sauv:SAI7S6_1018940
ko:K01641	sauv:SAI7S6_1018950
ko:K00567	sauv:SAI7S6_1018960
ko:K04086	sauv:SAI7S6_1018970
ko:K04759	sauv:SAI7S6_1018980
ko:K06994	sauv:SAI7S6_1018990
ko:K00919	sauv:SAI7S6_1003670
ko:K09685	sauv:SAI7S6_1003680
ko:K04042	sauv:SAI7S6_1003690
ko:K00948	sauv:SAI7S6_1003700
ko:K02897	sauv:SAI7S6_1003710
ko:K01056	sauv:SAI7S6_1003720
ko:K13715	sauv:SAI7S6_1007410
ko:K00841	sauv:SAI7S6_1007430
ko:K02828	sauv:SAI7S6_1007500
ko:K02827	sauv:SAI7S6_1007510
ko:K02826	sauv:SAI7S6_1007520
ko:K01491	sauv:SAI7S6_1007530
ko:K01588	sauv:SAI7S6_1007540
ko:K01589	sauv:SAI7S6_1007550
ko:K01923	sauv:SAI7S6_1007560
ko:K01952	sauv:SAI7S6_1007570
ko:K01952	sauv:SAI7S6_1007580
ko:K00764	sauv:SAI7S6_1007590
ko:K01933	sauv:SAI7S6_1007600
ko:K11175	sauv:SAI7S6_1007610
ko:K00602	sauv:SAI7S6_1007620
ko:K01945	sauv:SAI7S6_1007630
ko:K16785	sauv:SAI7S6_1007640
ko:K16786	sauv:SAI7S6_1007650
ko:K16787	sauv:SAI7S6_1007650
ko:K16925	sauv:SAI7S6_1007660
ko:K06969	sauv:SAI7S6_1007680
ko:K08483	sauv:SAI7S6_1007700
ko:K00425	sauv:SAI7S6_1007710
ko:K00426	sauv:SAI7S6_1007720
ko:K03499	sauv:SAI7S6_1007730
ko:K12574	sauv:SAI7S6_1007740
ko:K01462	sauv:SAI7S6_1007750
ko:K00053	sauv:SAI7S6_1015110
ko:K01649	sauv:SAI7S6_1015120
ko:K00052	sauv:SAI7S6_1015130
ko:K01703	sauv:SAI7S6_1015140
ko:K01704	sauv:SAI7S6_1015150
ko:K01754	sauv:SAI7S6_1015160
ko:K06959	sauv:SAI7S6_1015200
ko:K03090	sauv:SAI7S6_1015210
ko:K04757	sauv:SAI7S6_1015220
ko:K07315	sauv:SAI7S6_1015230
ko:K01775	sauv:SAI7S6_1015240
ko:K09167	sauv:SAI7S6_1015250
ko:K08981	sauv:SAI7S6_1015260
ko:K01548	sauv:SAI7S6_1015280
ko:K01547	sauv:SAI7S6_1015290
ko:K01546	sauv:SAI7S6_1015300
ko:K07646	sauv:SAI7S6_1015310
ko:K07667	sauv:SAI7S6_1015320
ko:K01929	sauv:SAI7S6_1015350
ko:K01921	sauv:SAI7S6_1015360
ko:K05837	sauv:SAI7S6_1015370
ko:K06131	sauv:SAI7S6_1015380
ko:K06950	sauv:SAI7S6_1015390
ko:K03217	sauv:SAI7S6_1015400
ko:K00788	sauv:SAI7S6_1015410
ko:K00878	sauv:SAI7S6_1015420
ko:K00941	sauv:SAI7S6_1015430
ko:K03707	sauv:SAI7S6_1015440
ko:K00790	sauv:SAI7S6_1015470
ko:K02112	sauv:SAI7S6_1015480
ko:K02115	sauv:SAI7S6_1015490
ko:K02111	sauv:SAI7S6_1015500
ko:K02113	sauv:SAI7S6_1015510
ko:K02109	sauv:SAI7S6_1015520
ko:K02108	sauv:SAI7S6_1015530
ko:K02116	sauv:SAI7S6_1015540
ko:K01791	sauv:SAI7S6_1015550
ko:K00761	sauv:SAI7S6_1015560
ko:K00600	sauv:SAI7S6_1015570
ko:K13012	sauv:SAI7S6_1001160
ko:K01784	sauv:SAI7S6_1001170
ko:K02472	sauv:SAI7S6_1001180
ko:K01791	sauv:SAI7S6_1001190
ko:K00128	sauv:SAI7S6_1001200
ko:K16264	sauv:SAI7S6_1001210
ko:K02049	sauv:SAI7S6_1001230
ko:K02051	sauv:SAI7S6_1001240
ko:K02050	sauv:SAI7S6_1001250
ko:K00122	sauv:SAI7S6_1001270
ko:K08996	sauv:SAI7S6_1001310
ko:K00930	sauv:SAI7S6_1001320
ko:K00620	sauv:SAI7S6_1001330
ko:K00145	sauv:SAI7S6_1001340
ko:K00819	sauv:SAI7S6_1001350
ko:K03311	sauv:SAI7S6_1001360
ko:K09963	sauv:SAI7S6_1001400
ko:K07106	sauv:SAI7S6_1001410
ko:K02809	sauv:SAI7S6_1001420
ko:K02810	sauv:SAI7S6_1001420
ko:K01153	sauv:SAI7S6_1001440
ko:K02005	sauv:SAI7S6_1001460
ko:K02003	sauv:SAI7S6_1001470
ko:K02004	sauv:SAI7S6_1001480
ko:K01990	sauv:SAI7S6_1001510
ko:K02031	sauv:SAI7S6_1001520
ko:K02032	sauv:SAI7S6_1001520
ko:K02033	sauv:SAI7S6_1001530
ko:K02034	sauv:SAI7S6_1001540
ko:K02035	sauv:SAI7S6_1001550
ko:K01118	sauv:SAI7S6_1001580
ko:K10112	sauv:SAI7S6_1001600
ko:K09769	sauv:SAI7S6_1009270
ko:K00174	sauv:SAI7S6_1009280
ko:K00175	sauv:SAI7S6_1009290
ko:K06168	sauv:SAI7S6_1009300
ko:K03555	sauv:SAI7S6_1009320
ko:K03572	sauv:SAI7S6_1009330
ko:K02443	sauv:SAI7S6_1009340
ko:K02440	sauv:SAI7S6_1009350
ko:K00864	sauv:SAI7S6_1009360
ko:K00111	sauv:SAI7S6_1009370
ko:K00791	sauv:SAI7S6_1009390
ko:K00432	sauv:SAI7S6_1009400
ko:K03665	sauv:SAI7S6_1009410
ko:K01915	sauv:SAI7S6_1009440
ko:K01620	sauv:SAI7S6_1009450
ko:K06131	sauv:SAI7S6_1009460
ko:K01990	sauv:SAI7S6_1009470
ko:K01992	sauv:SAI7S6_1009480
ko:K07778	sauv:SAI7S6_1009490
ko:K00928	sauv:SAI7S6_1009540
ko:K00003	sauv:SAI7S6_1009550
ko:K01733	sauv:SAI7S6_1009560
ko:K00872	sauv:SAI7S6_1009570
ko:K03781	sauv:SAI7S6_1009600
ko:K00364	sauv:SAI7S6_1009610
ko:K01356	sauv:SAI7S6_1009630
ko:K00615	sauv:SAI7S6_1009640
ko:K03547	sauv:SAI7S6_1009660
ko:K05020	sauv:SAI7S6_1009690
ko:K01681	sauv:SAI7S6_1009700
ko:K07107	sauv:SAI7S6_1009710
ko:K08591	sauv:SAI7S6_1009720
ko:K02622	sauv:SAI7S6_1009730
ko:K02621	sauv:SAI7S6_1009740
ko:K03310	sauv:SAI7S6_1009750
ko:K03480	sauv:SAI7S6_1009760
ko:K00123	sauv:SAI7S6_1017040
ko:K07052	sauv:SAI7S6_1017080
ko:K03453	sauv:SAI7S6_1017130
ko:K02749	sauv:SAI7S6_1017150
ko:K02750	sauv:SAI7S6_1017150
ko:K03481	sauv:SAI7S6_1017160
ko:K01468	sauv:SAI7S6_1017230
ko:K01712	sauv:SAI7S6_1017240
ko:K11210	sauv:SAI7S6_1017260
ko:K01479	sauv:SAI7S6_1017270
ko:K01807	sauv:SAI7S6_1017290
ko:K01785	sauv:SAI7S6_1017310
ko:K01992	sauv:SAI7S6_1017320
ko:K01990	sauv:SAI7S6_1017330
ko:K03652	sauv:SAI7S6_1017350
ko:K03312	sauv:SAI7S6_1017360
ko:K01823	sauv:SAI7S6_1017370
ko:K03284	sauv:SAI7S6_1017380
ko:K07107	sauv:SAI7S6_1017390
ko:K07552	sauv:SAI7S6_1017450
ko:K09814	sauv:SAI7S6_1017480
ko:K09813	sauv:SAI7S6_1017490
ko:K03723	sauv:SAI7S6_1003730
ko:K02499	sauv:SAI7S6_1003750
ko:K04075	sauv:SAI7S6_1003760
ko:K00760	sauv:SAI7S6_1003770
ko:K03798	sauv:SAI7S6_1003780
ko:K04083	sauv:SAI7S6_1003790
ko:K01738	sauv:SAI7S6_1003800
ko:K00796	sauv:SAI7S6_1003810
ko:K04567	sauv:SAI7S6_1003820
ko:K00375	sauv:SAI7S6_1003940
ko:K06215	sauv:SAI7S6_1003950
ko:K08681	sauv:SAI7S6_1003960
ko:K11535	sauv:SAI7S6_1003970
ko:K03708	sauv:SAI7S6_1003980
ko:K03696	sauv:SAI7S6_1004010
ko:K04485	sauv:SAI7S6_1004020
ko:K09698	sauv:SAI7S6_1004040
ko:K00640	sauv:SAI7S6_1004050
ko:K01883	sauv:SAI7S6_1004060
ko:K03218	sauv:SAI7S6_1004070
ko:K06962	sauv:SAI7S6_1004080
ko:K03091	sauv:SAI7S6_1004090
ko:K02601	sauv:SAI7S6_1004100
ko:K02863	sauv:SAI7S6_1004110
ko:K02864	sauv:SAI7S6_1004120
ko:K03043	sauv:SAI7S6_1004140
ko:K03046	sauv:SAI7S6_1004150
ko:K02992	sauv:SAI7S6_1004160
ko:K02355	sauv:SAI7S6_1004170
ko:K02358	sauv:SAI7S6_1004180
ko:K07160	sauv:SAI7S6_1011680
ko:K01961	sauv:SAI7S6_1011690
ko:K03624	sauv:SAI7S6_1011720
ko:K00876	sauv:SAI7S6_1011730
ko:K08303	sauv:SAI7S6_1011740
ko:K01872	sauv:SAI7S6_1011770
ko:K03581	sauv:SAI7S6_1011780
ko:K00566	sauv:SAI7S6_1011800
ko:K04487	sauv:SAI7S6_1011810
ko:K07478	sauv:SAI7S6_1011830
ko:K01876	sauv:SAI7S6_1011850
ko:K01892	sauv:SAI7S6_1011860
ko:K01448	sauv:SAI7S6_1011870
ko:K00951	sauv:SAI7S6_1011880
ko:K00759	sauv:SAI7S6_1011890
ko:K07462	sauv:SAI7S6_1011900
ko:K12257	sauv:SAI7S6_1011910
ko:K00773	sauv:SAI7S6_1011920
ko:K07568	sauv:SAI7S6_1011930
ko:K03551	sauv:SAI7S6_1011940
ko:K03550	sauv:SAI7S6_1011950
ko:K03979	sauv:SAI7S6_1011960
ko:K03571	sauv:SAI7S6_1011970
ko:K03570	sauv:SAI7S6_1011980
ko:K04763	sauv:SAI7S6_1012040
ko:K03630	sauv:SAI7S6_1012050
ko:K02236	sauv:SAI7S6_1012060
ko:K11754	sauv:SAI7S6_1012070
ko:K01873	sauv:SAI7S6_1012080
ko:K01246	sauv:SAI7S6_1012090
ko:K07120	sauv:SAI7S6_1012100
ko:K01845	sauv:SAI7S6_1012120
ko:K01698	sauv:SAI7S6_1012130
ko:K01719	sauv:SAI7S6_1012140
ko:K01895	sauv:SAI7S6_1019480
ko:K03451	sauv:SAI7S6_1019530
ko:K03300	sauv:SAI7S6_1019560
ko:K02304	sauv:SAI7S6_1019570
ko:K00380	sauv:SAI7S6_1019580
ko:K00432	sauv:SAI7S6_1019590
ko:K01077	sauv:SAI7S6_1019640
ko:K14192	sauv:SAI7S6_1019670
ko:K00926	sauv:SAI7S6_1019690
ko:K03758	sauv:SAI7S6_1019700
ko:K00611	sauv:SAI7S6_1019710
ko:K01478	sauv:SAI7S6_1019720
ko:K01401	sauv:SAI7S6_1019740
ko:K02768	sauv:SAI7S6_1019780
ko:K02769	sauv:SAI7S6_1019780
ko:K02770	sauv:SAI7S6_1019780
ko:K01809	sauv:SAI7S6_1019790
ko:K01421	sauv:SAI7S6_1019800
ko:K03070	sauv:SAI7S6_1019860
ko:K12270	sauv:SAI7S6_1019870
ko:K12269	sauv:SAI7S6_1019880
ko:K12268	sauv:SAI7S6_1019890
ko:K03076	sauv:SAI7S6_1019900
ko:K07304	sauv:SAI7S6_1019940
ko:K03785	sauv:SAI7S6_1006280
ko:K04763	sauv:SAI7S6_1006310
ko:K02071	sauv:SAI7S6_1006360
ko:K02072	sauv:SAI7S6_1006370
ko:K02073	sauv:SAI7S6_1006380
ko:K08974	sauv:SAI7S6_1006390
ko:K09013	sauv:SAI7S6_1006400
ko:K09015	sauv:SAI7S6_1006410
ko:K11717	sauv:SAI7S6_1006420
ko:K04488	sauv:SAI7S6_1006430
ko:K09014	sauv:SAI7S6_1006440
ko:K00459	sauv:SAI7S6_1006470
ko:K07090	sauv:SAI7S6_1006490
ko:K03644	sauv:SAI7S6_1006510
ko:K03367	sauv:SAI7S6_1006550
ko:K03739	sauv:SAI7S6_1006560
ko:K03740	sauv:SAI7S6_1006570
ko:K03885	sauv:SAI7S6_1006580
ko:K03885	sauv:SAI7S6_1006590
ko:K01255	sauv:SAI7S6_1006600
ko:K07084	sauv:SAI7S6_1006610
ko:K05569	sauv:SAI7S6_1006630
ko:K05568	sauv:SAI7S6_1006640
ko:K05565	sauv:SAI7S6_1006650
ko:K03768	sauv:SAI7S6_1006670
ko:K00819	sauv:SAI7S6_1006690
ko:K00260	sauv:SAI7S6_1006700
ko:K01126	sauv:SAI7S6_1006710
ko:K01755	sauv:SAI7S6_1006720
ko:K01940	sauv:SAI7S6_1006730
ko:K01810	sauv:SAI7S6_1006740
ko:K03100	sauv:SAI7S6_1006760
ko:K03100	sauv:SAI7S6_1006770
ko:K07586	sauv:SAI7S6_1014140
ko:K03575	sauv:SAI7S6_1014150
ko:K07038	sauv:SAI7S6_1014160
ko:K09693	sauv:SAI7S6_1014180
ko:K03565	sauv:SAI7S6_1014190
ko:K04478	sauv:SAI7S6_1014200
ko:K05520	sauv:SAI7S6_1014210
ko:K01104	sauv:SAI7S6_1014250
ko:K07058	sauv:SAI7S6_1014260
ko:K07694	sauv:SAI7S6_1014270
ko:K07681	sauv:SAI7S6_1014280
ko:K01265	sauv:SAI7S6_1014300
ko:K07009	sauv:SAI7S6_1014330
ko:K02217	sauv:SAI7S6_1014350
ko:K02342	sauv:SAI7S6_1014360
ko:K02346	sauv:SAI7S6_1014370
ko:K03215	sauv:SAI7S6_1014390
ko:K02434	sauv:SAI7S6_1014410
ko:K02433	sauv:SAI7S6_1014420
ko:K11928	sauv:SAI7S6_1014430
ko:K01972	sauv:SAI7S6_1014450
ko:K03657	sauv:SAI7S6_1014460
ko:K07094	sauv:SAI7S6_1014470
ko:K01756	sauv:SAI7S6_1014480
ko:K08258	sauv:SAI7S6_1014490
ko:K01916	sauv:SAI7S6_1014510
ko:K00763	sauv:SAI7S6_1014520
ko:K00491	sauv:SAI7S6_1014530
ko:K04518	sauv:SAI7S6_1014540
ko:K14445	sauv:SAI7S6_1014550
ko:K15986	sauv:SAI7S6_1014580
ko:K00128	sauv:SAI7S6_1014590
ko:K06966	sauv:SAI7S6_1005270
ko:K09768	sauv:SAI7S6_1005280
ko:K06153	sauv:SAI7S6_1005300
ko:K16013	sauv:SAI7S6_1005310
ko:K16012	sauv:SAI7S6_1005320
ko:K01669	sauv:SAI7S6_1005360
ko:K03436	sauv:SAI7S6_1005390
ko:K00882	sauv:SAI7S6_1005400
ko:K02768	sauv:SAI7S6_1005410
ko:K02769	sauv:SAI7S6_1005410
ko:K02770	sauv:SAI7S6_1005410
ko:K01443	sauv:SAI7S6_1005420
ko:K10681	sauv:SAI7S6_1005460
ko:K10682	sauv:SAI7S6_1005470
ko:K16937	sauv:SAI7S6_1005480
ko:K10026	sauv:SAI7S6_1005500
ko:K06920	sauv:SAI7S6_1005510
ko:K01664	sauv:SAI7S6_1005520
ko:K01665	sauv:SAI7S6_1005530
ko:K02619	sauv:SAI7S6_1005540
ko:K15738	sauv:SAI7S6_1005580
ko:K03654	sauv:SAI7S6_1005590
ko:K05847	sauv:SAI7S6_1005600
ko:K05845	sauv:SAI7S6_1005610
ko:K05846	sauv:SAI7S6_1005610
ko:K00817	sauv:SAI7S6_1005620
ko:K03305	sauv:SAI7S6_1005650
ko:K09457	sauv:SAI7S6_1005660
ko:K02015	sauv:SAI7S6_1005700
ko:K02015	sauv:SAI7S6_1005710
ko:K02013	sauv:SAI7S6_1005720
ko:K02016	sauv:SAI7S6_1005730
ko:K00075	sauv:SAI7S6_1005740
ko:K00789	sauv:SAI7S6_1013130
ko:K01610	sauv:SAI7S6_1013140
ko:K02549	sauv:SAI7S6_1013170
ko:K01911	sauv:SAI7S6_1013180
ko:K01154	sauv:SAI7S6_1013260
ko:K01154	sauv:SAI7S6_1013270
ko:K03427	sauv:SAI7S6_1013280
ko:K07002	sauv:SAI7S6_1013540
ko:K00231	sauv:SAI7S6_1013550
ko:K01772	sauv:SAI7S6_1013560
ko:K01599	sauv:SAI7S6_1013570
ko:K01992	sauv:SAI7S6_1013590
ko:K01990	sauv:SAI7S6_1013600
ko:K00161	sauv:SAI7S6_1007770
ko:K00162	sauv:SAI7S6_1007780
ko:K00627	sauv:SAI7S6_1007790
ko:K00382	sauv:SAI7S6_1007800
ko:K11072	sauv:SAI7S6_1007820
ko:K11071	sauv:SAI7S6_1007830
ko:K11070	sauv:SAI7S6_1007840
ko:K11069	sauv:SAI7S6_1007850
ko:K03322	sauv:SAI7S6_1007870
ko:K01092	sauv:SAI7S6_1007890
ko:K06207	sauv:SAI7S6_1007900
ko:K03588	sauv:SAI7S6_1007920
ko:K01958	sauv:SAI7S6_1007930
ko:K02259	sauv:SAI7S6_1007940
ko:K01126	sauv:SAI7S6_1007970
ko:K00954	sauv:SAI7S6_1007990
ko:K07040	sauv:SAI7S6_1008010
ko:K14193	sauv:SAI7S6_1008030
ko:K02016	sauv:SAI7S6_1008060
ko:K02015	sauv:SAI7S6_1008070
ko:K08600	sauv:SAI7S6_1008080
ko:K03437	sauv:SAI7S6_1008090
ko:K01889	sauv:SAI7S6_1008100
ko:K01890	sauv:SAI7S6_1008110
