ko:K18929	hhr:HPSH417_00675
ko:K19302	hhr:HPSH417_04155
ko:K18928	hhr:HPSH417_00680
ko:K14225	hhr:HPSH417_t08089
ko:K07316	hhr:HPSH417_01310
ko:K18682	hhr:HPSH417_03680
ko:K16091	hhr:HPSH417_03290
ko:K16091	hhr:HPSH417_07670
ko:K00104	hhr:HPSH417_02420
ko:K14233	hhr:HPSH417_t08069
ko:K14218	hhr:HPSH417_t08073
ko:K14219	hhr:HPSH417_t08099
ko:K14226	hhr:HPSH417_t08101
ko:K15726	hhr:HPSH417_04715
ko:K14230	hhr:HPSH417_t08111
ko:K14234	hhr:HPSH417_t08115
ko:K14225	hhr:HPSH417_t08117
ko:K14236	hhr:HPSH417_t08119
ko:K14234	hhr:HPSH417_t08121
ko:K14228	hhr:HPSH417_t08123
ko:K14228	hhr:HPSH417_t08125
ko:K14231	hhr:HPSH417_t08127
ko:K10716	hhr:HPSH417_02335
ko:K02014	hhr:HPSH417_04275
ko:K02014	hhr:HPSH417_07380
ko:K03496	hhr:HPSH417_05635
ko:K03496	hhr:HPSH417_07545
ko:K02028	hhr:HPSH417_05735
ko:K02030	hhr:HPSH417_05740
ko:K01752	hhr:HPSH417_00635
ko:K03837	hhr:HPSH417_00640
ko:K01626	hhr:HPSH417_00650
ko:K03564	hhr:HPSH417_00665
ko:K00782	hhr:HPSH417_00670
ko:K03303	hhr:HPSH417_00685
ko:K03303	hhr:HPSH417_00690
ko:K03575	hhr:HPSH417_00695
ko:K00404	hhr:HPSH417_00705
ko:K00405	hhr:HPSH417_00710
ko:K00407	hhr:HPSH417_00715
ko:K00406	hhr:HPSH417_00720
ko:K01689	hhr:HPSH417_00760
ko:K00891	hhr:HPSH417_00775
ko:K01698	hhr:HPSH417_00805
ko:K08303	hhr:HPSH417_00830
ko:K02836	hhr:HPSH417_00840
ko:K03750	hhr:HPSH417_00845
ko:K02421	hhr:HPSH417_00850
ko:K01624	hhr:HPSH417_00865
ko:K02356	hhr:HPSH417_00870
ko:K03820	hhr:HPSH417_00885
ko:K03620	hhr:HPSH417_03065
ko:K06920	hhr:HPSH417_03095
ko:K02221	hhr:HPSH417_03115
ko:K08309	hhr:HPSH417_03120
ko:K00963	hhr:HPSH417_03125
ko:K00790	hhr:HPSH417_03135
ko:K01744	hhr:HPSH417_03140
ko:K01079	hhr:HPSH417_03155
ko:K02217	hhr:HPSH417_03160
ko:K07277	hhr:HPSH417_03170
ko:K02434	hhr:HPSH417_03185
ko:K03685	hhr:HPSH417_03205
ko:K01736	hhr:HPSH417_03210
ko:K11473	hhr:HPSH417_03225
ko:K00812	hhr:HPSH417_03240
ko:K07090	hhr:HPSH417_03255
ko:K04042	hhr:HPSH417_03280
ko:K02419	hhr:HPSH417_03285
ko:K04759	hhr:HPSH417_03295
ko:K07501	hhr:HPSH417_03300
ko:K01028	hhr:HPSH417_03310
ko:K02106	hhr:HPSH417_03330
ko:K01839	hhr:HPSH417_05775
ko:K08159	hhr:HPSH417_05810
ko:K00133	hhr:HPSH417_05835
ko:K01892	hhr:HPSH417_05840
ko:K02355	hhr:HPSH417_05855
ko:K02992	hhr:HPSH417_05860
ko:K02950	hhr:HPSH417_05865
ko:K02935	hhr:HPSH417_05880
ko:K02864	hhr:HPSH417_05885
ko:K02863	hhr:HPSH417_05890
ko:K02867	hhr:HPSH417_05895
ko:K02601	hhr:HPSH417_05900
ko:K03073	hhr:HPSH417_05905
ko:K02913	hhr:HPSH417_05910
ko:K02358	hhr:HPSH417_05915
ko:K00640	hhr:HPSH417_05940
ko:K02110	hhr:HPSH417_05950
ko:K00962	hhr:HPSH417_05955
ko:K04744	hhr:HPSH417_05965
