ko:K19405	ctfw:SWFP_7321
ko:K09779	ctfw:SWFP_0011
ko:K02435	ctfw:SWFP_0021
ko:K02433	ctfw:SWFP_0031
ko:K02434	ctfw:SWFP_0041
ko:K03471	ctfw:SWFP_0081
ko:K02517	ctfw:SWFP_0101
ko:K00425	ctfw:SWFP_0131
ko:K00426	ctfw:SWFP_0141
ko:K07175	ctfw:SWFP_0151
ko:K00099	ctfw:SWFP_0771
ko:K03629	ctfw:SWFP_0801
ko:K02338	ctfw:SWFP_0811
ko:K03664	ctfw:SWFP_0821
ko:K03734	ctfw:SWFP_0831
ko:K01491	ctfw:SWFP_0841
ko:K02902	ctfw:SWFP_0921
ko:K00705	ctfw:SWFP_0931
ko:K04058	ctfw:SWFP_0951
ko:K03230	ctfw:SWFP_0961
ko:K03229	ctfw:SWFP_0971
ko:K06942	ctfw:SWFP_0981
ko:K11753	ctfw:SWFP_0991
ko:K03177	ctfw:SWFP_1001
ko:K02834	ctfw:SWFP_1011
ko:K02519	ctfw:SWFP_1021
ko:K02600	ctfw:SWFP_1031
ko:K02945	ctfw:SWFP_1041
ko:K00384	ctfw:SWFP_1051
ko:K00997	ctfw:SWFP_1061
ko:K00208	ctfw:SWFP_1101
ko:K06179	ctfw:SWFP_1121
ko:K03575	ctfw:SWFP_1131
ko:K04077	ctfw:SWFP_1161
ko:K04078	ctfw:SWFP_1171
ko:K08602	ctfw:SWFP_1181
ko:K03695	ctfw:SWFP_1191
ko:K01783	ctfw:SWFP_1271
ko:K02356	ctfw:SWFP_1281
ko:K02160	ctfw:SWFP_1291
ko:K01961	ctfw:SWFP_1301
ko:K02871	ctfw:SWFP_1311
ko:K02992	ctfw:SWFP_4721
ko:K02950	ctfw:SWFP_4731
ko:K03797	ctfw:SWFP_4751
ko:K01885	ctfw:SWFP_4801
ko:K07462	ctfw:SWFP_4821
ko:K12257	ctfw:SWFP_4831
ko:K00806	ctfw:SWFP_4851
ko:K00981	ctfw:SWFP_4861
ko:K00945	ctfw:SWFP_4871
ko:K00655	ctfw:SWFP_4881
ko:K01887	ctfw:SWFP_4891
ko:K00790	ctfw:SWFP_4901
ko:K02836	ctfw:SWFP_4941
ko:K07098	ctfw:SWFP_4961
ko:K00991	ctfw:SWFP_4971
ko:K06173	ctfw:SWFP_4981
ko:K07710	ctfw:SWFP_5041
ko:K07714	ctfw:SWFP_5051
ko:K03584	ctfw:SWFP_5091
ko:K01890	ctfw:SWFP_5161
ko:K00567	ctfw:SWFP_5181
ko:K02034	ctfw:SWFP_5191
ko:K02033	ctfw:SWFP_5201
ko:K02035	ctfw:SWFP_5211
ko:K01772	ctfw:SWFP_5261
ko:K02030	ctfw:SWFP_5271
ko:K07099	ctfw:SWFP_5291
ko:K01872	ctfw:SWFP_8201
ko:K00615	ctfw:SWFP_8241
ko:K01241	ctfw:SWFP_8251
ko:K02356	ctfw:SWFP_8261
ko:K01929	ctfw:SWFP_8321
ko:K01000	ctfw:SWFP_8331
ko:K01925	ctfw:SWFP_8341
ko:K03588	ctfw:SWFP_8361
ko:K02563	ctfw:SWFP_8371
ko:K06960	ctfw:SWFP_8391
ko:K00791	ctfw:SWFP_8421
