ko:K10109	aat:D11S_1010
ko:K13038	aat:D11S_0440
ko:K01035	aat:D11S_0078
ko:K18923	aat:D11S_1798
ko:K01961	aat:D11S_2089
ko:K07126	aat:D11S_1600
ko:K07126	aat:D11S_0125
ko:K01739	aat:D11S_1900
ko:K02504	aat:D11S_2071
ko:K02506	aat:D11S_2073
ko:K02010	aat:D11S_0620
ko:K00951	aat:D11S_0608
ko:K04085	aat:D11S_0577
ko:K00557	aat:D11S_0040
ko:K02116	aat:D11S_0317
ko:K01270	aat:D11S_0733
ko:K02200	aat:D11S_1982
ko:K04753	aat:D11S_1946
ko:K01897	aat:D11S_1678
ko:K03446	aat:D11S_1071
ko:K02822	aat:D11S_1048
ko:K03475	aat:D11S_1048
ko:K02824	aat:D11S_2036
ko:K03321	aat:D11S_1520
ko:K04016	aat:D11S_1984
ko:K01497	aat:D11S_1693
ko:K01664	aat:D11S_0981
ko:K00018	aat:D11S_0982
ko:K09810	aat:D11S_0984
ko:K00215	aat:D11S_0996
ko:K12139	aat:D11S_1740
ko:K12139	aat:D11S_1739
ko:K02010	aat:D11S_0884
ko:K04772	aat:D11S_1157
ko:K00564	aat:D11S_1825
ko:K01759	aat:D11S_1865
ko:K08305	aat:D11S_1711
ko:K05540	aat:D11S_2081
ko:K04751	aat:D11S_0026
ko:K01104	aat:D11S_0095
ko:K06218	aat:D11S_1799
ko:K01139	aat:D11S_1458
ko:K12982	aat:D11S_0382
ko:K11754	aat:D11S_1290
ko:K01897	aat:D11S_2125
ko:K02054	aat:D11S_1215
ko:K01840	aat:D11S_0653
ko:K00537	aat:D11S_0091
ko:K01034	aat:D11S_0077
ko:K07316	aat:D11S_1271
ko:K07075	aat:D11S_0500
ko:K01840	aat:D11S_0141
ko:K00058	aat:D11S_1510
ko:K00931	aat:D11S_0013
ko:K01754	aat:D11S_0364
ko:K00885	aat:D11S_1582
ko:K01668	aat:D11S_1940
ko:K07213	aat:D11S_2048
ko:K06957	aat:D11S_0768
ko:K00974	aat:D11S_1781
ko:K03719	aat:D11S_1775
ko:K08992	aat:D11S_1625
ko:K02004	aat:D11S_1561
ko:K02004	aat:D11S_1560
ko:K01420	aat:D11S_1333
ko:K00247	aat:D11S_0809
ko:K00244	aat:D11S_0812
ko:K01119	aat:D11S_1132
ko:K13292	aat:D11S_2104
ko:K00024	aat:D11S_1114
ko:K11013	aat:D11S_0908
ko:K05685	aat:D11S_1304
ko:K13637	aat:D11S_1515
ko:K03317	aat:D11S_0163
ko:K01424	aat:D11S_2026
ko:K12137	aat:D11S_1738
ko:K03772	aat:D11S_0296
ko:K03574	aat:D11S_0462
ko:K01784	aat:D11S_1175
ko:K01187	aat:D11S_1514
ko:K13288	aat:D11S_0971
ko:K06879	aat:D11S_1436
ko:K07497	aat:D11S_0136
ko:K13927	aat:D11S_0857
ko:K05939	aat:D11S_1320
ko:K02681	aat:D11S_1829
ko:K01934	aat:D11S_0411
ko:K13788	aat:D11S_1227
ko:K00799	aat:D11S_1599
ko:K02521	aat:D11S_0225
ko:K07263	aat:D11S_1631
ko:K11072	aat:D11S_1764
ko:K11005	aat:D11S_1819
ko:K00286	aat:D11S_1932
ko:K02505	aat:D11S_2072
ko:K14055	aat:D11S_1334
ko:K13628	aat:D11S_0877
ko:K07308	aat:D11S_0495
ko:K05846	aat:D11S_1492
ko:K06997	aat:D11S_1494
ko:K01744	aat:D11S_0597
ko:K07113	aat:D11S_0598
ko:K04078	aat:D11S_0599
ko:K04077	aat:D11S_0600
ko:K00901	aat:D11S_0607
ko:K03215	aat:D11S_0609
ko:K03584	aat:D11S_0610
ko:K02357	aat:D11S_0611
ko:K02967	aat:D11S_0612
ko:K06980	aat:D11S_0614
ko:K00989	aat:D11S_0616
ko:K00762	aat:D11S_0617
ko:K05801	aat:D11S_0618
ko:K05541	aat:D11S_0619
ko:K02011	aat:D11S_0621
ko:K02012	aat:D11S_0622
ko:K09923	aat:D11S_0623
ko:K03439	aat:D11S_0624
ko:K03575	aat:D11S_0625
ko:K08306	aat:D11S_0627
ko:K07286	aat:D11S_0631
ko:K05527	aat:D11S_0632
ko:K00346	aat:D11S_0635
ko:K00347	aat:D11S_0636
ko:K00348	aat:D11S_0637
ko:K00349	aat:D11S_0638
ko:K00350	aat:D11S_0639
ko:K00351	aat:D11S_0640
ko:K12524	aat:D11S_1497
ko:K00872	aat:D11S_1498
ko:K01733	aat:D11S_1500
ko:K04088	aat:D11S_1502
ko:K04087	aat:D11S_1503
ko:K02237	aat:D11S_1505
ko:K01807	aat:D11S_1509
ko:K02016	aat:D11S_1512
ko:K01686	aat:D11S_1516
ko:K01338	aat:D11S_1522
ko:K03086	aat:D11S_1523
ko:K02316	aat:D11S_1524
ko:K02494	aat:D11S_1782
ko:K00919	aat:D11S_1783
ko:K00948	aat:D11S_1784
ko:K00101	aat:D11S_1786
ko:K03303	aat:D11S_1787
ko:K09802	aat:D11S_1789
ko:K00831	aat:D11S_1791
ko:K00817	aat:D11S_1792
ko:K00800	aat:D11S_1793
ko:K03469	aat:D11S_1794
ko:K02342	aat:D11S_1795
ko:K07112	aat:D11S_1801
ko:K08303	aat:D11S_1802
ko:K07568	aat:D11S_1803
ko:K00817	aat:D11S_1804
ko:K00773	aat:D11S_1805
ko:K03210	aat:D11S_1806
ko:K03072	aat:D11S_1807
ko:K03074	aat:D11S_1808
ko:K00010	aat:D11S_1813
ko:K02562	aat:D11S_1814
ko:K00009	aat:D11S_1815
ko:K02798	aat:D11S_1816
ko:K02799	aat:D11S_1816
ko:K02800	aat:D11S_1816
ko:K11003	aat:D11S_1817
ko:K11004	aat:D11S_1818
ko:K07389	aat:D11S_1820
ko:K00600	aat:D11S_1821
ko:K02344	aat:D11S_1826
ko:K03789	aat:D11S_1827
ko:K03583	aat:D11S_1828
