ko:K00602	bcb:BCB4264_A0344
ko:K07260	bcb:BCB4264_A4978
ko:K08153	bcb:BCB4264_A0890
ko:K19310	bcb:BCB4264_A0313
ko:K14665	bcb:BCB4264_A0389
ko:K15770	bcb:BCB4264_A4119
ko:K01297	bcb:BCB4264_A1418
ko:K11032	bcb:BCB4264_A1163
ko:K01090	bcb:BCB4264_A2077
ko:K18924	bcb:BCB4264_A4914
ko:K02435	bcb:BCB4264_A0366
ko:K02433	bcb:BCB4264_A0367
ko:K02434	bcb:BCB4264_A0368
ko:K01091	bcb:BCB4264_A0370
ko:K00135	bcb:BCB4264_A0373
ko:K03317	bcb:BCB4264_A0379
ko:K07043	bcb:BCB4264_A0384
ko:K03315	bcb:BCB4264_A0388
ko:K03387	bcb:BCB4264_A0391
ko:K00899	bcb:BCB4264_A0393
ko:K08963	bcb:BCB4264_A0394
ko:K02015	bcb:BCB4264_A0396
ko:K02015	bcb:BCB4264_A0397
ko:K02016	bcb:BCB4264_A0398
ko:K05548	bcb:BCB4264_A0412
ko:K02029	bcb:BCB4264_A0415
ko:K03406	bcb:BCB4264_A0418
ko:K03402	bcb:BCB4264_A0419
ko:K07058	bcb:BCB4264_A0474
ko:K03100	bcb:BCB4264_A0478
ko:K05795	bcb:BCB4264_A0466
ko:K01247	bcb:BCB4264_A0490
ko:K06173	bcb:BCB4264_A0492
ko:K06714	bcb:BCB4264_A0494
ko:K01425	bcb:BCB4264_A0502
ko:K01478	bcb:BCB4264_A0420
ko:K06902	bcb:BCB4264_A0458
ko:K01881	bcb:BCB4264_A0461
ko:K05795	bcb:BCB4264_A0465
ko:K07300	bcb:BCB4264_A0484
ko:K01676	bcb:BCB4264_A0488
ko:K01784	bcb:BCB4264_A0510
ko:K00656	bcb:BCB4264_A0512
ko:K04069	bcb:BCB4264_A0513
ko:K07071	bcb:BCB4264_A0518
ko:K03565	bcb:BCB4264_A0519
ko:K07586	bcb:BCB4264_A0531
ko:K00265	bcb:BCB4264_A0535
ko:K01845	bcb:BCB4264_A0536
ko:K03564	bcb:BCB4264_A0541
ko:K09825	bcb:BCB4264_A0542
ko:K03406	bcb:BCB4264_A0613
ko:K00027	bcb:BCB4264_A0617
ko:K00375	bcb:BCB4264_A0620
ko:K02379	bcb:BCB4264_A0626
ko:K00123	bcb:BCB4264_A0627
ko:K01126	bcb:BCB4264_A0629
ko:K00259	bcb:BCB4264_A0630
ko:K03294	bcb:BCB4264_A0631
ko:K00763	bcb:BCB4264_A0635
ko:K11535	bcb:BCB4264_A0644
ko:K01744	bcb:BCB4264_A0647
ko:K03303	bcb:BCB4264_A0648
ko:K03305	bcb:BCB4264_A0651
ko:K03216	bcb:BCB4264_A0584
ko:K07180	bcb:BCB4264_A0586
ko:K09786	bcb:BCB4264_A0587
ko:K01387	bcb:BCB4264_A0591
ko:K03300	bcb:BCB4264_A0597
ko:K05816	bcb:BCB4264_A0603
ko:K05814	bcb:BCB4264_A0604
ko:K05815	bcb:BCB4264_A0605
ko:K01874	bcb:BCB4264_A0043
ko:K09698	bcb:BCB4264_A0108
ko:K01916	bcb:BCB4264_A2000
ko:K11626	bcb:BCB4264_A3144
ko:K11616	bcb:BCB4264_A0616
ko:K11615	bcb:BCB4264_A0615
ko:K02619	bcb:BCB4264_A0078
ko:K07222	bcb:BCB4264_A3452
ko:K07090	bcb:BCB4264_A0354
ko:K07090	bcb:BCB4264_A2455
ko:K04518	bcb:BCB4264_A4552
ko:K11618	bcb:BCB4264_A1495
ko:K11617	bcb:BCB4264_A1494
ko:K11622	bcb:BCB4264_A1493
ko:K00027	bcb:BCB4264_A1812
ko:K01421	bcb:BCB4264_A1113
ko:K00567	bcb:BCB4264_A2029
ko:K07090	bcb:BCB4264_A3067
ko:K07090	bcb:BCB4264_A0985
ko:K01104	bcb:BCB4264_A0472
ko:K01104	bcb:BCB4264_A5395
ko:K01104	bcb:BCB4264_A3348
ko:K01990	bcb:BCB4264_A4618
ko:K01990	bcb:BCB4264_A5258
ko:K00812	bcb:BCB4264_A1601
ko:K00666	bcb:BCB4264_A3738
ko:K11637	bcb:BCB4264_A0965
ko:K12263	bcb:BCB4264_A5303
ko:K07074	bcb:BCB4264_A0411
ko:K02242	bcb:BCB4264_A5311
ko:K01259	bcb:BCB4264_A2370
ko:K01259	bcb:BCB4264_A2199
ko:K01259	bcb:BCB4264_A4779
ko:K02443	bcb:BCB4264_A0602
ko:K02254	bcb:BCB4264_A1227
ko:K02239	bcb:BCB4264_A4448
ko:K02016	bcb:BCB4264_A0652
ko:K00865	bcb:BCB4264_A2192
ko:K01091	bcb:BCB4264_A2202
ko:K01779	bcb:BCB4264_A2205
ko:K07727	bcb:BCB4264_A2209
ko:K01091	bcb:BCB4264_A2215
ko:K00655	bcb:BCB4264_A2223
ko:K11068	bcb:BCB4264_A2224
ko:K03116	bcb:BCB4264_A2225
ko:K03118	bcb:BCB4264_A2226
ko:K07152	bcb:BCB4264_A2231
ko:K01953	bcb:BCB4264_A2233
ko:K01448	bcb:BCB4264_A2236
ko:K02016	bcb:BCB4264_A2237
ko:K03308	bcb:BCB4264_A2198
ko:K08964	bcb:BCB4264_A4147
ko:K08965	bcb:BCB4264_A4145
ko:K08966	bcb:BCB4264_A4146
ko:K07105	bcb:BCB4264_A4550
ko:K07284	bcb:BCB4264_A0719
ko:K07284	bcb:BCB4264_A4938
ko:K01270	bcb:BCB4264_A2447
ko:K11753	bcb:BCB4264_A3907
ko:K11752	bcb:BCB4264_A4220
ko:K04780	bcb:BCB4264_A2337
ko:K00575	bcb:BCB4264_A1036
ko:K02236	bcb:BCB4264_A1357
ko:K02443	bcb:BCB4264_A1064
ko:K09962	bcb:BCB4264_A2200
ko:K00042	bcb:BCB4264_A2319
ko:K03810	bcb:BCB4264_A4784
ko:K11614	bcb:BCB4264_A0614
ko:K03496	bcb:BCB4264_A5607
ko:K00686	bcb:BCB4264_A4066
ko:K01426	bcb:BCB4264_A1925
ko:K01426	bcb:BCB4264_A2061
ko:K01426	bcb:BCB4264_A2569
ko:K01771	bcb:BCB4264_A3860
ko:K10039	bcb:BCB4264_A0676
ko:K09015	bcb:BCB4264_A5124
ko:K12574	bcb:BCB4264_A4080
ko:K09607	bcb:BCB4264_A3107
ko:K01182	bcb:BCB4264_A4121
ko:K01992	bcb:BCB4264_A4617
ko:K07052	bcb:BCB4264_A1174
ko:K01897	bcb:BCB4264_A1123
ko:K00128	bcb:BCB4264_A3662
ko:K07090	bcb:BCB4264_A3781
ko:K07098	bcb:BCB4264_A1166
ko:K11928	bcb:BCB4264_A1289
ko:K00260	bcb:BCB4264_A1546
ko:K06302	bcb:BCB4264_A1197
ko:K06298	bcb:BCB4264_A4602
ko:K06308	bcb:BCB4264_A4846
ko:K06384	bcb:BCB4264_A4202
ko:K02246	bcb:BCB4264_A4352
ko:K02248	bcb:BCB4264_A4350
ko:K06431	bcb:BCB4264_A3717
ko:K06432	bcb:BCB4264_A3725
ko:K06433	bcb:BCB4264_A3728
ko:K03888	bcb:BCB4264_A1580
ko:K07729	bcb:BCB4264_A5175
ko:K06422	bcb:BCB4264_A0527
ko:K07680	bcb:BCB4264_A5260
ko:K00491	bcb:BCB4264_A5570
ko:K03484	bcb:BCB4264_A0811
ko:K00634	bcb:BCB4264_A4276
ko:K03574	bcb:BCB4264_A3077
ko:K01843	bcb:BCB4264_A2281
ko:K01176	bcb:BCB4264_A3487
ko:K07228	bcb:BCB4264_A4854
ko:K07729	bcb:BCB4264_A0457
ko:K06310	bcb:BCB4264_A0743
ko:K06311	bcb:BCB4264_A3137
ko:K06304	bcb:BCB4264_A1195
ko:K06345	bcb:BCB4264_A4544
ko:K13300	bcb:BCB4264_A4408
ko:K06294	bcb:BCB4264_A0170
ko:K00215	bcb:BCB4264_A1588
ko:K01187	bcb:BCB4264_A0427
ko:K11752	bcb:BCB4264_A3397
ko:K01069	bcb:BCB4264_A3523
ko:K11072	bcb:BCB4264_A1337
ko:K01243	bcb:BCB4264_A4493
ko:K12267	bcb:BCB4264_A5561
