ko:K18893	babt:DK49_1275
ko:K13967	babt:DK49_2473
ko:K22617	babt:DK49_1838
ko:K21909	babt:DK49_2872
ko:K00344	babt:DK49_2600
ko:K02031	babt:DK49_2798
ko:K03297	babt:DK49_690
ko:K07492	babt:DK49_307
ko:K07492	babt:DK49_323
ko:K07050	babt:DK49_814
ko:K22616	babt:DK49_1283
ko:K11741	babt:DK49_554
ko:K14218	babt:DK49_1365
ko:K14218	babt:DK49_3117
ko:K14218	babt:DK49_1564
ko:K14227	babt:DK49_1366
ko:K14227	babt:DK49_3118
ko:K14227	babt:DK49_1565
ko:K14218	babt:DK49_1895
ko:K14225	babt:DK49_1006
ko:K14219	babt:DK49_499
ko:K14229	babt:DK49_1084
ko:K14230	babt:DK49_1213
ko:K01271	babt:DK49_1261
ko:K07005	babt:DK49_1119
ko:K21911	babt:DK49_2876
ko:K02031	babt:DK49_3098
ko:K05847	babt:DK49_1
ko:K00130	babt:DK49_340
ko:K19231	babt:DK49_3151
ko:K19233	babt:DK49_1549
ko:K19232	babt:DK49_1940
ko:K02027	babt:DK49_16
ko:K05845	babt:DK49_4
ko:K00262	babt:DK49_6
ko:K05846	babt:DK49_3
ko:K00305	babt:DK49_13
ko:K00303	babt:DK49_7
ko:K11209	babt:DK49_414
ko:K00249	babt:DK49_212
ko:K00001	babt:DK49_2752
ko:K00065	babt:DK49_2981
ko:K00076	babt:DK49_1344
ko:K01144	babt:DK49_1130
ko:K11079	babt:DK49_3104
ko:K22616	babt:DK49_1282
ko:K00108	babt:DK49_341
ko:K04771	babt:DK49_399
ko:K19270	babt:DK49_630
ko:K21686	babt:DK49_944
ko:K13010	babt:DK49_315
ko:K11077	babt:DK49_3102
ko:K14230	babt:DK49_1327
ko:K14226	babt:DK49_1329
ko:K05799	babt:DK49_2277
ko:K01161	babt:DK49_2647
ko:K01866	babt:DK49_689
ko:K09001	babt:DK49_691
ko:K07018	babt:DK49_692
ko:K04487	babt:DK49_693
ko:K09014	babt:DK49_694
ko:K09013	babt:DK49_695
ko:K09015	babt:DK49_696
ko:K11717	babt:DK49_697
ko:K00858	babt:DK49_701
ko:K13628	babt:DK49_703
ko:K07213	babt:DK49_705
ko:K00573	babt:DK49_706
ko:K12340	babt:DK49_707
ko:K09991	babt:DK49_708
ko:K01873	babt:DK49_709
ko:K06076	babt:DK49_711
ko:K02030	babt:DK49_715
ko:K03753	babt:DK49_716
ko:K03752	babt:DK49_717
ko:K03639	babt:DK49_718
ko:K01676	babt:DK49_721
ko:K16079	babt:DK49_736
ko:K16079	babt:DK49_737
ko:K09803	babt:DK49_740
ko:K00773	babt:DK49_741
ko:K08311	babt:DK49_1539
ko:K03797	babt:DK49_1540
ko:K00783	babt:DK49_1543
ko:K09710	babt:DK49_1544
ko:K00969	babt:DK49_1545
ko:K00147	babt:DK49_1546
ko:K00931	babt:DK49_1547
ko:K03979	babt:DK49_1548
ko:K02899	babt:DK49_1552
ko:K02888	babt:DK49_1553
ko:K03695	babt:DK49_1569
ko:K02493	babt:DK49_1571
ko:K02835	babt:DK49_1572
ko:K08484	babt:DK49_1573
ko:K00928	babt:DK49_1574
ko:K00568	babt:DK49_1576
ko:K02498	babt:DK49_1585
ko:K01719	babt:DK49_1587
ko:K01749	babt:DK49_1588
ko:K01409	babt:DK49_1589
ko:K00057	babt:DK49_1590
ko:K09780	babt:DK49_1591
ko:K03182	babt:DK49_2380
ko:K03182	babt:DK49_2381
ko:K03186	babt:DK49_2382
ko:K03769	babt:DK49_2384
ko:K00374	babt:DK49_2385
ko:K00373	babt:DK49_2386
ko:K00371	babt:DK49_2387
ko:K00370	babt:DK49_2388
ko:K02575	babt:DK49_2389
ko:K02529	babt:DK49_2391
ko:K10236	babt:DK49_2392
ko:K10237	babt:DK49_2393
ko:K10238	babt:DK49_2394
ko:K10111	babt:DK49_2395
ko:K03647	babt:DK49_2401
ko:K03610	babt:DK49_2404
ko:K03609	babt:DK49_2405
ko:K03608	babt:DK49_2406
ko:K02055	babt:DK49_2410
ko:K02052	babt:DK49_2411
ko:K02054	babt:DK49_2412
ko:K02053	babt:DK49_2413
ko:K03585	babt:DK49_2419
ko:K01580	babt:DK49_2421
ko:K01580	babt:DK49_2422
ko:K01425	babt:DK49_2424
ko:K01840	babt:DK49_2430
ko:K13747	babt:DK49_143
ko:K03327	babt:DK49_147
ko:K02480	babt:DK49_149
ko:K14977	babt:DK49_154
ko:K13481	babt:DK49_157
ko:K13482	babt:DK49_158
ko:K07402	babt:DK49_159
ko:K01487	babt:DK49_162
ko:K01533	babt:DK49_165
ko:K00406	babt:DK49_168
ko:K00407	babt:DK49_169
ko:K00405	babt:DK49_170
ko:K00404	babt:DK49_171
ko:K10778	babt:DK49_176
ko:K17938	babt:DK49_180
ko:K03977	babt:DK49_183
ko:K04046	babt:DK49_184
ko:K02116	babt:DK49_186
ko:K02108	babt:DK49_187
ko:K02110	babt:DK49_188
ko:K02109	babt:DK49_189
ko:K02109	babt:DK49_190
ko:K03470	babt:DK49_191
ko:K07478	babt:DK49_962
ko:K02879	babt:DK49_964
ko:K03040	babt:DK49_965
ko:K02948	babt:DK49_966
ko:K02952	babt:DK49_967
ko:K00939	babt:DK49_968
ko:K03076	babt:DK49_969
ko:K02876	babt:DK49_970
ko:K02907	babt:DK49_971
ko:K02988	babt:DK49_972
ko:K02881	babt:DK49_973
ko:K02933	babt:DK49_974
ko:K02994	babt:DK49_975
ko:K02954	babt:DK49_976
ko:K02931	babt:DK49_977
ko:K02895	babt:DK49_978
ko:K02874	babt:DK49_979
ko:K02961	babt:DK49_980
ko:K02904	babt:DK49_981
ko:K02878	babt:DK49_982
ko:K02982	babt:DK49_983
ko:K02890	babt:DK49_984
ko:K02965	babt:DK49_985
ko:K02886	babt:DK49_986
ko:K02892	babt:DK49_987
ko:K02926	babt:DK49_988
ko:K02906	babt:DK49_989
ko:K02946	babt:DK49_990
ko:K02358	babt:DK49_991
ko:K02355	babt:DK49_992
ko:K02992	babt:DK49_993
ko:K02950	babt:DK49_994
ko:K03046	babt:DK49_996
ko:K03043	babt:DK49_997
ko:K02935	babt:DK49_998
ko:K02864	babt:DK49_999
ko:K02863	babt:DK49_1000
ko:K02867	babt:DK49_1001
ko:K02601	babt:DK49_1002
ko:K03073	babt:DK49_1003
ko:K02358	babt:DK49_1005
ko:K03218	babt:DK49_1008
ko:K07043	babt:DK49_1801
ko:K05782	babt:DK49_1803
ko:K05782	babt:DK49_1804
ko:K02520	babt:DK49_1807
ko:K02916	babt:DK49_1809
ko:K02887	babt:DK49_1810
ko:K01889	babt:DK49_1812
ko:K01890	babt:DK49_1813
ko:K04043	babt:DK49_1815
ko:K03686	babt:DK49_1816
ko:K00570	babt:DK49_1817
ko:K01591	babt:DK49_1818
ko:K01920	babt:DK49_1821
ko:K07391	babt:DK49_1822
ko:K03642	babt:DK49_1824
ko:K09790	babt:DK49_1825
ko:K02040	babt:DK49_1826
ko:K02037	babt:DK49_1827
ko:K02038	babt:DK49_1828
ko:K02036	babt:DK49_1829
ko:K02039	babt:DK49_1830
ko:K07657	babt:DK49_1831
ko:K04047	babt:DK49_1835
ko:K03789	babt:DK49_1837
ko:K06168	babt:DK49_1839
ko:K07042	babt:DK49_1841
ko:K03820	babt:DK49_1843
ko:K00789	babt:DK49_1845
ko:K03439	babt:DK49_1846
ko:K09748	babt:DK49_1847
