ko:K01813	llx:NCDO2118_1683
ko:K10947	llx:NCDO2118_2167
ko:K22278	llx:NCDO2118_1332
ko:K08153	llx:NCDO2118_0090
ko:K03297	llx:NCDO2118_1170
ko:K11741	llx:NCDO2118_0089
ko:K04771	llx:NCDO2118_2243
ko:K02851	llx:NCDO2118_1900
ko:K13677	llx:NCDO2118_2244
ko:K03293	llx:NCDO2118_0418
ko:K03731	llx:NCDO2118_0488
ko:K00298	llx:NCDO2118_0284
ko:K00897	llx:NCDO2118_1221
ko:K00969	llx:NCDO2118_0218
ko:K09710	llx:NCDO2118_0221
ko:K03648	llx:NCDO2118_0227
ko:K02970	llx:NCDO2118_0232
ko:K00927	llx:NCDO2118_0240
ko:K05878	llx:NCDO2118_0243
ko:K05879	llx:NCDO2118_0244
ko:K02440	llx:NCDO2118_0246
ko:K08659	llx:NCDO2118_0247
ko:K01990	llx:NCDO2118_0249
ko:K06969	llx:NCDO2118_0251
ko:K04041	llx:NCDO2118_0252
ko:K07007	llx:NCDO2118_0253
ko:K06147	llx:NCDO2118_0258
ko:K06147	llx:NCDO2118_0259
ko:K07173	llx:NCDO2118_0263
ko:K01689	llx:NCDO2118_0274
ko:K00969	llx:NCDO2118_1101
ko:K00763	llx:NCDO2118_1103
ko:K01916	llx:NCDO2118_1105
ko:K02003	llx:NCDO2118_1106
ko:K02004	llx:NCDO2118_1107
ko:K07009	llx:NCDO2118_1108
ko:K01928	llx:NCDO2118_1109
ko:K01575	llx:NCDO2118_1110
ko:K03596	llx:NCDO2118_1111
ko:K02469	llx:NCDO2118_1114
ko:K03734	llx:NCDO2118_1115
ko:K07284	llx:NCDO2118_1116
ko:K03657	llx:NCDO2118_1121
ko:K03574	llx:NCDO2118_1122
ko:K01246	llx:NCDO2118_1123
ko:K04750	llx:NCDO2118_1124
ko:K00244	llx:NCDO2118_1125
ko:K03177	llx:NCDO2118_1127
ko:K11753	llx:NCDO2118_1128
ko:K00016	llx:NCDO2118_1129
ko:K09963	llx:NCDO2118_1130
ko:K07106	llx:NCDO2118_1131
ko:K02808	llx:NCDO2118_1132
ko:K02809	llx:NCDO2118_1132
ko:K02810	llx:NCDO2118_1132
ko:K01803	llx:NCDO2118_1134
ko:K01442	llx:NCDO2118_1135
ko:K07273	llx:NCDO2118_1140
ko:K00364	llx:NCDO2118_1145
ko:K03816	llx:NCDO2118_1146
ko:K16169	llx:NCDO2118_1147
ko:K03216	llx:NCDO2118_1149
ko:K03544	llx:NCDO2118_1151
ko:K03978	llx:NCDO2118_1152
ko:K01633	llx:NCDO2118_1153
ko:K00796	llx:NCDO2118_1155
ko:K01893	llx:NCDO2118_1949
ko:K01442	llx:NCDO2118_1956
ko:K01104	llx:NCDO2118_1957
ko:K02035	llx:NCDO2118_1958
ko:K02034	llx:NCDO2118_1959
ko:K02033	llx:NCDO2118_1960
ko:K02887	llx:NCDO2118_1963
ko:K02520	llx:NCDO2118_1964
ko:K07025	llx:NCDO2118_1966
ko:K03495	llx:NCDO2118_1967
ko:K11145	llx:NCDO2118_1970
ko:K01883	llx:NCDO2118_1971
ko:K00640	llx:NCDO2118_1973
ko:K00962	llx:NCDO2118_1975
ko:K00948	llx:NCDO2118_1977
ko:K04487	llx:NCDO2118_1979
ko:K02358	llx:NCDO2118_1981
ko:K01870	llx:NCDO2118_1983
ko:K04074	llx:NCDO2118_1984
ko:K02221	llx:NCDO2118_1986
ko:K09772	llx:NCDO2118_1987
ko:K06997	llx:NCDO2118_1988
ko:K03531	llx:NCDO2118_1989
ko:K03590	llx:NCDO2118_1990
ko:K03218	llx:NCDO2118_1992
ko:K01372	llx:NCDO2118_1998
ko:K02072	llx:NCDO2118_0385
ko:K16924	llx:NCDO2118_0386
ko:K16786	llx:NCDO2118_0387
ko:K16787	llx:NCDO2118_0387
ko:K16785	llx:NCDO2118_0388
ko:K07729	llx:NCDO2118_0389
ko:K02013	llx:NCDO2118_0390
ko:K02015	llx:NCDO2118_0391
ko:K02015	llx:NCDO2118_0392
ko:K02016	llx:NCDO2118_0393
ko:K08234	llx:NCDO2118_0398
ko:K01834	llx:NCDO2118_0399
ko:K03386	llx:NCDO2118_0400
ko:K03387	llx:NCDO2118_0401
ko:K00687	llx:NCDO2118_0402
ko:K06187	llx:NCDO2118_0403
ko:K01921	llx:NCDO2118_0404
ko:K01929	llx:NCDO2118_0405
ko:K15580	llx:NCDO2118_0406
ko:K15580	llx:NCDO2118_0407
ko:K15581	llx:NCDO2118_0408
ko:K15582	llx:NCDO2118_0409
ko:K15583	llx:NCDO2118_0410
ko:K10823	llx:NCDO2118_0411
ko:K02837	llx:NCDO2118_0412
ko:K05592	llx:NCDO2118_0413
ko:K01953	llx:NCDO2118_0415
ko:K10563	llx:NCDO2118_0416
ko:K07816	llx:NCDO2118_0425
