ko:K19744	paev:N297_3988
ko:K11741	paev:N297_812
ko:K02338	paev:N297_2
ko:K03629	paev:N297_3
ko:K02313	paev:N297_1
ko:K02470	paev:N297_4
ko:K01851	paev:N297_4363
ko:K18979	paev:N297_5122
ko:K00655	paev:N297_5
ko:K03273	paev:N297_6
ko:K01879	paev:N297_8
ko:K19591	paev:N297_4944
ko:K19595	paev:N297_3646
ko:K03297	paev:N297_5163
ko:K10954	paev:N297_747
ko:K21147	paev:N297_2168
ko:K00800	paev:N297_3275
ko:K18540	paev:N297_3722
ko:K22617	paev:N297_4494
ko:K19593	paev:N297_3644
ko:K16238	paev:N297_4152
ko:K09691	paev:N297_5638
ko:K10815	paev:N297_2267
ko:K10816	paev:N297_2268
ko:K00344	paev:N297_23
ko:K02625	paev:N297_235
ko:K14234	paev:N297_4671
ko:K14234	paev:N297_5337
ko:K14236	paev:N297_4413
ko:K14238	paev:N297_4969
ko:K14231	paev:N297_5325
ko:K14233	paev:N297_1047
ko:K14228	paev:N297_2647
ko:K14219	paev:N297_3487
ko:K01729	paev:N297_3670
ko:K11741	paev:N297_3381
ko:K11741	paev:N297_1941
ko:K03446	paev:N297_2937
ko:K07483	paev:N297_1017
ko:K21429	paev:N297_585
ko:K00638	paev:N297_727
ko:K03111	paev:N297_4364
ko:K12960	paev:N297_3281
ko:K07483	paev:N297_1998
ko:K09472	paev:N297_4321
ko:K19735	paev:N297_1035
ko:K19611	paev:N297_963
ko:K07497	paev:N297_1999
ko:K07497	paev:N297_1012
ko:K18135	paev:N297_3699
ko:K21430	paev:N297_1149
ko:K11383	paev:N297_5671
ko:K15856	paev:N297_5642
ko:K00681	paev:N297_169
ko:K00681	paev:N297_370
ko:K00681	paev:N297_1378
ko:K04065	paev:N297_4903
ko:K11209	paev:N297_1668
ko:K19609	paev:N297_2769
ko:K16011	paev:N297_3674
ko:K11209	paev:N297_1069
ko:K18456	paev:N297_148
ko:K01399	paev:N297_3847
ko:K09788	paev:N297_820
ko:K19746	paev:N297_3989
ko:K18291	paev:N297_906
ko:K01246	paev:N297_10
