ko:K02495	senb:BN855_40700
ko:K18138	senb:BN855_4720
ko:K18923	senb:BN855_15930
ko:K14228	senb:BN855_t065
ko:K14228	senb:BN855_t075
ko:K14228	senb:BN855_t076
ko:K14228	senb:BN855_t078
ko:K19504	senb:BN855_46120
ko:K03297	senb:BN855_17010
ko:K19595	senb:BN855_3430
ko:K14235	senb:BN855_t062
ko:K14228	senb:BN855_t077
ko:K01990	senb:BN855_7870
ko:K02345	senb:BN855_19590
ko:K06858	senb:BN855_2220
ko:K01243	senb:BN855_2230
ko:K00674	senb:BN855_2290
ko:K01561	senb:BN855_3240
ko:K07213	senb:BN855_3470
ko:K08178	senb:BN855_3480
ko:K07316	senb:BN855_3490
ko:K01156	senb:BN855_3500
ko:K00970	senb:BN855_1980
ko:K02014	senb:BN855_2060
ko:K08234	senb:BN855_2510
ko:K02014	senb:BN855_3560
ko:K06445	senb:BN855_3000
ko:K01270	senb:BN855_3070
ko:K00769	senb:BN855_3080
ko:K01572	senb:BN855_560
ko:K05966	senb:BN855_640
ko:K08279	senb:BN855_720
ko:K08299	senb:BN855_730
ko:K00853	senb:BN855_1060
ko:K02099	senb:BN855_1070
ko:K03574	senb:BN855_1430
ko:K01990	senb:BN855_1850
ko:K01992	senb:BN855_1860
ko:K00616	senb:BN855_70
ko:K07034	senb:BN855_90
ko:K03855	senb:BN855_830
ko:K01525	senb:BN855_920
ko:K06177	senb:BN855_990
ko:K03469	senb:BN855_2730
ko:K02342	senb:BN855_2740
ko:K08161	senb:BN855_3750
ko:K07657	senb:BN855_3930
ko:K03386	senb:BN855_3990
ko:K14238	senb:BN855_t059
ko:K03111	senb:BN855_43260
ko:K02031	senb:BN855_12870
ko:K10906	senb:BN855_9550
ko:K18968	senb:BN855_3790
ko:K18984	senb:BN855_14350
ko:K01791	senb:BN855_39980
ko:K19611	senb:BN855_28100
ko:K00526	senb:BN855_23590
ko:K00287	senb:BN855_910
ko:K19221	senb:BN855_17720
ko:K00632	senb:BN855_24750
ko:K00254	senb:BN855_10130
ko:K18288	senb:BN855_31900
ko:K13654	senb:BN855_16350
ko:K07274	senb:BN855_13200
ko:K19230	senb:BN855_17480
ko:K18828	senb:BN855_30980
ko:K18828	senb:BN855_p360
ko:K00537	senb:BN855_25820
ko:K18816	senb:BN855_16650
ko:K07012	senb:BN855_29940
ko:K18838	senb:BN855_2800
ko:K03604	senb:BN855_14670
ko:K01420	senb:BN855_17110
ko:K09477	senb:BN855_6110
ko:K03559	senb:BN855_32350
ko:K00040	senb:BN855_32110
ko:K00151	senb:BN855_10570
ko:K00265	senb:BN855_34080
ko:K00821	senb:BN855_35470
ko:K03779	senb:BN855_34320
ko:K00951	senb:BN855_30160
ko:K04065	senb:BN855_46310
ko:K17713	senb:BN855_26060
ko:K00872	senb:BN855_20
ko:K12524	senb:BN855_10
ko:K03417	senb:BN855_3600
ko:K07245	senb:BN855_19570
ko:K08302	senb:BN855_33340
ko:K19697	senb:BN855_21420
ko:K02484	senb:BN855_10490
ko:K12678	senb:BN855_38470
ko:K01897	senb:BN855_18760
ko:K00040	senb:BN855_15480
ko:K08316	senb:BN855_36470
ko:K08598	senb:BN855_29050
ko:K01826	senb:BN855_10590
ko:K02510	senb:BN855_10610
ko:K08344	senb:BN855_10700
ko:K03307	senb:BN855_10860
ko:K01788	senb:BN855_10870
ko:K04477	senb:BN855_10940
ko:K02793	senb:BN855_18870
ko:K02794	senb:BN855_18870
ko:K02795	senb:BN855_18880
ko:K11392	senb:BN855_19070
ko:K03757	senb:BN855_26480
ko:K03499	senb:BN855_34860
ko:K02506	senb:BN855_35210
ko:K08161	senb:BN855_11120
ko:K03810	senb:BN855_11280
ko:K06179	senb:BN855_11450
