ko:K08744	mtl:CCDC5180_1659
ko:K07029	mtl:CCDC5180_2062
ko:K07016	mtl:CCDC5180_2553
ko:K01992	mtl:CCDC5180_1117
ko:K01992	mtl:CCDC5180_1343
ko:K01992	mtl:CCDC5180_2661
ko:K01992	mtl:CCDC5180_2662
ko:K16786	mtl:CCDC5180_2123
ko:K16787	mtl:CCDC5180_2123
ko:K12349	mtl:CCDC5180_0612
ko:K01006	mtl:CCDC5180_1031
ko:K07497	mtl:CCDC5180_3130
ko:K03574	mtl:CCDC5180_1065
ko:K03297	mtl:CCDC5180_2786
ko:K01897	mtl:CCDC5180_1996
ko:K21431	mtl:CCDC5180_0781
ko:K00566	mtl:CCDC5180_2745
ko:K04487	mtl:CCDC5180_2746
ko:K03522	mtl:CCDC5180_2749
ko:K03521	mtl:CCDC5180_2750
ko:K02013	mtl:CCDC5180_2763
ko:K01079	mtl:CCDC5180_2764
ko:K02016	mtl:CCDC5180_2767
ko:K13979	mtl:CCDC5180_2768
ko:K02346	mtl:CCDC5180_2777
ko:K06200	mtl:CCDC5180_2784
ko:K15977	mtl:CCDC5180_2785
ko:K06199	mtl:CCDC5180_2790
ko:K03657	mtl:CCDC5180_2912
ko:K03426	mtl:CCDC5180_2913
ko:K03657	mtl:CCDC5180_2915
ko:K02361	mtl:CCDC5180_2929
ko:K03088	mtl:CCDC5180_2936
ko:K00800	mtl:CCDC5180_2940
ko:K06949	mtl:CCDC5180_2941
ko:K07228	mtl:CCDC5180_2949
ko:K03070	mtl:CCDC5180_2953
ko:K04787	mtl:CCDC5180_2175
ko:K04789	mtl:CCDC5180_2171
ko:K04791	mtl:CCDC5180_2172
ko:K04792	mtl:CCDC5180_2170
ko:K04790	mtl:CCDC5180_2173
ko:K16146	mtl:CCDC5180_0111
ko:K16147	mtl:CCDC5180_1221
ko:K16148	mtl:CCDC5180_1112
ko:K16149	mtl:CCDC5180_2752
ko:K16150	mtl:CCDC5180_2753
ko:K07171	mtl:CCDC5180_1010
ko:K01011	mtl:CCDC5180_2833
ko:K14728	mtl:CCDC5180_2675
ko:K07107	mtl:CCDC5180_0147
ko:K02066	mtl:CCDC5180_0151
ko:K02066	mtl:CCDC5180_0152
ko:K06911	mtl:CCDC5180_0165
ko:K03088	mtl:CCDC5180_0166
ko:K05349	mtl:CCDC5180_0170
ko:K01687	mtl:CCDC5180_0173
ko:K03439	mtl:CCDC5180_0191
ko:K14260	mtl:CCDC5180_0311
ko:K11738	mtl:CCDC5180_0319
ko:K04043	mtl:CCDC5180_0323
ko:K03687	mtl:CCDC5180_0324
ko:K03686	mtl:CCDC5180_0325
ko:K01939	mtl:CCDC5180_0330
ko:K06213	mtl:CCDC5180_0335
ko:K01624	mtl:CCDC5180_0336
ko:K03975	mtl:CCDC5180_0337
ko:K07141	mtl:CCDC5180_0344
ko:K07402	mtl:CCDC5180_0345
ko:K07402	mtl:CCDC5180_0349
ko:K00762	mtl:CCDC5180_0353
ko:K03695	mtl:CCDC5180_0355
ko:K08289	mtl:CCDC5180_0359
ko:K10764	mtl:CCDC5180_0361
ko:K03885	mtl:CCDC5180_0362
ko:K01845	mtl:CCDC5180_0485
ko:K07399	mtl:CCDC5180_0489
ko:K02548	mtl:CCDC5180_0494
ko:K01911	mtl:CCDC5180_0502
ko:K03306	mtl:CCDC5180_0504
ko:K01661	mtl:CCDC5180_0507
ko:K02551	mtl:CCDC5180_0513
ko:K03183	mtl:CCDC5180_0516
ko:K03799	mtl:CCDC5180_0521
ko:K00057	mtl:CCDC5180_0522
ko:K09767	mtl:CCDC5180_0524
ko:K00763	mtl:CCDC5180_0529
ko:K03073	mtl:CCDC5180_0588
ko:K02601	mtl:CCDC5180_0589
ko:K02867	mtl:CCDC5180_0590
ko:K02863	mtl:CCDC5180_0591
ko:K00574	mtl:CCDC5180_0592
ko:K00574	mtl:CCDC5180_0593
ko:K00574	mtl:CCDC5180_0594
ko:K00574	mtl:CCDC5180_0595
ko:K00645	mtl:CCDC5180_0599
ko:K02864	mtl:CCDC5180_0601
ko:K02935	mtl:CCDC5180_0602
ko:K02065	mtl:CCDC5180_0605
ko:K03043	mtl:CCDC5180_0610
ko:K03046	mtl:CCDC5180_0611
ko:K01151	mtl:CCDC5180_0613
ko:K09456	mtl:CCDC5180_0615
ko:K02616	mtl:CCDC5180_0617
ko:K02950	mtl:CCDC5180_0625
ko:K02992	mtl:CCDC5180_0626
ko:K02355	mtl:CCDC5180_0627
ko:K02358	mtl:CCDC5180_0628
ko:K01945	mtl:CCDC5180_0706
ko:K01756	mtl:CCDC5180_0711
ko:K01923	mtl:CCDC5180_0714
ko:K01354	mtl:CCDC5180_0715
ko:K01952	mtl:CCDC5180_0721
ko:K03710	mtl:CCDC5180_0725
ko:K00382	mtl:CCDC5180_0727
ko:K07223	mtl:CCDC5180_0731
ko:K01952	mtl:CCDC5180_0735
ko:K00764	mtl:CCDC5180_0739
ko:K01933	mtl:CCDC5180_0740
ko:K06980	mtl:CCDC5180_0741
ko:K02036	mtl:CCDC5180_0749
ko:K02039	mtl:CCDC5180_0750
