ko:K06881	tmx:THMC_1635
ko:K14228	tmx:THMC_0493
ko:K14228	tmx:THMC_1418
ko:K14228	tmx:THMC_1393
ko:K14233	tmx:THMC_1823
ko:K14223	tmx:THMC_0770
ko:K14223	tmx:THMC_0404
ko:K14234	tmx:THMC_0593
ko:K14228	tmx:THMC_0837
ko:K14234	tmx:THMC_0458
ko:K14230	tmx:THMC_1367
ko:K14219	tmx:THMC_0202
ko:K04763	tmx:THMC_0990
ko:K14229	tmx:THMC_0494
ko:K14225	tmx:THMC_0492
ko:K14225	tmx:THMC_1368
ko:K14236	tmx:THMC_0459
ko:K14230	tmx:THMC_0457
ko:K22305	tmx:THMC_1400
ko:K07075	tmx:THMC_0663
ko:K14225	tmx:THMC_0198
ko:K04752	tmx:THMC_0409
ko:K11529	tmx:THMC_1620
ko:K14234	tmx:THMC_0335
ko:K14235	tmx:THMC_0461
ko:K01985	tmx:THMC_0179
ko:K02483	tmx:THMC_1284
ko:K01295	tmx:THMC_0125
ko:K02406	tmx:THMC_0127
ko:K06941	tmx:THMC_0131
ko:K01695	tmx:THMC_0132
ko:K01696	tmx:THMC_0133
ko:K01817	tmx:THMC_0134
ko:K01609	tmx:THMC_0135
ko:K13497	tmx:THMC_0136
ko:K01657	tmx:THMC_0137
ko:K02488	tmx:THMC_0138
ko:K01409	tmx:THMC_0141
ko:K03544	tmx:THMC_0142
ko:K09710	tmx:THMC_0143
ko:K00820	tmx:THMC_0144
ko:K03621	tmx:THMC_0145
ko:K02911	tmx:THMC_0146
ko:K07040	tmx:THMC_0147
ko:K14170	tmx:THMC_0150
ko:K01077	tmx:THMC_0151
ko:K13292	tmx:THMC_0154
ko:K02428	tmx:THMC_0155
ko:K08999	tmx:THMC_0156
ko:K13789	tmx:THMC_0157
ko:K08974	tmx:THMC_0160
ko:K03550	tmx:THMC_0161
ko:K11754	tmx:THMC_0162
ko:K01839	tmx:THMC_0163
ko:K01869	tmx:THMC_0164
ko:K01926	tmx:THMC_0165
ko:K07015	tmx:THMC_0167
ko:K01251	tmx:THMC_0168
ko:K03170	tmx:THMC_0169
ko:K15987	tmx:THMC_0170
ko:K02078	tmx:THMC_0171
ko:K09116	tmx:THMC_0172
ko:K04066	tmx:THMC_0174
ko:K02340	tmx:THMC_0182
ko:K01820	tmx:THMC_1093
ko:K01629	tmx:THMC_1094
ko:K00848	tmx:THMC_1095
ko:K06864	tmx:THMC_1097
ko:K07095	tmx:THMC_1098
ko:K01918	tmx:THMC_1099
ko:K09009	tmx:THMC_1100
ko:K02687	tmx:THMC_1101
ko:K01808	tmx:THMC_1102
ko:K01356	tmx:THMC_1104
ko:K02469	tmx:THMC_1106
ko:K01874	tmx:THMC_1107
ko:K03499	tmx:THMC_1110
ko:K03499	tmx:THMC_1111
ko:K03498	tmx:THMC_1112
ko:K01892	tmx:THMC_1113
ko:K01887	tmx:THMC_1116
ko:K03215	tmx:THMC_1117
ko:K01756	tmx:THMC_1118
ko:K01939	tmx:THMC_1119
ko:K00611	tmx:THMC_1120
ko:K00943	tmx:THMC_1122
ko:K01992	tmx:THMC_1123
ko:K07095	tmx:THMC_1124
ko:K03685	tmx:THMC_1125
ko:K05567	tmx:THMC_1127
ko:K05568	tmx:THMC_1128
ko:K05569	tmx:THMC_1129
ko:K05570	tmx:THMC_1130
ko:K05571	tmx:THMC_1131
ko:K05566	tmx:THMC_1133
ko:K06995	tmx:THMC_1135
ko:K05813	tmx:THMC_1143
ko:K05814	tmx:THMC_1144
ko:K05815	tmx:THMC_1145
ko:K02407	tmx:THMC_1146
ko:K06603	tmx:THMC_1147
ko:K03431	tmx:THMC_0185
ko:K07814	tmx:THMC_0187
ko:K02016	tmx:THMC_0191
ko:K02015	tmx:THMC_0192
ko:K02013	tmx:THMC_0193
ko:K06416	tmx:THMC_0194
ko:K02069	tmx:THMC_0199
ko:K02068	tmx:THMC_0200
ko:K09129	tmx:THMC_0203
ko:K03696	tmx:THMC_0205
ko:K04485	tmx:THMC_0206
ko:K07067	tmx:THMC_0207
ko:K00336	tmx:THMC_0208
ko:K02051	tmx:THMC_0209
ko:K02050	tmx:THMC_0210
ko:K02049	tmx:THMC_0211
ko:K03655	tmx:THMC_0212
ko:K00760	tmx:THMC_0213
ko:K00873	tmx:THMC_0215
ko:K00850	tmx:THMC_0216
ko:K00605	tmx:THMC_0218
ko:K02437	tmx:THMC_0219
ko:K00282	tmx:THMC_0220
ko:K00283	tmx:THMC_0221
ko:K09022	tmx:THMC_0222
ko:K01878	tmx:THMC_0223
ko:K01879	tmx:THMC_0224
ko:K02412	tmx:THMC_0225
ko:K02411	tmx:THMC_0226
ko:K02410	tmx:THMC_0227
ko:K02409	tmx:THMC_0228
ko:K16787	tmx:THMC_0229
ko:K03524	tmx:THMC_0231
ko:K05396	tmx:THMC_0232
ko:K07150	tmx:THMC_0233
ko:K00334	tmx:THMC_0234
ko:K00335	tmx:THMC_0235
ko:K07088	tmx:THMC_0236
ko:K07095	tmx:THMC_0237
ko:K01924	tmx:THMC_0238
ko:K02563	tmx:THMC_0239
ko:K03588	tmx:THMC_0240
ko:K01925	tmx:THMC_0241
ko:K01000	tmx:THMC_0242
ko:K02217	tmx:THMC_1151
ko:K01243	tmx:THMC_1152
ko:K03924	tmx:THMC_1155
ko:K01999	tmx:THMC_1158
ko:K01997	tmx:THMC_1159
ko:K01998	tmx:THMC_1160
ko:K01995	tmx:THMC_1161
ko:K01996	tmx:THMC_1162
ko:K04767	tmx:THMC_1163
ko:K06196	tmx:THMC_1164
ko:K03406	tmx:THMC_1166
ko:K03406	tmx:THMC_1170
ko:K00031	tmx:THMC_1172
ko:K02033	tmx:THMC_1173
ko:K02035	tmx:THMC_1174
ko:K02034	tmx:THMC_1177
ko:K01057	tmx:THMC_1178
ko:K00036	tmx:THMC_1179
ko:K06213	tmx:THMC_1186
ko:K00174	tmx:THMC_1189
ko:K00175	tmx:THMC_1190
ko:K00688	tmx:THMC_1193
ko:K00059	tmx:THMC_1194
ko:K02030	tmx:THMC_1195
ko:K05601	tmx:THMC_1197
ko:K03325	tmx:THMC_1198
ko:K07025	tmx:THMC_1202
ko:K02422	tmx:THMC_1204
ko:K01929	tmx:THMC_0243
ko:K01928	tmx:THMC_0244
ko:K00975	tmx:THMC_0246
ko:K00975	tmx:THMC_0247
ko:K01012	tmx:THMC_0250
ko:K03615	tmx:THMC_0251
ko:K03614	tmx:THMC_0252
ko:K03612	tmx:THMC_0253
ko:K03613	tmx:THMC_0254
ko:K03617	tmx:THMC_0255
ko:K03616	tmx:THMC_0256
ko:K04096	tmx:THMC_0257
ko:K03563	tmx:THMC_0258
ko:K02435	tmx:THMC_0259
ko:K07460	tmx:THMC_0260
ko:K03664	tmx:THMC_0261
ko:K02902	tmx:THMC_0262
ko:K03698	tmx:THMC_0264
ko:K03168	tmx:THMC_0265
ko:K01921	tmx:THMC_0266
ko:K07220	tmx:THMC_0267
ko:K03306	tmx:THMC_0268
ko:K02338	tmx:THMC_0269
ko:K03495	tmx:THMC_0270
ko:K06183	tmx:THMC_0271
ko:K03703	tmx:THMC_0272
ko:K03530	tmx:THMC_0273
ko:K03650	tmx:THMC_0274
ko:K00548	tmx:THMC_0275
ko:K01006	tmx:THMC_0279
ko:K01624	tmx:THMC_0280
ko:K00925	tmx:THMC_0281
ko:K02103	tmx:THMC_0282
ko:K01804	tmx:THMC_0283
ko:K02025	tmx:THMC_0285
ko:K02026	tmx:THMC_0286
ko:K09955	tmx:THMC_0287
ko:K01209	tmx:THMC_0288
ko:K01785	tmx:THMC_0289
ko:K00854	tmx:THMC_0291
ko:K00096	tmx:THMC_0292
ko:K06147	tmx:THMC_0294
ko:K06147	tmx:THMC_0295
ko:K01647	tmx:THMC_0297
ko:K01703	tmx:THMC_0298
ko:K01704	tmx:THMC_0299
ko:K00147	tmx:THMC_0300
ko:K01515	tmx:THMC_1206
ko:K03529	tmx:THMC_1207
ko:K07079	tmx:THMC_1208
ko:K01734	tmx:THMC_1210
ko:K00849	tmx:THMC_1216
ko:K00965	tmx:THMC_1217
ko:K07407	tmx:THMC_1218
ko:K01190	tmx:THMC_1219
ko:K12308	tmx:THMC_1221
ko:K02034	tmx:THMC_1223
ko:K02033	tmx:THMC_1224
ko:K02035	tmx:THMC_1225
ko:K02529	tmx:THMC_1226
ko:K01224	tmx:THMC_1227
ko:K10110	tmx:THMC_1228
ko:K10109	tmx:THMC_1229
ko:K10108	tmx:THMC_1230
ko:K05569	tmx:THMC_1231
ko:K05570	tmx:THMC_1232
ko:K05571	tmx:THMC_1233
ko:K05566	tmx:THMC_1235
ko:K05567	tmx:THMC_1236
ko:K05568	tmx:THMC_1237
ko:K00342	tmx:THMC_1238
ko:K00337	tmx:THMC_1239
ko:K00331	tmx:THMC_1240
ko:K00332	tmx:THMC_1241
ko:K00333	tmx:THMC_1242
ko:K00266	tmx:THMC_1243
ko:K02529	tmx:THMC_1244
ko:K02034	tmx:THMC_1247
ko:K02033	tmx:THMC_1248
ko:K02035	tmx:THMC_1249
ko:K18785	tmx:THMC_1251
ko:K02035	tmx:THMC_1252
ko:K19355	tmx:THMC_1253
ko:K01191	tmx:THMC_1257
ko:K10112	tmx:THMC_1258
ko:K02026	tmx:THMC_1259
ko:K02025	tmx:THMC_1260
ko:K02027	tmx:THMC_1261
ko:K04069	tmx:THMC_1262
ko:K00931	tmx:THMC_0301
ko:K00616	tmx:THMC_0302
ko:K00847	tmx:THMC_0303
ko:K02529	tmx:THMC_0306
ko:K02035	tmx:THMC_0307
ko:K02033	tmx:THMC_0308
ko:K02034	tmx:THMC_0309
ko:K01206	tmx:THMC_0313
ko:K01818	tmx:THMC_0314
ko:K01811	tmx:THMC_0315
ko:K02035	tmx:THMC_0316
ko:K12308	tmx:THMC_0317
ko:K08982	tmx:THMC_0322
ko:K17686	tmx:THMC_0324
ko:K00058	tmx:THMC_0334
ko:K06142	tmx:THMC_1075
ko:K00762	tmx:THMC_0339
ko:K01591	tmx:THMC_0340
ko:K17828	tmx:THMC_0341
ko:K02823	tmx:THMC_0342
ko:K01465	tmx:THMC_0343
ko:K06889	tmx:THMC_0344
ko:K03856	tmx:THMC_0351
ko:K04517	tmx:THMC_0352
ko:K00800	tmx:THMC_0353
ko:K00014	tmx:THMC_0354
