ko:K19744	bcew:DM40_1511
ko:K12979	bcew:DM40_4131
ko:K03297	bcew:DM40_2189
ko:K18928	bcew:DM40_2771
ko:K11741	bcew:DM40_2932
ko:K15634	bcew:DM40_1382
ko:K05799	bcew:DM40_1343
ko:K18139	bcew:DM40_2258
ko:K19736	bcew:DM40_5461
ko:K20542	bcew:DM40_2005
ko:K16238	bcew:DM40_903
ko:K11209	bcew:DM40_2878
ko:K19745	bcew:DM40_3204
ko:K21449	bcew:DM40_5032
ko:K21449	bcew:DM40_5072
ko:K00042	bcew:DM40_2476
ko:K21449	bcew:DM40_3084
ko:K21678	bcew:DM40_3398
ko:K21345	bcew:DM40_507
ko:K21344	bcew:DM40_1713
ko:K13953	bcew:DM40_5193
ko:K00091	bcew:DM40_3320
ko:K05882	bcew:DM40_3439
ko:K05714	bcew:DM40_4998
ko:K00433	bcew:DM40_5272
ko:K00108	bcew:DM40_3026
ko:K00108	bcew:DM40_859
ko:K22589	bcew:DM40_4473
ko:K01501	bcew:DM40_1397
ko:K03446	bcew:DM40_3765
ko:K21759	bcew:DM40_5534
ko:K00130	bcew:DM40_3559
ko:K08744	bcew:DM40_1806
ko:K03332	bcew:DM40_4292
ko:K18850	bcew:DM40_2731
ko:K14228	bcew:DM40_2900
ko:K14228	bcew:DM40_4948
ko:K01980	bcew:DM40_1045
ko:K01980	bcew:DM40_5436
ko:K01980	bcew:DM40_1251
ko:K01980	bcew:DM40_784
ko:K01980	bcew:DM40_3140
ko:K01980	bcew:DM40_2864
ko:K14229	bcew:DM40_737
ko:K18902	bcew:DM40_3184
ko:K07071	bcew:DM40_3244
ko:K14232	bcew:DM40_2113
ko:K14228	bcew:DM40_2171
ko:K14228	bcew:DM40_2172
ko:K14228	bcew:DM40_2174
ko:K14226	bcew:DM40_2199
ko:K14236	bcew:DM40_1048
ko:K21677	bcew:DM40_3397
ko:K18900	bcew:DM40_5849
ko:K18903	bcew:DM40_5859
ko:K09471	bcew:DM40_598
ko:K00383	bcew:DM40_602
ko:K07240	bcew:DM40_607
ko:K07240	bcew:DM40_608
ko:K03566	bcew:DM40_609
ko:K02397	bcew:DM40_611
ko:K02396	bcew:DM40_612
ko:K02395	bcew:DM40_614
ko:K02394	bcew:DM40_615
ko:K02393	bcew:DM40_616
ko:K02392	bcew:DM40_617
ko:K02391	bcew:DM40_618
ko:K02390	bcew:DM40_619
ko:K02389	bcew:DM40_620
ko:K02388	bcew:DM40_621
ko:K02387	bcew:DM40_622
ko:K02386	bcew:DM40_623
ko:K02398	bcew:DM40_624
ko:K02399	bcew:DM40_625
ko:K01262	bcew:DM40_626
ko:K00974	bcew:DM40_628
ko:K00329	bcew:DM40_630
ko:K00356	bcew:DM40_630
ko:K08309	bcew:DM40_631
ko:K07160	bcew:DM40_636
ko:K13408	bcew:DM40_639
ko:K13409	bcew:DM40_641
ko:K12340	bcew:DM40_642
ko:K09973	bcew:DM40_645
ko:K12372	bcew:DM40_646
ko:K12371	bcew:DM40_647
ko:K12370	bcew:DM40_648
ko:K12369	bcew:DM40_649
ko:K00970	bcew:DM40_1448
ko:K10763	bcew:DM40_1450
ko:K01933	bcew:DM40_1451
ko:K00791	bcew:DM40_1453
ko:K03572	bcew:DM40_1454
ko:K03975	bcew:DM40_1455
ko:K03442	bcew:DM40_1456
ko:K03640	bcew:DM40_1462
ko:K03641	bcew:DM40_1463
ko:K03560	bcew:DM40_1465
ko:K03562	bcew:DM40_1466
ko:K07107	bcew:DM40_1467
ko:K16066	bcew:DM40_1468
ko:K00600	bcew:DM40_1469
ko:K07738	bcew:DM40_1470
ko:K08084	bcew:DM40_1471
ko:K02672	bcew:DM40_1473
ko:K02655	bcew:DM40_1475
ko:K00252	bcew:DM40_1480
ko:K05712	bcew:DM40_1483
ko:K08195	bcew:DM40_1485
ko:K00451	bcew:DM40_1486
ko:K01555	bcew:DM40_1487
ko:K04719	bcew:DM40_1490
ko:K03778	bcew:DM40_1491
ko:K07506	bcew:DM40_1494
ko:K13481	bcew:DM40_1497
ko:K13482	bcew:DM40_1498
ko:K02234	bcew:DM40_2288
ko:K02230	bcew:DM40_2289
ko:K03405	bcew:DM40_2290
ko:K13580	bcew:DM40_2291
ko:K09768	bcew:DM40_2292
ko:K13541	bcew:DM40_2294
ko:K03394	bcew:DM40_2295
ko:K06042	bcew:DM40_2296
ko:K02229	bcew:DM40_2297
ko:K00595	bcew:DM40_2298
ko:K02188	bcew:DM40_2299
ko:K05895	bcew:DM40_2300
ko:K05936	bcew:DM40_2301
ko:K03449	bcew:DM40_2302
ko:K02055	bcew:DM40_2305
ko:K02052	bcew:DM40_2306
ko:K02054	bcew:DM40_2307
ko:K02053	bcew:DM40_2308
ko:K01640	bcew:DM40_2313
ko:K00459	bcew:DM40_2322
ko:K09780	bcew:DM40_2334
ko:K03284	bcew:DM40_2335
ko:K08369	bcew:DM40_3116
ko:K00128	bcew:DM40_3118
ko:K11733	bcew:DM40_3119
ko:K01916	bcew:DM40_3126
ko:K08677	bcew:DM40_3128
ko:K12255	bcew:DM40_3132
ko:K00549	bcew:DM40_3134
ko:K03576	bcew:DM40_3135
ko:K03306	bcew:DM40_3136
ko:K09990	bcew:DM40_3137
ko:K11082	bcew:DM40_3147
ko:K11083	bcew:DM40_3148
ko:K11084	bcew:DM40_3149
ko:K11081	bcew:DM40_3150
ko:K03430	bcew:DM40_3151
ko:K08194	bcew:DM40_3152
ko:K00014	bcew:DM40_3153
ko:K03786	bcew:DM40_3154
ko:K00457	bcew:DM40_3155
ko:K15977	bcew:DM40_3160
ko:K02431	bcew:DM40_3161
ko:K01708	bcew:DM40_3163
ko:K01707	bcew:DM40_3164
ko:K00764	bcew:DM40_3967
ko:K10764	bcew:DM40_3968
ko:K01711	bcew:DM40_3970
ko:K00963	bcew:DM40_3977
ko:K07058	bcew:DM40_3984
ko:K00123	bcew:DM40_3985
ko:K00123	bcew:DM40_3986
ko:K00124	bcew:DM40_3987
ko:K00127	bcew:DM40_3988
ko:K02380	bcew:DM40_3989
ko:K01042	bcew:DM40_3990
ko:K03833	bcew:DM40_3991
ko:K07347	bcew:DM40_3993
ko:K07345	bcew:DM40_3995
ko:K01912	bcew:DM40_4001
ko:K01560	bcew:DM40_4003
ko:K01999	bcew:DM40_4004
ko:K00604	bcew:DM40_4009
ko:K03226	bcew:DM40_4805
ko:K01953	bcew:DM40_4807
ko:K03229	bcew:DM40_4808
ko:K03228	bcew:DM40_4809
ko:K03224	bcew:DM40_4811
ko:K03223	bcew:DM40_4812
ko:K03222	bcew:DM40_4814
ko:K03217	bcew:DM40_760
ko:K08998	bcew:DM40_761
