ko:K12132	btw:BF38_5031
ko:K08153	btw:BF38_2090
ko:K19310	btw:BF38_1559
ko:K16654	btw:BF38_2476
ko:K03547	btw:BF38_2246
ko:K17910	btw:BF38_2599
ko:K01138	btw:BF38_958
ko:K19689	btw:BF38_1613
ko:K01977	btw:BF38_1768
ko:K01977	btw:BF38_1569
ko:K01977	btw:BF38_1563
ko:K01977	btw:BF38_1554
ko:K01977	btw:BF38_1542
ko:K01977	btw:BF38_1241
ko:K01977	btw:BF38_1220
ko:K01977	btw:BF38_1964
ko:K01977	btw:BF38_1300
ko:K01977	btw:BF38_653
ko:K01977	btw:BF38_1516
ko:K01977	btw:BF38_1390
ko:K01977	btw:BF38_1536
ko:K01977	btw:BF38_1313
ko:K07149	btw:BF38_4915
ko:K00632	btw:BF38_766
ko:K05592	btw:BF38_1174
ko:K06336	btw:BF38_2500
ko:K00571	btw:BF38_400
ko:K01400	btw:BF38_1848
ko:K20107	btw:BF38_1665
ko:K20108	btw:BF38_1665
ko:K01992	btw:BF38_4840
ko:K01992	btw:BF38_1122
ko:K01992	btw:BF38_2580
ko:K19309	btw:BF38_1560
ko:K01990	btw:BF38_1474
ko:K01990	btw:BF38_288
ko:K01990	btw:BF38_2961
ko:K01990	btw:BF38_3724
ko:K02032	btw:BF38_1483
ko:K02479	btw:BF38_3467
ko:K01759	btw:BF38_945
ko:K01200	btw:BF38_464
ko:K07149	btw:BF38_1126
ko:K21379	btw:BF38_4679
ko:K08221	btw:BF38_1094
ko:K21472	btw:BF38_728
ko:K21993	btw:BF38_4899
ko:K06418	btw:BF38_4288
ko:K06415	btw:BF38_2027
ko:K06343	btw:BF38_2455
ko:K19449	btw:BF38_2503
ko:K21113	btw:BF38_3812
ko:K06344	btw:BF38_2452
ko:K22579	btw:BF38_4274
ko:K02351	btw:BF38_4277
ko:K02475	btw:BF38_1809
ko:K15580	btw:BF38_3253
ko:K00634	btw:BF38_5334
ko:K01777	btw:BF38_2149
ko:K01777	btw:BF38_4002
ko:K14233	btw:BF38_1506
ko:K14233	btw:BF38_629
ko:K14230	btw:BF38_4716
ko:K14220	btw:BF38_1394
ko:K14220	btw:BF38_1986
ko:K14220	btw:BF38_1505
ko:K14220	btw:BF38_630
ko:K14220	btw:BF38_1772
ko:K14233	btw:BF38_1773
ko:K14233	btw:BF38_1978
ko:K14233	btw:BF38_1979
ko:K14233	btw:BF38_638
ko:K14233	btw:BF38_1230
ko:K14224	btw:BF38_1396
ko:K14224	btw:BF38_1507
ko:K14224	btw:BF38_1774
ko:K14224	btw:BF38_1189
ko:K14224	btw:BF38_1283
ko:K14224	btw:BF38_1987
ko:K14224	btw:BF38_628
ko:K06378	btw:BF38_5248
ko:K01239	btw:BF38_3580
ko:K00001	btw:BF38_3770
ko:K05799	btw:BF38_2522
ko:K01090	btw:BF38_4236
ko:K03892	btw:BF38_4350
ko:K00344	btw:BF38_4549
ko:K06893	btw:BF38_2082
ko:K19170	btw:BF38_2176
ko:K19172	btw:BF38_2174
ko:K00354	btw:BF38_3250
ko:K19174	btw:BF38_2168
ko:K06320	btw:BF38_4342
ko:K01200	btw:BF38_3903
ko:K01239	btw:BF38_4050
ko:K01239	btw:BF38_862
ko:K00001	btw:BF38_4662
ko:K01239	btw:BF38_4725
ko:K02032	btw:BF38_1437
ko:K11615	btw:BF38_1826
ko:K01090	btw:BF38_2436
ko:K03296	btw:BF38_1963
