ko:K09796	nmm:NMBM01240149_0624
ko:K02483	nmm:NMBM01240149_1500
ko:K21345	nmm:NMBM01240149_0107
ko:K18929	nmm:NMBM01240149_0728
ko:K14742	nmm:NMBM01240149_0318
ko:K04771	nmm:NMBM01240149_1571
ko:K18133	nmm:NMBM01240149_0143
ko:K07482	nmm:NMBM01240149_1790
ko:K07482	nmm:NMBM01240149_0011
ko:K07482	nmm:NMBM01240149_1176
ko:K07316	nmm:NMBM01240149_0780
ko:K18928	nmm:NMBM01240149_0730
ko:K07319	nmm:NMBM01240149_0176
ko:K16087	nmm:NMBM01240149_0198
ko:K18138	nmm:NMBM01240149_0472
ko:K11752	nmm:NMBM01240149_0372
ko:K07738	nmm:NMBM01240149_0373
ko:K01735	nmm:NMBM01240149_0375
ko:K00891	nmm:NMBM01240149_0376
ko:K02666	nmm:NMBM01240149_0377
ko:K02662	nmm:NMBM01240149_0381
ko:K05366	nmm:NMBM01240149_0382
ko:K03978	nmm:NMBM01240149_0383
ko:K07399	nmm:NMBM01240149_0385
ko:K02517	nmm:NMBM01240149_0388
ko:K00789	nmm:NMBM01240149_0389
ko:K07259	nmm:NMBM01240149_0391
ko:K03300	nmm:NMBM01240149_0393
ko:K08301	nmm:NMBM01240149_0396
ko:K03071	nmm:NMBM01240149_0398
ko:K03655	nmm:NMBM01240149_0399
ko:K00145	nmm:NMBM01240149_0400
ko:K15125	nmm:NMBM01240149_0410
ko:K01933	nmm:NMBM01240149_0923
ko:K07673	nmm:NMBM01240149_0925
ko:K03752	nmm:NMBM01240149_0926
ko:K00793	nmm:NMBM01240149_0927
ko:K06923	nmm:NMBM01240149_0928
ko:K01783	nmm:NMBM01240149_0930
ko:K03551	nmm:NMBM01240149_0931
ko:K03770	nmm:NMBM01240149_0936
ko:K06187	nmm:NMBM01240149_0937
ko:K09808	nmm:NMBM01240149_0939
ko:K03581	nmm:NMBM01240149_0941
ko:K01338	nmm:NMBM01240149_0943
ko:K03530	nmm:NMBM01240149_0944
ko:K00003	nmm:NMBM01240149_0946
ko:K06158	nmm:NMBM01240149_0948
ko:K03183	nmm:NMBM01240149_1343
ko:K03631	nmm:NMBM01240149_1348
ko:K06024	nmm:NMBM01240149_1349
ko:K14540	nmm:NMBM01240149_1350
ko:K06958	nmm:NMBM01240149_1351
ko:K03179	nmm:NMBM01240149_1354
ko:K03181	nmm:NMBM01240149_1355
ko:K01935	nmm:NMBM01240149_1356
ko:K00833	nmm:NMBM01240149_1357
ko:K07113	nmm:NMBM01240149_1359
ko:K04764	nmm:NMBM01240149_1361
ko:K01890	nmm:NMBM01240149_1362
ko:K01889	nmm:NMBM01240149_1366
ko:K02887	nmm:NMBM01240149_1368
ko:K02916	nmm:NMBM01240149_1369
ko:K02520	nmm:NMBM01240149_1370
ko:K01868	nmm:NMBM01240149_1371
ko:K00901	nmm:NMBM01240149_0623
ko:K00566	nmm:NMBM01240149_0625
ko:K01937	nmm:NMBM01240149_0627
ko:K03086	nmm:NMBM01240149_0631
ko:K03070	nmm:NMBM01240149_0633
ko:K03664	nmm:NMBM01240149_0643
ko:K03775	nmm:NMBM01240149_0647
ko:K04084	nmm:NMBM01240149_0650
ko:K00925	nmm:NMBM01240149_0651
ko:K00991	nmm:NMBM01240149_0655
ko:K01770	nmm:NMBM01240149_0656
ko:K00600	nmm:NMBM01240149_1059
ko:K03975	nmm:NMBM01240149_1062
ko:K15738	nmm:NMBM01240149_1063
ko:K01657	nmm:NMBM01240149_1065
ko:K01589	nmm:NMBM01240149_1067
ko:K02048	nmm:NMBM01240149_1069
ko:K07042	nmm:NMBM01240149_1565
ko:K06189	nmm:NMBM01240149_1566
ko:K03315	nmm:NMBM01240149_1567
ko:K02429	nmm:NMBM01240149_1568
ko:K10773	nmm:NMBM01240149_1570
ko:K01207	nmm:NMBM01240149_1573
ko:K08987	nmm:NMBM01240149_1576
ko:K01737	nmm:NMBM01240149_1577
ko:K06920	nmm:NMBM01240149_1579
ko:K07058	nmm:NMBM01240149_1581
ko:K15125	nmm:NMBM01240149_1594
ko:K15125	nmm:NMBM01240149_1598
ko:K02169	nmm:NMBM01240149_1616
ko:K06959	nmm:NMBM01240149_0074
ko:K00973	nmm:NMBM01240149_0079
ko:K01790	nmm:NMBM01240149_0080
ko:K07266	nmm:NMBM01240149_0081
ko:K07265	nmm:NMBM01240149_0082
